token X1 Y1 X2 Y2 R G B "font name" label
TABLE 802 140 872 167 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
V 878 140 895 167 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
MANTISSAS 402 165 516 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
AND 523 169 564 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
EXPONENT 569 165 674 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
PRE/POST 680 165 775 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
PROCESSING 782 165 901 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
COMPLEXITY 907 165 1035 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
OF 1042 169 1065 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
COMPLEX 1072 165 1166 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
BLOCK 1173 165 1241 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
ALU 1247 165 1295 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
Block 399 211 453 239 0 0 0 JMWTNR+NimbusRomNo9L-Medi table
Addition 462 211 545 239 0 0 0 JMWTNR+NimbusRomNo9L-Medi table
Mantissas 697 211 792 239 0 0 0 JMWTNR+NimbusRomNo9L-Medi table
Scaling 800 211 868 239 0 0 0 JMWTNR+NimbusRomNo9L-Medi table
Exponents 1052 211 1150 239 0 0 0 JMWTNR+NimbusRomNo9L-Medi table
Arithmetic 1159 211 1263 239 0 0 0 JMWTNR+NimbusRomNo9L-Medi table
∗ 773 233 783 270 0 0 0 FMIXGA+CMSY8 table
∗ 1147 233 1159 270 0 0 0 FMIXGA+CMSY8 table
Complex 387 244 467 270 0 0 0 AAEWKY+NimbusRomNo9L-Regu table
IEEE754 476 244 557 270 0 0 0 AAEWKY+NimbusRomNo9L-Regu table
4 756 248 766 270 0 0 0 CMALKZ+CMR8 table
N 790 248 809 270 0 0 0 XUZDZU+CMMI8 table
2 1130 248 1142 270 0 0 0 CMALKZ+CMR8 table
N 1164 248 1183 270 0 0 0 XUZDZU+CMMI8 table
∗ 773 259 783 297 0 0 0 FMIXGA+CMSY8 table
