token X1 Y1 X2 Y2 R G B "font name" label
ON 517 98 555 121 0 0 0 ODTUGJ+CMR9 paragraph
THE 567 98 623 121 0 0 0 ODTUGJ+CMR9 paragraph
LAST 633 98 701 121 0 0 0 ODTUGJ+CMR9 paragraph
QUESTION 712 98 850 121 0 0 0 ODTUGJ+CMR9 paragraph
OF 861 98 898 121 0 0 0 ODTUGJ+CMR9 paragraph
STEFAN 909 98 1012 121 0 0 0 ODTUGJ+CMR9 paragraph
BANACH 1022 98 1136 121 0 0 0 ODTUGJ+CMR9 paragraph
5 1498 98 1511 121 0 0 0 ODTUGJ+CMR9 paragraph
(It 173 156 211 191 0 0 0 MFYPWA+CMR12 paragraph
is 223 156 244 191 0 0 0 MFYPWA+CMR12 paragraph
interesting 256 156 405 191 0 0 0 MFYPWA+CMR12 paragraph
to 416 156 446 191 0 0 0 MFYPWA+CMR12 paragraph
note 458 156 519 191 0 0 0 MFYPWA+CMR12 paragraph
that 530 156 590 191 0 0 0 MFYPWA+CMR12 paragraph
the 602 156 646 191 0 0 0 MFYPWA+CMR12 paragraph
same 658 156 729 191 0 0 0 MFYPWA+CMR12 paragraph
1936–1937 740 156 886 191 0 0 0 MFYPWA+CMR12 paragraph
issue 898 156 965 191 0 0 0 MFYPWA+CMR12 paragraph
of 977 156 1003 191 0 0 0 MFYPWA+CMR12 paragraph
Comptes 1015 156 1137 191 0 0 0 KXWTBA+CMTI12 paragraph
Rendus 1149 156 1252 191 0 0 0 KXWTBA+CMTI12 paragraph
des 1263 156 1309 191 0 0 0 KXWTBA+CMTI12 paragraph
S´eances 1321 156 1430 191 0 0 0 KXWTBA+CMTI12 paragraph
de 1443 156 1475 191 0 0 0 KXWTBA+CMTI12 paragraph
la 1486 156 1511 191 0 0 0 KXWTBA+CMTI12 paragraph
Soci´et´e 140 196 241 229 0 0 0 KXWTBA+CMTI12 paragraph
des 251 196 296 229 0 0 0 KXWTBA+CMTI12 paragraph
Sciences 305 196 423 229 0 0 0 KXWTBA+CMTI12 paragraph
et 435 196 459 229 0 0 0 KXWTBA+CMTI12 paragraph
des 471 196 516 229 0 0 0 KXWTBA+CMTI12 paragraph
Lettres 527 196 621 229 0 0 0 KXWTBA+CMTI12 paragraph
