token X1 Y1 X2 Y2 R G B "font name" label
E. 504 250 522 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
Parizot 529 250 592 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
/ 598 252 602 273 0 0 0 VCKFCA+rtxi paragraph
Nuclear 607 250 679 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
Physics 684 250 752 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
B 757 250 770 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
Proceedings 777 250 886 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
Supplement 891 250 995 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
00 1000 250 1023 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
(2020) 1028 250 1088 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
1–16 1093 250 1137 278 0 0 0 CHKCJC+NimbusRomNo9L-ReguItal paragraph
8 1463 250 1475 278 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
the 178 308 211 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
amplitude 218 308 329 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
of 335 308 358 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
the 365 308 400 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
magnetic 406 308 507 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
ﬁeld. 514 308 570 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
Thus, 578 308 641 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
if 648 308 664 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
the 671 308 704 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
latter 711 308 769 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
is 774 308 793 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
would 860 308 929 341 0 0 0 WYLOJS+NimbusRomNo9L-Regu paragraph
