token X1 Y1 X2 Y2 R G B "font name" label
8 374 321 392 354 0 0 0 BMDRPU+CMBX12 section
Parameters 430 321 615 354 0 0 0 BMDRPU+CMBX12 section
of 627 321 657 354 0 0 0 BMDRPU+CMBX12 section
the 669 321 722 354 0 0 0 BMDRPU+CMBX12 section
Algorithm 734 321 902 354 0 0 0 BMDRPU+CMBX12 section
The 414 391 462 420 0 0 0 ARTHZQ+CMR10 paragraph
use 472 391 510 420 0 0 0 ARTHZQ+CMR10 paragraph
of 520 391 542 420 0 0 0 ARTHZQ+CMR10 paragraph
Jaccard 550 391 644 420 0 0 0 ARTHZQ+CMR10 paragraph
index 652 391 719 420 0 0 0 ARTHZQ+CMR10 paragraph
to 727 391 753 420 0 0 0 ARTHZQ+CMR10 paragraph
assess 761 391 831 420 0 0 0 ARTHZQ+CMR10 paragraph
similarity 841 391 955 420 0 0 0 ARTHZQ+CMR10 paragraph
between 965 391 1062 420 0 0 0 ARTHZQ+CMR10 paragraph
addresses 1071 391 1184 420 0 0 0 ARTHZQ+CMR10 paragraph
in 1193 391 1217 420 0 0 0 ARTHZQ+CMR10 paragraph
our 1225 391 1266 420 0 0 0 ARTHZQ+CMR10 paragraph
algo- 1275 391 1334 420 0 0 0 ARTHZQ+CMR10 paragraph
rithm 374 424 442 453 0 0 0 ARTHZQ+CMR10 paragraph
is 450 424 467 453 0 0 0 ARTHZQ+CMR10 paragraph
optional. 476 424 583 453 0 0 0 ARTHZQ+CMR10 paragraph
Our 591 424 639 453 0 0 0 ARTHZQ+CMR10 paragraph
implicit 647 424 739 453 0 0 0 ARTHZQ+CMR10 paragraph
assumption 748 424 885 453 0 0 0 ARTHZQ+CMR10 paragraph
is 894 424 912 453 0 0 0 ARTHZQ+CMR10 paragraph
that 921 424 970 453 0 0 0 ARTHZQ+CMR10 paragraph
there 979 424 1042 453 0 0 0 ARTHZQ+CMR10 paragraph
exists 1050 424 1116 453 0 0 0 ARTHZQ+CMR10 paragraph
a 1125 424 1139 453 0 0 0 ARTHZQ+CMR10 paragraph
function 1147 424 1247 453 0 0 0 ARTHZQ+CMR10 paragraph
d(x, 1256 424 1303 453 0 0 0 UQNYYZ+CMMI10 paragraph
y) 1309 424 1334 453 0 0 0 UQNYYZ+CMMI10 paragraph
which 374 457 443 486 0 0 0 ARTHZQ+CMR10 paragraph
assesses 453 457 547 486 0 0 0 ARTHZQ+CMR10 paragraph
the 557 457 596 486 0 0 0 ARTHZQ+CMR10 paragraph
similarity 606 457 720 486 0 0 0 ARTHZQ+CMR10 paragraph
between 732 457 829 486 0 0 0 ARTHZQ+CMR10 paragraph
two 841 457 884 486 0 0 0 ARTHZQ+CMR10 paragraph
addresses 894 457 1008 486 0 0 0 ARTHZQ+CMR10 paragraph
x 1018 457 1033 486 0 0 0 UQNYYZ+CMMI10 paragraph
and 1045 457 1089 486 0 0 0 ARTHZQ+CMR10 paragraph
y. 1099 457 1122 486 0 0 0 UQNYYZ+CMMI10 paragraph
Blocking 1133 457 1239 486 0 0 0 ARTHZQ+CMR10 paragraph
can 1249 457 1290 486 0 0 0 ARTHZQ+CMR10 paragraph
re- 1302 457 1334 486 0 0 0 ARTHZQ+CMR10 paragraph
duce 374 492 428 519 0 0 0 ARTHZQ+CMR10 paragraph
the 440 492 477 519 0 0 0 ARTHZQ+CMR10 paragraph
number 489 492 579 519 0 0 0 ARTHZQ+CMR10 paragraph
of 591 492 613 519 0 0 0 ARTHZQ+CMR10 paragraph
evaluations 623 492 758 519 0 0 0 ARTHZQ+CMR10 paragraph
of 770 492 792 519 0 0 0 ARTHZQ+CMR10 paragraph
d(x, 802 492 851 519 0 0 0 UQNYYZ+CMMI10 paragraph
y) 855 492 880 519 0 0 0 UQNYYZ+CMMI10 paragraph
without 892 492 986 519 0 0 0 ARTHZQ+CMR10 paragraph
missing 996 492 1086 519 0 0 0 ARTHZQ+CMR10 paragraph
links, 1096 492 1161 519 0 0 0 ARTHZQ+CMR10 paragraph
if 1171 492 1188 519 0 0 0 ARTHZQ+CMR10 paragraph
d(x, 1198 492 1247 519 0 0 0 UQNYYZ+CMMI10 paragraph
y) 1251 492 1276 519 0 0 0 UQNYYZ+CMMI10 paragraph
> 1286 492 1309 519 0 0 0 UQNYYZ+CMMI10 paragraph
τ 1319 492 1331 519 0 0 0 UQNYYZ+CMMI10 paragraph
indicating 374 525 493 552 0 0 0 ARTHZQ+CMR10 paragraph
x 501 525 516 552 0 0 0 UQNYYZ+CMMI10 paragraph
and 525 525 569 552 0 0 0 ARTHZQ+CMR10 paragraph
y 578 525 589 552 0 0 0 UQNYYZ+CMMI10 paragraph
share 600 525 663 552 0 0 0 ARTHZQ+CMR10 paragraph
a 669 525 685 552 0 0 0 ARTHZQ+CMR10 paragraph
co(cid:26)mmon 691 525 793 633 0 0 0 ARTHZQ+CMR10 equation
token. 800 525 875 552 0 0 0 ARTHZQ+CMR10 paragraph
In 882 525 907 552 0 0 0 ARTHZQ+CMR10 paragraph
our 916 525 955 552 0 0 0 ARTHZQ+CMR10 paragraph
two-round 963 525 1086 552 0 0 0 ARTHZQ+CMR10 paragraph
linkage, 1094 525 1186 552 0 0 0 ARTHZQ+CMR10 paragraph
our 1193 525 1234 552 0 0 0 ARTHZQ+CMR10 paragraph
implicit 1242 525 1334 552 0 0 0 ARTHZQ+CMR10 paragraph
function 374 558 472 585 0 0 0 ARTHZQ+CMR10 paragraph
is 481 558 499 585 0 0 0 ARTHZQ+CMR10 paragraph
J 741 618 756 644 0 0 0 UQNYYZ+CMMI10 equation
(x, 802 618 836 644 0 0 0 UQNYYZ+CMMI10 equation
y) 841 618 867 644 0 0 0 UQNYYZ+CMMI10 equation
if 875 618 890 644 0 0 0 ARTHZQ+CMR10 equation
J 901 618 916 644 0 0 0 UQNYYZ+CMMI10 equation
(x, 986 618 1020 644 0 0 0 UQNYYZ+CMMI10 equation
y) 1023 618 1048 644 0 0 0 UQNYYZ+CMMI10 equation
> 1057 618 1077 644 0 0 0 UQNYYZ+CMMI10 equation
0 1086 618 1099 644 0 0 0 ARTHZQ+CMR10 equation
d(x, 600 633 649 662 0 0 0 UQNYYZ+CMMI10 equation
y) 652 633 678 662 0 0 0 UQNYYZ+CMMI10 equation
= 686 633 708 662 0 0 0 ARTHZQ+CMR10 equation
char 756 629 800 646 0 0 0 OHDYGZ+CMMI7 equation
phrase 916 629 984 646 0 0 0 OHDYGZ+CMMI7 equation
(3) 1298 633 1334 662 0 0 0 ARTHZQ+CMR10 paragraph
0 741 651 754 677 0 0 0 ARTHZQ+CMR10 equation
otherwise 875 651 989 677 0 0 0 ARTHZQ+CMR10 equation
One 414 717 464 743 0 0 0 ARTHZQ+CMR10 paragraph
may 476 717 525 743 0 0 0 ARTHZQ+CMR10 paragraph
design 537 717 612 743 0 0 0 ARTHZQ+CMR10 paragraph
any 623 717 666 743 0 0 0 ARTHZQ+CMR10 paragraph
other 678 717 741 743 0 0 0 ARTHZQ+CMR10 paragraph
implicit 753 717 844 743 0 0 0 ARTHZQ+CMR10 paragraph
function 855 717 955 743 0 0 0 ARTHZQ+CMR10 paragraph
instead, 965 717 1060 743 0 0 0 ARTHZQ+CMR10 paragraph
replacing 1071 717 1179 743 0 0 0 ARTHZQ+CMR10 paragraph
the 1191 717 1230 743 0 0 0 ARTHZQ+CMR10 paragraph
Jaccard 1241 717 1334 743 0 0 0 ARTHZQ+CMR10 paragraph
index 374 750 438 778 0 0 0 ARTHZQ+CMR10 paragraph
with 448 750 501 778 0 0 0 ARTHZQ+CMR10 paragraph
any 511 750 554 778 0 0 0 ARTHZQ+CMR10 paragraph
other 562 750 627 778 0 0 0 ARTHZQ+CMR10 paragraph
measurement. 635 750 802 778 0 0 0 ARTHZQ+CMR10 paragraph
The 414 783 462 811 0 0 0 ARTHZQ+CMR10 paragraph
Jaccard 476 783 567 811 0 0 0 ARTHZQ+CMR10 paragraph
index 579 783 646 811 0 0 0 ARTHZQ+CMR10 paragraph
in 657 783 681 811 0 0 0 ARTHZQ+CMR10 paragraph
round 693 783 765 811 0 0 0 ARTHZQ+CMR10 paragraph
2 776 783 790 811 0 0 0 ARTHZQ+CMR10 paragraph
of 804 783 826 811 0 0 0 ARTHZQ+CMR10 paragraph
the 838 783 877 811 0 0 0 ARTHZQ+CMR10 paragraph
comparison 889 783 1026 811 0 0 0 ARTHZQ+CMR10 paragraph
can 1038 783 1079 811 0 0 0 ARTHZQ+CMR10 paragraph
also 1093 783 1139 811 0 0 0 ARTHZQ+CMR10 paragraph
be 1150 783 1179 811 0 0 0 ARTHZQ+CMR10 paragraph
replaced 1191 783 1292 811 0 0 0 ARTHZQ+CMR10 paragraph
by 1305 783 1334 811 0 0 0 ARTHZQ+CMR10 paragraph
almost 374 816 453 844 0 0 0 ARTHZQ+CMR10 paragraph
any 460 816 504 844 0 0 0 ARTHZQ+CMR10 paragraph
other 511 816 574 844 0 0 0 ARTHZQ+CMR10 paragraph
similarity 581 816 695 844 0 0 0 ARTHZQ+CMR10 paragraph
function, 703 816 810 844 0 0 0 ARTHZQ+CMR10 paragraph
for 817 816 850 844 0 0 0 ARTHZQ+CMR10 paragraph
example 858 816 957 844 0 0 0 ARTHZQ+CMR10 paragraph
the 965 816 1003 844 0 0 0 ARTHZQ+CMR10 paragraph
Monge-Elkan 1009 816 1169 844 0 0 0 ARTHZQ+CMR10 paragraph
function 1176 816 1276 844 0 0 0 ARTHZQ+CMR10 paragraph
[13], 1283 816 1334 844 0 0 0 ARTHZQ+CMR10 paragraph
which 374 849 443 877 0 0 0 ARTHZQ+CMR10 paragraph
is 452 849 470 877 0 0 0 ARTHZQ+CMR10 paragraph
suitable 481 849 574 877 0 0 0 ARTHZQ+CMR10 paragraph
for 583 849 617 877 0 0 0 ARTHZQ+CMR10 paragraph
addresses. 625 849 746 877 0 0 0 ARTHZQ+CMR10 paragraph
9 374 884 392 917 0 0 0 BMDRPU+CMBX12 section
Conclusion 430 884 608 917 0 0 0 BMDRPU+CMBX12 section
We 414 954 453 983 0 0 0 ARTHZQ+CMR10 paragraph
have 462 954 516 983 0 0 0 ARTHZQ+CMR10 paragraph
presented 527 954 640 983 0 0 0 ARTHZQ+CMR10 paragraph
in 651 954 673 983 0 0 0 ARTHZQ+CMR10 paragraph
this 683 954 727 983 0 0 0 ARTHZQ+CMR10 paragraph
paper 736 954 805 983 0 0 0 ARTHZQ+CMR10 paragraph
a 814 954 827 983 0 0 0 ARTHZQ+CMR10 paragraph
novel 838 954 899 983 0 0 0 ARTHZQ+CMR10 paragraph
address-linkage 909 954 1091 983 0 0 0 ARTHZQ+CMR10 paragraph
algorithm 1101 954 1217 983 0 0 0 ARTHZQ+CMR10 paragraph
that: 1227 954 1285 983 0 0 0 ARTHZQ+CMR10 paragraph
1. 385 987 406 1016 0 0 0 ARTHZQ+CMR10 list
links 419 987 476 1016 0 0 0 ARTHZQ+CMR10 list
addresses 486 987 598 1016 0 0 0 ARTHZQ+CMR10 list
as 608 987 632 1016 0 0 0 ARTHZQ+CMR10 list
free 642 987 685 1016 0 0 0 ARTHZQ+CMR10 list
text; 695 987 751 1016 0 0 0 ARTHZQ+CMR10 list
2. 385 1029 406 1056 0 0 0 ARTHZQ+CMR10 list
uses 419 1029 469 1056 0 0 0 ARTHZQ+CMR10 list
data-driven 479 1029 617 1056 0 0 0 ARTHZQ+CMR10 list
blocking 627 1029 727 1056 0 0 0 ARTHZQ+CMR10 list
keys; 736 1029 795 1056 0 0 0 ARTHZQ+CMR10 list
3. 385 1069 406 1097 0 0 0 ARTHZQ+CMR10 list
extends 419 1069 511 1097 0 0 0 ARTHZQ+CMR10 list
the 525 1069 562 1097 0 0 0 ARTHZQ+CMR10 list
inverted 576 1069 673 1097 0 0 0 ARTHZQ+CMR10 list
index 686 1069 751 1097 0 0 0 ARTHZQ+CMR10 list
data 763 1069 817 1097 0 0 0 ARTHZQ+CMR10 list
structure 829 1069 940 1097 0 0 0 ARTHZQ+CMR10 list
to 952 1069 977 1097 0 0 0 ARTHZQ+CMR10 list
facilitate 989 1069 1094 1097 0 0 0 ARTHZQ+CMR10 list
large-scale 1106 1069 1232 1097 0 0 0 ARTHZQ+CMR10 list
address 1244 1069 1334 1097 0 0 0 ARTHZQ+CMR10 list
linking; 419 1102 510 1130 0 0 0 ARTHZQ+CMR10 list
4. 385 1144 406 1172 0 0 0 ARTHZQ+CMR10 list
is 419 1144 438 1172 0 0 0 ARTHZQ+CMR10 list
robust 448 1144 525 1172 0 0 0 ARTHZQ+CMR10 list
against 535 1144 620 1172 0 0 0 ARTHZQ+CMR10 list
data-quality 630 1144 776 1172 0 0 0 ARTHZQ+CMR10 list
issues; 785 1144 861 1172 0 0 0 ARTHZQ+CMR10 list
and 872 1144 916 1172 0 0 0 ARTHZQ+CMR10 list
5. 385 1185 406 1212 0 0 0 ARTHZQ+CMR10 list
is 419 1185 438 1212 0 0 0 ARTHZQ+CMR10 list
practical 448 1185 552 1212 0 0 0 ARTHZQ+CMR10 list
and 562 1185 606 1212 0 0 0 ARTHZQ+CMR10 list
scalable. 615 1185 717 1212 0 0 0 ARTHZQ+CMR10 list
The 414 1240 462 1267 0 0 0 ARTHZQ+CMR10 paragraph
simplicity 469 1240 586 1267 0 0 0 ARTHZQ+CMR10 paragraph
of 593 1240 615 1267 0 0 0 ARTHZQ+CMR10 paragraph
the 622 1240 661 1267 0 0 0 ARTHZQ+CMR10 paragraph
solution 668 1240 763 1267 0 0 0 ARTHZQ+CMR10 paragraph
- 770 1240 780 1267 0 0 0 ARTHZQ+CMR10 paragraph
a 787 1240 800 1267 0 0 0 ARTHZQ+CMR10 paragraph
great 807 1240 868 1267 0 0 0 ARTHZQ+CMR10 paragraph
virtue 875 1240 946 1267 0 0 0 ARTHZQ+CMR10 paragraph
