token X1 Y1 X2 Y2 R G B "font name" label
− 805 254 823 292 0 0 0 ENOBYW+CMSY8 equation
∼ 893 257 916 311 0 0 0 TZMMVH+CMSY10 equation
− 985 257 1002 285 0 0 0 HBIEHQ+CMSY6 equation
θ 793 271 803 292 0 0 0 YFXSEN+CMMI8 equation
(1+ξ) 823 271 883 292 0 0 0 UMOBWE+CMR8 equation
1+ξ 949 268 985 285 0 0 0 ECZNBV+CMR6 equation
θ 1002 268 1010 285 0 0 0 FGJNHL+CMMI6 equation
s 623 280 636 311 0 0 0 BLCAZG+CMMI10 equation
= 645 280 669 311 0 0 0 KBZHBA+CMR10 equation
4πL1L2rh 678 280 805 318 0 0 0 BLCAZG+CMMI10 equation
T 924 280 942 311 0 0 0 BLCAZG+CMMI10 equation
z 975 287 985 304 0 0 0 FGJNHL+CMMI6 equation
. 1022 280 1030 311 0 0 0 BLCAZG+CMMI10 equation
(3.22) 1344 280 1422 311 0 0 0 KBZHBA+CMR10 equation
In 287 383 315 414 0 0 0 KBZHBA+CMR10 paragraph
(3.20) 325 383 401 414 0 0 255 KBZHBA+CMR10 paragraph
and 413 383 461 414 0 0 0 KBZHBA+CMR10 paragraph
(3.21) 471 383 549 414 0 0 255 KBZHBA+CMR10 paragraph
we 559 383 593 414 0 0 0 KBZHBA+CMR10 paragraph
replaced 603 383 712 414 0 0 0 KBZHBA+CMR10 paragraph
T 724 383 740 414 0 0 0 BLCAZG+CMMI10 paragraph
with 755 383 815 414 0 0 0 KBZHBA+CMR10 paragraph
r 825 383 838 414 0 0 0 BLCAZG+CMMI10 paragraph
by 863 383 894 414 0 0 0 KBZHBA+CMR10 paragraph
using 906 383 974 414 0 0 0 KBZHBA+CMR10 paragraph
(3.19) 985 383 1063 414 0 0 255 KBZHBA+CMR10 paragraph
to 1073 383 1099 414 0 0 0 KBZHBA+CMR10 paragraph
simplify 1109 383 1214 414 0 0 0 KBZHBA+CMR10 paragraph
the 1225 383 1266 414 0 0 0 KBZHBA+CMR10 paragraph
expression. 1276 383 1422 414 0 0 0 KBZHBA+CMR10 paragraph
h 838 395 851 416 0 0 0 YFXSEN+CMMI8 paragraph
Thus, 287 425 362 456 0 0 0 KBZHBA+CMR10 paragraph
the 372 425 415 456 0 0 0 KBZHBA+CMR10 paragraph
diﬀusivities 425 425 575 456 0 0 0 KBZHBA+CMR10 paragraph
are 585 425 625 456 0 0 0 KBZHBA+CMR10 paragraph
κ 575 514 593 544 0 0 0 BLCAZG+CMMI10 equation
z 785 514 798 544 0 0 0 BLCAZG+CMMI10 equation
− 974 514 992 552 0 0 0 ENOBYW+CMSY8 equation
− 1032 514 1050 552 0 0 0 ENOBYW+CMSY8 equation
D 469 535 496 566 0 0 0 BLCAZG+CMMI10 equation
= 540 535 564 566 0 0 0 KBZHBA+CMR10 equation
xx 593 526 620 549 0 0 0 YFXSEN+CMMI8 equation
= 633 535 656 566 0 0 0 KBZHBA+CMR10 equation
− 717 535 740 587 0 0 0 TZMMVH+CMSY10 equation
− 808 535 831 587 0 0 0 TZMMVH+CMSY10 equation
− 860 535 884 587 0 0 0 TZMMVH+CMSY10 equation
L 921 535 941 566 0 0 0 BLCAZG+CMMI10 equation
L 954 535 974 566 0 0 0 BLCAZG+CMMI10 equation
2r2 992 530 1032 566 0 0 0 UMOBWE+CMR8 equation
z 1050 530 1061 552 0 0 0 YFXSEN+CMMI8 equation
, 1068 535 1078 566 0 0 0 BLCAZG+CMMI10 equation
T,x 496 547 530 568 0 0 0 YFXSEN+CMMI8 equation
c 585 556 598 587 0 0 0 BLCAZG+CMMI10 equation
(2z 668 556 709 587 0 0 0 KBZHBA+CMR10 equation
2)(θ 747 556 800 587 0 0 0 KBZHBA+CMR10 equation
