token X1 Y1 X2 Y2 R G B "font name" label
∗ 1375 125 1387 162 0 0 255 QPZHBE+CMSY8 paragraph
Bipartite 321 145 469 178 0 0 0 GMQUKA+CMBX12 title
Fluctuations 481 145 685 178 0 0 0 GMQUKA+CMBX12 title
and 697 145 756 178 0 0 0 GMQUKA+CMBX12 title
Topology 770 145 919 178 0 0 0 GMQUKA+CMBX12 title
of 931 145 962 178 0 0 0 GMQUKA+CMBX12 title
Dirac 974 145 1062 178 0 0 0 GMQUKA+CMBX12 title
and 1076 145 1135 178 0 0 0 GMQUKA+CMBX12 title
Weyl 1147 145 1230 178 0 0 0 GMQUKA+CMBX12 title
Systems 1242 145 1375 178 0 0 0 GMQUKA+CMBX12 title
Lo¨ıc 511 215 562 242 0 0 0 OLFKPM+CMR10 author
Herviou,1 576 211 690 242 0 0 0 OLFKPM+CMR10 author
Karyn 705 215 782 242 0 0 0 OLFKPM+CMR10 author
Le 793 215 824 242 0 0 0 OLFKPM+CMR10 author
Hur,1 838 211 902 242 0 0 0 OLFKPM+CMR10 author
and 918 215 962 242 0 0 0 OLFKPM+CMR10 paragraph
Christophe 975 215 1108 242 0 0 0 OLFKPM+CMR10 author
Mora1 1120 211 1196 242 0 0 0 OLFKPM+CMR10 author
(Dated: 680 246 765 270 0 0 0 WDMOTP+CMR9 paragraph
September 776 246 894 270 0 0 0 WDMOTP+CMR9 date
20th, 902 246 960 270 0 0 0 WDMOTP+CMR9 date
2018) 969 246 1030 270 0 0 0 WDMOTP+CMR9 date
Bipartite 326 310 428 336 0 0 0 WDMOTP+CMR9 abstract
ﬂuctuations 440 310 571 336 0 0 0 WDMOTP+CMR9 abstract
can 583 310 622 336 0 0 0 WDMOTP+CMR9 abstract
provide 635 310 717 336 0 0 0 WDMOTP+CMR9 abstract
interesting 729 310 848 336 0 0 0 WDMOTP+CMR9 abstract
information 860 310 991 336 0 0 0 WDMOTP+CMR9 abstract
about 1003 310 1067 336 0 0 0 WDMOTP+CMR9 abstract
entanglement 1081 310 1229 336 0 0 0 WDMOTP+CMR9 abstract
properties 1242 310 1354 336 0 0 0 WDMOTP+CMR9 abstract
and 1366 310 1407 336 0 0 0 WDMOTP+CMR9 abstract
correlations 300 341 431 365 0 0 0 WDMOTP+CMR9 abstract
in 442 341 464 365 0 0 0 WDMOTP+CMR9 abstract
many-body 476 341 601 365 0 0 0 WDMOTP+CMR9 abstract
quantum 612 341 712 365 0 0 0 WDMOTP+CMR9 abstract
systems. 724 341 817 365 0 0 0 WDMOTP+CMR9 abstract
We 838 341 873 365 0 0 0 WDMOTP+CMR9 abstract
address 884 341 967 365 0 0 0 WDMOTP+CMR9 abstract
such 979 341 1028 365 0 0 0 WDMOTP+CMR9 abstract
ﬂuctuations 1038 341 1169 365 0 0 0 WDMOTP+CMR9 abstract
in 1181 341 1203 365 0 0 0 WDMOTP+CMR9 abstract
relation 1215 341 1300 365 0 0 0 WDMOTP+CMR9 abstract
with 1310 341 1361 365 0 0 0 WDMOTP+CMR9 abstract
the 1371 341 1407 365 0 0 0 WDMOTP+CMR9 abstract
topology 300 369 397 393 0 0 0 WDMOTP+CMR9 abstract
of 408 369 428 393 0 0 0 WDMOTP+CMR9 abstract
Dirac 436 369 498 393 0 0 0 WDMOTP+CMR9 abstract
and 508 369 549 393 0 0 0 WDMOTP+CMR9 abstract
Weyl 559 369 615 393 0 0 0 WDMOTP+CMR9 abstract
quantum 623 369 724 393 0 0 0 WDMOTP+CMR9 abstract
systems, 734 369 827 393 0 0 0 WDMOTP+CMR9 abstract
in 836 369 858 393 0 0 0 WDMOTP+CMR9 abstract
situations 867 369 975 393 0 0 0 WDMOTP+CMR9 abstract
where 986 369 1050 393 0 0 0 WDMOTP+CMR9 abstract
the 1060 369 1096 393 0 0 0 WDMOTP+CMR9 abstract
relevant 1105 369 1193 393 0 0 0 WDMOTP+CMR9 abstract
particle 1203 369 1286 393 0 0 0 WDMOTP+CMR9 abstract
number 1297 369 1382 393 0 0 0 WDMOTP+CMR9 abstract
is 1390 369 1407 393 0 0 0 WDMOTP+CMR9 abstract
not 300 398 338 422 0 0 0 WDMOTP+CMR9 abstract
conserved, 350 398 465 422 0 0 0 WDMOTP+CMR9 abstract
leading 477 398 557 422 0 0 0 WDMOTP+CMR9 abstract
to 567 398 591 422 0 0 0 WDMOTP+CMR9 abstract
additional 603 398 715 422 0 0 0 WDMOTP+CMR9 abstract
volume 727 398 805 422 0 0 0 WDMOTP+CMR9 abstract
laws 817 398 865 422 0 0 0 WDMOTP+CMR9 abstract
scaling 877 398 952 422 0 0 0 WDMOTP+CMR9 abstract
with 963 398 1013 422 0 0 0 WDMOTP+CMR9 abstract
the 1025 398 1060 422 0 0 0 WDMOTP+CMR9 abstract
Quantum 1072 398 1178 422 0 0 0 WDMOTP+CMR9 abstract
Fisher 1190 398 1259 422 0 0 0 WDMOTP+CMR9 abstract
information. 1271 398 1407 422 0 0 0 WDMOTP+CMR9 abstract
Through 300 426 397 453 0 0 0 WDMOTP+CMR9 abstract
the 406 426 442 453 0 0 0 WDMOTP+CMR9 abstract
example 450 426 542 453 0 0 0 WDMOTP+CMR9 abstract
of 549 426 571 453 0 0 0 WDMOTP+CMR9 abstract
the 578 426 613 453 0 0 0 WDMOTP+CMR9 abstract
p 622 426 635 453 0 0 0 MJREUF+CMMI9 abstract
+ 640 426 659 453 0 0 0 WDMOTP+CMR9 abstract
ip 664 426 686 453 0 0 0 MJREUF+CMMI9 abstract
superconductor, 695 426 873 453 0 0 0 WDMOTP+CMR9 abstract
