token X1 Y1 X2 Y2 R G B "font name" label
from 200 189 264 222 0 0 0 GNOSAY+CMR12 paragraph
the 277 189 322 222 0 0 0 GNOSAY+CMR12 paragraph
left- 335 189 391 222 0 0 0 GNOSAY+CMR12 paragraph
and 405 189 456 222 0 0 0 GNOSAY+CMR12 paragraph
right-handed 469 189 651 222 0 0 0 GNOSAY+CMR12 paragraph
couplings 663 189 795 222 0 0 0 GNOSAY+CMR12 paragraph
extracted 807 189 941 222 0 0 0 GNOSAY+CMR12 paragraph
from 952 189 1018 222 0 0 0 GNOSAY+CMR12 paragraph
forward-backward 1030 189 1285 222 0 0 0 GNOSAY+CMR12 paragraph
asymmetries 1296 189 1473 222 0 0 0 GNOSAY+CMR12 paragraph
and 1486 189 1538 222 0 0 0 GNOSAY+CMR12 paragraph
charge 200 229 291 264 0 0 0 GNOSAY+CMR12 paragraph
asymmetries 301 229 478 264 0 0 0 GNOSAY+CMR12 paragraph
in 487 229 516 264 0 0 0 GNOSAY+CMR12 paragraph
two-fermion 525 229 694 264 0 0 0 GNOSAY+CMR12 paragraph
processes, 706 229 845 264 0 0 0 GNOSAY+CMR12 paragraph
diﬀerent 855 229 972 264 0 0 0 GNOSAY+CMR12 paragraph
high-scale 984 229 1123 264 0 0 0 GNOSAY+CMR12 paragraph
models 1134 229 1232 264 0 0 0 GNOSAY+CMR12 paragraph
can 1243 229 1291 264 0 0 0 GNOSAY+CMR12 paragraph
be 1303 229 1336 264 0 0 0 GNOSAY+CMR12 paragraph
discriminated 1346 229 1538 264 0 0 0 GNOSAY+CMR12 paragraph
(cf. 200 268 244 304 0 0 0 GNOSAY+CMR12 paragraph
e.g. 256 268 304 304 0 0 0 GNOSAY+CMR12 paragraph
[25]). 315 268 388 304 0 0 0 GNOSAY+CMR12 paragraph
One 248 311 305 343 0 0 0 GNOSAY+CMR12 paragraph
ﬁnal 315 311 377 343 0 0 0 GNOSAY+CMR12 paragraph
remark: 387 311 496 343 0 0 0 GNOSAY+CMR12 paragraph
if 511 311 529 343 0 0 0 GNOSAY+CMR12 paragraph
something 540 311 684 343 0 0 0 GNOSAY+CMR12 paragraph
similar 694 311 790 343 0 0 0 GNOSAY+CMR12 paragraph
like 800 311 850 343 0 0 0 GNOSAY+CMR12 paragraph
the 860 311 904 343 0 0 0 GNOSAY+CMR12 paragraph
2 914 311 931 343 0 0 0 GNOSAY+CMR12 paragraph
TeV 941 311 1000 343 0 0 0 GNOSAY+CMR12 paragraph
anomaly 1010 311 1131 343 0 0 0 GNOSAY+CMR12 paragraph
in 1141 311 1169 343 0 0 0 GNOSAY+CMR12 paragraph
W 1179 311 1209 343 0 0 0 UVXJRT+CMMI12 paragraph
W/W 1214 311 1293 343 0 0 0 UVXJRT+CMMI12 paragraph
Z/ZZ 1296 311 1381 343 0 0 0 UVXJRT+CMMI12 paragraph
at 1394 311 1422 343 0 0 0 GNOSAY+CMR12 paragraph
the 1432 311 1478 343 0 0 0 GNOSAY+CMR12 paragraph
end 1488 311 1538 343 0 0 0 GNOSAY+CMR12 paragraph
of 200 350 224 383 0 0 0 GNOSAY+CMR12 paragraph
the 236 350 281 383 0 0 0 GNOSAY+CMR12 paragraph
8 292 350 307 383 0 0 0 GNOSAY+CMR12 paragraph
TeV 319 350 378 383 0 0 0 GNOSAY+CMR12 paragraph
run 388 350 438 383 0 0 0 GNOSAY+CMR12 paragraph
or 448 350 478 383 0 0 0 GNOSAY+CMR12 paragraph
the 487 350 532 383 0 0 0 GNOSAY+CMR12 paragraph
750 544 350 592 383 0 0 0 GNOSAY+CMR12 paragraph
GeV 603 350 668 383 0 0 0 GNOSAY+CMR12 paragraph
anomaly 678 350 798 383 0 0 0 GNOSAY+CMR12 paragraph
in 808 350 836 383 0 0 0 GNOSAY+CMR12 paragraph
diphotons 846 350 985 383 0 0 0 GNOSAY+CMR12 paragraph
will 997 350 1046 383 0 0 0 GNOSAY+CMR12 paragraph
remain 1058 350 1156 383 0 0 0 GNOSAY+CMR12 paragraph
at 1166 350 1195 383 0 0 0 GNOSAY+CMR12 paragraph
the 1205 350 1250 383 0 0 0 GNOSAY+CMR12 paragraph
end 1262 350 1311 383 0 0 0 GNOSAY+CMR12 paragraph
of 1323 350 1349 383 0 0 0 GNOSAY+CMR12 paragraph
run 1359 350 1409 383 0 0 0 GNOSAY+CMR12 paragraph
II 1419 350 1443 383 0 0 0 GNOSAY+CMR12 paragraph
