token X1 Y1 X2 Y2 R G B "font name" label
M 411 180 450 237 0 0 0 PSEXZT+CMSY10 table
dim(V 484 204 569 237 0 0 0 SMHONF+CMR12 table
) 596 204 608 237 0 0 0 SMHONF+CMR12 table
La(c 642 200 705 237 0 0 0 JSITGK+CMMI12 table
) 719 204 731 237 0 0 0 SMHONF+CMR12 table
Ha(c 765 200 834 237 0 0 0 JSITGK+CMMI12 table
) 846 204 860 237 0 0 0 SMHONF+CMR12 table
La(c 892 200 955 237 0 0 0 JSITGK+CMMI12 table
) 969 204 980 237 0 0 0 SMHONF+CMR12 table
Ha(c 1014 200 1084 237 0 0 0 JSITGK+CMMI12 table
) 1098 204 1110 237 0 0 0 SMHONF+CMR12 table
HQ(c 1144 200 1220 237 0 0 0 JSITGK+CMMI12 table
, 1232 204 1242 237 0 0 0 JSITGK+CMMI12 table
c 1247 204 1261 237 0 0 0 JSITGK+CMMI12 table
) 1275 204 1286 237 0 0 0 SMHONF+CMR12 table
oﬀ 569 217 595 239 0 0 0 WENDSB+CMR8 table
2 664 220 676 242 0 0 0 WENDSB+CMR8 table
1 705 217 717 239 0 0 0 WENDSB+CMR8 table
1 790 220 802 242 0 0 0 WENDSB+CMR8 table
1 834 217 846 239 0 0 0 WENDSB+CMR8 table
2 914 220 926 242 0 0 0 WENDSB+CMR8 table
2 955 217 967 239 0 0 0 WENDSB+CMR8 table
1 1042 220 1054 242 0 0 0 WENDSB+CMR8 table
2 1084 217 1096 239 0 0 0 WENDSB+CMR8 table
1 1220 217 1232 239 0 0 0 WENDSB+CMR8 table
2 1261 217 1273 239 0 0 0 WENDSB+CMR8 table
Standard 613 244 742 277 0 0 0 SMHONF+CMR12 table
GmsFEM 754 244 892 277 0 0 0 SMHONF+CMR12 table
(un-coupled) 904 244 1084 277 0 0 0 SMHONF+CMR12 table
6 423 286 438 319 0 0 0 SMHONF+CMR12 table
1452 513 286 579 319 0 0 0 SMHONF+CMR12 table
0.837 649 286 724 319 0 0 0 SMHONF+CMR12 table
1.925 775 286 848 319 0 0 0 SMHONF+CMR12 table
0.837 901 286 974 319 0 0 0 SMHONF+CMR12 table
30.542 1018 286 1108 319 0 0 0 SMHONF+CMR12 table
13.869 1171 286 1261 319 0 0 0 SMHONF+CMR12 table
8 423 325 438 358 0 0 0 SMHONF+CMR12 table
1936 513 325 579 358 0 0 0 SMHONF+CMR12 table
0.293 649 325 724 358 0 0 0 SMHONF+CMR12 table
0.358 775 325 848 358 0 0 0 SMHONF+CMR12 table
0.293 901 325 974 358 0 0 0 SMHONF+CMR12 table
26.427 1018 325 1108 358 0 0 0 SMHONF+CMR12 table
11.912 1171 325 1261 358 0 0 0 SMHONF+CMR12 table
12 414 367 447 400 0 0 0 SMHONF+CMR12 table
2904 513 367 579 400 0 0 0 SMHONF+CMR12 table
0.148 649 367 724 400 0 0 0 SMHONF+CMR12 table
0.193 775 367 848 400 0 0 0 SMHONF+CMR12 table
0.148 901 367 974 400 0 0 0 SMHONF+CMR12 table
23.165 1018 367 1108 400 0 0 0 SMHONF+CMR12 table
10.440 1171 367 1261 400 0 0 0 SMHONF+CMR12 table
16 414 407 447 440 0 0 0 SMHONF+CMR12 table
3872 513 407 579 440 0 0 0 SMHONF+CMR12 table
0.108 649 407 724 440 0 0 0 SMHONF+CMR12 table
0.089 775 407 848 440 0 0 0 SMHONF+CMR12 table
0.108 901 407 974 440 0 0 0 SMHONF+CMR12 table
17.945 1018 407 1108 440 0 0 0 SMHONF+CMR12 table
8.086 1178 407 1252 440 0 0 0 SMHONF+CMR12 table
Simpliﬁed 572 448 714 481 0 0 0 SMHONF+CMR12 table
basis 724 448 793 481 0 0 0 SMHONF+CMR12 table
functions 804 448 933 481 0 0 0 SMHONF+CMR12 table
(un-coupled) 945 448 1125 481 0 0 0 SMHONF+CMR12 table
all 413 488 448 521 0 0 0 SMHONF+CMR12 table
536 521 488 571 521 0 0 0 SMHONF+CMR12 table
2.343 649 488 724 521 0 0 0 SMHONF+CMR12 table
3.870 775 488 848 521 0 0 0 SMHONF+CMR12 table
2.343 901 488 974 521 0 0 0 SMHONF+CMR12 table
36.649 1018 488 1108 521 0 0 0 SMHONF+CMR12 table
16.872 1171 488 1261 521 0 0 0 SMHONF+CMR12 table
