token X1 Y1 X2 Y2 R G B "font name" label
Giorgio 196 161 279 191 0 0 0 FFXQWR+SFTI0900 paragraph
Comitini 287 161 387 191 0 0 0 FFXQWR+SFTI0900 paragraph
Correlation 196 308 345 346 0 0 0 MYFSKM+SFRM1095 paragraph
functions 358 308 478 346 0 0 0 MYFSKM+SFRM1095 paragraph
which 491 308 567 346 0 0 0 MYFSKM+SFRM1095 paragraph
include 580 308 674 346 0 0 0 MYFSKM+SFRM1095 paragraph
the 686 308 729 346 0 0 0 MYFSKM+SFRM1095 paragraph
ghost 740 308 812 346 0 0 0 MYFSKM+SFRM1095 paragraph
ﬁelds 825 308 893 346 0 0 0 MYFSKM+SFRM1095 paragraph
are 904 308 946 346 0 0 0 MYFSKM+SFRM1095 paragraph
generated 957 308 1085 346 0 0 0 MYFSKM+SFRM1095 paragraph
by 1098 308 1129 346 0 0 0 MYFSKM+SFRM1095 paragraph
adding 1142 308 1232 346 0 0 0 MYFSKM+SFRM1095 paragraph
to 1245 308 1271 346 0 0 0 MYFSKM+SFRM1095 paragraph
the 1285 308 1326 346 0 0 0 MYFSKM+SFRM1095 paragraph
ac- 1339 308 1377 346 0 0 0 MYFSKM+SFRM1095 paragraph
tion 196 346 248 383 0 0 0 MYFSKM+SFRM1095 paragraph
analogous 258 346 387 383 0 0 0 MYFSKM+SFRM1095 paragraph
source 396 346 479 383 0 0 0 MYFSKM+SFRM1095 paragraph
terms 489 346 564 383 0 0 0 MYFSKM+SFRM1095 paragraph
for 573 346 610 383 0 0 0 MYFSKM+SFRM1095 paragraph
the 620 346 661 383 0 0 0 MYFSKM+SFRM1095 paragraph
ghosts. 671 346 762 383 0 0 0 MYFSKM+SFRM1095 paragraph
1.1.2 196 495 272 537 0 0 0 IPGBWK+SFBX1200 section
Standard 286 495 435 537 0 0 0 IPGBWK+SFBX1200 section
perturbative 446 495 651 537 0 0 0 IPGBWK+SFBX1200 section
expansion 663 495 825 537 0 0 0 IPGBWK+SFBX1200 section
(MLPE) 836 495 974 537 0 0 0 IPGBWK+SFBX1200 section
Due 243 556 296 594 0 0 0 MYFSKM+SFRM1095 paragraph
to 309 556 335 594 0 0 0 MYFSKM+SFRM1095 paragraph
the 348 556 390 594 0 0 0 MYFSKM+SFRM1095 paragraph
presence 403 556 514 594 0 0 0 MYFSKM+SFRM1095 paragraph
of 527 556 552 594 0 0 0 MYFSKM+SFRM1095 paragraph
the 564 556 607 594 0 0 0 MYFSKM+SFRM1095 paragraph
non-linear 620 556 752 594 0 0 0 MYFSKM+SFRM1095 paragraph
interaction 764 556 906 594 0 0 0 MYFSKM+SFRM1095 paragraph
terms 919 556 992 594 0 0 0 MYFSKM+SFRM1095 paragraph
in 1005 556 1030 594 0 0 0 MYFSKM+SFRM1095 paragraph
, 1065 556 1073 594 0 0 0 MYFSKM+SFRM1095 paragraph
the 1086 556 1128 594 0 0 0 MYFSKM+SFRM1095 paragraph
partition 1141 556 1257 594 0 0 0 MYFSKM+SFRM1095 paragraph
function 1270 556 1377 594 0 0 0 MYFSKM+SFRM1095 paragraph
S 1043 563 1061 617 0 0 0 DRFCOS+CMSY10 paragraph
(1.14) 196 594 272 631 0 0 0 MYFSKM+SFRM1095 paragraph
