token X1 Y1 X2 Y2 R G B "font name" label
3 1547 77 1560 105 0 0 0 YUFVRC+CMR10 paragraph
j 297 147 306 162 0 0 0 BKNNYM+CMMI6 author
Currently 317 151 423 176 0 0 0 KRHTJH+CMTI9 author
at: 431 151 462 176 0 0 0 KRHTJH+CMTI9 author
Center 474 151 549 176 0 0 0 KRHTJH+CMTI9 author
for 557 151 589 176 0 0 0 KRHTJH+CMTI9 author
Underground 598 151 742 176 0 0 0 KRHTJH+CMTI9 author
Physics, 751 151 843 176 0 0 0 KRHTJH+CMTI9 author
Institute 851 151 945 176 0 0 0 KRHTJH+CMTI9 author
for 953 151 986 176 0 0 0 KRHTJH+CMTI9 author
Basic 996 151 1055 176 0 0 0 KRHTJH+CMTI9 author
Science, 1065 151 1156 176 0 0 0 KRHTJH+CMTI9 author
Daejeon 1164 151 1254 176 0 0 0 KRHTJH+CMTI9 author
34126, 1264 151 1337 176 0 0 0 KRHTJH+CMTI9 author
Korea 1346 151 1412 176 0 0 0 KRHTJH+CMTI9 author
1 848 266 860 286 0 0 0 FEXFQH+CMR7 paragraph
→ 753 332 778 376 0 0 0 FDSPBC+CMSY9 abstract
→ 977 332 1003 376 0 0 0 FDSPBC+CMSY9 abstract
(cid:48) 1030 334 1037 363 0 0 0 MSANGZ+CMSY6 abstract
The 326 349 370 376 0 0 0 ROIWKY+CMR9 abstract
charm 384 349 452 376 0 0 0 ROIWKY+CMR9 abstract
semileptonic 465 349 603 376 0 0 0 ROIWKY+CMR9 abstract
decays 615 349 688 376 0 0 0 ROIWKY+CMR9 abstract
D+ 700 347 737 376 0 0 0 OWXZHP+CMMI9 abstract
ηe+ν 792 347 848 376 0 0 0 OWXZHP+CMMI9 abstract
and 872 349 912 376 0 0 0 ROIWKY+CMR9 abstract
D+ 924 347 962 376 0 0 0 OWXZHP+CMMI9 abstract
η 1016 349 1030 376 0 0 0 OWXZHP+CMMI9 abstract
e+ν 1038 347 1079 376 0 0 0 OWXZHP+CMMI9 abstract
are 1103 349 1137 376 0 0 0 ROIWKY+CMR9 abstract
studied 1149 349 1230 376 0 0 0 ROIWKY+CMR9 abstract
with 1244 349 1293 376 0 0 0 ROIWKY+CMR9 abstract
a 1305 349 1319 376 0 0 0 ROIWKY+CMR9 abstract
sa√mple 1331 343 1407 387 0 0 0 ROIWKY+CMR9 abstract
− 374 363 389 391 0 0 0 MSANGZ+CMSY6 abstract
e 848 360 856 376 0 0 0 BKNNYM+CMMI6 abstract
e 1079 360 1089 376 0 0 0 BKNNYM+CMMI6 abstract
− 1162 363 1178 391 0 0 0 MSANGZ+CMSY6 abstract
of 300 380 321 404 0 0 0 ROIWKY+CMR9 abstract
e+e 333 376 374 404 0 0 0 OWXZHP+CMMI9 abstract
collision 402 380 493 404 0 0 0 ROIWKY+CMR9 abstract
data 504 380 554 404 0 0 0 ROIWKY+CMR9 abstract
corresponding 566 380 720 404 0 0 0 ROIWKY+CMR9 abstract
to 732 380 754 404 0 0 0 ROIWKY+CMR9 abstract
an 766 380 793 404 0 0 0 ROIWKY+CMR9 abstract
integrated 805 380 918 404 0 0 0 ROIWKY+CMR9 abstract
luminosity 929 380 1047 404 0 0 0 ROIWKY+CMR9 abstract
of 1059 380 1079 404 0 0 0 ROIWKY+CMR9 abstract
2.93 1089 380 1135 404 0 0 0 ROIWKY+CMR9 abstract
fb 1140 380 1162 404 0 0 0 ROIWKY+CMR9 abstract
1 1178 376 1188 391 0 0 0 GEPFOT+CMR6 abstract
collected 1201 380 1298 404 0 0 0 ROIWKY+CMR9 abstract
at 1309 380 1332 404 0 0 0 ROIWKY+CMR9 abstract
s 1365 380 1377 404 0 0 0 OWXZHP+CMMI9 abstract
= 1388 380 1407 404 0 0 0 ROIWKY+CMR9 abstract
→ 1237 389 1264 433 0 0 0 FDSPBC+CMSY9 abstract
3.773 300 409 360 433 0 0 0 ROIWKY+CMR9 abstract
GeV 363 409 414 433 0 0 0 ROIWKY+CMR9 abstract
with 425 409 474 433 0 0 0 ROIWKY+CMR9 abstract
the 484 409 520 433 0 0 0 ROIWKY+CMR9 abstract
BESIII 528 409 608 433 0 0 0 ROIWKY+CMR9 abstract
detector. 618 409 715 433 0 0 0 ROIWKY+CMR9 abstract
We 731 409 766 433 0 0 0 ROIWKY+CMR9 abstract
measure 776 409 868 433 0 0 0 ROIWKY+CMR9 abstract
the 878 409 914 433 0 0 0 ROIWKY+CMR9 abstract
branching 923 409 1033 433 0 0 0 ROIWKY+CMR9 abstract
