token X1 Y1 X2 Y2 R G B "font name" label
seen 200 198 259 233 0 0 0 KEDORP+CMR12 paragraph
in 274 198 302 233 0 0 0 KEDORP+CMR12 paragraph
our 317 198 365 233 0 0 0 KEDORP+CMR12 paragraph
largest 382 198 476 233 0 0 0 KEDORP+CMR12 paragraph
lateral 491 198 582 233 0 0 0 KEDORP+CMR12 paragraph
systems, 598 198 717 233 0 0 0 KEDORP+CMR12 paragraph
as 734 198 764 233 0 0 0 KEDORP+CMR12 paragraph
illustrated 779 198 924 233 0 0 0 KEDORP+CMR12 paragraph
in 941 198 967 233 0 0 0 KEDORP+CMR12 paragraph
Fig. 984 198 1038 233 0 0 0 KEDORP+CMR12 paragraph
3. 1055 198 1080 233 0 0 0 KEDORP+CMR12 paragraph
(In 1109 198 1152 233 0 0 0 KEDORP+CMR12 paragraph
Fig. 1169 198 1223 233 0 0 0 KEDORP+CMR12 paragraph
1d 1240 198 1275 233 0 0 0 KEDORP+CMR12 paragraph
the 1291 198 1336 233 0 0 0 KEDORP+CMR12 paragraph
transverse 1352 198 1495 233 0 0 0 KEDORP+CMR12 paragraph
(horizontal) 200 257 367 292 0 0 0 KEDORP+CMR12 paragraph
size 377 257 428 292 0 0 0 KEDORP+CMR12 paragraph
was 438 257 489 292 0 0 0 KEDORP+CMR12 paragraph
ﬁxed 501 257 568 292 0 0 0 KEDORP+CMR12 paragraph
so 578 257 608 292 0 0 0 KEDORP+CMR12 paragraph
that 618 257 678 292 0 0 0 KEDORP+CMR12 paragraph
meandering 689 257 853 292 0 0 0 KEDORP+CMR12 paragraph
did 865 257 909 292 0 0 0 KEDORP+CMR12 paragraph
not 919 257 967 292 0 0 0 KEDORP+CMR12 paragraph
play 977 257 1037 292 0 0 0 KEDORP+CMR12 paragraph
an 1048 257 1083 292 0 0 0 KEDORP+CMR12 paragraph
increased 1093 257 1223 292 0 0 0 KEDORP+CMR12 paragraph
role 1233 257 1286 292 0 0 0 KEDORP+CMR12 paragraph
as 1296 257 1326 292 0 0 0 KEDORP+CMR12 paragraph
system 1336 257 1434 292 0 0 0 KEDORP+CMR12 paragraph
size 1443 257 1495 292 0 0 0 KEDORP+CMR12 paragraph
