token X1 Y1 X2 Y2 R G B "font name" label
β1 377 272 387 286 0 0 0 default paragraph
β1 945 275 957 288 0 0 0 default paragraph
β11 457 343 474 356 0 0 0 default paragraph
β11 1026 343 1042 356 0 0 0 default paragraph
0.8 323 371 338 380 0 0 0 default paragraph
0.8 892 371 907 380 0 0 0 default paragraph
0.6 323 385 338 391 0 0 0 default paragraph
0.6 892 385 907 393 0 0 0 default paragraph
0.4 323 396 338 404 0 0 0 default paragraph
0.4 892 396 907 404 0 0 0 default paragraph
0.02 323 409 338 429 0 0 0 default paragraph
β21 540 411 555 424 0 0 0 default paragraph
0.02 892 409 907 429 0 0 0 default paragraph
β21 1110 413 1125 426 0 0 0 default paragraph
1 333 431 338 440 0 0 0 default paragraph
1 901 435 907 442 0 0 0 default paragraph
0.5 323 459 338 468 0 0 0 default paragraph
0.5 892 462 907 470 0 0 0 default paragraph
0 333 490 338 497 0 0 0 default paragraph
β31 623 481 639 495 0 0 0 default paragraph
0 901 490 907 499 0 0 0 default paragraph
β31 1193 481 1208 495 0 0 0 default paragraph
0.4 323 503 338 510 0 0 0 default paragraph
0.4 892 503 907 512 0 0 0 default paragraph
0.2 323 521 338 530 0 0 0 default paragraph
0.2 892 523 907 530 0 0 0 default paragraph
0 333 541 338 550 0 0 0 default paragraph
0 901 541 907 547 0 0 0 default paragraph
−00..82 317 561 338 576 0 0 0 default paragraph
β41 707 550 722 565 0 0 0 default paragraph
−00..82 885 558 907 578 0 0 0 default paragraph
β41 1275 550 1292 565 0 0 0 default paragraph
0.6 323 587 338 594 0 0 0 default paragraph
0.6 892 587 907 596 0 0 0 default paragraph
0.4 323 605 338 613 0 0 0 default paragraph
0.4 892 605 907 613 0 0 0 default paragraph
0.2 323 622 338 631 0 0 0 default paragraph
0.2 892 622 907 631 0 0 0 default paragraph
0.5 357 646 372 653 0 0 0 default paragraph
1 411 646 416 653 0 0 0 default paragraph
00.20.40.60.8 431 646 499 653 0 0 0 default paragraph
0 515 646 520 653 0 0 0 default paragraph
0.5 545 646 561 653 0 0 0 default paragraph
1−0.2 584 646 606 653 0 0 0 default paragraph
0 618 646 625 653 0 0 0 default paragraph
0.2 637 646 652 653 0 0 0 default paragraph
0.4 659 646 674 653 0 0 0 default paragraph
0 680 646 686 653 0 0 0 default paragraph
0.20.40.60.8 693 646 761 653 0 0 0 default paragraph
0.5 926 646 941 653 0 0 0 default paragraph
1 987 646 992 653 0 0 0 default paragraph
00.20.40.60.8 999 646 1069 653 0 0 0 default paragraph
0 1082 646 1089 653 0 0 0 default paragraph
0.5 1111 646 1127 653 0 0 0 default paragraph
1−0.2 1150 646 1179 653 0 0 0 default paragraph
0 1190 646 1195 653 0 0 0 default paragraph
0.2 1207 646 1222 653 0 0 0 default paragraph
0.4 1227 646 1242 653 0 0 0 default paragraph
0 1249 646 1256 653 0 0 0 default paragraph
0.20.40.60.8 1261 646 1329 653 0 0 0 default paragraph
HMC 506 693 569 726 0 0 0 YFJPQS+NimbusRomNo9L-Regu paragraph
