token X1 Y1 X2 Y2 R G B "font name" label
TABLE 802 140 872 167 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
V 878 140 895 167 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
MANTISSAS 402 165 516 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
AND 523 169 564 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
EXPONENT 569 165 674 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
PRE/POST 680 165 775 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
PROCESSING 782 165 901 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
COMPLEXITY 907 165 1035 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
OF 1042 169 1065 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
COMPLEX 1072 165 1166 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
BLOCK 1173 165 1241 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
ALU 1247 165 1295 191 0 0 0 AAEWKY+NimbusRomNo9L-Regu caption
of 136 620 158 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
the 170 620 204 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
complex 215 620 311 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
block 323 620 384 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
output. 396 620 472 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
With 484 620 538 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
Exponent 550 620 656 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
Box 668 620 714 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
Encoding 725 620 833 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
TABLE 1164 627 1234 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
VI 1241 627 1264 653 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
in 136 653 156 686 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
the 164 653 198 686 0 0 0 AAEWKY+NimbusRomNo9L-Regu paragraph
