token X1 Y1 X2 Y2 R G B "font name" label
14 1462 102 1495 135 0 0 0 DCYPYA+CMR12 paragraph
≈ 1392 175 1419 233 0 0 0 RJYHZW+CMSY10 paragraph
and 200 198 251 233 0 0 0 DCYPYA+CMR12 paragraph
we 261 198 299 233 0 0 0 DCYPYA+CMR12 paragraph
can 309 198 357 233 0 0 0 DCYPYA+CMR12 paragraph
also 367 198 421 233 0 0 0 DCYPYA+CMR12 paragraph
induce 431 198 524 233 0 0 0 DCYPYA+CMR12 paragraph
a 534 198 550 233 0 0 0 DCYPYA+CMR12 paragraph
sizable 560 198 654 233 0 0 0 DCYPYA+CMR12 paragraph
discrepancy 664 198 830 233 0 0 0 DCYPYA+CMR12 paragraph
in 840 198 866 233 0 0 0 DCYPYA+CMR12 paragraph
the 876 198 922 233 0 0 0 DCYPYA+CMR12 paragraph
eﬀective 932 198 1046 233 0 0 0 DCYPYA+CMR12 paragraph
neutrino 1056 198 1175 233 0 0 0 DCYPYA+CMR12 paragraph
number 1185 198 1293 233 0 0 0 DCYPYA+CMR12 paragraph
∆N 1303 198 1356 233 0 0 0 DCYPYA+CMR12 paragraph
0.39. 1429 198 1495 233 0 0 0 DCYPYA+CMR12 paragraph
eﬀ 1356 212 1381 236 0 0 0 HZHECQ+CMR8 paragraph
Acknowledgments 711 261 984 292 0 0 0 EXODGC+CMBX10 section
This 241 357 304 390 0 0 0 DCYPYA+CMR12 paragraph
work 319 357 387 390 0 0 0 DCYPYA+CMR12 paragraph
is 401 357 423 390 0 0 0 DCYPYA+CMR12 paragraph
partly 436 357 522 390 0 0 0 DCYPYA+CMR12 paragraph
supported 537 357 679 390 0 0 0 DCYPYA+CMR12 paragraph
by 693 357 727 390 0 0 0 DCYPYA+CMR12 paragraph
NRF 742 357 812 390 0 0 0 DCYPYA+CMR12 paragraph
Research 825 357 952 390 0 0 0 DCYPYA+CMR12 paragraph
Grant 965 357 1050 390 0 0 0 DCYPYA+CMR12 paragraph
2012R1A2A1A01006053 1065 357 1405 390 0 0 0 DCYPYA+CMR12 paragraph
(SB). 1419 357 1495 390 0 0 0 DCYPYA+CMR12 paragraph
T.T. 200 416 264 449 0 0 0 DCYPYA+CMR12 paragraph
acknowledges 282 416 473 449 0 0 0 DCYPYA+CMR12 paragraph
support 491 416 600 449 0 0 0 DCYPYA+CMR12 paragraph
from 620 416 686 449 0 0 0 DCYPYA+CMR12 paragraph
the 704 416 749 449 0 0 0 DCYPYA+CMR12 paragraph
European 769 416 906 449 0 0 0 DCYPYA+CMR12 paragraph
ITN 924 416 984 449 0 0 0 DCYPYA+CMR12 paragraph
project 1003 416 1103 449 0 0 0 DCYPYA+CMR12 paragraph
(FP7-PEOPLE-2011-ITN, 1123 416 1495 449 0 0 0 DCYPYA+CMR12 paragraph
PITN-GA-2011-289442-INVISIBLES). 200 474 744 507 0 0 0 DCYPYA+CMR12 paragraph
