token X1 Y1 X2 Y2 R G B "font name" label
The 373 357 433 388 0 0 0 NVVZUO+CMBX10 paragraph
New 446 357 514 388 0 0 0 NVVZUO+CMBX10 paragraph
York 527 357 600 388 0 0 0 NVVZUO+CMBX10 paragraph
Times 613 357 706 388 0 0 0 NVVZUO+CMBX10 paragraph
Here 716 357 779 388 0 0 0 FZQDOA+CMR10 paragraph
we 788 357 823 388 0 0 0 FZQDOA+CMR10 paragraph
found 835 357 909 388 0 0 0 FZQDOA+CMR10 paragraph
numerous 921 357 1048 388 0 0 0 FZQDOA+CMR10 paragraph
duplicated 1058 357 1197 388 0 0 0 FZQDOA+CMR10 paragraph
branches 1207 357 1323 388 0 0 0 FZQDOA+CMR10 paragraph
in 327 395 352 425 0 0 0 FZQDOA+CMR10 paragraph
the 362 395 405 425 0 0 0 FZQDOA+CMR10 paragraph
constructed 415 395 568 425 0 0 0 FZQDOA+CMR10 paragraph
DAG 580 395 648 425 0 0 0 FZQDOA+CMR10 paragraph
(e.g., 658 395 724 425 0 0 0 FZQDOA+CMR10 paragraph
for 734 395 770 425 0 0 0 FZQDOA+CMR10 paragraph
research, 782 395 898 425 0 0 0 FZQDOA+CMR10 paragraph
television, 908 395 1040 425 0 0 0 FZQDOA+CMR10 paragraph
education, 1051 395 1187 425 0 0 0 FZQDOA+CMR10 paragraph
medicine, 1199 395 1323 425 0 0 0 FZQDOA+CMR10 paragraph
defence 327 432 423 463 0 0 0 FZQDOA+CMR10 paragraph
and 435 432 484 463 0 0 0 FZQDOA+CMR10 paragraph
military 496 432 600 463 0 0 0 FZQDOA+CMR10 paragraph
forces). 611 432 707 463 0 0 0 FZQDOA+CMR10 paragraph
This 726 432 785 463 0 0 0 FZQDOA+CMR10 paragraph
indicates 797 432 913 463 0 0 0 FZQDOA+CMR10 paragraph
that 924 432 980 463 0 0 0 FZQDOA+CMR10 paragraph
for 992 432 1028 463 0 0 0 FZQDOA+CMR10 paragraph
these 1040 432 1108 463 0 0 0 FZQDOA+CMR10 paragraph
topics, 1119 432 1205 463 0 0 0 FZQDOA+CMR10 paragraph
two 1217 432 1265 463 0 0 0 FZQDOA+CMR10 paragraph
dis- 1276 432 1323 463 0 0 0 FZQDOA+CMR10 paragraph
tinct 327 470 388 500 0 0 0 FZQDOA+CMR10 paragraph
sets 401 470 451 500 0 0 0 FZQDOA+CMR10 paragraph
of 463 470 487 500 0 0 0 FZQDOA+CMR10 paragraph
tags 501 470 555 500 0 0 0 FZQDOA+CMR10 paragraph
were 567 470 626 500 0 0 0 FZQDOA+CMR10 paragraph
used 640 470 699 500 0 0 0 FZQDOA+CMR10 paragraph
in 712 470 737 500 0 0 0 FZQDOA+CMR10 paragraph
parallel. 750 470 856 500 0 0 0 FZQDOA+CMR10 paragraph
The 878 470 929 500 0 0 0 FZQDOA+CMR10 paragraph
DAG 942 470 1010 500 0 0 0 FZQDOA+CMR10 paragraph
is 1023 470 1043 500 0 0 0 FZQDOA+CMR10 paragraph
much 1056 470 1128 500 0 0 0 FZQDOA+CMR10 paragraph
less 1139 470 1185 500 0 0 0 FZQDOA+CMR10 paragraph
