token X1 Y1 X2 Y2 R G B "font name" label
Precision 289 210 420 243 0 0 0 KPYKQG+CMTI12 title
cosmology 431 210 572 243 0 0 0 KPYKQG+CMTI12 title
with 583 210 643 243 0 0 0 KPYKQG+CMTI12 title
baryons: 654 210 772 243 0 0 0 KPYKQG+CMTI12 title
non-radiative 783 210 970 243 0 0 0 KPYKQG+CMTI12 title
hydrodynamics 982 210 1190 243 0 0 0 KPYKQG+CMTI12 title
of 1202 210 1228 243 0 0 0 KPYKQG+CMTI12 title
galaxy 1240 210 1328 243 0 0 0 KPYKQG+CMTI12 title
groups 1339 210 1430 243 0 0 0 KPYKQG+CMTI12 title
15 1478 212 1511 245 0 0 0 CNWHIW+CMR12 paragraph
outer 115 285 175 308 0 0 0 FPDTYR+CMR9 paragraph
regions, 181 285 266 308 0 0 0 FPDTYR+CMR9 paragraph
as 272 285 296 308 0 0 0 FPDTYR+CMR9 paragraph
we 302 285 332 308 0 0 0 FPDTYR+CMR9 paragraph
observe 339 285 421 308 0 0 0 FPDTYR+CMR9 paragraph
in 428 285 449 308 0 0 0 FPDTYR+CMR9 paragraph
our 456 285 492 308 0 0 0 FPDTYR+CMR9 paragraph
non-radiative 499 285 648 308 0 0 0 FPDTYR+CMR9 paragraph
simulations 654 285 780 308 0 0 0 FPDTYR+CMR9 paragraph
SPH 846 285 898 308 0 0 0 FPDTYR+CMR9 paragraph
codes 906 285 965 308 0 0 0 FPDTYR+CMR9 paragraph
with 974 285 1023 308 0 0 0 FPDTYR+CMR9 paragraph
an 1032 285 1058 308 0 0 0 FPDTYR+CMR9 paragraph
entropy 1066 285 1151 308 0 0 0 FPDTYR+CMR9 paragraph
proﬁle 1159 285 1228 308 0 0 0 FPDTYR+CMR9 paragraph
decreasing 1237 285 1352 308 0 0 0 FPDTYR+CMR9 paragraph
all 1359 285 1387 308 0 0 0 FPDTYR+CMR9 paragraph
the 1394 285 1430 308 0 0 0 FPDTYR+CMR9 paragraph
way 1437 285 1481 308 0 0 0 FPDTYR+CMR9 paragraph
to 1488 285 1511 308 0 0 0 FPDTYR+CMR9 paragraph
and 115 315 157 339 0 0 0 FPDTYR+CMR9 paragraph
in 165 315 186 339 0 0 0 FPDTYR+CMR9 paragraph
Sembolini 195 315 305 339 0 0 255 FPDTYR+CMR9 paragraph
et 314 315 335 339 0 0 255 FPDTYR+CMR9 paragraph
al. 344 315 370 339 0 0 255 FPDTYR+CMR9 paragraph
(2016) 378 315 451 339 0 0 255 FPDTYR+CMR9 paragraph
for 459 315 489 339 0 0 0 FPDTYR+CMR9 paragraph
grid-based 497 315 613 339 0 0 0 FPDTYR+CMR9 paragraph
codes. 621 315 689 339 0 0 0 FPDTYR+CMR9 paragraph
the 846 315 883 339 0 0 0 FPDTYR+CMR9 paragraph
centre. 891 315 965 339 0 0 0 FPDTYR+CMR9 paragraph
7 846 346 861 369 0 0 0 TPMYXM+CMBX9 section
CORRELATIONS 891 346 1129 369 0 0 0 TPMYXM+CMBX9 section
