token X1 Y1 X2 Y2 R G B "font name" label
Proof 370 343 448 378 0 0 0 OIBDQU+SFBX1000 paragraph
The 462 343 510 378 0 0 0 BTKQDI+SFRM1000 paragraph
identity 518 343 612 378 0 0 0 BTKQDI+SFRM1000 paragraph
(2.15), 620 343 698 378 0 0 0 BTKQDI+SFRM1000 paragraph
for 707 343 741 378 0 0 0 BTKQDI+SFRM1000 paragraph
d 749 352 763 378 0 0 0 UBWNDN+CMMI10 paragraph
= 771 352 793 378 0 0 0 VBZIKH+CMR10 paragraph
r 800 352 812 378 0 0 0 UBWNDN+CMMI10 paragraph
= 821 352 843 378 0 0 0 VBZIKH+CMR10 paragraph
k 851 352 865 378 0 0 0 UBWNDN+CMMI10 paragraph
+ 872 352 892 378 0 0 0 VBZIKH+CMR10 paragraph
1, 899 343 919 378 0 0 0 VBZIKH+CMR10 paragraph
is 929 343 948 378 0 0 0 BTKQDI+SFRM1000 paragraph
by 957 343 986 378 0 0 0 BTKQDI+SFRM1000 paragraph
deﬁnition 994 343 1108 378 0 0 0 BTKQDI+SFRM1000 paragraph
true 1116 343 1166 378 0 0 0 BTKQDI+SFRM1000 paragraph
in 1174 343 1198 378 0 0 0 BTKQDI+SFRM1000 paragraph
the 1207 343 1246 378 0 0 0 BTKQDI+SFRM1000 paragraph
initial 1254 343 1326 378 0 0 0 BTKQDI+SFRM1000 paragraph
seed. 370 376 430 411 0 0 0 BTKQDI+SFRM1000 paragraph
Moreover, 436 376 557 411 0 0 0 BTKQDI+SFRM1000 paragraph
the 564 376 603 411 0 0 0 BTKQDI+SFRM1000 paragraph
exchange 610 376 719 411 0 0 0 BTKQDI+SFRM1000 paragraph
polynomials 727 376 872 411 0 0 0 BTKQDI+SFRM1000 paragraph
θ0, 878 380 912 411 0 0 0 UBWNDN+CMMI10 paragraph
. 918 385 924 411 0 0 0 UBWNDN+CMMI10 paragraph
. 929 385 938 411 0 0 0 UBWNDN+CMMI10 paragraph
. 941 385 950 411 0 0 0 UBWNDN+CMMI10 paragraph
, 955 385 962 411 0 0 0 UBWNDN+CMMI10 paragraph
θ0− 967 380 1011 418 0 0 0 UBWNDN+CMMI10 paragraph
are 1030 376 1067 411 0 0 0 BTKQDI+SFRM1000 paragraph
exactly 1076 376 1161 411 0 0 0 BTKQDI+SFRM1000 paragraph
the 1169 376 1207 411 0 0 0 BTKQDI+SFRM1000 paragraph
ones 1215 376 1266 411 0 0 0 BTKQDI+SFRM1000 paragraph
that 1275 376 1326 411 0 0 0 BTKQDI+SFRM1000 paragraph
1 892 398 902 418 0 0 0 YCRJPP+CMR7 paragraph
n 979 398 992 418 0 0 0 GWOUWS+CMMI7 paragraph
1 1011 398 1021 418 0 0 0 YCRJPP+CMR7 paragraph
appear 370 409 452 444 0 0 0 BTKQDI+SFRM1000 paragraph
in 460 409 482 444 0 0 0 BTKQDI+SFRM1000 paragraph
a 489 409 503 444 0 0 0 BTKQDI+SFRM1000 paragraph
standard 511 409 617 444 0 0 0 BTKQDI+SFRM1000 paragraph
cluster 623 409 703 444 0 0 0 BTKQDI+SFRM1000 paragraph
algebra 710 409 799 444 0 0 0 BTKQDI+SFRM1000 paragraph
of 805 409 827 444 0 0 0 BTKQDI+SFRM1000 paragraph
type 834 409 887 444 0 0 0 BTKQDI+SFRM1000 paragraph
C, 895 409 924 444 0 0 0 UBWNDN+CMMI10 paragraph
and 931 409 975 444 0 0 0 BTKQDI+SFRM1000 paragraph
they 982 409 1037 444 0 0 0 BTKQDI+SFRM1000 paragraph
are 1043 409 1079 444 0 0 0 BTKQDI+SFRM1000 paragraph
unaﬀected 1086 409 1210 444 0 0 0 BTKQDI+SFRM1000 paragraph
by 1217 409 1247 444 0 0 0 BTKQDI+SFRM1000 paragraph
muta- 1254 409 1326 444 0 0 0 BTKQDI+SFRM1000 paragraph
± 797 431 814 464 0 0 0 YMSHLS+CMSY7 paragraph
tion 370 444 418 477 0 0 0 BTKQDI+SFRM1000 paragraph
: 426 444 435 477 0 0 0 BTKQDI+SFRM1000 paragraph
indeed, 443 444 528 477 0 0 0 BTKQDI+SFRM1000 paragraph
only 537 444 588 477 0 0 0 BTKQDI+SFRM1000 paragraph
the 596 444 635 477 0 0 0 BTKQDI+SFRM1000 paragraph
monomials 644 444 773 477 0 0 0 BTKQDI+SFRM1000 paragraph
u 782 451 797 477 0 0 0 UBWNDN+CMMI10 paragraph
change, 824 444 914 477 0 0 0 BTKQDI+SFRM1000 paragraph
in 923 444 946 477 0 0 0 BTKQDI+SFRM1000 paragraph
accordance 955 444 1086 477 0 0 0 BTKQDI+SFRM1000 paragraph
with 1094 444 1149 477 0 0 0 BTKQDI+SFRM1000 paragraph
the 1157 444 1196 477 0 0 0 BTKQDI+SFRM1000 paragraph
mutations 1205 444 1326 477 0 0 0 BTKQDI+SFRM1000 paragraph
k 797 466 809 484 0 0 0 GWOUWS+CMMI7 paragraph
of 370 477 392 510 0 0 0 BTKQDI+SFRM1000 paragraph
the 402 477 442 510 0 0 0 BTKQDI+SFRM1000 paragraph
exchange 452 477 561 510 0 0 0 BTKQDI+SFRM1000 paragraph
matrix. 571 477 659 510 0 0 0 BTKQDI+SFRM1000 paragraph
Therefore, 669 477 793 510 0 0 0 BTKQDI+SFRM1000 paragraph
cluster 802 477 884 510 0 0 0 BTKQDI+SFRM1000 paragraph
variables 894 477 999 510 0 0 0 BTKQDI+SFRM1000 paragraph
that 1009 477 1059 510 0 0 0 BTKQDI+SFRM1000 paragraph
do 1069 477 1098 510 0 0 0 BTKQDI+SFRM1000 paragraph
not 1108 477 1149 510 0 0 0 BTKQDI+SFRM1000 paragraph
correspond 1159 477 1290 510 0 0 0 BTKQDI+SFRM1000 paragraph
to 1300 477 1326 510 0 0 0 BTKQDI+SFRM1000 paragraph
diameters 370 510 487 545 0 0 0 BTKQDI+SFRM1000 paragraph
behave 498 510 581 545 0 0 0 BTKQDI+SFRM1000 paragraph
the 591 510 629 545 0 0 0 BTKQDI+SFRM1000 paragraph
same 640 510 700 545 0 0 0 BTKQDI+SFRM1000 paragraph
way 710 510 756 545 0 0 0 BTKQDI+SFRM1000 paragraph
as 768 510 792 545 0 0 0 BTKQDI+SFRM1000 paragraph
in 802 510 826 545 0 0 0 BTKQDI+SFRM1000 paragraph
a 836 510 850 545 0 0 0 BTKQDI+SFRM1000 paragraph
standard 860 510 965 545 0 0 0 BTKQDI+SFRM1000 paragraph
cluster 977 510 1057 545 0 0 0 BTKQDI+SFRM1000 paragraph
