token X1 Y1 X2 Y2 R G B "font name" label
changed. 865 134 967 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
On 977 134 1011 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
average, 1021 134 1115 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
the 1127 134 1161 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
surgery 1171 134 1256 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
duration 1266 134 1360 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
is 1370 134 1388 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
11 1399 134 1428 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
minutes 1438 134 1528 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
so 1538 134 1562 169 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
that 865 169 906 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
over 914 169 962 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
9 970 169 984 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
hours 994 169 1054 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
of 1062 169 1086 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
video 1094 169 1154 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
are 1162 169 1196 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
available. 1205 169 1309 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
A 1317 169 1337 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
total 1346 169 1394 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
of 1402 169 1426 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
21 1434 169 1462 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
different 1470 169 1562 202 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
surgical 865 202 955 235 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
tools 965 202 1021 235 0 0 0 QLWIEN+NimbusRomNo9L-Regu paragraph
