token X1 Y1 X2 Y2 R G B "font name" label
Table 307 371 385 404 0 0 0 AHDHOR+CMR12 paragraph
3: 392 371 418 404 0 0 0 AHDHOR+CMR12 paragraph
Ordered 443 371 559 404 0 0 0 AHDHOR+CMR12 caption
moments 567 371 695 404 0 0 0 AHDHOR+CMR12 caption
from 703 371 768 404 0 0 0 AHDHOR+CMR12 caption
reﬁning 776 371 884 404 0 0 0 AHDHOR+CMR12 caption
the 890 371 936 404 0 0 0 AHDHOR+CMR12 caption
low-temperature 943 371 1176 404 0 0 0 AHDHOR+CMR12 caption
data 1184 371 1247 404 0 0 0 AHDHOR+CMR12 caption
from 1254 371 1320 404 0 0 0 AHDHOR+CMR12 caption
D10 1329 371 1387 404 0 0 0 AHDHOR+CMR12 caption
and 307 411 358 446 0 0 0 AHDHOR+CMR12 caption
D23 372 411 428 446 0 0 0 AHDHOR+CMR12 caption
using 442 411 515 446 0 0 0 AHDHOR+CMR12 caption
Irep(4). 528 411 635 446 0 0 0 AHDHOR+CMR12 caption
Two 654 411 717 446 0 0 0 AHDHOR+CMR12 caption
reﬁnements 729 411 890 446 0 0 0 AHDHOR+CMR12 caption
were 904 411 967 446 0 0 0 AHDHOR+CMR12 caption
performed: 980 411 1133 446 0 0 0 AHDHOR+CMR12 caption
one 1150 411 1200 446 0 0 0 AHDHOR+CMR12 caption
constraining 1212 411 1387 446 0 0 0 AHDHOR+CMR12 caption
the 307 453 351 486 0 0 0 AHDHOR+CMR12 caption
moments 362 453 489 486 0 0 0 AHDHOR+CMR12 caption
to 501 453 530 486 0 0 0 AHDHOR+CMR12 caption
lie 540 453 572 486 0 0 0 AHDHOR+CMR12 caption
only 583 453 644 486 0 0 0 AHDHOR+CMR12 caption
along 654 453 731 486 0 0 0 AHDHOR+CMR12 caption
a; 741 453 768 486 0 0 0 RQXYAD+CMBX12 caption
and 778 453 831 486 0 0 0 AHDHOR+CMR12 caption
a 841 453 858 486 0 0 0 AHDHOR+CMR12 caption
second 868 453 963 486 0 0 0 AHDHOR+CMR12 caption
with 974 453 1037 486 0 0 0 AHDHOR+CMR12 caption
the 1047 453 1093 486 0 0 0 AHDHOR+CMR12 caption
moments 1103 453 1230 486 0 0 0 AHDHOR+CMR12 caption
free 1241 453 1293 486 0 0 0 AHDHOR+CMR12 caption
in 1303 453 1331 486 0 0 0 AHDHOR+CMR12 caption
the 1341 453 1387 486 0 0 0 AHDHOR+CMR12 caption
(a, 307 492 345 525 0 0 0 VZQISB+CMMI12 caption
c) 351 492 377 525 0 0 0 VZQISB+CMMI12 caption
plane. 389 492 474 525 0 0 0 AHDHOR+CMR12 caption
The 493 492 549 525 0 0 0 AHDHOR+CMR12 caption
residuals 561 492 683 525 0 0 0 AHDHOR+CMR12 caption
for 695 492 734 525 0 0 0 AHDHOR+CMR12 caption
each 746 492 809 525 0 0 0 AHDHOR+CMR12 caption
reﬁnement 821 492 969 525 0 0 0 AHDHOR+CMR12 caption
are 980 492 1025 525 0 0 0 AHDHOR+CMR12 caption
also 1037 492 1091 525 0 0 0 AHDHOR+CMR12 caption
shown. 1103 492 1200 525 0 0 0 AHDHOR+CMR12 caption
All 1217 492 1259 525 0 0 0 AHDHOR+CMR12 caption
moment 1271 492 1387 525 0 0 0 AHDHOR+CMR12 caption
values 307 532 392 565 0 0 0 AHDHOR+CMR12 caption
are 406 532 448 565 0 0 0 AHDHOR+CMR12 caption
given 462 532 535 565 0 0 0 AHDHOR+CMR12 caption
in 549 532 576 565 0 0 0 AHDHOR+CMR12 caption
µ 588 532 608 565 0 0 0 VZQISB+CMMI12 caption
. 629 532 637 565 0 0 0 AHDHOR+CMR12 caption
Note 657 532 724 565 0 0 0 AHDHOR+CMR12 caption
that 737 532 797 565 0 0 0 AHDHOR+CMR12 caption
both 809 532 875 565 0 0 0 AHDHOR+CMR12 caption
nuclear 889 532 991 565 0 0 0 AHDHOR+CMR12 caption
and 1003 532 1055 565 0 0 0 AHDHOR+CMR12 caption
magnetic 1069 532 1196 565 0 0 0 AHDHOR+CMR12 caption
Bragg 1210 532 1293 565 0 0 0 AHDHOR+CMR12 caption
peaks 1307 532 1387 565 0 0 0 AHDHOR+CMR12 caption
B 608 547 625 569 0 0 0 CDSVJL+CMMI8 caption
were 307 572 370 607 0 0 0 AHDHOR+CMR12 caption
measured 380 572 515 607 0 0 0 AHDHOR+CMR12 caption
and 523 572 576 607 0 0 0 AHDHOR+CMR12 caption
that 586 572 646 607 0 0 0 AHDHOR+CMR12 caption
the 654 572 700 607 0 0 0 AHDHOR+CMR12 caption
reﬁnements 708 572 872 607 0 0 0 AHDHOR+CMR12 caption
included 880 572 999 607 0 0 0 AHDHOR+CMR12 caption
both 1009 572 1076 607 0 0 0 AHDHOR+CMR12 caption
nuclear 1084 572 1186 607 0 0 0 AHDHOR+CMR12 caption
and 1196 572 1249 607 0 0 0 AHDHOR+CMR12 caption
magnetic 1258 572 1387 607 0 0 0 AHDHOR+CMR12 caption
structures. 307 613 457 646 0 0 0 AHDHOR+CMR12 caption
D10 831 651 889 684 0 0 0 AHDHOR+CMR12 table
D23 1191 651 1249 684 0 0 0 AHDHOR+CMR12 table
Scanned 323 690 440 726 0 0 0 AHDHOR+CMR12 table
reﬂections: 452 690 603 726 0 0 0 AHDHOR+CMR12 table
421 834 690 884 726 0 0 0 AHDHOR+CMR12 table
269 1196 690 1244 726 0 0 0 AHDHOR+CMR12 table
Independent 323 732 499 765 0 0 0 AHDHOR+CMR12 table
reﬂections: 510 732 663 765 0 0 0 AHDHOR+CMR12 table
417 834 732 884 765 0 0 0 AHDHOR+CMR12 table
121 1196 732 1244 765 0 0 0 AHDHOR+CMR12 table
Irep(4) 323 772 421 807 0 0 0 AHDHOR+CMR12 table
(M 695 772 739 807 0 0 0 AHDHOR+CMR12 table
, 754 772 763 807 0 0 0 VZQISB+CMMI12 table
0, 768 772 793 807 0 0 0 AHDHOR+CMR12 table
M 800 772 831 807 0 0 0 VZQISB+CMMI12 table
) 844 772 856 807 0 0 0 AHDHOR+CMR12 table
(M 890 772 935 807 0 0 0 AHDHOR+CMR12 table
, 948 772 958 807 0 0 0 VZQISB+CMMI12 table
0, 963 772 989 807 0 0 0 AHDHOR+CMR12 table
0) 994 772 1023 807 0 0 0 AHDHOR+CMR12 table
(M 1057 772 1101 807 0 0 0 AHDHOR+CMR12 table
, 1115 772 1123 807 0 0 0 VZQISB+CMMI12 table
0, 1130 772 1156 807 0 0 0 AHDHOR+CMR12 table
M 1161 772 1191 807 0 0 0 VZQISB+CMMI12 table
) 1205 772 1218 807 0 0 0 AHDHOR+CMR12 table
(M 1251 772 1295 807 0 0 0 AHDHOR+CMR12 table
, 1310 772 1319 807 0 0 0 VZQISB+CMMI12 table
0, 1324 772 1349 807 0 0 0 AHDHOR+CMR12 table
0) 1354 772 1383 807 0 0 0 AHDHOR+CMR12 table
x 739 787 753 809 0 0 0 CDSVJL+CMMI8 table
z 831 787 841 809 0 0 0 CDSVJL+CMMI8 table
x 935 787 948 809 0 0 0 CDSVJL+CMMI8 table
x 1101 787 1113 809 0 0 0 CDSVJL+CMMI8 table
z 1191 787 1203 809 0 0 0 CDSVJL+CMMI8 table
x 1295 787 1309 809 0 0 0 CDSVJL+CMMI8 table
Moment 323 814 440 847 0 0 0 AHDHOR+CMR12 table
along 452 814 527 847 0 0 0 AHDHOR+CMR12 table
a 538 814 555 847 0 0 0 VZQISB+CMMI12 table
3.13 724 814 782 847 0 0 0 AHDHOR+CMR12 table
(8) 787 814 829 847 0 0 0 AHDHOR+CMR12 table
3.33 904 814 962 847 0 0 0 AHDHOR+CMR12 table
(7) 967 814 1009 847 0 0 0 AHDHOR+CMR12 table
3.3 1093 814 1133 847 0 0 0 AHDHOR+CMR12 table
(1) 1140 814 1181 847 0 0 0 AHDHOR+CMR12 table
3.62 1264 814 1322 847 0 0 0 AHDHOR+CMR12 table
(6) 1329 814 1370 847 0 0 0 AHDHOR+CMR12 table
− 719 829 744 888 0 0 0 FPUVYC+CMSY10 table
− 943 829 970 888 0 0 0 FPUVYC+CMSY10 table
− 1079 829 1106 888 0 0 0 FPUVYC+CMSY10 table
− 1305 829 1331 888 0 0 0 FPUVYC+CMSY10 table
Moment 323 853 440 888 0 0 0 AHDHOR+CMR12 table
along 452 853 527 888 0 0 0 AHDHOR+CMR12 table
c 538 853 552 888 0 0 0 VZQISB+CMMI12 table
0.6 744 853 787 888 0 0 0 AHDHOR+CMR12 table
(1) 792 853 833 888 0 0 0 AHDHOR+CMR12 table
0.6 1106 853 1147 888 0 0 0 AHDHOR+CMR12 table
(1) 1152 853 1195 888 0 0 0 AHDHOR+CMR12 table
Total 323 895 397 928 0 0 0 AHDHOR+CMR12 table
moment 409 895 523 928 0 0 0 AHDHOR+CMR12 table
3.36 724 895 782 928 0 0 0 AHDHOR+CMR12 table
(9) 787 895 829 928 0 0 0 AHDHOR+CMR12 table
3.33 904 895 962 928 0 0 0 AHDHOR+CMR12 table
(7) 967 895 1009 928 0 0 0 AHDHOR+CMR12 table
3.5 1093 895 1133 928 0 0 0 AHDHOR+CMR12 table
(1) 1140 895 1181 928 0 0 0 AHDHOR+CMR12 table
3.62 1264 895 1322 928 0 0 0 AHDHOR+CMR12 table
(6) 1329 895 1370 928 0 0 0 AHDHOR+CMR12 table
R 323 935 348 968 0 0 0 VZQISB+CMMI12 table
8.759 739 935 814 968 0 0 0 AHDHOR+CMR12 table
9.14 928 935 986 968 0 0 0 AHDHOR+CMR12 table
10.50 1099 935 1174 968 0 0 0 AHDHOR+CMR12 table
11.51 1280 935 1354 968 0 0 0 AHDHOR+CMR12 table
F2 348 948 377 972 0 0 0 CDSVJL+CMMI8 table
R 323 974 348 1007 0 0 0 VZQISB+CMMI12 table
46.47 739 974 814 1007 0 0 0 AHDHOR+CMR12 table
47.30 919 974 994 1007 0 0 0 AHDHOR+CMR12 table
22.77 1099 974 1174 1007 0 0 0 AHDHOR+CMR12 table
25.06 1280 974 1354 1007 0 0 0 AHDHOR+CMR12 table
wF2 348 987 394 1012 0 0 0 CDSVJL+CMMI8 table
R 323 1014 348 1047 0 0 0 VZQISB+CMMI12 table
11.32 739 1014 814 1047 0 0 0 AHDHOR+CMR12 table
11.71 919 1014 994 1047 0 0 0 AHDHOR+CMR12 table
9.714 1099 1014 1174 1047 0 0 0 AHDHOR+CMR12 table
10.56 1280 1014 1354 1047 0 0 0 AHDHOR+CMR12 table
F 348 1029 363 1051 0 0 0 CDSVJL+CMMI8 table
χ2 323 1051 355 1089 0 0 0 VZQISB+CMMI12 table
4.198 739 1056 814 1089 0 0 0 AHDHOR+CMR12 table
4.359 919 1056 994 1089 0 0 0 AHDHOR+CMR12 table
0.8128 1093 1056 1183 1089 0 0 0 AHDHOR+CMR12 table
0.9853 1273 1056 1363 1089 0 0 0 AHDHOR+CMR12 table
most 307 1157 375 1190 0 0 0 AHDHOR+CMR12 paragraph
likely 385 1157 462 1190 0 0 0 AHDHOR+CMR12 paragraph
present. 472 1157 583 1190 0 0 0 AHDHOR+CMR12 paragraph
A 355 1196 380 1229 0 0 0 AHDHOR+CMR12 paragraph
schematic 394 1196 532 1229 0 0 0 AHDHOR+CMR12 paragraph
of 545 1196 572 1229 0 0 0 AHDHOR+CMR12 paragraph
the 586 1196 630 1229 0 0 0 AHDHOR+CMR12 paragraph
magnetic 646 1196 773 1229 0 0 0 AHDHOR+CMR12 paragraph
structure 787 1196 916 1229 0 0 0 AHDHOR+CMR12 paragraph
for 929 1196 969 1229 0 0 0 AHDHOR+CMR12 paragraph
CoPS 982 1196 1062 1229 0 0 0 AHDHOR+CMR12 paragraph
is 1089 1196 1111 1229 0 0 0 AHDHOR+CMR12 paragraph
shown 1125 1196 1212 1229 0 0 0 AHDHOR+CMR12 paragraph
in 1227 1196 1254 1229 0 0 0 AHDHOR+CMR12 paragraph
ﬁgure 1268 1196 1346 1229 0 0 0 AHDHOR+CMR12 paragraph
7. 1361 1196 1387 1229 0 0 0 AHDHOR+CMR12 paragraph
3 1062 1210 1074 1232 0 0 0 CMALKZ+CMR8 paragraph
The 307 1236 363 1269 0 0 0 AHDHOR+CMR12 paragraph
originally 375 1236 508 1269 0 0 0 AHDHOR+CMR12 paragraph
published 520 1236 654 1269 0 0 0 AHDHOR+CMR12 paragraph
structure 666 1236 795 1269 0 0 0 AHDHOR+CMR12 paragraph
is 807 1236 829 1269 0 0 0 AHDHOR+CMR12 paragraph
shown 841 1236 928 1269 0 0 0 AHDHOR+CMR12 paragraph
in 940 1236 967 1269 0 0 0 AHDHOR+CMR12 paragraph
