token X1 Y1 X2 Y2 R G B "font name" label
k 198 169 219 202 0 0 0 GVHLOC+CMBX12 paragraph
· 226 171 236 228 0 0 0 QCFSNG+CMSY10 paragraph
p 243 169 263 202 0 0 0 GVHLOC+CMBX12 paragraph
theory 273 169 360 202 0 0 0 PXVQWE+CMTI12 paragraph
for 372 169 413 202 0 0 0 PXVQWE+CMTI12 paragraph
2D 425 169 465 202 0 0 0 PXVQWE+CMTI12 paragraph
TMDCs 477 169 591 202 0 0 0 PXVQWE+CMTI12 paragraph
3 1417 171 1434 204 0 0 0 QSFCLY+CMR12 paragraph
to 198 257 227 290 0 0 0 QSFCLY+CMR12 paragraph
the 246 257 292 290 0 0 0 QSFCLY+CMR12 paragraph
tight-binding 309 257 494 290 0 0 0 QSFCLY+CMR12 paragraph
(TB) 513 257 584 290 0 0 0 QSFCLY+CMR12 paragraph
description 603 257 759 290 0 0 0 QSFCLY+CMR12 paragraph
of 778 257 804 290 0 0 0 QSFCLY+CMR12 paragraph
TMDCs 822 257 936 290 0 0 0 QSFCLY+CMR12 paragraph
[26, 955 257 1006 290 0 0 0 QSFCLY+CMR12 paragraph
32, 1023 257 1065 290 0 0 0 QSFCLY+CMR12 paragraph
33, 1084 257 1125 290 0 0 0 QSFCLY+CMR12 paragraph
34, 1144 257 1184 290 0 0 0 QSFCLY+CMR12 paragraph
35, 1203 257 1246 290 0 0 0 QSFCLY+CMR12 paragraph
36, 1264 257 1305 290 0 0 0 QSFCLY+CMR12 paragraph
37, 1324 257 1365 290 0 0 0 QSFCLY+CMR12 paragraph
38], 1383 257 1434 290 0 0 0 QSFCLY+CMR12 paragraph
but 198 301 248 334 0 0 0 QSFCLY+CMR12 paragraph
this 263 301 316 334 0 0 0 QSFCLY+CMR12 paragraph
approach 331 301 460 334 0 0 0 QSFCLY+CMR12 paragraph
suﬀers 476 301 564 334 0 0 0 QSFCLY+CMR12 paragraph
from 579 301 646 334 0 0 0 QSFCLY+CMR12 paragraph
the 661 301 707 334 0 0 0 QSFCLY+CMR12 paragraph
large 722 301 790 334 0 0 0 QSFCLY+CMR12 paragraph
number 805 301 912 334 0 0 0 QSFCLY+CMR12 paragraph
of 928 301 955 334 0 0 0 QSFCLY+CMR12 paragraph
atomic 970 301 1065 334 0 0 0 QSFCLY+CMR12 paragraph
orbitals 1081 301 1188 334 0 0 0 QSFCLY+CMR12 paragraph
that 1203 301 1263 334 0 0 0 QSFCLY+CMR12 paragraph
have 1278 301 1341 334 0 0 0 QSFCLY+CMR12 paragraph
to 1356 301 1385 334 0 0 0 QSFCLY+CMR12 paragraph
be 1400 301 1434 334 0 0 0 QSFCLY+CMR12 paragraph
included 198 345 317 378 0 0 0 QSFCLY+CMR12 paragraph
on 331 345 367 378 0 0 0 QSFCLY+CMR12 paragraph
each 380 345 442 378 0 0 0 QSFCLY+CMR12 paragraph
site 455 345 504 378 0 0 0 QSFCLY+CMR12 paragraph
and 518 345 571 378 0 0 0 QSFCLY+CMR12 paragraph
the 584 345 630 378 0 0 0 QSFCLY+CMR12 paragraph
need 644 345 708 378 0 0 0 QSFCLY+CMR12 paragraph
for 722 345 761 378 0 0 0 QSFCLY+CMR12 paragraph
beyond-nearest-neighbour 775 345 1140 378 0 0 0 QSFCLY+CMR12 paragraph
hopping 1154 345 1268 378 0 0 0 QSFCLY+CMR12 paragraph
to 1281 345 1310 378 0 0 0 QSFCLY+CMR12 paragraph
account 1326 345 1434 378 0 0 0 QSFCLY+CMR12 paragraph
