token X1 Y1 X2 Y2 R G B "font name" label
9 1548 77 1561 105 0 0 0 RRIUQM+CMR10 paragraph
D 416 161 438 208 0 0 0 HGQHLG+CMSY10 paragraph
where 176 180 248 208 0 0 0 RRIUQM+CMR10 paragraph
the 256 180 296 208 0 0 0 RRIUQM+CMR10 paragraph
operator 304 180 406 208 0 0 0 RRIUQM+CMR10 paragraph
is 448 180 466 208 0 0 0 RRIUQM+CMR10 paragraph
deﬁned 476 180 562 208 0 0 0 RRIUQM+CMR10 paragraph
as 570 180 595 208 0 0 0 RRIUQM+CMR10 paragraph
The 176 367 224 395 0 0 0 RRIUQM+CMR10 paragraph
expressions 233 367 368 395 0 0 0 RRIUQM+CMR10 paragraph
we 378 367 410 395 0 0 0 RRIUQM+CMR10 paragraph
then 418 367 473 395 0 0 0 RRIUQM+CMR10 paragraph
obtain 482 367 559 395 0 0 0 RRIUQM+CMR10 paragraph
for 568 367 602 395 0 0 0 RRIUQM+CMR10 paragraph
the 610 367 648 395 0 0 0 RRIUQM+CMR10 paragraph
components 658 367 802 395 0 0 0 RRIUQM+CMR10 paragraph
uˆ(cid:15), 810 364 846 395 0 0 0 RRIUQM+CMR10 paragraph
uˆ(cid:15), 855 364 891 395 0 0 0 RRIUQM+CMR10 paragraph
uˆ(cid:15) 901 364 926 395 0 0 0 RRIUQM+CMR10 paragraph
of 941 367 962 395 0 0 0 RRIUQM+CMR10 paragraph
the 972 367 1010 395 0 0 0 RRIUQM+CMR10 paragraph
ﬂow 1020 367 1068 395 0 0 0 RRIUQM+CMR10 paragraph
ﬁeld 1078 367 1128 395 0 0 0 RRIUQM+CMR10 paragraph
uˆ(cid:15) 1137 362 1166 395 0 0 0 RRIUQM+CMR10 paragraph
are 1175 367 1214 395 0 0 0 RRIUQM+CMR10 paragraph
given 1222 367 1286 395 0 0 0 RRIUQM+CMR10 paragraph
in 1295 367 1318 395 0 0 0 RRIUQM+CMR10 paragraph
Appendix 1328 367 1445 395 0 0 0 RRIUQM+CMR10 paragraph
C. 1453 367 1481 395 0 0 0 RRIUQM+CMR10 paragraph
r 827 381 836 399 0 0 0 DUCULZ+CMMI7 paragraph
θ 871 381 881 402 0 0 0 DUCULZ+CMMI7 paragraph
φ 916 381 931 402 0 0 0 DUCULZ+CMMI7 paragraph
B. 694 399 724 423 0 0 0 NBUUCG+CMBX9 section
First-order 754 399 894 423 0 0 0 NBUUCG+CMBX9 section
solution 904 399 1005 423 0 0 0 NBUUCG+CMBX9 section
We 176 467 215 495 0 0 0 RRIUQM+CMR10 paragraph
now 226 467 274 495 0 0 0 RRIUQM+CMR10 paragraph
consider 286 467 385 495 0 0 0 RRIUQM+CMR10 paragraph
the 395 467 435 495 0 0 0 RRIUQM+CMR10 paragraph
derivation 444 467 565 495 0 0 0 RRIUQM+CMR10 paragraph
for 577 467 610 495 0 0 0 RRIUQM+CMR10 paragraph
the 621 467 659 495 0 0 0 RRIUQM+CMR10 paragraph
ﬁrst-order 671 467 792 495 0 0 0 RRIUQM+CMR10 paragraph
solution 802 467 898 495 0 0 0 RRIUQM+CMR10 paragraph
(in 909 467 942 495 0 0 0 RRIUQM+CMR10 paragraph
Reynolds) 954 467 1075 495 0 0 0 RRIUQM+CMR10 paragraph
u(1). 1086 467 1139 495 0 0 0 ZJTVCG+CMR5 paragraph
That 1157 467 1217 495 0 0 0 RRIUQM+CMR10 paragraph
ﬂow 1228 467 1276 495 0 0 0 RRIUQM+CMR10 paragraph
ﬁeld 1288 467 1338 495 0 0 0 RRIUQM+CMR10 paragraph
contains 1349 467 1448 495 0 0 0 RRIUQM+CMR10 paragraph
terms 1460 467 1528 495 0 0 0 RRIUQM+CMR10 paragraph
of 1539 467 1561 495 0 0 0 RRIUQM+CMR10 paragraph
diﬀerent 148 500 249 528 0 0 0 RRIUQM+CMR10 paragraph
frequencies, 258 500 398 528 0 0 0 RRIUQM+CMR10 paragraph
but 406 500 448 528 0 0 0 RRIUQM+CMR10 paragraph
we 458 500 489 528 0 0 0 RRIUQM+CMR10 paragraph
are 497 500 535 528 0 0 0 RRIUQM+CMR10 paragraph
here 544 500 595 528 0 0 0 RRIUQM+CMR10 paragraph
