token X1 Y1 X2 Y2 R G B "font name" label
BOUNDARY 588 145 715 165 0 0 0 SLVFHI+CMR7 paragraph
LAYER 722 145 799 165 0 0 0 SLVFHI+CMR7 paragraph
OF 805 145 838 165 0 0 0 SLVFHI+CMR7 paragraph
TRANSPORT 844 145 984 165 0 0 0 SLVFHI+CMR7 paragraph
EQUATION 991 145 1110 165 0 0 0 SLVFHI+CMR7 paragraph
19 1477 145 1499 165 0 0 0 SLVFHI+CMR7 paragraph
(3.18) 1428 257 1499 283 0 0 0 TDBFEU+CMR10 paragraph
Using 232 393 300 422 0 0 0 TDBFEU+CMR10 paragraph
the 309 393 348 422 0 0 0 TDBFEU+CMR10 paragraph
trace 357 393 418 422 0 0 0 TDBFEU+CMR10 paragraph
theorem, 426 393 533 422 0 0 0 TDBFEU+CMR10 paragraph
we 542 393 574 422 0 0 0 TDBFEU+CMR10 paragraph
have 583 393 637 422 0 0 0 TDBFEU+CMR10 paragraph
(3.19) 1428 484 1499 510 0 0 0 TDBFEU+CMR10 paragraph
Also, 232 638 292 666 0 0 0 TDBFEU+CMR10 paragraph
we 302 638 333 666 0 0 0 TDBFEU+CMR10 paragraph
obtain 343 638 419 666 0 0 0 TDBFEU+CMR10 paragraph
(3.20) 1428 723 1499 752 0 0 0 TDBFEU+CMR10 paragraph
(3.21) 1428 855 1499 884 0 0 0 TDBFEU+CMR10 paragraph
Collecting 232 935 353 961 0 0 0 TDBFEU+CMR10 paragraph
terms 363 935 430 961 0 0 0 TDBFEU+CMR10 paragraph
in 440 935 462 961 0 0 0 TDBFEU+CMR10 paragraph
(3.17), 472 935 550 961 0 0 0 TDBFEU+CMR10 paragraph
(3.18), 559 935 639 961 0 0 0 TDBFEU+CMR10 paragraph
(3.19), 647 935 725 961 0 0 0 TDBFEU+CMR10 paragraph
(3.20) 736 935 805 961 0 0 0 TDBFEU+CMR10 paragraph
and 816 935 860 961 0 0 0 TDBFEU+CMR10 paragraph
(3.21), 868 935 946 961 0 0 0 TDBFEU+CMR10 paragraph
we 957 935 987 961 0 0 0 TDBFEU+CMR10 paragraph
obtain 997 935 1074 961 0 0 0 TDBFEU+CMR10 paragraph
