token X1 Y1 X2 Y2 R G B "font name" label
Testing 519 147 600 173 0 0 0 WIPBZX+CMTI9 paragraph
small 608 147 668 173 0 0 0 WIPBZX+CMTI9 paragraph
study 676 147 734 173 0 0 0 WIPBZX+CMTI9 paragraph
eﬀects 744 147 812 173 0 0 0 WIPBZX+CMTI9 paragraph
in 822 147 843 173 0 0 0 WIPBZX+CMTI9 paragraph
multivariate 853 147 987 173 0 0 0 WIPBZX+CMTI9 paragraph
meta-analysis 997 147 1147 173 0 0 0 WIPBZX+CMTI9 paragraph
1 1508 147 1521 173 0 0 0 QKGFSM+CMR9 paragraph
1. 206 224 236 257 0 0 0 VLVVFF+CMBX12 section
Introduction 267 224 473 257 0 0 0 VLVVFF+CMBX12 section
In 234 301 264 334 0 0 0 BASLCG+CMR12 paragraph
the 274 301 320 334 0 0 0 BASLCG+CMR12 paragraph
last 330 301 380 334 0 0 0 BASLCG+CMR12 paragraph
several 390 301 486 334 0 0 0 BASLCG+CMR12 paragraph
decades, 497 301 615 334 0 0 0 BASLCG+CMR12 paragraph
systematic 625 301 774 334 0 0 0 BASLCG+CMR12 paragraph
reviews 783 301 888 334 0 0 0 BASLCG+CMR12 paragraph
and 898 301 951 334 0 0 0 BASLCG+CMR12 paragraph
meta-analyses 960 301 1159 334 0 0 0 BASLCG+CMR12 paragraph
have 1169 301 1233 334 0 0 0 BASLCG+CMR12 paragraph
received 1243 301 1357 334 0 0 0 BASLCG+CMR12 paragraph
increasing 1367 301 1508 334 0 0 0 BASLCG+CMR12 paragraph
attention 206 374 337 406 0 0 0 BASLCG+CMR12 paragraph
in 347 374 375 406 0 0 0 BASLCG+CMR12 paragraph
comparative 387 374 560 406 0 0 0 BASLCG+CMR12 paragraph
eﬀectiveness 570 374 744 406 0 0 0 BASLCG+CMR12 paragraph
research 755 374 870 406 0 0 0 BASLCG+CMR12 paragraph
and 881 374 934 406 0 0 0 BASLCG+CMR12 paragraph
evidence-based 946 374 1156 406 0 0 0 BASLCG+CMR12 paragraph
medicine. 1167 374 1301 406 0 0 0 BASLCG+CMR12 paragraph
Meta-analysis 1313 374 1508 406 0 0 0 BASLCG+CMR12 paragraph
is 206 446 229 479 0 0 0 BASLCG+CMR12 paragraph
a 243 446 259 479 0 0 0 BASLCG+CMR12 paragraph
statistical 272 446 410 479 0 0 0 BASLCG+CMR12 paragraph
procedure 423 446 564 479 0 0 0 BASLCG+CMR12 paragraph
that 577 446 636 479 0 0 0 BASLCG+CMR12 paragraph
combines 650 446 780 479 0 0 0 BASLCG+CMR12 paragraph
the 793 446 838 479 0 0 0 BASLCG+CMR12 paragraph
results 851 446 944 479 0 0 0 BASLCG+CMR12 paragraph
of 957 446 984 479 0 0 0 BASLCG+CMR12 paragraph
multiple 997 446 1114 479 0 0 0 BASLCG+CMR12 paragraph
scientiﬁc 1128 446 1250 479 0 0 0 BASLCG+CMR12 paragraph
studies. 1263 446 1371 479 0 0 0 BASLCG+CMR12 paragraph
In 1384 446 1414 479 0 0 0 BASLCG+CMR12 paragraph
meta- 1427 446 1508 479 0 0 0 BASLCG+CMR12 paragraph
analysis, 206 519 327 552 0 0 0 BASLCG+CMR12 paragraph
small 340 519 415 552 0 0 0 BASLCG+CMR12 paragraph
study 428 519 506 552 0 0 0 BASLCG+CMR12 paragraph
eﬀects 519 519 607 552 0 0 0 BASLCG+CMR12 paragraph
(SSE) 620 519 702 552 0 0 0 BASLCG+CMR12 paragraph
is 716 519 737 552 0 0 0 BASLCG+CMR12 paragraph
a 750 519 767 552 0 0 0 BASLCG+CMR12 paragraph
well-known 779 519 937 552 0 0 0 BASLCG+CMR12 paragraph
critical 951 519 1048 552 0 0 0 BASLCG+CMR12 paragraph
and 1060 519 1113 552 0 0 0 BASLCG+CMR12 paragraph
challenging 1126 519 1283 552 0 0 0 BASLCG+CMR12 paragraph
issue 1296 519 1364 552 0 0 0 BASLCG+CMR12 paragraph
that 1376 519 1435 552 0 0 0 BASLCG+CMR12 paragraph
may 1448 519 1508 552 0 0 0 BASLCG+CMR12 paragraph
threaten 206 591 327 624 0 0 0 BASLCG+CMR12 paragraph
the 340 591 387 624 0 0 0 BASLCG+CMR12 paragraph
validity 400 591 506 624 0 0 0 BASLCG+CMR12 paragraph
of 521 591 547 624 0 0 0 BASLCG+CMR12 paragraph
the 562 591 607 624 0 0 0 BASLCG+CMR12 paragraph
results 621 591 714 624 0 0 0 BASLCG+CMR12 paragraph
(Song 727 591 810 624 0 0 0 BASLCG+CMR12 paragraph
et 823 591 851 624 0 0 0 BASLCG+CMR12 paragraph
al., 865 591 909 624 0 0 0 BASLCG+CMR12 paragraph
2000; 922 591 997 624 0 0 0 BASLCG+CMR12 paragraph
Sutton 1012 591 1108 624 0 0 0 BASLCG+CMR12 paragraph
et 1123 591 1149 624 0 0 0 BASLCG+CMR12 paragraph
al., 1164 591 1207 624 0 0 0 BASLCG+CMR12 paragraph
2000). 1222 591 1308 624 0 0 0 BASLCG+CMR12 paragraph
“Small-study 1323 591 1508 624 0 0 0 BASLCG+CMR12 paragraph
eﬀects” 206 664 310 697 0 0 0 BASLCG+CMR12 paragraph
is 320 664 344 697 0 0 0 BASLCG+CMR12 paragraph
a 352 664 368 697 0 0 0 BASLCG+CMR12 paragraph
generic 378 664 478 697 0 0 0 BASLCG+CMR12 paragraph
term 487 664 555 697 0 0 0 BASLCG+CMR12 paragraph
for 565 664 603 697 0 0 0 BASLCG+CMR12 paragraph
the 613 664 658 697 0 0 0 BASLCG+CMR12 paragraph
phenomenon 668 664 846 697 0 0 0 BASLCG+CMR12 paragraph
that 856 664 916 697 0 0 0 BASLCG+CMR12 paragraph
smaller 926 664 1028 697 0 0 0 BASLCG+CMR12 paragraph
studies 1038 664 1136 697 0 0 0 BASLCG+CMR12 paragraph
sometimes 1146 664 1293 697 0 0 0 BASLCG+CMR12 paragraph
show 1301 664 1372 697 0 0 0 BASLCG+CMR12 paragraph
diﬀerent, 1382 664 1508 697 0 0 0 BASLCG+CMR12 paragraph
often 206 736 279 769 0 0 0 BASLCG+CMR12 paragraph
larger, 292 736 382 769 0 0 0 BASLCG+CMR12 paragraph
treatment 395 736 535 769 0 0 0 BASLCG+CMR12 paragraph
eﬀects 549 736 636 769 0 0 0 BASLCG+CMR12 paragraph
than 650 736 714 769 0 0 0 BASLCG+CMR12 paragraph
large 727 736 797 769 0 0 0 BASLCG+CMR12 paragraph
ones 810 736 871 769 0 0 0 BASLCG+CMR12 paragraph
(Sterne 884 736 987 769 0 0 0 BASLCG+CMR12 paragraph
and 1000 736 1053 769 0 0 0 BASLCG+CMR12 paragraph
Egger, 1066 736 1157 769 0 0 0 BASLCG+CMR12 paragraph
2001). 1171 736 1257 769 0 0 0 BASLCG+CMR12 paragraph
One 1270 736 1328 769 0 0 0 BASLCG+CMR12 paragraph
of 1341 736 1367 769 0 0 0 BASLCG+CMR12 paragraph
the 1381 736 1425 769 0 0 0 BASLCG+CMR12 paragraph
most 1438 736 1508 769 0 0 0 BASLCG+CMR12 paragraph
well-known 206 809 365 842 0 0 0 BASLCG+CMR12 paragraph
reason 373 809 464 842 0 0 0 BASLCG+CMR12 paragraph
for 473 809 512 842 0 0 0 BASLCG+CMR12 paragraph
SSE 521 809 578 842 0 0 0 BASLCG+CMR12 paragraph
is 587 809 608 842 0 0 0 BASLCG+CMR12 paragraph
publication 616 809 777 842 0 0 0 BASLCG+CMR12 paragraph
bias 785 809 841 842 0 0 0 BASLCG+CMR12 paragraph
(PB), 850 809 929 842 0 0 0 BASLCG+CMR12 paragraph
in 937 809 964 842 0 0 0 BASLCG+CMR12 paragraph
which 972 809 1055 842 0 0 0 BASLCG+CMR12 paragraph
case 1063 809 1121 842 0 0 0 BASLCG+CMR12 paragraph
the 1131 809 1175 842 0 0 0 BASLCG+CMR12 paragraph
chance 1184 809 1278 842 0 0 0 BASLCG+CMR12 paragraph
of 1286 809 1313 842 0 0 0 BASLCG+CMR12 paragraph
a 1321 809 1338 842 0 0 0 BASLCG+CMR12 paragraph
small 1346 809 1420 842 0 0 0 BASLCG+CMR12 paragraph
study 1429 809 1508 842 0 0 0 BASLCG+CMR12 paragraph
being 206 881 284 914 0 0 0 BASLCG+CMR12 paragraph
published 292 881 428 914 0 0 0 BASLCG+CMR12 paragraph
does 436 881 499 914 0 0 0 BASLCG+CMR12 paragraph
not 507 881 555 914 0 0 0 BASLCG+CMR12 paragraph
depend 564 881 664 914 0 0 0 BASLCG+CMR12 paragraph
on 674 881 707 914 0 0 0 BASLCG+CMR12 paragraph
its 716 881 750 914 0 0 0 BASLCG+CMR12 paragraph
quality, 759 881 865 914 0 0 0 BASLCG+CMR12 paragraph
but 873 881 921 914 0 0 0 BASLCG+CMR12 paragraph
on 929 881 964 914 0 0 0 BASLCG+CMR12 paragraph
its 972 881 1007 914 0 0 0 BASLCG+CMR12 paragraph
eﬀect 1015 881 1091 914 0 0 0 BASLCG+CMR12 paragraph
size, 1099 881 1159 914 0 0 0 BASLCG+CMR12 paragraph
signiﬁcance 1167 881 1328 914 0 0 0 BASLCG+CMR12 paragraph
or 1338 881 1366 914 0 0 0 BASLCG+CMR12 paragraph
direction. 1374 881 1508 914 0 0 0 BASLCG+CMR12 paragraph
A 206 951 231 987 0 0 0 BASLCG+CMR12 paragraph
possible 244 951 357 987 0 0 0 BASLCG+CMR12 paragraph
reason 370 951 461 987 0 0 0 BASLCG+CMR12 paragraph
