token X1 Y1 X2 Y2 R G B "font name" label
70 1477 79 1499 105 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
∈ 435 400 457 457 0 0 0 KUEOPY+CMSY10 paragraph
{ 467 400 482 457 0 0 0 KUEOPY+CMSY10 paragraph
} 530 400 547 457 0 0 0 KUEOPY+CMSY10 paragraph
≤ 773 400 799 457 0 0 0 KUEOPY+CMSY10 paragraph
In 232 418 260 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
fact, 270 418 328 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
if 336 418 357 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
y 367 424 384 457 0 0 0 JHHHEX+CMMI12 paragraph
1, 482 424 508 457 0 0 0 SBCFOJ+CMR12 paragraph
3 515 424 530 457 0 0 0 SBCFOJ+CMR12 paragraph
for 557 418 595 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
some 605 418 674 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
ν 685 424 702 457 0 0 0 JHHHEX+CMMI12 paragraph
(k) 720 424 765 457 0 0 0 SBCFOJ+CMR12 paragraph
m 809 424 836 457 0 0 0 JHHHEX+CMMI12 paragraph
< 846 424 872 457 0 0 0 JHHHEX+CMMI12 paragraph
n, 880 418 909 457 0 0 0 JHHHEX+CMMI12 paragraph
then 918 418 975 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
the 986 418 1026 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
PU 1035 418 1077 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
packet 1088 418 1174 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
is 1184 418 1207 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
successfully 1217 418 1378 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
decoded 1388 418 1499 457 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
S,m 384 437 425 459 0 0 0 YVIFWA+CMMI8 paragraph
P 702 437 715 459 0 0 0 YVIFWA+CMMI8 paragraph
∈ 583 457 605 514 0 0 0 KUEOPY+CMSY10 paragraph
{ 615 457 632 514 0 0 0 KUEOPY+CMSY10 paragraph
} 710 457 725 514 0 0 0 KUEOPY+CMSY10 paragraph
≤ 960 457 986 514 0 0 0 KUEOPY+CMSY10 paragraph
in 198 475 224 517 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
slot 236 475 285 517 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
m; 297 475 334 517 0 0 0 JHHHEX+CMMI12 paragraph
similarly, 346 475 470 517 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
if 482 475 503 517 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
y 515 481 530 514 0 0 0 JHHHEX+CMMI12 paragraph
5, 632 481 657 514 0 0 0 SBCFOJ+CMR12 paragraph
6, 663 481 688 514 0 0 0 SBCFOJ+CMR12 paragraph
7 693 481 710 514 0 0 0 SBCFOJ+CMR12 paragraph
for 737 475 776 517 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
some 788 475 858 517 0 0 0 KCRSHT+NimbusRomNo9L-Regu paragraph
