token X1 Y1 X2 Y2 R G B "font name" label
We 246 365 289 396 0 0 0 DUJPFH+CMR10 paragraph
claim 299 365 368 396 0 0 0 DUJPFH+CMR10 paragraph
that 379 365 435 396 0 0 0 DUJPFH+CMR10 paragraph
q 445 365 459 396 0 0 0 GQCIYV+CMMI10 paragraph
is 470 365 491 396 0 0 0 DUJPFH+CMR10 paragraph
adjacent 501 365 612 396 0 0 0 DUJPFH+CMR10 paragraph
to 623 365 649 396 0 0 0 DUJPFH+CMR10 paragraph
p 661 365 676 396 0 0 0 GQCIYV+CMMI10 paragraph
in 686 365 712 396 0 0 0 DUJPFH+CMR10 paragraph
C 722 365 742 396 0 0 0 GQCIYV+CMMI10 paragraph
. 758 365 766 396 0 0 0 DUJPFH+CMR10 paragraph
Indeed, 780 365 877 396 0 0 0 DUJPFH+CMR10 paragraph
conditions 887 365 1023 396 0 0 0 DUJPFH+CMR10 paragraph
C1 1033 365 1071 396 0 0 0 DUJPFH+CMR10 paragraph
and 1081 365 1130 396 0 0 0 DUJPFH+CMR10 paragraph
C3 1140 365 1176 396 0 0 0 DUJPFH+CMR10 paragraph
hold 1188 365 1244 396 0 0 0 DUJPFH+CMR10 paragraph
trivially. 1254 365 1365 396 0 0 0 DUJPFH+CMR10 paragraph
To 1380 365 1414 396 0 0 0 DUJPFH+CMR10 paragraph
verify 1424 365 1499 396 0 0 0 DUJPFH+CMR10 paragraph
∈ 501 380 521 433 0 0 0 YVTPUF+CMSY10 paragraph
k 742 376 756 398 0 0 0 BSBNMA+CMMI8 paragraph
(cid:48) 1207 382 1213 420 0 0 0 HDJEQI+CMSY8 paragraph
C2, 198 402 244 433 0 0 0 DUJPFH+CMR10 paragraph
consider 255 402 362 433 0 0 0 DUJPFH+CMR10 paragraph
a 372 402 387 433 0 0 0 DUJPFH+CMR10 paragraph
curve 397 402 469 433 0 0 0 DUJPFH+CMR10 paragraph
e 479 402 493 433 0 0 0 GQCIYV+CMMI10 paragraph
S 530 402 549 433 0 0 0 GQCIYV+CMMI10 paragraph
touching 571 402 685 433 0 0 0 DUJPFH+CMR10 paragraph
d 695 402 710 433 0 0 0 GQCIYV+CMMI10 paragraph
at 720 402 748 433 0 0 0 DUJPFH+CMR10 paragraph
a 758 402 773 433 0 0 0 DUJPFH+CMR10 paragraph
point 783 402 851 433 0 0 0 DUJPFH+CMR10 paragraph
in 861 402 887 433 0 0 0 DUJPFH+CMR10 paragraph
the 897 402 940 433 0 0 0 DUJPFH+CMR10 paragraph
arc 948 402 989 433 0 0 0 DUJPFH+CMR10 paragraph
of 999 402 1025 433 0 0 0 DUJPFH+CMR10 paragraph
d 1033 402 1050 433 0 0 0 GQCIYV+CMMI10 paragraph
from 1060 402 1122 433 0 0 0 DUJPFH+CMR10 paragraph
q 1132 402 1145 433 0 0 0 GQCIYV+CMMI10 paragraph
to 1156 402 1183 433 0 0 0 DUJPFH+CMR10 paragraph
q 1193 402 1207 433 0 0 0 GQCIYV+CMMI10 paragraph
. 1215 402 1224 433 0 0 0 DUJPFH+CMR10 paragraph
This 1237 402 1297 433 0 0 0 DUJPFH+CMR10 paragraph
touching 1307 402 1419 433 0 0 0 DUJPFH+CMR10 paragraph
point 1429 402 1499 433 0 0 0 DUJPFH+CMR10 paragraph
2 549 413 559 435 0 0 0 DHCDPY+CMR8 paragraph
(cid:48) 646 420 651 457 0 0 0 HDJEQI+CMSY8 paragraph
(as 198 440 238 470 0 0 0 DUJPFH+CMR10 paragraph
the 248 440 290 470 0 0 0 DUJPFH+CMR10 paragraph
whole 300 440 375 470 0 0 0 DUJPFH+CMR10 paragraph
arc 385 440 426 470 0 0 0 DUJPFH+CMR10 paragraph
of 436 440 460 470 0 0 0 DUJPFH+CMR10 paragraph
d 470 440 487 470 0 0 0 GQCIYV+CMMI10 paragraph
from 496 440 559 470 0 0 0 DUJPFH+CMR10 paragraph
q 569 440 583 470 0 0 0 GQCIYV+CMMI10 paragraph
to 593 440 620 470 0 0 0 DUJPFH+CMR10 paragraph
q 630 440 644 470 0 0 0 GQCIYV+CMMI10 paragraph
) 652 440 664 470 0 0 0 DUJPFH+CMR10 paragraph
lies 674 440 717 470 0 0 0 DUJPFH+CMR10 paragraph
inside 727 440 802 470 0 0 0 DUJPFH+CMR10 paragraph
T 812 440 831 470 0 0 0 GQCIYV+CMMI10 paragraph
