token X1 Y1 X2 Y2 R G B "font name" label
6 1547 77 1560 105 0 0 0 JIQNTC+CMR10 paragraph
∝ 1127 127 1149 176 0 0 0 LGOAZT+CMSY10 paragraph
V 878 149 895 176 0 0 0 AQKEGH+CMMI10 paragraph
= 911 149 933 176 0 0 0 JIQNTC+CMR10 paragraph
V 941 149 957 176 0 0 0 AQKEGH+CMMI10 paragraph
+ 977 149 997 176 0 0 0 JIQNTC+CMR10 paragraph
V 1004 149 1021 176 0 0 0 AQKEGH+CMMI10 paragraph
, 1072 149 1079 176 0 0 0 JIQNTC+CMR10 paragraph
V 1089 149 1106 176 0 0 0 AQKEGH+CMMI10 paragraph
v 1157 149 1173 176 0 0 0 JIQNTC+CMR10 paragraph
being 1195 149 1259 176 0 0 0 JIQNTC+CMR10 paragraph
the 1269 149 1309 176 0 0 0 JIQNTC+CMR10 paragraph
scalar 1319 149 1388 176 0 0 0 JIQNTC+CMR10 paragraph
potential 1399 149 1506 176 0 0 0 JIQNTC+CMR10 paragraph
and 1516 149 1560 176 0 0 0 JIQNTC+CMR10 paragraph
0 957 160 969 178 0 0 0 LFALUZ+CMR7 paragraph
SOC 1021 160 1069 178 0 0 0 DBDCJJ+CMMI7 paragraph
0 1106 160 1116 178 0 0 0 LFALUZ+CMR7 paragraph
0 1173 160 1183 178 0 0 0 LFALUZ+CMR7 paragraph
V 878 180 895 209 0 0 0 AQKEGH+CMMI10 paragraph
= 955 180 977 209 0 0 0 JIQNTC+CMR10 paragraph
V 987 180 1003 209 0 0 0 AQKEGH+CMMI10 paragraph
+ 1023 180 1045 209 0 0 0 JIQNTC+CMR10 paragraph
V 1052 180 1067 209 0 0 0 AQKEGH+CMMI10 paragraph
the 1096 180 1135 209 0 0 0 JIQNTC+CMR10 paragraph
SOC 1145 180 1201 209 0 0 0 JIQNTC+CMR10 paragraph
part 1212 180 1263 209 0 0 0 JIQNTC+CMR10 paragraph
of 1273 180 1295 209 0 0 0 JIQNTC+CMR10 paragraph
the 1305 180 1344 209 0 0 0 JIQNTC+CMR10 paragraph
potential. 1354 180 1470 209 0 0 0 JIQNTC+CMR10 paragraph
In 1485 180 1511 209 0 0 0 JIQNTC+CMR10 paragraph
the 1521 180 1560 209 0 0 0 JIQNTC+CMR10 paragraph
SOC 895 191 943 211 0 0 0 DBDCJJ+CMMI7 paragraph
I 1003 191 1013 211 0 0 0 DBDCJJ+CMMI7 paragraph
(cid:29)R 1064 191 1091 239 0 0 0 LGOAZT+CMSY10 paragraph
limit 878 213 936 239 0 0 0 JIQNTC+CMR10 paragraph
where 946 213 1016 239 0 0 0 JIQNTC+CMR10 paragraph
V 1026 213 1042 239 0 0 0 AQKEGH+CMMI10 paragraph
V 1099 213 1115 239 0 0 0 AQKEGH+CMMI10 paragraph
, 1166 213 1174 239 0 0 0 JIQNTC+CMR10 paragraph
the 1183 213 1222 239 0 0 0 JIQNTC+CMR10 paragraph
solution 1232 213 1327 239 0 0 0 JIQNTC+CMR10 paragraph
to 1337 213 1361 239 0 0 0 JIQNTC+CMR10 paragraph
Eq. 1371 213 1412 239 0 0 0 JIQNTC+CMR10 paragraph
(35) 1422 213 1470 239 0 0 0 JIQNTC+CMR10 paragraph
can 1480 213 1523 239 0 0 0 JIQNTC+CMR10 paragraph
be 1531 213 1560 239 0 0 0 JIQNTC+CMR10 paragraph
0 1042 224 1054 242 0 0 0 LFALUZ+CMR7 paragraph
SOC 1115 224 1164 242 0 0 0 DBDCJJ+CMMI7 paragraph
(loosely) 878 244 982 272 0 0 0 JIQNTC+CMR10 paragraph
written 992 244 1079 272 0 0 0 JIQNTC+CMR10 paragraph
as: 1089 244 1122 272 0 0 0 JIQNTC+CMR10 paragraph
(cid:20) 1394 253 1407 356 0 0 0 SUMFWE+CMEX10 equation
(cid:21) 1530 253 1543 356 0 0 0 SUMFWE+CMEX10 equation
− 1329 319 1349 367 0 0 0 LGOAZT+CMSY10 equation
V 1060 338 1077 367 0 0 0 AQKEGH+CMMI10 equation
+ 1096 338 1116 367 0 0 0 JIQNTC+CMR10 equation
V 1123 338 1139 367 0 0 0 AQKEGH+CMMI10 equation
≈ 1275 336 1297 385 0 0 0 LGOAZT+CMSY10 equation
1 1349 338 1365 367 0 0 0 JIQNTC+CMR10 equation
V 1458 338 1475 367 0 0 0 AQKEGH+CMMI10 equation
T(E) 884 356 946 385 0 0 0 AQKEGH+CMMI10 equation
= 955 356 975 385 0 0 0 JIQNTC+CMR10 equation
− 1008 356 1028 404 0 0 0 LGOAZT+CMSY10 equation
0 1077 349 1088 369 0 0 0 LFALUZ+CMR7 equation
SOCG 1139 349 1201 404 0 0 0 DBDCJJ+CMMI7 equation
G 1307 356 1324 404 0 0 0 LGOAZT+CMSY10 equation
1 1407 356 1422 385 0 0 0 JIQNTC+CMR10 equation
+ 1428 356 1450 385 0 0 0 JIQNTC+CMR10 equation
SOC 1475 349 1523 369 0 0 0 DBDCJJ+CMMI7 equation
, 1548 356 1557 385 0 0 0 AQKEGH+CMMI10 equation
1 987 376 1001 404 0 0 0 JIQNTC+CMR10 equation
(V 1035 376 1062 404 0 0 0 AQKEGH+CMMI10 equation
+ 1081 376 1101 404 0 0 0 JIQNTC+CMR10 equation
V 1108 376 1123 404 0 0 0 AQKEGH+CMMI10 equation
) 1174 376 1186 404 0 0 0 JIQNTC+CMR10 equation
(E) 1220 376 1264 404 0 0 0 JIQNTC+CMR10 equation
(E) 1343 376 1385 404 0 0 0 JIQNTC+CMR10 equation
V 1479 376 1494 404 0 0 0 AQKEGH+CMMI10 equation
0 1062 387 1072 407 0 0 0 LFALUZ+CMR7 equation
SOC 1123 387 1173 407 0 0 0 DBDCJJ+CMMI7 equation
R 1201 387 1218 407 0 0 0 DBDCJJ+CMMI7 equation
R 1324 387 1341 407 0 0 0 DBDCJJ+CMMI7 equation
0 1494 387 1506 407 0 0 0 LFALUZ+CMR7 equation
(36) 1511 407 1560 435 0 0 0 JIQNTC+CMR10 equation
where 907 475 977 501 0 0 0 JIQNTC+CMR10 paragraph
the 987 475 1025 501 0 0 0 JIQNTC+CMR10 paragraph
last 1033 475 1077 501 0 0 0 JIQNTC+CMR10 paragraph
expression 1086 475 1210 501 0 0 0 JIQNTC+CMR10 paragraph
applies 1218 475 1302 501 0 0 0 JIQNTC+CMR10 paragraph
to 1310 475 1336 501 0 0 0 JIQNTC+CMR10 paragraph
the 1344 475 1382 501 0 0 0 JIQNTC+CMR10 paragraph
large 1390 475 1450 501 0 0 0 JIQNTC+CMR10 paragraph
V 1458 475 1475 501 0 0 0 AQKEGH+CMMI10 paragraph
limit. 1496 475 1560 501 0 0 0 JIQNTC+CMR10 paragraph
∗ 1424 488 1434 521 0 0 0 MBJGCW+CMSY7 paragraph
