token X1 Y1 X2 Y2 R G B "font name" label
Variety 340 329 430 357 0 0 0 EPNJGH+CMR10 title
of 438 329 461 357 0 0 0 EPNJGH+CMR10 title
idempotents 469 329 618 357 0 0 0 EPNJGH+CMR10 title
in 626 329 650 357 0 0 0 EPNJGH+CMR10 title
nonassociative 659 329 833 357 0 0 0 EPNJGH+CMR10 title
algebras 841 329 941 357 0 0 0 EPNJGH+CMR10 title
Ver.: 975 334 1025 357 255 0 0 JCPZVE+CMR8 paragraph
Sun 1035 334 1075 357 255 0 0 JCPZVE+CMR8 paragraph
31st 1081 332 1121 357 255 0 0 JCPZVE+CMR8 paragraph
May, 1131 334 1180 357 255 0 0 JCPZVE+CMR8 paragraph
2020, 1189 334 1242 357 255 0 0 JCPZVE+CMR8 paragraph
00:165 1250 329 1318 357 255 0 0 JCPZVE+CMR8 paragraph
∈ 1094 388 1113 437 0 0 0 GKYOBE+CMSY10 paragraph
∗ 1144 390 1156 425 0 0 0 FTPKSQ+CMSY7 paragraph
⊗ 1162 388 1185 437 0 0 0 GKYOBE+CMSY10 paragraph
∗ 1214 390 1225 425 0 0 0 FTPKSQ+CMSY7 paragraph
⊗ 1232 388 1253 437 0 0 0 GKYOBE+CMSY10 paragraph
which 334 409 403 437 0 0 0 EPNJGH+CMR10 paragraph
is 413 409 431 437 0 0 0 EPNJGH+CMR10 paragraph
naturally 441 409 552 437 0 0 0 EPNJGH+CMR10 paragraph
identiﬁed 562 409 673 437 0 0 0 EPNJGH+CMR10 paragraph
with 683 409 736 437 0 0 0 EPNJGH+CMR10 paragraph
a 745 409 760 437 0 0 0 EPNJGH+CMR10 paragraph
corresponding 769 409 937 437 0 0 0 EPNJGH+CMR10 paragraph
element 947 409 1042 437 0 0 0 EPNJGH+CMR10 paragraph
ψ 1050 409 1068 437 0 0 0 WFAGCX+CMMI10 paragraph
V 1121 409 1137 437 0 0 0 WFAGCX+CMMI10 paragraph
V 1190 409 1207 437 0 0 0 WFAGCX+CMMI10 paragraph
V 1260 409 1276 437 0 0 0 WFAGCX+CMMI10 paragraph
. 1283 409 1290 437 0 0 0 EPNJGH+CMR10 paragraph
If 1300 409 1318 437 0 0 0 EPNJGH+CMR10 paragraph
{ 385 421 398 470 0 0 0 GKYOBE+CMSY10 paragraph
} 514 421 527 470 0 0 0 GKYOBE+CMSY10 paragraph
A 1068 418 1085 439 0 0 0 RGBPJU+CMMI7 paragraph
e 334 442 348 470 0 0 0 WSHFRH+CMBX10 paragraph
= 355 442 377 470 0 0 0 EPNJGH+CMR10 paragraph
e 398 442 411 470 0 0 0 WFAGCX+CMMI10 paragraph
, 425 442 431 470 0 0 0 WFAGCX+CMMI10 paragraph
. 436 442 444 470 0 0 0 WFAGCX+CMMI10 paragraph
. 449 442 456 470 0 0 0 WFAGCX+CMMI10 paragraph
. 461 442 469 470 0 0 0 WFAGCX+CMMI10 paragraph
, 474 442 481 470 0 0 0 WFAGCX+CMMI10 paragraph
e 486 442 499 470 0 0 0 WFAGCX+CMMI10 paragraph
is 537 442 555 470 0 0 0 EPNJGH+CMR10 paragraph
an 564 442 593 470 0 0 0 EPNJGH+CMR10 paragraph
arbitrary 602 442 711 470 0 0 0 EPNJGH+CMR10 paragraph
basis 719 442 779 470 0 0 0 EPNJGH+CMR10 paragraph
in 787 442 810 470 0 0 0 EPNJGH+CMR10 paragraph
A, 818 442 848 470 0 0 0 WFAGCX+CMMI10 paragraph
where 856 442 927 470 0 0 0 EPNJGH+CMR10 paragraph
n 936 442 952 470 0 0 0 WFAGCX+CMMI10 paragraph
= 960 442 982 470 0 0 0 EPNJGH+CMR10 paragraph
dim 990 442 1035 470 0 0 0 EPNJGH+CMR10 paragraph
A, 1061 442 1089 470 0 0 0 WFAGCX+CMMI10 paragraph
then 1099 442 1152 470 0 0 0 EPNJGH+CMR10 paragraph
ψ 1162 442 1179 470 0 0 0 WFAGCX+CMMI10 paragraph
induces 1207 442 1296 470 0 0 0 EPNJGH+CMR10 paragraph
a 1305 442 1318 470 0 0 0 EPNJGH+CMR10 paragraph
1 411 453 423 472 0 0 0 BDSKIJ+CMR7 paragraph
n 499 453 512 472 0 0 0 RGBPJU+CMMI7 paragraph
→ 808 453 835 502 0 0 0 GKYOBE+CMSY10 paragraph
K 1035 453 1055 472 0 0 0 RGBPJU+CMMI7 paragraph
A 1179 453 1197 472 0 0 0 RGBPJU+CMMI7 paragraph
K-quadratic 334 474 482 502 0 0 0 EPNJGH+CMR10 paragraph
polynomial 492 474 626 502 0 0 0 EPNJGH+CMR10 paragraph
map 635 474 688 502 0 0 0 EPNJGH+CMR10 paragraph
Ψ 697 474 719 502 0 0 0 EPNJGH+CMR10 paragraph
: 744 474 752 502 0 0 0 EPNJGH+CMR10 paragraph
Kn 759 472 798 502 0 0 0 WFAGCX+CMMI10 paragraph
Kn 843 472 883 502 0 0 0 WFAGCX+CMMI10 paragraph
deﬁned 893 474 979 502 0 0 0 EPNJGH+CMR10 paragraph
by 989 474 1018 502 0 0 0 EPNJGH+CMR10 paragraph
A 719 486 736 505 0 0 0 RGBPJU+CMMI7 paragraph
(cid:88) 590 603 631 708 0 0 0 EPNJGH+CMR10 paragraph
where 396 624 468 652 0 0 0 EPNJGH+CMR10 paragraph
(cid:15) 476 624 487 652 0 0 0 WFAGCX+CMMI10 paragraph
is 497 624 516 652 0 0 0 EPNJGH+CMR10 paragraph
the 525 624 564 652 0 0 0 EPNJGH+CMR10 paragraph
coordinatization 573 624 769 652 0 0 0 EPNJGH+CMR10 paragraph
map 779 624 830 652 0 0 0 EPNJGH+CMR10 paragraph
n 603 666 618 687 0 0 0 RGBPJU+CMMI7 paragraph
→ 754 675 782 722 0 0 0 GKYOBE+CMSY10 paragraph
∈ 1080 675 1099 722 0 0 0 GKYOBE+CMSY10 paragraph
(cid:15)(x) 497 694 545 722 0 0 0 WFAGCX+CMMI10 paragraph
:= 554 694 583 722 0 0 0 EPNJGH+CMR10 paragraph
x 635 694 651 722 0 0 0 WFAGCX+CMMI10 paragraph
e 661 694 673 722 0 0 0 WFAGCX+CMMI10 paragraph
: 691 694 697 722 0 0 0 EPNJGH+CMR10 paragraph
Kn 706 690 745 722 0 0 0 WFAGCX+CMMI10 paragraph
A, 788 694 818 722 0 0 0 WFAGCX+CMMI10 paragraph
x 878 694 893 722 0 0 0 WFAGCX+CMMI10 paragraph
= 901 694 922 722 0 0 0 EPNJGH+CMR10 paragraph
(x 931 694 957 722 0 0 0 EPNJGH+CMR10 paragraph
, 969 694 977 722 0 0 0 WFAGCX+CMMI10 paragraph
. 982 694 989 722 0 0 0 WFAGCX+CMMI10 paragraph
. 994 694 1002 722 0 0 0 WFAGCX+CMMI10 paragraph
. 1007 694 1013 722 0 0 0 WFAGCX+CMMI10 paragraph
, 1018 694 1027 722 0 0 0 WFAGCX+CMMI10 paragraph
x 1032 694 1046 722 0 0 0 WFAGCX+CMMI10 paragraph
