token X1 Y1 X2 Y2 R G B "font name" label
at 200 201 228 236 0 0 0 HRLAQY+CMR12 paragraph
the 243 201 287 236 0 0 0 HRLAQY+CMR12 paragraph
LO 302 201 347 236 0 0 0 HRLAQY+CMR12 paragraph
QCD 362 201 435 236 0 0 0 HRLAQY+CMR12 paragraph
corrections 449 201 603 236 0 0 0 HRLAQY+CMR12 paragraph
can 616 201 666 236 0 0 0 HRLAQY+CMR12 paragraph
be 681 201 714 236 0 0 0 HRLAQY+CMR12 paragraph
found 727 201 808 236 0 0 0 HRLAQY+CMR12 paragraph
from 823 201 889 236 0 0 0 HRLAQY+CMR12 paragraph
Eq. 903 201 951 236 0 0 0 HRLAQY+CMR12 paragraph
(62). 965 201 1032 236 0 0 0 HRLAQY+CMR12 paragraph
Since 1056 201 1131 236 0 0 0 HRLAQY+CMR12 paragraph
Q 1146 201 1171 236 0 0 0 BQPBVY+CMMI12 paragraph
mix 1217 201 1270 236 0 0 0 HRLAQY+CMR12 paragraph
with 1285 201 1348 236 0 0 0 HRLAQY+CMR12 paragraph
the 1362 201 1407 236 0 0 0 HRLAQY+CMR12 paragraph
QCD 1422 201 1495 236 0 0 0 HRLAQY+CMR12 paragraph
1,2 1171 212 1202 236 0 0 0 ZJTVNN+CMR8 paragraph
× 1124 233 1151 292 0 0 0 GBIZKE+CMSY10 paragraph
and 200 259 251 292 0 0 0 HRLAQY+CMR12 paragraph
EW 262 259 319 292 0 0 0 HRLAQY+CMR12 paragraph
penguin 330 259 443 292 0 0 0 HRLAQY+CMR12 paragraph
operators, 454 259 597 292 0 0 0 HRLAQY+CMR12 paragraph
i.e. 608 259 650 292 0 0 0 HRLAQY+CMR12 paragraph
Q 666 259 693 292 0 0 0 BQPBVY+CMMI12 paragraph
− 704 254 722 294 0 0 0 DDBZEE+CMSY8 paragraph
, 747 259 757 292 0 0 0 HRLAQY+CMR12 paragraph
we 769 259 805 292 0 0 0 HRLAQY+CMR12 paragraph
basically 817 259 939 292 0 0 0 HRLAQY+CMR12 paragraph
need 951 259 1015 292 0 0 0 HRLAQY+CMR12 paragraph
the 1027 259 1073 292 0 0 0 HRLAQY+CMR12 paragraph
10 1085 259 1116 292 0 0 0 HRLAQY+CMR12 paragraph
10 1157 259 1190 292 0 0 0 HRLAQY+CMR12 paragraph
ADM 1202 259 1281 292 0 0 0 HRLAQY+CMR12 paragraph
matrix 1293 259 1387 292 0 0 0 HRLAQY+CMR12 paragraph
for 1399 259 1438 292 0 0 0 HRLAQY+CMR12 paragraph
the 1450 259 1495 292 0 0 0 HRLAQY+CMR12 paragraph
3 693 271 704 294 0 0 0 ZJTVNN+CMR8 paragraph
10 722 271 745 294 0 0 0 ZJTVNN+CMR8 paragraph
operators 200 318 332 350 0 0 0 HRLAQY+CMR12 paragraph
Q 345 318 370 350 0 0 0 BQPBVY+CMMI12 paragraph
− 382 313 401 353 0 0 0 DDBZEE+CMSY8 paragraph
. 426 318 435 350 0 0 0 HRLAQY+CMR12 paragraph
Since 454 318 529 350 0 0 0 HRLAQY+CMR12 paragraph
the 542 318 587 350 0 0 0 HRLAQY+CMR12 paragraph
mixture 600 318 711 350 0 0 0 HRLAQY+CMR12 paragraph
of 724 318 750 350 0 0 0 HRLAQY+CMR12 paragraph
Q 764 318 788 350 0 0 0 BQPBVY+CMMI12 paragraph
and 833 318 886 350 0 0 0 HRLAQY+CMR12 paragraph
Q 899 318 924 350 0 0 0 BQPBVY+CMMI12 paragraph
− 936 313 954 353 0 0 0 DDBZEE+CMSY8 paragraph
is 992 318 1015 350 0 0 0 HRLAQY+CMR12 paragraph
dominated 1027 318 1177 350 0 0 0 HRLAQY+CMR12 paragraph
by 1190 318 1225 350 0 0 0 HRLAQY+CMR12 paragraph
the 1237 318 1283 350 0 0 0 HRLAQY+CMR12 paragraph
QCD 1295 318 1369 350 0 0 0 HRLAQY+CMR12 paragraph
penguin 1382 318 1495 350 0 0 0 HRLAQY+CMR12 paragraph
1 370 329 382 353 0 0 0 ZJTVNN+CMR8 paragraph
10 401 329 425 353 0 0 0 ZJTVNN+CMR8 paragraph
1,2 788 329 820 353 0 0 0 ZJTVNN+CMR8 paragraph
3 924 329 936 353 0 0 0 ZJTVNN+CMR8 paragraph
10 954 329 979 353 0 0 0 ZJTVNN+CMR8 paragraph
× 559 350 585 406 0 0 0 GBIZKE+CMSY10 paragraph
operators, 200 376 340 409 0 0 0 HRLAQY+CMR12 paragraph
we 350 376 387 409 0 0 0 HRLAQY+CMR12 paragraph
adopt 395 376 478 409 0 0 0 HRLAQY+CMR12 paragraph
the 486 376 530 409 0 0 0 HRLAQY+CMR12 paragraph
6 539 376 555 409 0 0 0 HRLAQY+CMR12 paragraph
6 587 376 603 409 0 0 0 HRLAQY+CMR12 paragraph
ADM 611 376 691 409 0 0 0 HRLAQY+CMR12 paragraph
for 699 376 739 409 0 0 0 HRLAQY+CMR12 paragraph
the 747 376 792 409 0 0 0 HRLAQY+CMR12 paragraph
new 802 376 856 409 0 0 0 HRLAQY+CMR12 paragraph
physics 866 376 967 409 0 0 0 HRLAQY+CMR12 paragraph
eﬀects, 975 376 1073 409 0 0 0 HRLAQY+CMR12 paragraph
and 1081 376 1134 409 0 0 0 HRLAQY+CMR12 paragraph
the 1142 376 1189 409 0 0 0 HRLAQY+CMR12 paragraph
ADM 1197 376 1276 409 0 0 0 HRLAQY+CMR12 paragraph
is 1285 376 1306 409 0 0 0 HRLAQY+CMR12 paragraph
given 1314 376 1389 409 0 0 0 HRLAQY+CMR12 paragraph
as 1397 376 1427 409 0 0 0 HRLAQY+CMR12 paragraph
[54]: 1435 376 1495 409 0 0 0 HRLAQY+CMR12 paragraph
with 241 900 304 935 0 0 0 HRLAQY+CMR12 paragraph
f 319 900 335 935 0 0 0 BQPBVY+CMMI12 paragraph
being 353 900 431 935 0 0 0 HRLAQY+CMR12 paragraph
the 446 900 491 935 0 0 0 HRLAQY+CMR12 paragraph
number 507 900 615 935 0 0 0 HRLAQY+CMR12 paragraph
of 630 900 656 935 0 0 0 HRLAQY+CMR12 paragraph
ﬂavors. 671 900 772 935 0 0 0 HRLAQY+CMR12 paragraph
If 800 900 822 935 0 0 0 HRLAQY+CMR12 paragraph
we 836 900 874 935 0 0 0 HRLAQY+CMR12 paragraph
take 889 900 949 935 0 0 0 HRLAQY+CMR12 paragraph
the 965 900 1010 935 0 0 0 HRLAQY+CMR12 paragraph
operators 1025 900 1159 935 0 0 0 HRLAQY+CMR12 paragraph
Q 1174 900 1200 935 0 0 0 BQPBVY+CMMI12 paragraph
− 1212 898 1230 935 0 0 0 DDBZEE+CMSY8 paragraph
as 1258 900 1288 935 0 0 0 HRLAQY+CMR12 paragraph
a 1303 900 1319 935 0 0 0 HRLAQY+CMR12 paragraph
basis, 1334 900 1412 935 0 0 0 HRLAQY+CMR12 paragraph
from 1429 900 1495 935 0 0 0 HRLAQY+CMR12 paragraph
1 1200 914 1212 935 0 0 0 ZJTVNN+CMR8 paragraph
6 1230 914 1242 935 0 0 0 ZJTVNN+CMR8 paragraph
Eq. 200 958 248 994 0 0 0 HRLAQY+CMR12 paragraph
(24), 258 958 324 994 0 0 0 HRLAQY+CMR12 paragraph
the 334 958 380 994 0 0 0 HRLAQY+CMR12 paragraph
corresponding 390 958 588 994 0 0 0 HRLAQY+CMR12 paragraph
Wilson 598 958 696 994 0 0 0 HRLAQY+CMR12 paragraph
coeﬃcients 706 958 860 994 0 0 0 HRLAQY+CMR12 paragraph
can 871 958 919 994 0 0 0 HRLAQY+CMR12 paragraph
form 929 958 995 994 0 0 0 HRLAQY+CMR12 paragraph
a 1005 958 1022 994 0 0 0 HRLAQY+CMR12 paragraph
vector 1032 958 1119 994 0 0 0 HRLAQY+CMR12 paragraph
and 1129 958 1180 994 0 0 0 HRLAQY+CMR12 paragraph
be 1190 958 1225 994 0 0 0 HRLAQY+CMR12 paragraph
expressed 1235 958 1369 994 0 0 0 HRLAQY+CMR12 paragraph
as 1379 958 1409 994 0 0 0 HRLAQY+CMR12 paragraph
C 1419 958 1442 991 0 0 0 BQPBVY+CMMI12 paragraph
= 1470 958 1495 994 0 0 0 HRLAQY+CMR12 paragraph
T 1442 970 1455 994 0 0 0 XXQUIX+CMMI8 paragraph
− 243 991 267 1050 0 0 0 GBIZKE+CMSY10 paragraph
(cid:48) 575 996 582 1033 0 0 0 DDBZEE+CMSY8 paragraph
− 689 991 714 1050 0 0 0 GBIZKE+CMSY10 paragraph
(1, 200 1017 236 1050 0 0 0 HRLAQY+CMR12 paragraph
1, 267 1017 294 1050 0 0 0 HRLAQY+CMR12 paragraph
0, 299 1017 324 1050 0 0 0 HRLAQY+CMR12 paragraph
0, 330 1017 355 1050 0 0 0 HRLAQY+CMR12 paragraph
0, 360 1017 387 1050 0 0 0 HRLAQY+CMR12 paragraph
0)ζLL 391 1012 469 1050 0 0 0 HRLAQY+CMR12 paragraph
and 484 1017 537 1050 0 0 0 HRLAQY+CMR12 paragraph
