token X1 Y1 X2 Y2 R G B "font name" label
tions 853 173 913 210 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
between 917 173 1018 210 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
dimensions 1025 173 1162 210 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
does 1169 173 1225 210 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
not 1230 173 1270 210 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
compensate 1275 173 1419 210 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
for 1424 173 1460 210 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
the 853 210 889 247 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
increased 899 210 1015 247 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
expressiveness 1025 210 1204 247 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
of 1214 210 1238 247 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
the 1248 210 1286 247 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
model 1296 210 1372 247 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
due 1382 210 1425 247 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
to 1437 210 1460 247 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
et 301 233 322 271 0 0 127 BMHXZE+NimbusRomNo9L-Regu paragraph
the 853 250 889 285 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
larger 901 250 972 285 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
hidden 984 250 1066 285 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
state 1078 250 1132 285 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
size. 1144 250 1199 285 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
Further 1222 250 1311 285 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
experimen- 1323 250 1460 285 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
tation, 853 287 929 322 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
with 942 287 995 322 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
tuned 1007 287 1075 322 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
hyperparameters, 1086 287 1295 322 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
is 1308 287 1328 322 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
needed 1339 287 1425 322 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
to 1437 287 1460 322 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
determine 853 325 974 360 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
the 982 325 1018 360 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
actual 1025 325 1098 360 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
beneﬁts 1104 325 1199 360 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
of 1207 325 1232 360 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
predeﬁned 1238 325 1367 360 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
sparse- 1374 325 1460 360 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
et 301 362 322 397 0 0 127 BMHXZE+NimbusRomNo9L-Regu paragraph
ness, 853 362 913 399 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
in 922 362 946 399 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
terms 956 362 1023 399 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
of 1032 362 1056 399 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
model 1066 362 1142 399 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
size, 1152 362 1207 399 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
resulting 1217 362 1323 399 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
perplexity, 1331 362 1460 399 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
and 853 399 896 437 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
sensitivity 904 399 1028 437 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
to 1037 399 1060 437 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
the 1066 399 1104 437 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
choice 1111 399 1190 437 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
of 1199 399 1223 437 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
hyperparameters. 1232 399 1440 437 0 0 0 BMHXZE+NimbusRomNo9L-Regu paragraph
