token X1 Y1 X2 Y2 R G B "font name" label
4 1547 77 1560 105 0 0 0 GPUQGU+CMR10 paragraph
(cid:18) 421 88 442 191 0 0 0 VNAKRC+CMEX10 paragraph
(cid:104) 520 96 533 200 0 0 0 VNAKRC+CMEX10 paragraph
(cid:105) 578 96 591 200 0 0 0 VNAKRC+CMEX10 paragraph
(cid:19) 608 88 629 191 0 0 0 VNAKRC+CMEX10 paragraph
(cid:101) 261 121 277 224 0 0 0 VNAKRC+CMEX10 paragraph
(cid:101) 341 127 357 231 0 0 0 VNAKRC+CMEX10 paragraph
(cid:101) 447 121 462 224 0 0 0 VNAKRC+CMEX10 paragraph
(cid:101) 470 127 486 231 0 0 0 VNAKRC+CMEX10 paragraph
(cid:101) 537 121 552 224 0 0 0 VNAKRC+CMEX10 paragraph
(cid:101) 562 127 578 231 0 0 0 VNAKRC+CMEX10 paragraph
(cid:101) 1006 121 1021 224 0 0 0 VNAKRC+CMEX10 paragraph
(cid:101) 1164 121 1179 224 0 0 0 VNAKRC+CMEX10 paragraph
− 317 171 340 220 0 0 0 WTFUAW+CMSY10 paragraph
∇ 442 171 465 220 0 0 0 WTFUAW+CMSY10 paragraph
∇ 533 171 557 220 0 0 0 WTFUAW+CMSY10 paragraph
T 591 173 603 193 0 0 0 ZBHBRY+CMMI7 paragraph
S 1001 171 1018 220 0 0 0 WTFUAW+CMSY10 paragraph
where 176 191 248 220 0 0 0 GPUQGU+CMR10 paragraph
Π 256 191 280 220 0 0 0 ZSUQZG+CMBX10 paragraph
= 289 191 311 220 0 0 0 GPUQGU+CMR10 paragraph
p1 340 189 370 220 0 0 0 CJFBML+CMMI10 paragraph
+ 375 191 397 220 0 0 0 GPUQGU+CMR10 paragraph
η 402 191 416 220 0 0 0 CJFBML+CMMI10 paragraph
v 470 191 486 220 0 0 0 TAZIVW+CMMIB10 paragraph
+ 493 191 515 220 0 0 0 GPUQGU+CMR10 paragraph
v 561 191 576 220 0 0 0 TAZIVW+CMMIB10 paragraph
is 637 191 656 220 0 0 0 GPUQGU+CMR10 paragraph
the 664 191 703 220 0 0 0 GPUQGU+CMR10 paragraph
