token X1 Y1 X2 Y2 R G B "font name" label
8 374 257 385 281 0 0 0 RCDKKU+CMR9 paragraph
F-K. 465 257 516 281 0 0 0 RCDKKU+CMR9 paragraph
Thielemann 525 257 657 281 0 0 0 RCDKKU+CMR9 paragraph
Eichler, 374 325 465 354 0 0 0 GWCKEE+CMR10 reference
D., 474 325 511 354 0 0 0 GWCKEE+CMR10 reference
Livio, 520 325 589 354 0 0 0 GWCKEE+CMR10 reference
M., 598 325 639 354 0 0 0 GWCKEE+CMR10 reference
Piran, 647 325 722 354 0 0 0 GWCKEE+CMR10 reference
T., 732 325 766 354 0 0 0 GWCKEE+CMR10 reference
& 776 325 797 354 0 0 0 GWCKEE+CMR10 reference
Schramm, 807 325 928 354 0 0 0 GWCKEE+CMR10 reference
D. 936 325 965 354 0 0 0 GWCKEE+CMR10 reference
N. 975 325 1003 354 0 0 0 GWCKEE+CMR10 reference
1989, 1013 325 1076 354 0 0 0 GWCKEE+CMR10 reference
Nature, 1084 325 1176 354 0 0 0 GWCKEE+CMR10 reference
340, 1186 325 1235 354 0 0 0 GWCKEE+CMR10 reference
126 1244 325 1285 354 0 0 0 GWCKEE+CMR10 reference
Eichler, 374 358 465 387 0 0 0 GWCKEE+CMR10 reference
M., 474 358 515 387 0 0 0 GWCKEE+CMR10 reference
Nakamura, 525 358 656 387 0 0 0 GWCKEE+CMR10 reference
K., 666 358 702 387 0 0 0 GWCKEE+CMR10 reference
Takiwaki, 712 358 829 387 0 0 0 GWCKEE+CMR10 reference
T., 838 358 873 387 0 0 0 GWCKEE+CMR10 reference
et 882 358 906 387 0 0 0 GWCKEE+CMR10 reference
al. 914 358 945 387 0 0 0 GWCKEE+CMR10 reference
2018, 953 358 1016 387 0 0 0 GWCKEE+CMR10 reference
Journal 1026 358 1116 387 0 0 0 GWCKEE+CMR10 reference
of 1127 358 1149 387 0 0 0 GWCKEE+CMR10 reference
Physics 1157 358 1247 387 0 0 0 GWCKEE+CMR10 reference
G 1258 358 1280 387 0 0 0 GWCKEE+CMR10 reference
Nu- 1288 358 1334 387 0 0 0 GWCKEE+CMR10 reference
clear 401 391 457 420 0 0 0 GWCKEE+CMR10 reference
Physics, 467 391 564 420 0 0 0 GWCKEE+CMR10 reference
45, 574 391 610 420 0 0 0 GWCKEE+CMR10 reference
014001 618 391 702 420 0 0 0 GWCKEE+CMR10 reference
Ertl, 374 424 430 453 0 0 0 GWCKEE+CMR10 reference
T., 440 424 476 453 0 0 0 GWCKEE+CMR10 reference
Janka, 486 424 564 453 0 0 0 GWCKEE+CMR10 reference
H.-T., 574 424 647 453 0 0 0 GWCKEE+CMR10 reference
Woosley, 657 424 763 453 0 0 0 GWCKEE+CMR10 reference
S. 773 424 797 453 0 0 0 GWCKEE+CMR10 reference
E., 807 424 841 453 0 0 0 GWCKEE+CMR10 reference
Sukhbold, 851 424 972 453 0 0 0 GWCKEE+CMR10 reference
T., 984 424 1018 453 0 0 0 GWCKEE+CMR10 reference
& 1030 424 1050 453 0 0 0 GWCKEE+CMR10 reference
Ugliano, 1062 424 1162 453 0 0 0 GWCKEE+CMR10 reference
M. 1173 424 1205 453 0 0 0 GWCKEE+CMR10 reference
2016, 1217 424 1280 453 0 0 0 GWCKEE+CMR10 reference
Ap. 1290 424 1334 453 0 0 0 GWCKEE+CMR10 reference
J., 401 459 430 486 0 0 0 GWCKEE+CMR10 reference
818, 440 459 489 486 0 0 0 GWCKEE+CMR10 reference
124 498 459 540 486 0 0 0 GWCKEE+CMR10 reference
Farouqi, 374 492 472 519 0 0 0 GWCKEE+CMR10 reference
K., 482 492 518 519 0 0 0 GWCKEE+CMR10 reference
Kratz, 528 492 605 519 0 0 0 GWCKEE+CMR10 reference
K.-L., 615 492 685 519 0 0 0 GWCKEE+CMR10 reference
Pfeiﬀer, 695 492 788 519 0 0 0 GWCKEE+CMR10 reference
B., 799 492 833 519 0 0 0 GWCKEE+CMR10 reference
et 843 492 865 519 0 0 0 GWCKEE+CMR10 reference
al. 875 492 904 519 0 0 0 GWCKEE+CMR10 reference
2010, 912 492 975 519 0 0 0 GWCKEE+CMR10 reference
Ap. 986 492 1030 519 0 0 0 GWCKEE+CMR10 reference
J., 1038 492 1067 519 0 0 0 GWCKEE+CMR10 reference
712, 1077 492 1127 519 0 0 0 GWCKEE+CMR10 reference
1359 1135 492 1191 519 0 0 0 GWCKEE+CMR10 reference
Foglizzo, 374 525 477 552 0 0 0 GWCKEE+CMR10 reference
T., 487 525 523 552 0 0 0 GWCKEE+CMR10 reference
Kazeroni, 532 525 647 552 0 0 0 GWCKEE+CMR10 reference
R., 656 525 691 552 0 0 0 GWCKEE+CMR10 reference
Guilet, 700 525 783 552 0 0 0 GWCKEE+CMR10 reference
J., 792 525 822 552 0 0 0 GWCKEE+CMR10 reference
et 831 525 855 552 0 0 0 GWCKEE+CMR10 reference
al. 863 525 892 552 0 0 0 GWCKEE+CMR10 reference
2015, 901 525 965 552 0 0 0 GWCKEE+CMR10 reference
Publ. 974 525 1038 552 0 0 0 GWCKEE+CMR10 reference
Astron. 1047 525 1137 552 0 0 0 GWCKEE+CMR10 reference
Soc. 1147 525 1196 552 0 0 0 GWCKEE+CMR10 reference
Austr., 1205 525 1290 552 0 0 0 GWCKEE+CMR10 reference
32, 1298 525 1334 552 0 0 0 GWCKEE+CMR10 reference
e009 401 558 455 585 0 0 0 GWCKEE+CMR10 reference
Fowler, 374 591 460 618 0 0 0 GWCKEE+CMR10 reference
W. 469 591 506 618 0 0 0 GWCKEE+CMR10 reference
A., 515 591 550 618 0 0 0 GWCKEE+CMR10 reference
& 561 591 583 618 0 0 0 GWCKEE+CMR10 reference
Hoyle, 591 591 668 618 0 0 0 GWCKEE+CMR10 reference
F. 676 591 702 618 0 0 0 GWCKEE+CMR10 reference
1964, 712 591 775 618 0 0 0 GWCKEE+CMR10 reference
Ap. 783 591 827 618 0 0 0 GWCKEE+CMR10 reference
J. 836 591 858 618 0 0 0 GWCKEE+CMR10 reference
Suppl., 868 591 952 618 0 0 0 GWCKEE+CMR10 reference
9, 962 591 984 618 0 0 0 GWCKEE+CMR10 reference
201 992 591 1033 618 0 0 0 GWCKEE+CMR10 reference
Fowler, 374 624 460 651 0 0 0 GWCKEE+CMR10 reference
W. 469 624 504 651 0 0 0 GWCKEE+CMR10 reference
A., 511 624 549 651 0 0 0 GWCKEE+CMR10 reference
Caughlan, 555 624 678 651 0 0 0 GWCKEE+CMR10 reference
G. 686 624 715 651 0 0 0 GWCKEE+CMR10 reference
R., 724 624 759 651 0 0 0 GWCKEE+CMR10 reference
& 766 624 788 651 0 0 0 GWCKEE+CMR10 reference
Zimmerman, 797 624 950 651 0 0 0 GWCKEE+CMR10 reference
B. 958 624 986 651 0 0 0 GWCKEE+CMR10 reference
A. 992 624 1021 651 0 0 0 GWCKEE+CMR10 reference
1967, 1028 624 1091 651 0 0 0 GWCKEE+CMR10 reference
Annu. 1099 624 1173 651 0 0 0 GWCKEE+CMR10 reference
Rev. 1181 624 1235 651 0 0 0 GWCKEE+CMR10 reference
Astron. 1244 624 1334 651 0 0 0 GWCKEE+CMR10 reference
Astrophys., 401 657 538 686 0 0 0 GWCKEE+CMR10 reference
5, 549 657 569 686 0 0 0 GWCKEE+CMR10 reference
525 579 657 620 686 0 0 0 GWCKEE+CMR10 reference
Fowler, 374 690 460 719 0 0 0 GWCKEE+CMR10 reference
W. 469 690 504 719 0 0 0 GWCKEE+CMR10 reference
A., 511 690 549 719 0 0 0 GWCKEE+CMR10 reference
Caughlan, 555 690 678 719 0 0 0 GWCKEE+CMR10 reference
G. 686 690 715 719 0 0 0 GWCKEE+CMR10 reference
R., 724 690 759 719 0 0 0 GWCKEE+CMR10 reference
& 766 690 788 719 0 0 0 GWCKEE+CMR10 reference
Zimmerman, 797 690 950 719 0 0 0 GWCKEE+CMR10 reference
B. 958 690 986 719 0 0 0 GWCKEE+CMR10 reference
A. 992 690 1021 719 0 0 0 GWCKEE+CMR10 reference
1975, 1028 690 1091 719 0 0 0 GWCKEE+CMR10 reference
Annu. 1099 690 1173 719 0 0 0 GWCKEE+CMR10 reference
Rev. 1181 690 1235 719 0 0 0 GWCKEE+CMR10 reference
Astron. 1244 690 1334 719 0 0 0 GWCKEE+CMR10 reference
Astrophys., 401 723 538 752 0 0 0 GWCKEE+CMR10 reference
13, 549 723 583 752 0 0 0 GWCKEE+CMR10 reference
69 593 723 620 752 0 0 0 GWCKEE+CMR10 reference
Freiburghaus, 374 756 538 785 0 0 0 GWCKEE+CMR10 reference
C., 547 756 583 785 0 0 0 GWCKEE+CMR10 reference
Rembges, 593 756 707 785 0 0 0 GWCKEE+CMR10 reference
J.-F., 717 756 782 785 0 0 0 GWCKEE+CMR10 reference
Rauscher, 790 756 909 785 0 0 0 GWCKEE+CMR10 reference
T., 918 756 953 785 0 0 0 GWCKEE+CMR10 reference
et 962 756 986 785 0 0 0 GWCKEE+CMR10 reference
al. 994 756 1023 785 0 0 0 GWCKEE+CMR10 reference
1999a, 1033 756 1110 785 0 0 0 GWCKEE+CMR10 reference
Ap. 1120 756 1162 785 0 0 0 GWCKEE+CMR10 reference
J., 1173 756 1201 785 0 0 0 GWCKEE+CMR10 reference
516, 1212 756 1259 785 0 0 0 GWCKEE+CMR10 reference
381 1269 756 1310 785 0 0 0 GWCKEE+CMR10 reference
Freiburghaus, 374 789 538 818 0 0 0 GWCKEE+CMR10 reference
C., 549 789 584 818 0 0 0 GWCKEE+CMR10 reference
Rosswog, 596 789 707 818 0 0 0 GWCKEE+CMR10 reference
S., 717 789 748 818 0 0 0 GWCKEE+CMR10 reference
& 759 789 782 818 0 0 0 GWCKEE+CMR10 reference
Thielemann, 792 789 943 818 0 0 0 GWCKEE+CMR10 reference
F.-K. 953 789 1018 818 0 0 0 GWCKEE+CMR10 reference
1999b, 1030 789 1108 818 0 0 0 GWCKEE+CMR10 reference
Ap. 1118 789 1162 818 0 0 0 GWCKEE+CMR10 reference
J. 1174 789 1196 818 0 0 0 GWCKEE+CMR10 reference
Lett., 1207 789 1273 818 0 0 0 GWCKEE+CMR10 reference
525, 1285 789 1334 818 0 0 0 GWCKEE+CMR10 reference
L121 401 822 460 851 0 0 0 GWCKEE+CMR10 reference
Fr¨ohlich, 374 855 479 884 0 0 0 GWCKEE+CMR10 reference
C., 487 855 523 884 0 0 0 GWCKEE+CMR10 reference
Hauser, 533 855 625 884 0 0 0 GWCKEE+CMR10 reference
P., 634 855 666 884 0 0 0 GWCKEE+CMR10 reference
Liebend¨orfer, 674 855 836 884 0 0 0 GWCKEE+CMR10 reference
M., 844 855 885 884 0 0 0 GWCKEE+CMR10 reference
et 894 855 918 884 0 0 0 GWCKEE+CMR10 reference
al. 926 855 957 884 0 0 0 GWCKEE+CMR10 reference
2006a, 965 855 1042 884 0 0 0 GWCKEE+CMR10 reference
Ap. 1052 855 1094 884 0 0 0 GWCKEE+CMR10 reference
J., 1105 855 1133 884 0 0 0 GWCKEE+CMR10 reference
637, 1144 855 1193 884 0 0 0 GWCKEE+CMR10 reference
415 1201 855 1242 884 0 0 0 GWCKEE+CMR10 reference
Fr¨ohlich, 374 888 479 917 0 0 0 GWCKEE+CMR10 reference
C., 489 888 525 917 0 0 0 GWCKEE+CMR10 reference
Mart´ınez-Pinedo, 533 888 742 917 0 0 0 GWCKEE+CMR10 reference
G., 753 888 790 917 0 0 0 GWCKEE+CMR10 reference
Liebend¨orfer, 800 888 960 917 0 0 0 GWCKEE+CMR10 reference
M., 970 888 1011 917 0 0 0 GWCKEE+CMR10 reference
et 1021 888 1043 917 0 0 0 GWCKEE+CMR10 reference
al. 1054 888 1082 917 0 0 0 GWCKEE+CMR10 reference
2006b, 1093 888 1171 917 0 0 0 GWCKEE+CMR10 reference
Physical 1181 888 1281 917 0 0 0 GWCKEE+CMR10 reference
Re- 1292 888 1334 917 0 0 0 GWCKEE+CMR10 reference
view 401 924 455 950 0 0 0 GWCKEE+CMR10 reference
Letters, 465 924 557 950 0 0 0 GWCKEE+CMR10 reference
96, 567 924 601 950 0 0 0 GWCKEE+CMR10 reference
142502 612 924 695 950 0 0 0 GWCKEE+CMR10 reference
Fujimoto, 374 957 489 983 0 0 0 GWCKEE+CMR10 reference
S.-i., 499 957 554 983 0 0 0 GWCKEE+CMR10 reference
Nishimura, 564 957 697 983 0 0 0 GWCKEE+CMR10 reference
N., 705 957 741 983 0 0 0 GWCKEE+CMR10 reference
& 751 957 771 983 0 0 0 GWCKEE+CMR10 reference
Hashimoto, 782 957 919 983 0 0 0 GWCKEE+CMR10 reference
M.-a. 928 957 992 983 0 0 0 GWCKEE+CMR10 reference
2008, 1001 957 1064 983 0 0 0 GWCKEE+CMR10 reference
Ap. 1074 957 1116 983 0 0 0 GWCKEE+CMR10 reference
J., 1127 957 1156 983 0 0 0 GWCKEE+CMR10 reference
680, 1166 957 1215 983 0 0 0 GWCKEE+CMR10 reference
1350 1224 957 1280 983 0 0 0 GWCKEE+CMR10 reference
Fuller, 374 990 450 1016 0 0 0 GWCKEE+CMR10 reference
G. 460 990 489 1016 0 0 0 GWCKEE+CMR10 reference
M., 498 990 538 1016 0 0 0 GWCKEE+CMR10 reference
Fowler, 549 990 635 1016 0 0 0 GWCKEE+CMR10 reference
W. 646 990 681 1016 0 0 0 GWCKEE+CMR10 reference
A., 690 990 725 1016 0 0 0 GWCKEE+CMR10 reference
& 736 990 758 1016 0 0 0 GWCKEE+CMR10 reference
Newman, 766 990 878 1016 0 0 0 GWCKEE+CMR10 reference
M. 889 990 921 1016 0 0 0 GWCKEE+CMR10 reference
J. 931 990 953 1016 0 0 0 GWCKEE+CMR10 reference
1985, 962 990 1025 1016 0 0 0 GWCKEE+CMR10 reference
Ap. 1035 990 1077 1016 0 0 0 GWCKEE+CMR10 reference
J., 1088 990 1116 1016 0 0 0 GWCKEE+CMR10 reference
293, 1127 990 1176 1016 0 0 0 GWCKEE+CMR10 reference
1 1184 990 1198 1016 0 0 0 GWCKEE+CMR10 reference
Georgy, 374 1023 465 1049 0 0 0 GWCKEE+CMR10 reference
C., 476 1023 511 1049 0 0 0 GWCKEE+CMR10 reference
