token X1 Y1 X2 Y2 R G B "font name" label
Table 198 877 277 913 0 0 0 SMHONF+CMR12 paragraph
3: 289 877 314 913 0 0 0 SMHONF+CMR12 paragraph
Dual-continuum 331 877 561 913 0 0 0 SMHONF+CMR12 caption
background. 572 877 746 913 0 0 0 SMHONF+CMR12 caption
Numerical 765 877 909 913 0 0 0 SMHONF+CMR12 caption
results 921 877 1014 913 0 0 0 SMHONF+CMR12 caption
of 1026 877 1052 913 0 0 0 SMHONF+CMR12 caption
relative 1064 877 1169 913 0 0 0 SMHONF+CMR12 caption
errors 1181 877 1263 913 0 0 0 SMHONF+CMR12 caption
(%) 1275 877 1327 913 0 0 0 SMHONF+CMR12 caption
at 1339 877 1368 913 0 0 0 SMHONF+CMR12 caption
the 1380 877 1426 913 0 0 0 SMHONF+CMR12 caption
ﬁnal 1438 877 1499 913 0 0 0 SMHONF+CMR12 caption
· 821 895 831 952 0 0 0 PSEXZT+CMSY10 caption
· 1091 895 1101 952 0 0 0 PSEXZT+CMSY10 caption
simulation 198 919 346 952 0 0 0 SMHONF+CMR12 caption
time. 357 919 430 952 0 0 0 SMHONF+CMR12 caption
DOF 443 919 518 952 0 0 0 JSITGK+CMMI12 caption
= 544 919 567 952 0 0 0 SMHONF+CMR12 caption
17834. 578 919 668 952 0 0 0 SMHONF+CMR12 caption
Q 681 919 708 952 0 0 0 JSITGK+CMMI12 caption
= 731 919 756 952 0 0 0 SMHONF+CMR12 caption
250 765 919 814 952 0 0 0 SMHONF+CMR12 caption
κ 838 919 856 952 0 0 0 JSITGK+CMMI12 caption
and 889 919 941 952 0 0 0 SMHONF+CMR12 caption
Q 952 919 979 952 0 0 0 JSITGK+CMMI12 caption
= 1001 919 1026 952 0 0 0 SMHONF+CMR12 caption
920 1035 919 1084 952 0 0 0 SMHONF+CMR12 caption
κ 1108 919 1127 952 0 0 0 JSITGK+CMMI12 caption
. 1149 919 1157 952 0 0 0 SMHONF+CMR12 caption
f 518 932 530 954 0 0 0 QFYVVX+CMMI8 caption
1 708 932 720 954 0 0 0 WENDSB+CMR8 caption
m 856 932 877 954 0 0 0 QFYVVX+CMMI8 caption
2 979 932 991 954 0 0 0 WENDSB+CMR8 caption
m 1127 932 1147 954 0 0 0 QFYVVX+CMMI8 caption
using 198 1016 273 1049 0 0 0 BGUSQG+CMTI12 paragraph
RVE 287 1016 353 1049 0 0 0 BGUSQG+CMTI12 paragraph
computations. 368 1016 564 1049 0 0 0 BGUSQG+CMTI12 paragraph
This 588 1016 651 1049 0 0 0 BGUSQG+CMTI12 paragraph
is 664 1016 688 1049 0 0 0 BGUSQG+CMTI12 paragraph
based 703 1016 775 1049 0 0 0 BGUSQG+CMTI12 paragraph
on 790 1016 824 1049 0 0 0 BGUSQG+CMTI12 paragraph
a 839 1016 856 1049 0 0 0 BGUSQG+CMTI12 paragraph
localization 870 1016 1026 1049 0 0 0 BGUSQG+CMTI12 paragraph
assumption, 1042 1016 1210 1049 0 0 0 BGUSQG+CMTI12 paragraph
which 1225 1016 1305 1049 0 0 0 BGUSQG+CMTI12 paragraph
we 1319 1016 1356 1049 0 0 0 BGUSQG+CMTI12 paragraph
introduce 1370 1016 1499 1049 0 0 0 BGUSQG+CMTI12 paragraph
next. 198 1056 268 1091 0 0 0 BGUSQG+CMTI12 paragraph
H 433 1073 462 1130 0 0 0 PSEXZT+CMSY10 paragraph
We 248 1097 295 1130 0 0 0 BGUSQG+CMTI12 paragraph
consider 306 1097 423 1130 0 0 0 BGUSQG+CMTI12 paragraph
ω, 462 1093 489 1130 0 0 0 QFYVVX+CMMI8 paragraph
which 499 1097 579 1130 0 0 0 BGUSQG+CMTI12 paragraph
i(cid:90)s 591 1097 617 1225 0 0 0 BGUSQG+CMTI12 paragraph
the 625 1097 668 1130 0 0 0 BGUSQG+CMTI12 paragraph
harmonic 678 1097 812 1130 0 0 0 BGUSQG+CMTI12 paragraph
expansion 822 1097 960 1130 0 0 0 BGUSQG+CMTI12 paragraph
in 972 1097 1001 1130 0 0 0 BGUSQG+CMTI12 paragraph
ω, 1011 1097 1043 1130 0 0 0 JSITGK+CMMI12 paragraph
which 1054 1097 1133 1130 0 0 0 BGUSQG+CMTI12 paragraph
is 1145 1097 1167 1130 0 0 0 BGUSQG+CMTI12 paragraph
deﬁned 1179 1097 1276 1130 0 0 0 BGUSQG+CMTI12 paragraph
by 1288 1097 1319 1130 0 0 0 BGUSQG+CMTI12 paragraph
solving 1331 1097 1426 1130 0 0 0 BGUSQG+CMTI12 paragraph
local 1438 1097 1499 1130 0 0 0 BGUSQG+CMTI12 paragraph
problems 198 1137 323 1170 0 0 0 BGUSQG+CMTI12 paragraph
in 334 1137 362 1170 0 0 0 BGUSQG+CMTI12 paragraph
each 374 1137 435 1170 0 0 0 BGUSQG+CMTI12 paragraph
K. 447 1137 486 1170 0 0 0 JSITGK+CMMI12 paragraph
We 501 1137 549 1170 0 0 0 BGUSQG+CMTI12 paragraph
can 561 1137 608 1170 0 0 0 BGUSQG+CMTI12 paragraph
use 620 1137 666 1170 0 0 0 BGUSQG+CMTI12 paragraph
∇H 663 1201 719 1258 0 0 0 PSEXZT+CMSY10 paragraph
· 851 1201 860 1258 0 0 0 PSEXZT+CMSY10 paragraph
∇H 867 1201 923 1258 0 0 0 PSEXZT+CMSY10 paragraph
κ 644 1225 663 1258 0 0 0 JSITGK+CMMI12 paragraph
ωj(φωj 719 1216 800 1258 0 0 0 QFYVVX+CMMI8 paragraph
) 831 1225 843 1258 0 0 0 SMHONF+CMR12 paragraph
ωl(φωl 923 1218 1001 1258 0 0 0 QFYVVX+CMMI8 paragraph
) 1045 1225 1059 1258 0 0 0 SMHONF+CMR12 paragraph
dx 1064 1225 1099 1258 0 0 0 JSITGK+CMMI12 paragraph
i,ﬁne 776 1243 829 1265 0 0 0 ZXEOYH+CMTI8 paragraph
m,ﬁne 979 1243 1045 1265 0 0 0 ZXEOYH+CMTI8 paragraph
D 617 1262 635 1284 0 0 0 QFYVVX+CMMI8 paragraph
to 198 1313 226 1346 0 0 0 BGUSQG+CMTI12 paragraph
approximate 241 1313 413 1346 0 0 0 BGUSQG+CMTI12 paragraph
the 426 1313 469 1346 0 0 0 BGUSQG+CMTI12 paragraph
elements 482 1313 605 1346 0 0 0 BGUSQG+CMTI12 paragraph
of 618 1313 646 1346 0 0 0 BGUSQG+CMTI12 paragraph
the 659 1313 702 1346 0 0 0 BGUSQG+CMTI12 paragraph
stiﬀness 717 1313 829 1346 0 0 0 BGUSQG+CMTI12 paragraph
matrix. 844 1313 946 1346 0 0 0 BGUSQG+CMTI12 paragraph
Our 969 1313 1025 1346 0 0 0 BGUSQG+CMTI12 paragraph
localization 1038 1313 1196 1346 0 0 0 BGUSQG+CMTI12 paragraph
assumption 1210 1313 1370 1346 0 0 0 BGUSQG+CMTI12 paragraph
uses 1383 1313 1443 1346 0 0 0 BGUSQG+CMTI12 paragraph
the 1456 1313 1499 1346 0 0 0 BGUSQG+CMTI12 paragraph
local 198 1353 260 1388 0 0 0 BGUSQG+CMTI12 paragraph
snapshots 275 1353 409 1388 0 0 0 BGUSQG+CMTI12 paragraph
computed 425 1353 555 1388 0 0 0 BGUSQG+CMTI12 paragraph
in 571 1353 598 1388 0 0 0 BGUSQG+CMTI12 paragraph
