token X1 Y1 X2 Y2 R G B "font name" label
(cid:113) 884 162 912 266 0 0 0 PQPMAS+CMEX10 equation
(cid:98) 651 189 666 292 0 0 0 PQPMAS+CMEX10 equation
(cid:113) 884 224 912 327 0 0 0 PQPMAS+CMEX10 equation
− 622 239 644 288 0 0 0 YKMWWV+CMSY10 equation
(cid:48) 663 242 669 275 0 0 0 QVSXUA+CMSY7 equation
≥ 761 239 783 288 0 0 0 YKMWWV+CMSY10 equation
− 839 239 861 288 0 0 0 YKMWWV+CMSY10 equation
(1 591 261 617 288 0 0 0 CPOLUP+CMR10 equation
δ(cid:98))φ(t+1) 651 250 753 354 0 0 0 DTVSEI+CMR7 equation
φ(t) 790 255 833 288 0 0 0 DTVSEI+CMR7 equation
µ 868 261 884 288 0 0 0 ZUFMWX+CMMI10 equation
(φ(t))2 912 259 989 288 0 0 0 DTVSEI+CMR7 equation
+ 996 261 1018 288 0 0 0 CPOLUP+CMR10 equation
(θ(t))2, 1023 259 1106 288 0 0 0 DTVSEI+CMR7 equation
(157) 1436 253 1499 288 0 0 0 ZYAGUD+SFRM1000 equation
− 629 301 649 349 0 0 0 YKMWWV+CMSY10 equation
(cid:48) 669 303 674 336 0 0 0 QVSXUA+CMSY7 equation
≤ 765 301 785 349 0 0 0 YKMWWV+CMSY10 equation
(1 596 323 622 349 0 0 0 CPOLUP+CMR10 equation
δ 656 323 668 349 0 0 0 ZUFMWX+CMMI10 equation
)θ(t+1) 676 319 754 349 0 0 0 DTVSEI+CMR7 equation
θ(t) 793 319 833 349 0 0 0 DTVSEI+CMR7 equation
+ 839 323 861 349 0 0 0 CPOLUP+CMR10 equation
µ 868 323 884 349 0 0 0 ZUFMWX+CMMI10 equation
(φ(t))2 912 321 989 349 0 0 0 DTVSEI+CMR7 equation
+ 996 323 1018 349 0 0 0 CPOLUP+CMR10 equation
(θ(t))2, 1023 321 1106 349 0 0 0 DTVSEI+CMR7 equation
(158) 1436 314 1499 349 0 0 0 ZYAGUD+SFRM1000 equation
(cid:101) 763 334 778 437 0 0 0 PQPMAS+CMEX10 paragraph
(cid:101) 880 334 895 437 0 0 0 PQPMAS+CMEX10 paragraph
(cid:107) 744 387 758 433 0 0 0 YKMWWV+CMSY10 paragraph
(cid:48) 782 385 788 418 0 0 0 QVSXUA+CMSY7 paragraph
(cid:107) 816 387 829 433 0 0 0 YKMWWV+CMSY10 paragraph
(cid:107) 863 387 877 433 0 0 0 YKMWWV+CMSY10 paragraph
(cid:48) 899 385 906 418 0 0 0 QVSXUA+CMSY7 paragraph
(cid:107) 933 387 946 433 0 0 0 YKMWWV+CMSY10 paragraph
(cid:107) 958 387 972 433 0 0 0 YKMWWV+CMSY10 paragraph
(cid:48)− 994 389 1018 422 0 0 0 QVSXUA+CMSY7 paragraph
(cid:107) 1030 387 1043 433 0 0 0 YKMWWV+CMSY10 paragraph
where 241 400 311 433 0 0 0 ZYAGUD+SFRM1000 paragraph
µ 321 407 336 433 0 0 0 ZUFMWX+CMMI10 paragraph
is 346 400 365 433 0 0 0 ZYAGUD+SFRM1000 paragraph
the 374 400 413 433 0 0 0 ZYAGUD+SFRM1000 paragraph
upper 421 400 491 433 0 0 0 ZYAGUD+SFRM1000 paragraph
bound 501 400 578 433 0 0 0 ZYAGUD+SFRM1000 paragraph
of 586 400 608 433 0 0 0 ZYAGUD+SFRM1000 paragraph
term 618 400 674 433 0 0 0 ZYAGUD+SFRM1000 paragraph
η(1.5 685 407 744 433 0 0 0 CPOLUP+CMR10 paragraph
∆l(t) 758 398 814 440 0 0 0 DTVSEI+CMR7 paragraph
+ 834 407 856 433 0 0 0 CPOLUP+CMR10 paragraph
∆u(t) 877 398 931 435 0 0 0 DTVSEI+CMR7 paragraph
(cid:98)) 938 407 958 512 0 0 0 CPOLUP+CMR10 equation
T 972 407 994 433 0 0 0 XNQMEK+CMBX10 paragraph
1 1018 402 1028 422 0 0 0 DTVSEI+CMR7 paragraph
and 1052 400 1098 433 0 0 0 ZYAGUD+SFRM1000 paragraph
can 1106 400 1149 433 0 0 0 ZYAGUD+SFRM1000 paragraph
be 1157 400 1186 433 0 0 0 ZYAGUD+SFRM1000 paragraph
obtained 1195 400 1300 433 0 0 0 ZYAGUD+SFRM1000 paragraph
by 1309 400 1337 433 0 0 0 ZYAGUD+SFRM1000 paragraph
(cid:44) 753 455 775 495 0 0 0 CHEAYR+MSAM10 equation
SP 812 453 850 501 0 0 0 YKMWWV+CMSY10 equation
µ 729 473 746 501 0 0 0 ZUFMWX+CMMI10 equation
ηρ 783 473 812 501 0 0 0 ZUFMWX+CMMI10 equation
(4 851 473 877 501 0 0 0 CPOLUP+CMR10 equation
+ 882 473 904 501 0 0 0 CPOLUP+CMR10 equation
62c). 911 473 969 501 0 0 0 CPOLUP+CMR10 equation
(159) 1436 466 1499 501 0 0 0 ZYAGUD+SFRM1000 equation
Quantifying 198 580 363 613 0 0 0 CDGOKT+SFBX1000 paragraph
the 374 580 418 613 0 0 0 CDGOKT+SFBX1000 paragraph
Norm 428 580 510 613 0 0 0 CDGOKT+SFBX1000 paragraph
of 520 580 545 613 0 0 0 CDGOKT+SFBX1000 paragraph
v(t) 555 583 600 613 0 0 0 DTVSEI+CMR7 paragraph
Projected 612 580 746 613 0 0 0 CDGOKT+SFBX1000 paragraph
at 758 580 785 613 0 0 0 CDGOKT+SFBX1000 paragraph
Diﬀerent 795 580 919 613 0 0 0 CDGOKT+SFBX1000 paragraph
Subspaces: 929 580 1079 613 0 0 0 CDGOKT+SFBX1000 paragraph
Then, 1106 578 1178 613 0 0 0 ZYAGUD+SFRM1000 paragraph
