token X1 Y1 X2 Y2 R G B "font name" label
8 143 70 157 105 0 0 0 OIAUNW+SFRM1000 paragraph
Table 203 163 271 198 0 0 0 OIAUNW+SFRM1000 paragraph
II: 279 163 309 198 0 0 0 OIAUNW+SFRM1000 paragraph
Observed 317 163 430 198 0 0 0 OIAUNW+SFRM1000 caption
numbers 439 163 542 198 0 0 0 OIAUNW+SFRM1000 caption
of 550 163 573 198 0 0 0 OIAUNW+SFRM1000 caption
lung-cancer 582 163 721 198 0 0 0 OIAUNW+SFRM1000 caption
cases 731 163 790 198 0 0 0 OIAUNW+SFRM1000 caption
by 800 163 828 198 0 0 0 OIAUNW+SFRM1000 caption
dose 838 163 891 198 0 0 0 OIAUNW+SFRM1000 caption
categories, 899 163 1027 198 0 0 0 OIAUNW+SFRM1000 caption
compared 1035 163 1152 198 0 0 0 OIAUNW+SFRM1000 caption
with 1162 163 1215 198 0 0 0 OIAUNW+SFRM1000 caption
those 1225 163 1288 198 0 0 0 OIAUNW+SFRM1000 caption
predicted 1298 163 1410 198 0 0 0 OIAUNW+SFRM1000 caption
by 1419 163 1448 198 0 0 0 OIAUNW+SFRM1000 caption
the 1457 163 1496 198 0 0 0 OIAUNW+SFRM1000 caption
descriptive 163 196 292 231 0 0 0 OIAUNW+SFRM1000 caption
and 302 196 347 231 0 0 0 OIAUNW+SFRM1000 caption
multi-stage 355 196 491 231 0 0 0 OIAUNW+SFRM1000 caption
models 499 196 583 231 0 0 0 OIAUNW+SFRM1000 caption
(in 593 196 626 231 0 0 0 OIAUNW+SFRM1000 caption
brackets: 636 196 744 231 0 0 0 OIAUNW+SFRM1000 caption
excess 755 196 828 231 0 0 0 OIAUNW+SFRM1000 caption
cases). 838 196 917 231 0 0 0 OIAUNW+SFRM1000 caption
As 929 196 960 231 0 0 0 OIAUNW+SFRM1000 caption
a 970 196 984 231 0 0 0 OIAUNW+SFRM1000 caption
reference, 994 196 1108 231 0 0 0 OIAUNW+SFRM1000 caption
we 1118 196 1149 231 0 0 0 OIAUNW+SFRM1000 caption
also 1157 196 1204 231 0 0 0 OIAUNW+SFRM1000 caption
give 1214 196 1262 231 0 0 0 OIAUNW+SFRM1000 caption
the 1270 196 1309 231 0 0 0 OIAUNW+SFRM1000 caption
person 1318 196 1397 231 0 0 0 OIAUNW+SFRM1000 caption
years 1407 196 1468 231 0 0 0 OIAUNW+SFRM1000 caption
(py). 1478 196 1536 231 0 0 0 OIAUNW+SFRM1000 caption
rate, 143 587 200 619 0 0 0 OIAUNW+SFRM1000 paragraph
note 213 587 264 619 0 0 0 OIAUNW+SFRM1000 paragraph
that 277 587 327 619 0 0 0 OIAUNW+SFRM1000 paragraph
α-particle 340 587 458 619 0 0 0 OIAUNW+SFRM1000 paragraph
hits 471 587 516 619 0 0 0 OIAUNW+SFRM1000 paragraph
of 529 587 550 619 0 0 0 OIAUNW+SFRM1000 paragraph
a 564 587 577 619 0 0 0 OIAUNW+SFRM1000 paragraph
cell 590 587 630 619 0 0 0 OIAUNW+SFRM1000 paragraph
nucleus 641 587 731 619 0 0 0 OIAUNW+SFRM1000 paragraph
are 742 587 780 619 0 0 0 OIAUNW+SFRM1000 paragraph
in- 792 587 825 619 0 0 0 OIAUNW+SFRM1000 paragraph
doses, 874 587 946 619 0 0 0 OIAUNW+SFRM1000 paragraph
in 956 587 979 619 0 0 0 OIAUNW+SFRM1000 paragraph
turn, 987 587 1048 619 0 0 0 OIAUNW+SFRM1000 paragraph
the 1056 587 1096 619 0 0 0 OIAUNW+SFRM1000 paragraph
response 1104 587 1207 619 0 0 0 OIAUNW+SFRM1000 paragraph
essentially 1217 587 1341 619 0 0 0 OIAUNW+SFRM1000 paragraph
saturated. 1349 587 1472 619 0 0 0 OIAUNW+SFRM1000 paragraph
Along 1485 587 1556 619 0 0 0 OIAUNW+SFRM1000 paragraph
dependent 143 617 267 652 0 0 0 OIAUNW+SFRM1000 paragraph
and 282 617 327 652 0 0 0 OIAUNW+SFRM1000 paragraph
rare. 340 617 396 652 0 0 0 OIAUNW+SFRM1000 paragraph
Thus 421 617 482 652 0 0 0 OIAUNW+SFRM1000 paragraph
the 497 617 535 652 0 0 0 OIAUNW+SFRM1000 paragraph
number 549 617 641 652 0 0 0 OIAUNW+SFRM1000 paragraph
of 654 617 678 652 0 0 0 OIAUNW+SFRM1000 paragraph
hits, 691 617 744 652 0 0 0 OIAUNW+SFRM1000 paragraph
N, 759 617 792 652 0 0 0 DVJSXC+CMMI10 paragraph
is 807 617 825 652 0 0 0 OIAUNW+SFRM1000 paragraph
the 874 617 913 652 0 0 0 OIAUNW+SFRM1000 paragraph
lines 926 617 979 652 0 0 0 OIAUNW+SFRM1000 paragraph
leading 990 617 1076 652 0 0 0 OIAUNW+SFRM1000 paragraph
to 1089 617 1114 652 0 0 0 OIAUNW+SFRM1000 paragraph
Eq. 1126 617 1167 652 0 0 0 OIAUNW+SFRM1000 paragraph
(3), 1179 617 1222 652 0 0 0 OIAUNW+SFRM1000 paragraph
we 1233 617 1266 652 0 0 0 OIAUNW+SFRM1000 paragraph
can 1278 617 1319 652 0 0 0 OIAUNW+SFRM1000 paragraph
estimate 1331 617 1434 652 0 0 0 OIAUNW+SFRM1000 paragraph
the 1445 617 1483 652 0 0 0 OIAUNW+SFRM1000 paragraph
char- 1495 617 1556 652 0 0 0 OIAUNW+SFRM1000 paragraph
− 481 638 497 673 0 0 0 ECFKIO+CMSY7 paragraph
Poisson-distributed, 143 650 383 685 0 0 0 OIAUNW+SFRM1000 paragraph
P 391 657 410 685 0 0 0 DVJSXC+CMMI10 paragraph
= 438 657 459 685 0 0 0 JIGRXZ+CMR10 paragraph
e 468 657 481 685 0 0 0 DVJSXC+CMMI10 paragraph
N¯N¯N/N!, 497 647 618 685 0 0 0 DVJSXC+CMMI10 paragraph
which 626 650 696 685 0 0 0 OIAUNW+SFRM1000 paragraph
means 702 650 779 685 0 0 0 OIAUNW+SFRM1000 paragraph
the 787 650 825 685 0 0 0 OIAUNW+SFRM1000 paragraph
acteristic 874 650 984 685 0 0 0 OIAUNW+SFRM1000 paragraph
dose 995 650 1046 685 0 0 0 OIAUNW+SFRM1000 paragraph
rate 1058 650 1106 685 0 0 0 OIAUNW+SFRM1000 paragraph
d 1116 657 1131 685 0 0 0 DVJSXC+CMMI10 paragraph
by 1154 650 1182 685 0 0 0 OIAUNW+SFRM1000 paragraph
assuming 1194 650 1305 685 0 0 0 OIAUNW+SFRM1000 paragraph
the 1316 650 1354 685 0 0 0 OIAUNW+SFRM1000 paragraph
crossover 1364 650 1473 685 0 0 0 OIAUNW+SFRM1000 paragraph
to 1485 650 1510 685 0 0 0 OIAUNW+SFRM1000 paragraph
oc- 1520 650 1556 685 0 0 0 OIAUNW+SFRM1000 paragraph
fraction 143 685 236 720 0 0 0 OIAUNW+SFRM1000 paragraph
of 246 685 269 720 0 0 0 OIAUNW+SFRM1000 paragraph
cells 279 685 330 720 0 0 0 OIAUNW+SFRM1000 paragraph
not 340 685 378 720 0 0 0 QARPYL+SFTI1000 paragraph
hiNt 391 668 426 720 0 0 0 OIAUNW+SFRM1000 paragraph
is 436 685 454 720 0 0 0 OIAUNW+SFRM1000 paragraph
PN=0 464 692 529 722 0 0 0 NPJUJZ+CMR7 paragraph
= 540 692 562 720 0 0 0 JIGRXZ+CMR10 paragraph
e−N¯∼. 570 675 638 753 0 0 0 DVJSXC+CMMI10 paragraph
Assuming 645 685 762 720 0 0 0 OIAUNW+SFRM1000 paragraph
(i) 772 685 802 720 0 0 0 OIAUNW+SFRM1000 paragraph
a 812 685 825 720 0 0 0 OIAUNW+SFRM1000 paragraph
cur≈at 874 680 949 748 0 0 0 OIAUNW+SFRM1000 paragraph
a 960 680 974 715 0 0 0 OIAUNW+SFRM1000 paragraph
fra∼ction 985 680 1078 748 0 0 0 OIAUNW+SFRM1000 paragraph
p 1088 690 1103 715 0 0 0 DVJSXC+CMMI10 paragraph
=s0.1 1113 668 1180 715 0 0 0 JIGRXZ+CMR10 paragraph
of 1192 680 1214 715 0 0 0 OIAUNW+SFRM1000 paragraph
cells 1225 680 1276 715 0 0 0 OIAUNW+SFRM1000 paragraph
being 1286 680 1352 715 0 0 0 OIAUNW+SFRM1000 paragraph
hit. 1362 680 1405 715 0 0 0 OIAUNW+SFRM1000 paragraph
This 1422 680 1477 715 0 0 0 OIAUNW+SFRM1000 paragraph
yields 1486 680 1556 715 0 0 0 OIAUNW+SFRM1000 paragraph
linear 143 718 211 753 0 0 0 OIAUNW+SFRM1000 paragraph
dose 221 718 272 753 0 0 0 OIAUNW+SFRM1000 paragraph
response, 282 718 393 753 0 0 0 OIAUNW+SFRM1000 paragraph
N¯ 403 718 425 753 0 0 0 DVJSXC+CMMI10 paragraph
= 436 725 458 753 0 0 0 JIGRXZ+CMR10 paragraph
n 466 725 482 753 0 0 0 DVJSXC+CMMI10 paragraph
D≡, 487 718 519 783 0 0 0 DVJSXC+CMMI10 paragraph
with 529 718 582 753 0 0 0 OIAUNW+SFRM1000 paragraph
n 592 725 608 753 0 0 0 DVJSXC+CMMI10 paragraph
4/Gy 646 725 709 753 0 0 0 JIGRXZ+CMR10 paragraph
[56], 719 718 770 753 0 0 0 OIAUNW+SFRM1000 paragraph
and 780 718 825 753 0 0 0 OIAUNW+SFRM1000 paragraph
ds 874 720 899 750 0 0 0 UELGWX+CMMI7 paragraph
p/nτ 937 720 994 748 0 0 0 DVJSXC+CMMI10 paragraph
0.025Gy/a, 1035 713 1169 748 0 0 0 JIGRXZ+CMR10 paragraph
under 1177 713 1247 748 0 0 0 OIAUNW+SFRM1000 paragraph
the 1255 713 1293 748 0 0 0 OIAUNW+SFRM1000 paragraph
same 1301 713 1361 748 0 0 0 OIAUNW+SFRM1000 paragraph
caveats 1369 713 1455 748 0 0 0 OIAUNW+SFRM1000 paragraph
as 1463 713 1488 748 0 0 0 OIAUNW+SFRM1000 paragraph
men- 1496 713 1556 748 0 0 0 OIAUNW+SFRM1000 paragraph
(ii) 143 748 180 783 0 0 0 OIAUNW+SFRM1000 paragraph
