token X1 Y1 X2 Y2 R G B "font name" label
to 248 240 274 271 0 0 0 QYCPVW+CMR10 paragraph
estimate 282 240 393 271 0 0 0 QYCPVW+CMR10 paragraph
the 401 240 443 271 0 0 0 QYCPVW+CMR10 paragraph
covariance 451 240 587 271 0 0 0 QYCPVW+CMR10 paragraph
matrix 595 240 684 271 0 0 0 QYCPVW+CMR10 paragraph
over 691 240 745 271 0 0 0 QYCPVW+CMR10 paragraph
a 754 240 769 271 0 0 0 QYCPVW+CMR10 paragraph
longer 777 240 858 271 0 0 0 QYCPVW+CMR10 paragraph
period 866 240 951 271 0 0 0 QYCPVW+CMR10 paragraph
of 957 240 982 271 0 0 0 QYCPVW+CMR10 paragraph
time, 990 240 1056 271 0 0 0 QYCPVW+CMR10 paragraph
say 1065 240 1108 271 0 0 0 QYCPVW+CMR10 paragraph
ﬁve 1116 240 1161 271 0 0 0 QYCPVW+CMR10 paragraph
years 1169 240 1237 271 0 0 0 QYCPVW+CMR10 paragraph
for 1243 240 1280 271 0 0 0 QYCPVW+CMR10 paragraph
example, 1288 240 1405 271 0 0 0 QYCPVW+CMR10 paragraph
and 248 285 296 315 0 0 0 QYCPVW+CMR10 paragraph
use 305 285 348 315 0 0 0 QYCPVW+CMR10 paragraph
it 358 285 378 315 0 0 0 QYCPVW+CMR10 paragraph
as 388 285 415 315 0 0 0 QYCPVW+CMR10 paragraph
an 425 285 456 315 0 0 0 QYCPVW+CMR10 paragraph
input 466 285 537 315 0 0 0 QYCPVW+CMR10 paragraph
for 547 285 583 315 0 0 0 QYCPVW+CMR10 paragraph
some 593 285 659 315 0 0 0 QYCPVW+CMR10 paragraph
risk 669 285 717 315 0 0 0 QYCPVW+CMR10 paragraph
estimation 727 285 865 315 0 0 0 QYCPVW+CMR10 paragraph
method. 874 285 984 315 0 0 0 QYCPVW+CMR10 paragraph
In 997 285 1025 315 0 0 0 QYCPVW+CMR10 paragraph
this 1035 285 1085 315 0 0 0 QYCPVW+CMR10 paragraph
spirit, 1093 285 1171 315 0 0 0 QYCPVW+CMR10 paragraph
