token X1 Y1 X2 Y2 R G B "font name" label
4 350 266 362 286 0 0 0 KEHTPR+CMR7 paragraph
KAZUHIRO 472 266 591 286 0 0 0 KEHTPR+CMR7 paragraph
ICHIHARA, 600 266 719 286 0 0 0 KEHTPR+CMR7 paragraph
MAKOTO 725 266 829 286 0 0 0 KEHTPR+CMR7 paragraph
OZAWA, 836 266 923 286 0 0 0 KEHTPR+CMR7 paragraph
AND 929 266 979 286 0 0 0 KEHTPR+CMR7 paragraph
J. 987 266 1004 286 0 0 0 KEHTPR+CMR7 paragraph
HYAM 1013 266 1079 286 0 0 0 KEHTPR+CMR7 paragraph
RUBINSTEIN 1086 266 1225 286 0 0 0 KEHTPR+CMR7 paragraph
Figure 776 728 872 754 0 0 0 IZDLCR+CMCSC10 paragraph
1. 882 728 907 754 0 0 0 IZDLCR+CMCSC10 paragraph
∩ 955 798 974 847 0 0 0 VMVAXA+CMSY10 paragraph
Claim 350 818 433 847 0 0 0 HVGDNU+CMBX10 paragraph
2. 443 818 469 847 0 0 0 HVGDNU+CMBX10 paragraph
There 482 818 552 847 0 0 0 DEATSG+CMTI10 paragraph
are 562 818 600 847 0 0 0 DEATSG+CMTI10 paragraph
no 610 818 639 847 0 0 0 DEATSG+CMTI10 paragraph
compressing 649 818 793 847 0 0 0 DEATSG+CMTI10 paragraph
disks 804 818 861 847 0 0 0 DEATSG+CMTI10 paragraph
for 872 818 906 847 0 0 0 DEATSG+CMTI10 paragraph
St(cid:48) 916 818 946 849 0 0 0 MGLMOI+CMMI10 paragraph
M+ 980 818 1025 849 0 0 0 MGLMOI+CMMI10 paragraph
in 1035 818 1059 847 0 0 0 DEATSG+CMTI10 paragraph
Ht1(cid:48). 1069 816 1118 853 0 0 0 MGLMOI+CMMI10 paragraph
Proof. 350 873 423 902 0 0 0 DEATSG+CMTI10 paragraph
If 436 873 455 902 0 0 0 FWWSVV+CMR10 paragraph
such 464 873 516 902 0 0 0 FWWSVV+CMR10 paragraph
a 525 873 538 902 0 0 0 FWWSVV+CMR10 paragraph
compressing 545 873 691 902 0 0 0 FWWSVV+CMR10 paragraph
disk 700 873 748 902 0 0 0 FWWSVV+CMR10 paragraph
exists 756 873 822 902 0 0 0 FWWSVV+CMR10 paragraph
in 831 873 853 902 0 0 0 FWWSVV+CMR10 paragraph
H1(cid:48), 861 871 909 902 0 0 0 MGLMOI+CMMI10 paragraph
then 918 873 970 902 0 0 0 FWWSVV+CMR10 paragraph
there 979 873 1040 902 0 0 0 FWWSVV+CMR10 paragraph
exists 1048 873 1115 902 0 0 0 FWWSVV+CMR10 paragraph
a 1123 873 1137 902 0 0 0 FWWSVV+CMR10 paragraph
compressing 1144 873 1290 902 0 0 0 FWWSVV+CMR10 paragraph
disk 1298 873 1348 902 0 0 0 FWWSVV+CMR10 paragraph
∩ 414 888 433 937 0 0 0 VMVAXA+CMSY10 paragraph
t 885 888 892 908 0 0 0 GYFQJW+CMMI7 paragraph
in 350 908 374 937 0 0 0 FWWSVV+CMR10 paragraph
S 382 908 399 937 0 0 0 MGLMOI+CMMI10 paragraph
M 440 908 465 937 0 0 0 MGLMOI+CMMI10 paragraph
in 493 908 516 937 0 0 0 FWWSVV+CMR10 paragraph
H1 525 906 562 937 0 0 0 MGLMOI+CMMI10 paragraph
for 572 908 605 937 0 0 0 FWWSVV+CMR10 paragraph
t 615 908 623 937 0 0 0 MGLMOI+CMMI10 paragraph
< 632 908 654 937 0 0 0 MGLMOI+CMMI10 paragraph
tˆ 661 904 674 937 0 0 0 FWWSVV+CMR10 paragraph
by 680 908 708 937 0 0 0 FWWSVV+CMR10 paragraph
Claim 719 908 790 937 0 0 0 FWWSVV+CMR10 paragraph
1, 800 908 821 937 0 0 0 FWWSVV+CMR10 paragraph
contradicting 831 908 989 937 0 0 0 FWWSVV+CMR10 paragraph
the 997 908 1037 937 0 0 0 FWWSVV+CMR10 paragraph
assumption 1045 908 1183 937 0 0 0 FWWSVV+CMR10 paragraph
that 1191 908 1242 937 0 0 0 FWWSVV+CMR10 paragraph
the 1251 908 1290 937 0 0 0 FWWSVV+CMR10 paragraph
ﬁrst 1298 908 1348 937 0 0 0 FWWSVV+CMR10 paragraph
t 399 919 408 939 0 0 0 GYFQJW+CMMI7 paragraph
+ 465 919 482 939 0 0 0 KEHTPR+CMR7 paragraph
t 549 921 557 941 0 0 0 GYFQJW+CMMI7 paragraph
∩ 647 921 666 970 0 0 0 VMVAXA+CMSY10 paragraph
(cid:48) 962 926 969 959 0 0 0 ZQLTBN+CMSY7 paragraph
(cid:3) 1326 924 1348 965 0 0 0 TMHVPV+MSAM10 paragraph
compressing 350 943 498 970 0 0 0 FWWSVV+CMR10 paragraph
disk 506 943 555 970 0 0 0 FWWSVV+CMR10 paragraph
for 564 943 598 970 0 0 0 FWWSVV+CMR10 paragraph
St(cid:48) 606 941 637 972 0 0 0 MGLMOI+CMMI10 paragraph
M+ 671 943 715 972 0 0 0 MGLMOI+CMMI10 paragraph
in 725 943 749 970 0 0 0 FWWSVV+CMR10 paragraph
Ht1(cid:48) 758 939 795 976 0 0 0 MGLMOI+CMMI10 paragraph
appears 807 943 901 970 0 0 0 FWWSVV+CMR10 paragraph
for 911 943 943 970 0 0 0 FWWSVV+CMR10 paragraph
t 952 943 962 970 0 0 0 MGLMOI+CMMI10 paragraph
> 977 943 999 970 0 0 0 MGLMOI+CMMI10 paragraph
tˆ. 1008 937 1025 970 0 0 0 FWWSVV+CMR10 paragraph
Thus 384 1005 445 1034 0 0 0 FWWSVV+CMR10 paragraph
the 455 1005 494 1034 0 0 0 FWWSVV+CMR10 paragraph
side 504 1005 550 1034 0 0 0 FWWSVV+CMR10 paragraph
M− 562 1001 606 1036 0 0 0 MGLMOI+CMMI10 paragraph
must 618 1005 678 1034 0 0 0 FWWSVV+CMR10 paragraph
be 688 1005 717 1034 0 0 0 FWWSVV+CMR10 paragraph
where 727 1005 799 1034 0 0 0 FWWSVV+CMR10 paragraph
the 809 1005 848 1034 0 0 0 FWWSVV+CMR10 paragraph
ﬁrst 858 1005 906 1034 0 0 0 FWWSVV+CMR10 paragraph
compressing 918 1005 1064 1034 0 0 0 FWWSVV+CMR10 paragraph
disk 1074 1005 1123 1034 0 0 0 FWWSVV+CMR10 paragraph
in 1133 1005 1157 1034 0 0 0 FWWSVV+CMR10 paragraph
H1(cid:48) 1167 1001 1205 1034 0 0 0 MGLMOI+CMMI10 paragraph
appears 1218 1005 1312 1034 0 0 0 FWWSVV+CMR10 paragraph
at 1322 1005 1348 1034 0 0 0 FWWSVV+CMR10 paragraph
(cid:48) 474 1023 481 1056 0 0 0 ZQLTBN+CMSY7 paragraph
(cid:48) 615 1023 622 1056 0 0 0 ZQLTBN+CMSY7 paragraph
∩ 805 1020 824 1067 0 0 0 VMVAXA+CMSY10 paragraph
t 1190 1020 1198 1038 0 0 0 GYFQJW+CMMI7 paragraph
the 350 1040 389 1067 0 0 0 FWWSVV+CMR10 paragraph
level 399 1040 453 1067 0 0 0 FWWSVV+CMR10 paragraph
t 464 1040 474 1067 0 0 0 MGLMOI+CMMI10 paragraph
(t 493 1040 513 1067 0 0 0 FWWSVV+CMR10 paragraph
< 523 1040 544 1067 0 0 0 MGLMOI+CMMI10 paragraph
tˆ 554 1034 567 1067 0 0 0 FWWSVV+CMR10 paragraph
< 574 1040 595 1067 0 0 0 MGLMOI+CMMI10 paragraph
t 605 1040 615 1067 0 0 0 MGLMOI+CMMI10 paragraph
). 623 1040 640 1067 0 0 0 FWWSVV+CMR10 paragraph
That 657 1040 717 1067 0 0 0 FWWSVV+CMR10 paragraph
is, 727 1040 754 1067 0 0 0 FWWSVV+CMR10 paragraph
St(cid:48) 765 1040 797 1071 0 0 0 MGLMOI+CMMI10 paragraph
∩M− 824 1036 875 1100 0 0 0 MGLMOI+CMMI10 paragraph
has 887 1040 928 1067 0 0 0 FWWSVV+CMR10 paragraph
a 938 1040 952 1067 0 0 0 FWWSVV+CMR10 paragraph
compressing 962 1040 1110 1067 0 0 0 FWWSVV+CMR10 paragraph
disk 1120 1040 1167 1067 0 0 0 FWWSVV+CMR10 paragraph
in 1179 1040 1201 1067 0 0 0 FWWSVV+CMR10 paragraph
Ht1(cid:48). 1212 1036 1259 1073 0 0 0 MGLMOI+CMMI10 paragraph
Then, 1276 1040 1348 1067 0 0 0 FWWSVV+CMR10 paragraph
there 350 1073 413 1100 0 0 0 FWWSVV+CMR10 paragraph
are 423 1073 460 1100 0 0 0 FWWSVV+CMR10 paragraph
no 470 1073 499 1100 0 0 0 FWWSVV+CMR10 paragraph
compressing 511 1073 657 1100 0 0 0 FWWSVV+CMR10 paragraph
