token X1 Y1 X2 Y2 R G B "font name" label
KBSF 776 178 865 209 0 0 0 QUMLRQ+CMCSC10 paragraph
computational 231 281 421 312 0 0 0 SISSMB+CMR10 paragraph
cost 433 281 486 312 0 0 0 SISSMB+CMR10 paragraph
becomes 498 281 608 312 0 0 0 SISSMB+CMR10 paragraph
a 620 281 635 312 0 0 0 SISSMB+CMR10 paragraph
function 647 281 756 312 0 0 0 SISSMB+CMR10 paragraph
of 768 281 793 312 0 0 0 SISSMB+CMR10 paragraph
m 805 281 833 312 0 0 0 MFZFJX+CMMI10 paragraph
only. 844 281 907 312 0 0 0 SISSMB+CMR10 paragraph
In 928 281 955 312 0 0 0 SISSMB+CMR10 paragraph
particular, 967 281 1106 312 0 0 0 SISSMB+CMR10 paragraph
the 1118 281 1161 312 0 0 0 SISSMB+CMR10 paragraph
cost 1173 281 1225 312 0 0 0 SISSMB+CMR10 paragraph
of 1237 281 1263 312 0 0 0 SISSMB+CMR10 paragraph
solving 1275 281 1366 312 0 0 0 SISSMB+CMR10 paragraph
M¯ 1378 275 1407 312 0 0 0 SISSMB+CMR10 paragraph
through 231 319 334 349 0 0 0 SISSMB+CMR10 paragraph
dynamic 346 319 459 349 0 0 0 SISSMB+CMR10 paragraph
programming 470 319 647 349 0 0 0 SISSMB+CMR10 paragraph
becomes 657 319 768 349 0 0 0 SISSMB+CMR10 paragraph
polynomial 780 319 926 349 0 0 0 SISSMB+CMR10 paragraph
in 938 319 963 349 0 0 0 SISSMB+CMR10 paragraph
m 975 319 1001 349 0 0 0 MFZFJX+CMMI10 paragraph
instead 1013 319 1108 349 0 0 0 SISSMB+CMR10 paragraph
of 1120 319 1144 349 0 0 0 SISSMB+CMR10 paragraph
n: 1156 319 1181 349 0 0 0 MFZFJX+CMMI10 paragraph
while 1198 319 1268 349 0 0 0 SISSMB+CMR10 paragraph
one 1278 319 1324 349 0 0 0 SISSMB+CMR10 paragraph
appli- 1336 319 1411 349 0 0 0 SISSMB+CMR10 paragraph
| 878 334 887 387 0 0 0 GOHKRG+CMSY10 paragraph
| 911 334 919 387 0 0 0 GOHKRG+CMSY10 paragraph
| 1351 334 1360 387 0 0 0 GOHKRG+CMSY10 paragraph
| 1383 334 1392 387 0 0 0 GOHKRG+CMSY10 paragraph
cation 231 356 311 387 0 0 0 SISSMB+CMR10 paragraph
of 321 356 346 387 0 0 0 SISSMB+CMR10 paragraph
Tˆ, 357 349 385 387 0 0 0 SISSMB+CMR10 paragraph
the 397 356 438 387 0 0 0 SISSMB+CMR10 paragraph
Bellman 448 356 557 387 0 0 0 SISSMB+CMR10 paragraph
operator 567 356 680 387 0 0 0 SISSMB+CMR10 paragraph
of 690 356 715 387 0 0 0 SISSMB+CMR10 paragraph
Mˆ 725 349 754 387 0 0 0 SISSMB+CMR10 paragraph
, 758 356 766 387 0 0 0 SISSMB+CMR10 paragraph
is 776 356 797 387 0 0 0 SISSMB+CMR10 paragraph
O(nnˆ 807 356 878 387 0 0 0 MFZFJX+CMMI10 paragraph
A 887 356 911 387 0 0 0 MFZFJX+CMMI10 paragraph
), 919 356 940 387 0 0 0 SISSMB+CMR10 paragraph
the 950 356 991 387 0 0 0 SISSMB+CMR10 paragraph
computation 1001 356 1169 387 0 0 0 SISSMB+CMR10 paragraph
of 1179 356 1203 387 0 0 0 SISSMB+CMR10 paragraph
T¯ 1213 349 1234 387 0 0 0 SISSMB+CMR10 paragraph
is 1246 356 1266 387 0 0 0 SISSMB+CMR10 paragraph
O(m2 1276 352 1349 387 0 0 0 MFZFJX+CMMI10 paragraph
A 1360 356 1383 387 0 0 0 MFZFJX+CMMI10 paragraph
). 1392 356 1411 387 0 0 0 SISSMB+CMR10 paragraph
Therefore, 231 396 365 424 0 0 0 SISSMB+CMR10 paragraph
