token X1 Y1 X2 Y2 R G B "font name" label
β1 945 275 957 288 0 0 0 default paragraph
β11 1026 343 1042 356 0 0 0 default paragraph
0.8 892 371 907 380 0 0 0 default paragraph
0.6 892 385 907 393 0 0 0 default paragraph
0.4 892 396 907 404 0 0 0 default paragraph
0.02 892 409 907 429 0 0 0 default paragraph
β21 1110 413 1125 426 0 0 0 default paragraph
1 901 435 907 442 0 0 0 default paragraph
0.5 892 462 907 470 0 0 0 default paragraph
0 901 490 907 499 0 0 0 default paragraph
β31 1193 481 1208 495 0 0 0 default paragraph
0.4 892 503 907 512 0 0 0 default paragraph
0.2 892 523 907 530 0 0 0 default paragraph
0 901 541 907 547 0 0 0 default paragraph
−00..82 885 558 907 578 0 0 0 default paragraph
β41 1275 550 1292 565 0 0 0 default paragraph
0.6 892 587 907 596 0 0 0 default paragraph
0.4 892 605 907 613 0 0 0 default paragraph
0.2 892 622 907 631 0 0 0 default paragraph
0.5 926 646 941 653 0 0 0 default paragraph
1 987 646 992 653 0 0 0 default paragraph
00.20.40.60.8 999 646 1069 653 0 0 0 default paragraph
0 1082 646 1089 653 0 0 0 default paragraph
0.5 1111 646 1127 653 0 0 0 default paragraph
1−0.2 1150 646 1179 653 0 0 0 default paragraph
0 1190 646 1195 653 0 0 0 default paragraph
0.2 1207 646 1222 653 0 0 0 default paragraph
0.4 1227 646 1242 653 0 0 0 default paragraph
0 1249 646 1256 653 0 0 0 default paragraph
0.20.40.60.8 1261 646 1329 653 0 0 0 default paragraph
HMC 506 693 569 726 0 0 0 YFJPQS+NimbusRomNo9L-Regu paragraph
RNS-HMC 1043 693 1169 726 0 0 0 YFJPQS+NimbusRomNo9L-Regu paragraph
Figure 255 750 326 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu paragraph
6: 346 750 368 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu paragraph
HMC 404 750 469 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
vs 489 750 513 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
RNS-HMC: 535 750 668 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
Comparing 690 750 814 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
one- 834 750 884 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
and 904 750 945 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
two-dimensional 965 750 1150 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
posterior 1173 750 1269 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
marginals 1292 750 1400 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
of 1421 750 1445 783 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
β 255 785 270 814 0 0 0 JCANCD+CMMI10 caption
, 282 785 290 814 0 0 0 JCANCD+CMMI10 caption
β 294 785 309 814 0 0 0 JCANCD+CMMI10 caption
, 333 785 341 814 0 0 0 JCANCD+CMMI10 caption
β 345 785 362 814 0 0 0 JCANCD+CMMI10 caption
, 384 785 392 814 0 0 0 JCANCD+CMMI10 caption
β 397 785 413 814 0 0 0 JCANCD+CMMI10 caption
, 436 785 443 814 0 0 0 JCANCD+CMMI10 caption
β 448 785 464 814 0 0 0 JCANCD+CMMI10 caption
based 494 781 557 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
on 564 781 591 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
the 600 781 632 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
logistic 639 781 720 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
regression 727 781 841 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
model 848 781 918 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
with 924 781 974 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
simulated 980 781 1088 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
data. 1094 781 1149 814 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
1 270 796 280 816 0 0 0 WXHUOD+CMR7 caption
11 309 796 331 816 0 0 0 WXHUOD+CMR7 caption
21 362 796 384 816 0 0 0 WXHUOD+CMR7 caption
31 413 796 435 816 0 0 0 WXHUOD+CMR7 caption
41 464 796 486 816 0 0 0 WXHUOD+CMR7 caption
Table 255 1348 314 1383 0 0 0 YFJPQS+NimbusRomNo9L-Regu paragraph
1: 324 1348 345 1383 0 0 0 YFJPQS+NimbusRomNo9L-Regu paragraph
Comparing 358 1353 470 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
the 479 1353 510 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
algorithms 516 1353 623 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
using 632 1353 686 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
logistic 693 1353 768 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
regression 775 1353 877 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
models 885 1353 957 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
and 965 1353 1001 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
an 1009 1353 1033 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
elliptic 1042 1353 1111 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
PDE 1118 1353 1166 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
inverse 1174 1353 1244 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
problem. 1252 1353 1343 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
For 1356 1353 1390 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
each 1399 1353 1445 1381 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
method, 255 1381 334 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
we 341 1381 370 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
provide 377 1381 452 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
the 459 1381 489 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
acceptance 494 1381 605 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
probability 610 1381 720 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
(AP), 725 1381 780 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
the 787 1381 817 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
CPU 824 1381 872 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
time 878 1381 923 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
(s) 928 1381 955 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
for 962 1381 991 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
each 996 1381 1042 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
iteration 1048 1381 1132 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
and 1137 1381 1173 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
the 1179 1381 1210 1412 0 0 0 YFJPQS+NimbusRomNo9L-Regu caption
