block line confidence X1 Y1 X2 Y2 token
0 0 0.9803596138954163 513 93 563 127 ON
0 0 0.9999755620956421 563 93 628 127 THE
0 0 0.9986448884010315 631 98 705 125 LAST
0 0 0.5421434044837952 710 95 854 127 QUESTION
0 0 0.9999682903289795 859 95 902 125 OF
0 0 0.9883109927177429 907 98 1015 123 STEFAN
0 0 0.9999613761901855 1020 98 1138 123 BANACH
1 0 0.9999852180480957 1494 93 1516 127 5
2 0 0.9985933899879456 171 153 218 201 (It
2 0 0.9999163150787354 219 155 251 196 is
2 0 0.955357551574707 255 157 410 198 interesting
2 0 0.999955415725708 413 157 452 196 to
2 0 0.999976396560669 453 159 524 194 note
2 0 0.9999815225601196 528 157 594 194 that
2 0 0.999954342842102 599 157 652 194 the
2 0 0.9997537732124329 655 164 733 191 same
2 0 0.98111891746521 739 159 889 191 1936-1937
2 0 0.9999569654464722 896 157 970 194 issue
2 0 0.9982582926750183 972 155 1012 194 of
2 0 0.9629532098770142 1015 157 1143 198 Comptes
2 0 0.8843419551849365 1150 157 1256 191 Rendus
2 0 0.992420494556427 1261 157 1316 194 des
2 0 0.9701923131942749 1319 155 1437 196 Séances
2 0 0.9985989928245544 1440 155 1482 194 de
2 0 0.9754050374031067 1482 155 1518 194 la
2 1 0.9546003937721252 140 196 247 230 Société
2 1 0.9999690055847168 250 194 302 230 des
2 1 0.997180700302124 306 196 429 230 Sciences
2 1 0.9974825978279114 432 194 470 232 et
2 1 0.9999737739562988 470 194 521 230 des
2 1 0.9998544454574585 528 196 628 230 Lettres
2 1 0.9997147917747498 631 194 671 232 de
2 1 0.9931147694587708 680 196 801 230 Varsovie
2 1 0.999896764755249 804 194 843 232 in
2 1 0.9994223117828369 844 196 931 230 which
2 1 0.9344375133514404 938 198 1080 232 Slupecki's
2 1 0.9999269247055054 1087 203 1172 237 paper
2 1 0.9866045117378235 1175 203 1235 230 was
2 1 0.9992145299911499 1238 196 1387 237 published,
2 1 0.9994139671325684 1392 196 1515 230 contains
2 2 0.9999783039093018 137 235 192 271 the
2 2 0.9999809265136719 198 242 284 276 paper
2 2 0.516658365726471 293 232 376 276 [We2]
2 2 0.9996111989021301 381 232 421 271 of
2 2 0.9966022968292236 424 235 533 269 Donald
2 2 0.9998875856399536 537 232 575 271 L.
2 2 0.9996176958084106 583 232 680 274 Webb,
2 2 0.9994100332260132 684 239 712 271 a
2 2 0.9994407296180725 715 235 789 269 fresh
2 2 0.9964789748191833 797 235 867 269 PhD
2 2 0.9973700046539307 875 235 948 269 from
2 2 0.9998568296432495 956 235 1069 269 Caltech
2 2 0.9999037981033325 1075 235 1135 269 and
2 2 0.9999778270721436 1140 235 1193 271 the
2 2 0.999817430973053 1200 235 1300 269 author
2 2 0.9999887943267822 1305 232 1345 271 of
2 2 0.9998156428337097 1347 235 1400 271 the
2 2 0.9992339611053467 1405 235 1515 276 already
2 3 0.9904186129570007 138 274 290 308 mentioned
2 3 0.6830987930297852 298 271 390 315 [Wel),
2 3 0.9995743632316589 395 271 432 310 in
2 3 0.9997904896736145 436 274 524 308 which
2 3 0.9995942711830139 528 274 570 310 he
2 3 0.9996209144592285 575 278 684 306 extends
2 3 0.9999616146087646 691 274 744 308 the
2 3 0.9997387528419495 749 278 844 306 results
2 3 0.999998927116394 849 271 888 310 of
2 3 0.9999243021011353 889 274 941 310 the
2 3 0.999932050704956 944 274 1028 308 latter
2 3 0.9929096102714539 1035 280 1129 315 paper.
2 3 0.9999717473983765 1138 271 1217 315 This,
2 3 0.9987987279891968 1222 280 1324 315 among
2 3 0.9999605417251587 1327 274 1408 308 other
2 3 0.9987358450889587 1413 274 1513 315 things,
2 4 0.9962230920791626 140 317 261 351 suggests
2 4 0.9999414682388306 269 312 335 349 that
2 4 0.9663763046264648 345 317 539 349 developments
2 4 0.9997679591178894 547 310 586 349 in
2 4 0.9995251893997192 591 312 650 347 this
2 4 0.9999217987060547 660 312 762 347 branch
2 4 0.999907374382019 767 310 807 349 of
2 4 0.9990096092224121 810 312 907 354 logical
2 4 0.9861934781074524 915 312 1012 347 calculi
2 4 0.9983121156692505 1020 319 1062 347 on
2 4 0.983672559261322 1070 312 1141 347 both
2 4 0.9889436960220337 1150 312 1225 347 sides
2 4 0.9999959468841553 1230 310 1269 349 of
2 4 0.9982646107673645 1274 312 1393 347 Atlantic
2 4 0.9999539852142334 1402 310 1456 351 did
2 4 0.9999942779541016 1461 312 1516 349 not
