block line confidence X1 Y1 X2 Y2 token
0 0 0.9998617172241211 203 162 293 196 where
0 0 0.18941985070705414 297 166 337 203 2,
0 0 0.8250157237052917 340 169 368 203 p
0 0 0.9998782873153687 368 162 429 198 and
0 0 0.6445133090019226 431 169 460 201 C
0 0 0.8717961311340332 457 166 513 201 are
0 0 0.9997331500053406 515 162 568 198 the
0 0 0.811697244644165 575 164 739 198 background
0 0 0.9929145574569702 747 162 812 198 flow
0 0 0.992229163646698 817 162 936 203 velocity,
0 0 0.9996472597122192 943 162 1053 203 density
0 0 0.9993189573287964 1056 162 1116 198 and
0 0 0.9993933439254761 1119 162 1206 203 speed
0 0 0.9998281002044678 1208 159 1250 198 of
0 0 0.9962028861045837 1248 162 1347 203 sound,
0 0 0.9997770190238953 1353 162 1413 198 and
0 0 0.9997674822807312 1414 162 1439 198 t
0 0 0.9996229410171509 1437 157 1500 201 and
0 1 0.9799230694770813 195 210 247 237 are
0 1 0.9994062185287476 248 201 303 242 the
0 1 0.9875005483627319 303 203 434 237 standard
0 1 0.9646116495132446 437 203 508 237 time
0 1 0.6835161447525024 508 198 571 242 and
0 1 0.9996858835220337 573 203 696 244 gradient
0 1 0.999941349029541 701 207 823 242 operator
0 1 0.9976263642311096 827 201 865 239 of
0 1 0.9997634291648865 867 203 1024 237 Newtonian
0 1 0.856896698474884 1027 203 1182 237 mechanics.
0 1 0.9289946556091309 1196 203 1385 235 Conservation
0 1 0.9999860525131226 1385 198 1426 239 of
0 1 0.9980564713478088 1426 210 1500 237 mass
1 0 0.9999933242797852 155 242 201 278 for
1 0 0.9796127080917358 205 242 256 278 the
1 0 0.9338455200195312 263 244 428 278 background
1 0 0.5922769904136658 436 242 500 276 flow
1 0 0.999754011631012 502 242 568 278 tells
1 0 0.9984000325202942 571 248 610 278 us
1 0 0.9998964071273804 615 244 688 280 that,
2 0 0.4886031746864319 689 338 738 383 ap
2 1 0.5733346939086914 691 381 733 422 Ot
3 0 0.9994981288909912 155 358 203 406 (2)
4 0 0.5037916898727417 768 358 838 404 V.
4 0 0.9791334271430969 827 360 898 404 (pu)
4 0 0.9797257781028748 898 367 933 397 =
4 0 0.9629261493682861 931 363 967 402 0.
5 0 0.999433696269989 203 472 292 516 Using
5 0 0.9994454979896545 295 472 355 509 this
5 0 0.9998893737792969 358 472 442 516 along
5 0 0.9999305009841919 444 472 513 509 with
5 0 0.9955894947052002 518 470 573 516 Eq.
5 0 0.7683746218681335 578 470 626 518 (1)
5 0 0.9949321150779724 629 479 676 511 we
5 0 0.9954765439033508 680 477 772 504 obtain
5 0 0.9998076558113098 776 479 806 511 a
5 0 0.9895099401473999 807 472 917 513 slightly
5 0 0.9998295307159424 920 472 1024 507 altered
5 0 0.9936157464981079 1030 477 1179 511 expression
5 0 0.9999998807907104 1185 472 1234 509 for
5 0 0.13332012295722961 1234 472 1271 516 0,
6 0 0.9998968839645386 155 591 203 639 (3)
7 0 0.3666873574256897 457 566 791 664 (+Va(
7 0 0.39635106921195984 809 600 839 630 u
7 0 0.8549337983131409 859 598 899 635 V
7 0 0.9148870706558228 919 605 935 628 @
7 0 0.4369884133338928 980 600 1020 630 V.
7 0 0.2903890013694763 1025 593 1130 637 (pVo)
7 0 0.9744928479194641 1127 593 1200 639 =0,
8 0 0.9998947381973267 203 708 292 742 where
8 0 0.997840404510498 297 705 335 742 V
8 0 0.9990125894546509 342 712 403 740 acts
8 0 0.9998712539672852 408 714 449 742 on
8 0 0.9421620965003967 458 710 605 744 everything
8 0 0.9977838397026062 612 710 649 740 to
8 0 0.9997373223304749 652 705 697 742 its
8 0 0.9995205402374268 699 705 781 749 right.
8 0 0.9999802112579346 791 705 864 742 This
8 0 0.8435789942741394 865 712 935 746 may
8 0 0.9989080429077148 936 714 1012 742 seem
8 0 0.9725865721702576 1017 705 1075 742 like
8 0 0.9804458022117615 1075 712 1106 742 a
8 0 0.9999343156814575 1108 710 1225 737 needless
8 0 0.9991074204444885 1234 710 1414 744 complication
8 0 0.9445727467536926 1426 717 1440 746 ,
8 0 0.9997549653053284 1442 705 1498 742 but
8 1 0.9997478127479553 155 753 192 783 as
8 1 0.9999018907546997 195 746 308 788 pointed
8 1 0.9993662238121033 311 746 366 783 out
8 1 0.999699592590332 369 744 418 790 by,
8 1 0.9999997615814209 421 744 470 783 for
8 1 0.9702575206756592 471 746 602 788 example,
8 1 0.9964467883110046 608 746 701 781 Visser
8 1 0.9054238200187683 705 742 757 792 [2),
8 1 0.9973750114440918 760 753 807 785 we
8 1 0.9963964819908142 807 753 864 781 can
8 1 0.9998778104782104 868 746 948 781 write
8 1 0.9997579455375671 951 746 1011 781 this
8 1 0.999679684638977 1014 753 1051 781 as
8 1 0.9999306201934814 1054 746 1108 781 the
8 1 0.6824429631233215 1112 746 1321 781 d'Alembertian
8 1 0.9999852180480957 1324 744 1363 783 of
8 1 0.9997642636299133 1361 751 1389 783 a
8 1 0.9916859269142151 1392 749 1497 783 curved,
9 0 0.9841019511222839 156 788 355 822 4-dimensional
9 0 0.9085415601730347 360 788 516 829 space-time
9 0 0.9997157454490662 520 785 558 824 of
9 0 0.9957104921340942 558 788 650 822 mixed
9 0 0.7283607721328735 654 788 799 829 signature,
10 0 0.9737452864646912 155 902 203 947 (4)
11 0 0.9165937304496765 592 904 642 943 Ap
11 0 0.24448713660240173 689 888 1003 977 -(VEB-a)
11 0 0.9550037980079651 994 902 1067 945 =0.
12 0 0.2024708092212677 200 1014 256 1062 g!
12 0 0.9998546838760376 258 1014 292 1055 is
12 0 0.9996787309646606 293 1016 347 1053 the
12 0 0.8787204623222351 352 1021 452 1048 inverse
12 0 0.9999982118606567 457 1014 495 1053 of
12 0 0.9999507665634155 495 1016 549 1053 the
12 0 0.9986609220504761 554 1018 649 1053 metric
12 0 0.4864124655723572 654 1023 705 1062 gwv
12 0 0.9938911199569702 707 1014 747 1053 of
12 0 0.9999167919158936 747 1016 801 1053 the
12 0 0.9994168281555176 804 1023 894 1057 space,
12 0 0.9984982013702393 901 1016 959 1053 and
12 0 0.9980997443199158 964 1023 990 1059 9
12 0 0.9999076128005981 991 1014 1025 1055 is
12 0 0.9996585845947266 1027 1016 1080 1053 the
12 0 0.562705934047699 1085 1018 1259 1050 determinant
12 0 0.9999946355819702 1264 1014 1305 1053 of
12 0 0.3415376543998718 1301 1021 1364 1064 gu.
12 0 0.9996721744537354 1376 1016 1466 1050 Hence
12 0 0.9995847344398499 1471 1016 1498 1050 it
12 1 0.780419111251831 156 1057 279 1091 becomes
12 1 0.9990905523300171 281 1057 355 1091 clear
12 1 0.9999736547470093 356 1057 423 1091 that
12 1 0.9991752505302429 424 1062 471 1094 we
12 1 0.9981379508972168 470 1064 524 1091 can
12 1 0.999873161315918 526 1057 623 1098 regard
12 1 0.27267885208129883 623 1055 654 1096 d
12 1 0.9986873269081116 650 1059 691 1096 as
12 1 0.9987983703613281 688 1062 715 1094 a
12 1 0.6370679140090942 713 1057 802 1091 scalar
12 1 0.5071507096290588 804 1055 870 1091 field
12 1 0.9985408782958984 872 1064 914 1091 on
12 1 0.9995782971382141 912 1062 940 1094 a
12 1 0.5542126297950745 940 1057 1137 1091 4-dimensional
12 1 0.9967331886291504 1141 1062 1224 1096 space
12 1 0.9999041557312012 1225 1057 1295 1091 with
12 1 0.9999268054962158 1297 1057 1350 1091 the
12 1 0.9953773021697998 1351 1062 1445 1089 metric
12 1 0.5043788552284241 1448 1064 1498 1100 gwv
12 2 0.9996153116226196 155 1096 260 1130 defined
12 2 0.9995287656784058 266 1096 308 1137 by
12 2 0.999920129776001 313 1096 366 1132 the
12 2 0.9994402527809143 369 1096 539 1137 background
12 2 0.9872509241104126 544 1096 617 1130 flow.
12 2 0.9999637603759766 626 1096 697 1130 This
12 2 0.9942255616188049 701 1103 785 1137 space
12 2 0.9998689889907837 786 1094 818 1135 is
12 2 0.9997983574867249 822 1096 875 1132 the
12 2 0.9789044260978699 880 1100 998 1128 acoustic
12 2 0.6982544660568237 1004 1096 1162 1137 space-time.
12 2 0.9999877214431763 1174 1096 1238 1132 The
12 2 0.9999711513519287 1242 1096 1355 1130 authors
12 2 0.9996448755264282 1360 1096 1424 1130 who
12 2 0.7602933645248413 1427 1096 1500 1132 have
12 3 0.9999691247940063 155 1137 266 1178 pointed
12 3 0.9996993541717529 271 1135 331 1171 this
12 3 0.9994288086891174 332 1137 389 1174 out
12 3 0.9986870884895325 390 1137 463 1171 have
12 3 0.9991804957389832 465 1137 566 1178 largely
12 3 0.9469187259674072 571 1137 641 1171 used
12 3 0.9979311227798462 641 1135 675 1174 it
12 3 0.9990530610084534 675 1144 713 1171 as
12 3 0.9997705817222595 713 1142 741 1174 a
12 3 0.9997709393501282 741 1137 804 1171 tool
12 3 0.9996200799942017 804 1137 846 1174 to
12 3 0.7533289790153503 846 1137 994 1171 illuminate
12 3 0.9999154806137085 999 1137 1075 1171 what
12 3 0.9999395608901978 1080 1139 1159 1176 parts
12 3 0.9940133690834045 1161 1135 1200 1174 of
12 3 0.9826719760894775 1198 1137 1306 1178 general
12 3 0.9861546158790588 1309 1137 1447 1178 relativity
12 3 0.9997972846031189 1448 1144 1498 1171 are
12 4 0.9504774808883667 153 1176 213 1212 due
12 4 0.9999750852584839 214 1176 253 1215 to
12 4 0.998916506767273 258 1176 400 1210 Einstein's
12 4 0.9864357113838196 405 1176 471 1212 field
12 4 0.9981824159622192 476 1180 615 1215 equations
12 4 0.6175333261489868 623 1180 785 1215 specifically,
12 4 0.9987083673477173 791 1176 851 1212 and
12 4 0.9999566078186035 857 1180 931 1208 what
12 4 0.9935000538825989 938 1180 1104 1215 phenomena
12 4 0.9999555349349976 1111 1180 1209 1208 remain
12 4 0.9998493194580078 1217 1178 1297 1212 when
12 4 0.9999712705612183 1301 1176 1355 1212 the
12 4 0.9979017972946167 1358 1176 1500 1217 equations
12 5 0.9840414524078369 153 1222 209 1256 are
12 5 0.9965094923973083 211 1219 329 1254 changed
12 5 0.999931812286377 337 1215 392 1251 but
12 5 0.9999734163284302 397 1215 452 1256 the
12 5 0.9814630746841431 455 1217 528 1251 form
12 5 0.9995941519737244 531 1215 570 1254 of
12 5 0.8433518409729004 571 1215 626 1256 the
12 5 0.9992966651916504 629 1219 765 1260 geometry
12 5 0.9986011385917664 772 1217 889 1251 remains
12 5 0.8516929149627686 896 1215 969 1258 (this
12 5 0.9999312162399292 970 1215 1004 1254 is
12 5 0.9997654557228088 1007 1217 1096 1251 where
12 5 0.9996523857116699 1104 1217 1183 1251 black
12 5 0.998906135559082 1190 1217 1266 1251 holes
12 5 0.9766045212745667 1271 1224 1322 1251 are
12 5 0.9999977350234985 1326 1215 1364 1254 of
12 5 0.7397373914718628 1366 1217 1497 1258 interest).
12 6 0.9993033409118652 153 1254 218 1297 We,
12 6 0.9992613196372986 224 1258 350 1292 however,
12 6 0.9896288514137268 361 1256 450 1290 would
12 6 0.7130453586578369 458 1256 516 1292 like
12 6 0.9999748468399048 520 1256 560 1295 to
12 6 0.9993347525596619 565 1258 633 1292 turn
12 6 0.999923586845398 641 1256 701 1292 this
12 6 0.9997623562812805 707 1263 747 1292 on
