block line confidence X1 Y1 X2 Y2 token
0 0 0.9999667406082153 1542 77 1565 109 8
1 0 0.9989326596260071 144 146 182 182 in
1 0 0.9998880624771118 180 148 237 186 Fig.
1 0 0.8652171492576599 237 146 322 186 10(a).
1 0 0.9985697269439697 330 148 398 180 Even
1 0 0.9999450445175171 400 148 428 180 if
1 0 0.9999756813049316 428 146 476 180 the
1 0 0.9979355335235596 476 148 554 180 entire
1 0 0.7333008050918579 559 150 632 176 Fermi
1 0 0.9976098537445068 637 148 728 180 surface
1 0 0.9998282194137573 730 148 760 180 is
1 0 0.9995489716529846 762 148 835 180 taken
2 0 0.994364857673645 904 154 942 180 on
2 0 0.9999560117721558 949 146 997 180 the
2 0 0.9016664624214172 1006 150 1080 176 Fermi
2 0 0.9934653639793396 1090 148 1182 180 surface
2 0 0.9971849322319031 1187 146 1225 182 of
2 0 0.9998267292976379 1228 150 1276 180 the
2 0 0.9994852542877197 1281 148 1341 180 hole
2 0 0.9997749924659729 1346 148 1401 180 and
2 0 0.974336564540863 1407 146 1457 180 the
2 0 0.9976267218589783 1462 148 1565 180 electron
2 1 0.9999547004699707 878 242 956 275 bands
2 1 0.9987797141075134 966 242 1027 275 with
2 1 0.9611749053001404 1040 249 1127 275 masses
2 1 0.9438139200210571 1135 247 1185 281 mh
2 1 0.5123571753501892 1196 247 1228 272 &
2 1 0.5069072246551514 1241 247 1308 279 -me
2 1 0.9998613595962524 1318 244 1429 277 although
2 1 0.8804488182067871 1442 242 1512 275 there
2 1 0.9967321157455444 1519 249 1565 275 are
2 2 0.9982883334159851 876 307 936 339 that
2 2 0.6792688369750977 941 309 1120 341 cos(km)cos(kw)
2 2 0.9997267127037048 1127 307 1155 339 is
2 2 0.9999600648880005 1157 305 1205 339 the
2 2 0.999562680721283 1208 309 1301 341 leading
2 2 0.7584690451622009 1304 307 1382 339 order.
2 2 0.997614860534668 1394 309 1442 339 We
2 2 0.9973742961883545 1442 307 1505 339 note
2 2 0.9992861151695251 1505 305 1565 339 that
2 3 0.6577340960502625 876 335 1064 380 cos(ka)cos(Ky)
2 3 0.9992077946662903 1064 341 1165 373 predicts
2 3 0.9997414946556091 1163 343 1188 371 a
2 3 0.9998897314071655 1188 345 1289 371 stronger
2 3 0.9983904361724854 1293 341 1382 373 mixing
2 3 0.9999985694885254 1382 339 1416 369 of
2 3 0.9997435212135315 1414 341 1457 369 the
2 3 0.9863914251327515 1457 337 1563 375 particle-
2 4 0.9991958737373352 876 371 936 403 hole
2 4 0.9678184390068054 941 378 1049 403 response
2 4 0.8560482859611511 1057 371 1123 403 from
2 4 0.9997356534004211 1127 369 1178 403 the
2 4 0.999808132648468 1183 373 1284 399 electron
2 4 0.9997228980064392 1291 371 1346 403 and
2 4 0.9988419413566589 1351 371 1411 403 hole
2 4 0.9235480427742004 1419 373 1494 399 bands
2 4 0.9998571872711182 1504 373 1565 399 than
2 5 0.24609918892383575 876 399 971 440 cos(K.)
2 5 0.9491866827011108 974 403 1002 436 +
2 5 0.9335071444511414 1004 401 1097 440 cos(ky)
2 5 0.9973292350769043 1104 408 1138 433 as
2 5 0.9987911581993103 1142 401 1241 440 already
2 5 0.5150536894798279 1246 401 1351 433 outlined
2 5 0.9993359446525574 1358 401 1397 440 by
2 5 0.6910291910171509 1402 401 1485 433 Mazin
2 5 0.9991604089736938 1492 403 1524 433 et
2 5 0.994056224822998 1527 399 1567 433 al.
2 6 0.9989463686943054 941 468 1072 500 Appendix
2 6 0.999468982219696 1077 468 1110 498 E:
2 6 0.9957354068756104 1113 466 1271 496 Subtraction
2 6 0.9999719858169556 1271 464 1311 498 of
2 6 0.999921441078186 1308 466 1359 498 the
2 6 0.9186935424804688 1361 470 1500 494 continuum
2 7 0.9999603033065796 903 534 961 569 The
2 7 0.9790134429931641 962 537 1097 567 fluctuation
2 7 0.9995121955871582 1100 541 1208 573 response
2 7 0.9998619556427002 1208 537 1235 569 is
2 7 0.9980620741844177 1235 539 1374 571 superposed
2 7 0.9996428489685059 1374 541 1412 569 on
2 7 0.999030351638794 1412 534 1459 569 the
2 7 0.997164785861969 1457 534 1562 573 particle-
2 8 0.9970646500587463 876 569 934 601 hole
2 8 0.6980294585227966 934 569 1067 599 continuum
2 8 0.9995890259742737 1067 569 1125 601 that
2 8 0.9942692518234253 1125 571 1253 603 essentially
2 8 0.9992415904998779 1253 569 1344 601 reflects
2 8 0.5757376551628113 1343 567 1557 605 symmetry-resolve
2 9 0.9996606111526489 878 603 997 635 transport
2 9 0.635341465473175 997 599 1153 638 properties31.
2 9 0.9998160004615784 1160 601 1233 633 Since
2 9 0.9999792575836182 1230 599 1278 633 the
2 9 0.9968419075012207 1276 601 1432 631 contribution
2 9 0.9998927116394043 1431 601 1464 631 of
2 9 0.9953190684318542 1460 603 1509 633 the
2 9 0.7813403010368347 1504 601 1562 633 fluc-
2 10 0.9998237490653992 878 668 941 693 little
2 10 0.8367177844047546 944 668 1090 698 uncertainty.
2 10 0.9999934434890747 1097 663 1155 698 The
2 10 0.8634994626045227 1155 668 1260 700 simplest
2 10 0.9998284578323364 1261 670 1318 702 way
2 10 0.9998980760574341 1318 666 1346 696 is
2 10 0.9999408721923828 1344 668 1379 696 to
2 10 0.996647298336029 1379 670 1426 696 use
2 10 0.9999395608901978 1426 663 1475 698 the
2 10 0.9987717270851135 1474 666 1563 698 contin-
2 11 0.978846549987793 878 702 939 728 uum
2 11 0.9965901374816895 941 700 976 728 at
2 11 0.999977707862854 977 702 1014 728 or
2 11 0.996892511844635 1016 698 1110 730 slightly
2 11 0.831060528755188 1115 696 1193 728 above
2 11 0.9999580383300781 1195 693 1245 728 the
2 11 0.9976145029067993 1248 702 1362 726 crossover
2 11 0.7607948780059814 1367 700 1522 730 temperature
2 11 0.3170035779476166 1525 696 1565 734 T,
3 0 0.9983512163162231 146 180 202 212 into
3 0 0.9994165897369385 200 180 302 212 account
3 0 0.9999793767929077 300 178 350 212 the
3 0 0.5320500731468201 350 182 458 208 selection
3 0 0.999976634979248 459 180 526 212 rules
3 0 0.999822199344635 524 180 579 212 still
3 0 0.9996565580368042 577 180 645 212 work
3 0 0.999893069267273 644 180 675 210 in
3 0 0.998958945274353 675 178 723 212 the
3 0 0.9331203103065491 723 182 833 208 Fe-based
3 0 0.9999572038650513 878 180 956 212 bands
3 0 0.8415375351905823 964 178 1002 219 ()
3 0 0.9756851196289062 1011 186 1057 212 are
3 0 0.8980846405029297 1067 182 1270 214 predomininantly
3 0 0.9992617964744568 1279 182 1387 214 negative
3 0 0.99970942735672 1394 178 1449 212 and
3 0 0.9914823770523071 1457 182 1563 214 positive,
3 1 0.9949305653572083 149 214 268 240 materials.
3 1 0.9999874830245972 278 212 327 242 For
3 1 0.9956454038619995 328 212 439 244 instance,
3 1 0.999874472618103 441 212 473 242 in
3 1 0.9999332427978516 474 214 549 240 either
3 1 0.9916273355484009 551 216 609 242 case
