block line confidence X1 Y1 X2 Y2 token
0 0 0.7509730458259583 507 294 592 322 Proton
0 0 0.9969007968902588 596 292 739 324 instabilities
0 0 0.7065334320068359 741 292 776 326 in
0 0 0.6245216131210327 775 290 862 331 weakly
0 0 0.9051785469055176 865 294 991 324 collisional
0 0 0.9744263887405396 994 296 1093 324 plasmas
1 0 0.9999220371246338 1309 292 1335 326 3
2 0 0.7181664705276489 263 349 321 376 may
2 0 0.9999420642852783 324 340 365 376 be
2 0 0.9582767486572266 368 347 484 374 expressed
2 0 0.9975593090057373 492 340 531 379 by
2 0 0.9990823268890381 536 344 655 379 transport
2 0 0.8240500092506409 662 342 799 374 coefficients
2 0 0.9999411106109619 804 344 878 372 which
2 0 0.9981607794761658 885 347 930 374 are
2 0 0.9625384211540222 935 342 1045 376 typically
2 0 0.934959888458252 1051 344 1143 372 derived
2 0 0.9999501705169678 1150 342 1180 374 in
2 0 0.996942937374115 1183 340 1234 376 the
2 0 0.999383807182312 1235 340 1334 381 vicinity
2 1 0.9981038570404053 260 372 298 408 of
2 1 0.9864726066589355 293 374 395 408 thermal
2 1 0.9101171493530273 398 376 541 411 equilibrium
2 1 0.9895602464675903 547 376 683 411 (Braginskii
2 1 0.9924652576446533 688 376 767 411 1965).
2 1 0.9998500347137451 770 374 797 408 A
2 1 0.9995307922363281 801 381 907 408 presence
2 1 0.9999997615814209 910 374 943 406 of
2 1 0.9998268485069275 941 374 1012 408 other
2 1 0.6828029751777649 1015 376 1101 404 kinetic
2 1 0.5247240662574768 1104 374 1187 408 efects
2 1 0.8746709823608398 1188 381 1246 408 may
2 1 0.9999814033508301 1250 376 1330 404 render
2 2 0.8394280672073364 263 408 419 443 questionable
2 2 0.9998099207878113 426 411 492 438 these
2 2 0.63377445936203 497 408 738 440 colision-dominated
2 2 0.9850216507911682 743 408 877 440 theoretical
2 2 0.944313108921051 883 408 1020 443 predictions
2 2 0.9980058073997498 1024 406 1067 445 (in
2 2 0.9999228715896606 1069 406 1117 443 the
2 2 0.8356039524078369 1119 408 1264 440 collisionless
2 2 0.8348262310028076 1271 411 1332 438 limit
2 3 0.999981164932251 261 438 310 475 the
2 3 0.9993244409561157 313 443 434 477 transport
2 3 0.8629423379898071 439 440 578 472 coefficients
2 3 0.999996542930603 581 440 617 475 of
2 3 0.9731643795967102 620 445 743 472 Braginskii
2 3 0.8659369945526123 754 443 835 477 (1965)
2 3 0.8807250261306763 841 443 948 477 diverge).
2 3 0.7099067568778992 957 440 1030 475 Some
2 3 0.9809509515762329 1035 443 1158 470 collisional
2 3 0.9994763731956482 1166 443 1285 477 transport
2 3 0.7568694353103638 1288 445 1332 472 CO-
2 4 0.9995606541633606 264 477 374 504 efficients
2 4 0.9923579096794128 379 479 429 507 can
2 4 0.9999397993087769 434 475 471 504 be
2 4 0.9991718530654907 474 475 604 507 calculated
2 4 0.8739621043205261 608 479 671 507 even
2 4 0.9999963045120239 678 475 718 504 far
2 4 0.9985295534133911 722 472 786 507 from
2 4 0.959866464138031 794 477 891 504 thermal
2 4 0.5124087929725647 901 475 1048 509 equilibrium,
2 4 0.9998724460601807 1056 472 1101 509 for
2 4 0.9292115569114685 1103 475 1209 509 example
2 4 0.8370175957679749 1214 477 1332 511 assuming
2 5 0.9724878072738647 263 509 360 543 drifting
2 5 0.9548607468605042 366 511 537 536 bi-Maxwellian
2 5 0.9988290667533875 544 509 641 543 velocity
2 5 0.9990785121917725 644 507 793 539 distribution
2 5 0.9992178678512573 797 509 910 536 functions
2 5 0.9999997615814209 915 509 956 539 for
2 5 0.9998196959495544 956 504 996 541 all
2 5 0.9974966645240784 998 509 1095 543 particle
2 5 0.9992740750312805 1096 509 1187 543 species
2 5 0.9995598196983337 1190 509 1301 543 (Barakat
2 5 0.999241828918457 1303 507 1332 541 &
2 6 0.9987196922302246 264 543 355 571 Schunk
2 6 0.9995877146720886 360 541 428 575 1981;
2 6 0.9795228242874146 432 545 542 573 Hellinger
2 6 0.9931684732437134 544 541 575 573 &
2 6 0.9910733103752136 576 543 699 571 Travnicek
2 6 0.9999799728393555 702 541 780 577 2009).
2 6 0.9999785423278809 781 539 833 575 For
2 6 0.9995006322860718 833 543 936 571 instance
2 6 0.9998220801353455 936 539 985 575 the
2 6 0.827843427658081 986 543 1158 577 proton-proton
2 6 0.960720419883728 1162 543 1330 575 isotropization
3 0 0.9844709634780884 266 580 384 607 frequency
3 0 0.9259268045425415 387 577 436 614 Vpp
4 0 0.6236466765403748 562 641 649 685 d(TpL
4 0 0.3982548713684082 649 641 754 692 -Tpi,7
4 1 0.9977678060531616 638 680 675 719 dt
4 2 0.5061931014060974 625 808 744 858 eplnA
4 3 0.20355916023254395 545 842 815 906 10:*PemAAPAS
5 0 0.981128454208374 791 669 827 698 =
5 0 0.960806667804718 818 662 889 705 -Vpp
5 0 0.4305289089679718 888 655 954 708 (Tpi
5 0 0.9961227774620056 951 664 988 703 -
5 0 0.6387706398963928 977 660 1038 708 Tpi)
6 0 0.9061340093612671 1269 662 1334 705 (1.1)
7 0 0.9990262985229492 746 696 789 724 coll
8 0 0.510093629360199 290 746 350 781 may
8 0 0.9999769926071167 350 742 389 778 be
8 0 0.7996630072593689 389 744 458 781 given
8 0 0.9987778067588806 460 749 494 776 as
9 0 0.999285876750946 904 815 983 861 2,3/2
9 0 0.5317966341972351 994 831 1041 870 1
9 1 0.8154169917106628 823 829 875 874 2Fi
9 1 0.9997922778129578 917 845 970 890 7/2
10 0 0.8235251307487488 465 838 513 877 Vpp
11 0 0.9498487114906311 1269 831 1334 874 (1.2)
12 0 0.4614647626876831 1038 806 1124 904 E)
13 0 0.9957342743873596 292 927 369 954 where
13 0 0.8669533729553223 376 925 428 959 2F1
13 0 0.9998063445091248 431 925 458 957 is
13 0 0.9999467134475708 460 922 508 959 the
13 0 0.979252278804779 510 927 621 954 standard
13 0 0.9936121106147766 626 920 728 961 (Gauss)
13 0 0.839867115020752 733 927 923 959 hypergeometric
13 0 0.9931722283363342 930 927 1038 954 function.
13 0 0.9477420449256897 1045 925 1080 959 In
13 0 0.9104235768318176 1082 925 1227 957 collisionless
13 0 0.8047544360160828 1230 925 1332 959 plasmas
13 1 0.9970723390579224 264 959 350 986 kinetic
13 1 0.7755120992660522 355 957 500 989 instabilities
13 1 0.9997161030769348 507 959 562 986 lead
13 1 0.9998855590820312 566 959 600 989 to
13 1 0.9995450377464294 604 959 707 986 effective
13 1 0.9981589913368225 712 959 831 993 transport
13 1 0.8367213606834412 838 957 982 989 coefficients.
13 1 0.9999563694000244 986 957 1022 991 In
13 1 0.9996547698974609 1022 957 1072 991 the
13 1 0.8313632607460022 1077 959 1222 993 quasi-linear
13 1 0.9988679885864258 1225 959 1330 993 approxi-
13 2 0.9970870614051819 264 993 353 1021 mation
13 2 0.99739009141922 356 991 384 1023 it
13 2 0.9999406337738037 386 991 413 1023 is
13 2 0.9991596937179565 416 991 516 1025 possible
13 2 0.9997400641441345 520 991 552 1023 to
13 2 0.9988943934440613 554 989 636 1023 derive
13 2 0.5941606760025024 636 995 705 1023 some.
13 2 0.9999535083770752 705 991 739 1021 of
13 2 0.9996867179870605 741 991 785 1021 the
13 2 0.9966151118278503 791 995 906 1023 transport
13 2 0.9967717528343201 912 993 1048 1018 coefficients
13 2 0.9982941746711731 1054 991 1132 1025 (Yoon
13 2 0.9990822076797485 1135 991 1164 1023 &
13 2 0.9997124075889587 1167 991 1259 1025 Seough
13 2 0.999948263168335 1263 993 1330 1021 2012;
13 3 0.649848461151123 264 1025 379 1059 Hellinger
13 3 0.9979915618896484 382 1023 413 1055 et
13 3 0.7572481036186218 413 1021 452 1057 al.
13 3 0.8649820685386658 453 1023 524 1059 2013)
13 3 0.9832995533943176 529 1025 647 1059 assuming
13 3 0.9999035596847534 649 1023 699 1057 the
13 3 0.9978387951850891 701 1027 794 1055 particle
13 3 0.98065185546875 799 1025 899 1059 velocity
13 3 0.9982757568359375 902 1023 1051 1055 distribution
13 3 0.9996071457862854 1056 1025 1158 1053 function
13 3 0.9999092817306519 1162 1023 1192 1055 is
13 3 0.9897146821022034 1193 1025 1256 1053 close
13 3 0.9999572038650513 1258 1025 1292 1055 to
13 3 0.9994580149650574 1292 1021 1334 1057 bi-
13 4 0.9998672008514404 289 1089 347 1123 The
13 4 0.914705216884613 348 1094 457 1119 behavior
13 4 0.9999978542327881 458 1091 491 1123 of
13 4 0.9995152950286865 487 1094 512 1126 a
13 4 0.9998302459716797 512 1094 592 1121 driven
13 4 0.965580403804779 596 1094 684 1128 system
13 4 0.9995672106742859 684 1089 747 1123 with
13 4 0.9017682671546936 751 1094 860 1121 Coulomb
13 4 0.9491297602653503 865 1094 978 1121 collisions
13 4 0.9991046786308289 980 1089 1033 1123 and
13 4 0.9971619844436646 1035 1094 1188 1128 temperature
13 4 0.8743592500686646 1192 1094 1330 1128 anisotropy-
13 5 0.9998880624771118 264 1126 344 1153 driven
13 5 0.9977567791938782 348 1123 495 1155 instabilities
13 5 0.9999271631240845 495 1123 524 1155 is
13 5 0.999884843826294 524 1128 550 1158 a
13 5 0.9985679388046265 552 1126 657 1160 complex
13 5 0.9933527708053589 662 1126 778 1153 nonlinear
13 5 0.9914984107017517 783 1126 888 1160 problem
13 5 0.9975335597991943 893 1126 967 1153 which
13 5 0.9999234676361084 970 1123 999 1158 is
13 5 0.9997621178627014 1001 1126 1062 1153 hard
13 5 0.9999797344207764 1066 1126 1099 1155 to
13 5 0.9653337001800537 1101 1126 1237 1160 investigate
13 5 0.999180018901825 1242 1126 1330 1160 analyt-
13 6 0.9877986907958984 263 1158 334 1192 ically
13 6 0.507315456867218 335 1162 373 1190 sO
13 6 0.9765140414237976 376 1160 434 1187 that
13 6 0.9998706579208374 436 1160 463 1192 a
13 6 0.9920761585235596 466 1160 587 1187 numerical
13 6 0.9998267292976379 594 1162 709 1190 approach
13 6 0.9999523162841797 715 1158 743 1190 is
