block line confidence X1 Y1 X2 Y2 token
0 0 0.999950647354126 149 116 172 150 8
1 0 0.9975953698158264 526 255 549 275 500
2 0 0.9999154806137085 524 438 549 457 200
3 0 0.999474823474884 1007 438 1032 457 200
3 1 0.999351441860199 1007 498 1032 517 100
3 2 0.5465432405471802 1017 580 1082 603 Coordinatea
3 2 0.5187638401985168 1019 558 1044 577 Ow
3 2 0.5720555186271667 1074 580 1200 603 alongthelopli00km)
3 2 0.9964175224304199 1080 569 1107 588 100
3 2 0.9984760880470276 1112 569 1138 588 150
3 2 0.9986095428466797 1138 569 1168 588 200
3 3 0.9614480137825012 1059 638 1107 683 (b)
4 0 0.797958254814148 639 580 697 603 loop/100K
4 1 0.8088824152946472 579 640 620 678 (a)
5 0 0.9107794165611267 137 700 235 739 Figure
5 0 0.9971747398376465 235 700 270 736 2.
5 0 0.9701278209686279 277 700 410 732 Evolution
5 0 0.9999985694885254 410 698 448 734 of
5 0 0.9999402761459351 444 698 494 734 the
5 0 0.9992502331733704 494 706 607 739 pressure
5 0 0.994371771812439 610 702 687 736 along
5 0 0.8987723588943481 687 696 805 743 (halfof)
5 0 0.9999786615371704 801 700 853 734 the
5 0 0.9995231628417969 851 700 916 741 loop
5 0 0.9223042726516724 914 700 961 734 for
5 0 0.9995051622390747 961 700 1009 734 the
5 0 0.9998277425765991 1007 700 1085 741 pulse
5 0 0.999575674533844 1087 704 1203 730 duration
5 0 0.970881462097168 1205 702 1246 739 tH
5 0 0.9744694232940674 1248 708 1276 728 =
5 0 0.9967963099479675 1276 700 1319 734 60
5 0 0.85573810338974 1314 704 1338 734 S
5 0 0.9985833168029785 1338 700 1381 739 (a)
5 0 0.9997203946113586 1381 700 1437 734 and
5 0 0.9937783479690552 1437 702 1480 739 tH
5 0 0.9977477192878723 1482 708 1509 728 =
5 0 0.9992085099220276 1512 700 1555 734 120
5 1 0.6171644926071167 134 764 164 797 S
5 1 0.7482554912567139 159 758 217 803 (b).
5 1 0.9999227523803711 220 758 267 799 To
5 1 0.8834906220436096 268 764 408 797 emphasize
5 1 0.9999755620956421 410 760 461 794 the
5 1 0.9987473487854004 463 766 582 799 presence
5 1 0.999992847442627 584 760 622 797 of
5 1 0.9945344924926758 622 764 722 797 moving
5 1 0.9873412251472473 725 760 818 799 fronts,
5 1 0.999972939491272 820 760 871 794 the
5 1 0.6886716485023499 873 766 989 799 pressure
5 1 0.999832272529602 989 762 1019 794 is
5 1 0.9961634874343872 1020 762 1172 792 normalized
5 1 0.9999885559082031 1173 762 1213 797 to
5 1 0.9999710321426392 1211 760 1265 794 the
5 1 0.996908962726593 1263 764 1344 797 mean
5 1 0.9312593340873718 1348 764 1447 790 coronal
5 1 0.9978857636451721 1452 762 1529 794 value
6 0 0.9997581839561462 137 822 204 857 each
6 0 0.9962615370750427 205 820 282 861 time,
6 0 0.9998548030853271 282 822 340 857 and
6 0 0.999602735042572 341 822 393 857 the
6 0 0.9989281296730042 393 829 458 861 grey
6 0 0.991229772567749 459 822 531 857 scale
6 0 0.9974461793899536 532 822 562 855 is
6 0 0.9928234815597534 564 822 679 855 between
6 0 0.9999809265136719 680 820 743 855 80%
6 0 0.9998427629470825 745 822 803 855 and
6 0 0.998029887676239 806 822 883 855 120%
6 0 0.9999604225158691 884 820 923 857 of
6 0 0.9999240636825562 921 822 972 855 the
6 0 0.9997950196266174 972 829 1050 855 mean
6 0 0.5119109749794006 1054 822 1137 855 value.
7 0 0.9999899864196777 162 928 227 962 The
7 0 0.9996552467346191 232 936 341 962 reasons
7 0 0.9999628067016602 346 928 395 964 for
7 0 0.9997333884239197 398 928 458 962 this
7 0 0.9995658993721008 464 930 586 962 different
7 0 0.6981077194213867 594 930 730 962 evolution
7 0 0.9968482851982117 735 936 791 962 can
7 0 0.9997817873954773 796 928 840 964 be
7 0 0.9996020197868347 845 930 1007 960 understood
7 0 0.9867571592330933 1014 928 1087 962 from
7 0 0.997687578201294 1092 928 1155 971 Fig.
7 0 0.9959359169006348 1158 928 1195 964 3.
7 0 0.9925898313522339 1203 925 1243 964 In
7 0 0.9998916387557983 1248 928 1321 962 both
7 0 0.9893369674682617 1326 936 1404 962 cases
7 0 0.9993929862976074 1407 936 1454 962 we
7 0 0.9964120984077454 1457 936 1509 962 see
7 0 0.9999804496765137 1512 928 1568 966 the
7 1 0.9806334376335144 139 1007 227 1039 initial
7 1 0.9987136125564575 232 1007 315 1048 steep
7 1 0.9983521699905396 320 1007 491 1046 evaporation
7 1 0.999954342842102 499 1007 574 1039 front
7 1 0.9906278848648071 581 1007 688 1046 coming
7 1 0.9994717240333557 693 1011 740 1048 up
7 1 0.9972608089447021 747 1007 911 1046 (rightwards
7 1 0.9993639588356018 916 1005 954 1041 in
7 1 0.9999827146530151 957 1005 1014 1044 the
7 1 0.8423802852630615 1017 1007 1115 1048 figure)
7 1 0.9935092329978943 1122 1007 1193 1039 from
7 1 0.9974340796470642 1200 1005 1256 1044 the
7 1 0.6241280436515808 1261 1007 1465 1046 chromosphere.
7 1 0.9999896287918091 1485 1005 1562 1039 After
7 2 0.9979304075241089 137 1082 207 1123 this,
7 2 0.9994831085205078 209 1082 257 1119 for
7 2 0.9680830240249634 257 1084 298 1123 tH
7 2 0.9931290149688721 302 1091 333 1117 =
7 2 0.999713122844696 335 1084 378 1119 60
7 2 0.9464187622070312 378 1089 401 1119 S
7 2 0.9727826118469238 403 1082 476 1125 (Fig.
7 2 0.9992842078208923 479 1080 541 1125 3a),
7 2 0.9999716281890869 544 1082 597 1119 the
7 2 0.9719659090042114 600 1091 723 1123 pressure
7 2 0.9028278589248657 727 1087 864 1117 continues
7 2 0.9235451817512512 866 1084 906 1121 to
7 2 0.9998034834861755 909 1089 1024 1115 increase
7 2 0.9946861267089844 1029 1084 1069 1119 at
7 2 0.9999731779098511 1069 1082 1122 1119 the
7 2 0.9996732473373413 1123 1082 1193 1125 loop
7 2 0.9969592094421387 1193 1091 1268 1123 apex
7 2 0.9869063496589661 1273 1080 1361 1127 (right
7 2 0.9234163761138916 1362 1082 1444 1125 side),
7 2 0.9991464614868164 1449 1084 1560 1117 because
7 3 0.9839696884155273 139 1164 244 1203 plasma
7 3 0.9912964105606079 254 1164 431 1194 accumulates
7 3 0.6072620153427124 438 1160 527 1198 there.
7 3 0.995254397392273 547 1162 682 1200 However,
7 3 0.9999330043792725 690 1162 745 1196 the
7 3 0.9482637047767639 752 1168 873 1200 pressure
7 3 0.9999814033508301 881 1162 951 1196 does
7 3 0.9999557733535767 957 1164 1014 1196 not
7 3 0.9997377991676331 1022 1166 1137 1192 increase
