block line confidence X1 Y1 X2 Y2 token
0 0 0.4242544174194336 212 184 282 225 JE
0 0 0.4658021330833435 273 182 406 229 ext(Lha)
0 0 0.9983848333358765 406 182 469 225 and
0 0 0.9991282820701599 473 191 552 225 every
0 0 0.5785180926322937 554 191 594 225 m,
0 0 0.9998917579650879 595 182 677 223 there
0 0 0.9994567036628723 677 184 710 223 is
0 0 0.9022697806358337 710 191 738 223 a
0 0 0.9454300403594971 738 186 815 219 word
0 0 0.21544261276721954 816 191 846 221 C
0 0 0.9999021291732788 846 186 916 221 such
0 0 0.9998212456703186 919 182 989 223 that
0 0 0.533600926399231 991 182 1037 229 al
0 0 0.9910983443260193 1034 186 1069 225 >
0 0 0.28787603974342346 1070 180 1133 232 un!
0 0 0.9999179840087891 1132 182 1195 223 and
0 0 0.3701387643814087 1196 193 1240 221 IU
0 0 0.6899825930595398 1241 189 1271 221 €
0 0 0.30151838064193726 1273 184 1412 225 ext(Lia);
0 0 0.9995421171188354 1416 186 1494 221 since
0 0 0.9930712580680847 1495 191 1524 221 u
0 1 0.9997941851615906 217 227 340 259 contains
0 1 0.9999946355819702 341 225 396 259 the
0 1 0.9994202852249146 398 227 488 259 factor
0 1 0.34101295471191406 488 232 541 266 CU,
0 1 0.999849796295166 544 227 622 259 there
0 1 0.9992772936820984 624 223 657 262 is
0 1 0.9998268485069275 657 234 700 259 an
0 1 0.9600761532783508 702 234 859 257 occurrence
0 1 0.9999943971633911 861 223 901 262 of
0 1 0.1433994174003601 898 229 924 262 D
0 1 0.9997246861457825 923 225 961 262 in
0 1 0.9952720999717712 961 232 991 262 u
0 1 0.8289485573768616 992 227 1100 259 outside
0 1 0.999993085861206 1102 225 1157 259 the
0 1 0.9998840093612671 1158 225 1246 266 prefix
0 1 0.2693532407283783 1246 232 1296 266 lin-
0 1 0.99977046251297 1304 223 1401 262 Hence
0 1 0.326301634311676 1399 229 1427 262 2
0 1 0.9894337058067322 1427 234 1524 259 occurs
0 2 0.9838970899581909 214 264 260 305 in
0 2 0.993952214717865 254 270 283 300 u
0 2 0.9914730787277222 287 266 418 305 infinitely
0 2 0.9943503737449646 423 272 506 305 many
0 2 0.8114694356918335 511 264 602 302 times.
0 2 0.8867368102073669 610 266 688 300 Thus
0 2 0.9931817650794983 692 270 722 300 u
0 2 0.9996776580810547 723 264 757 302 is
0 2 0.998624324798584 758 268 893 300 recurrent
0 2 0.9993900060653687 898 266 956 300 and
0 2 0.9993515610694885 961 272 1006 300 we
0 2 0.9276226758956909 1009 266 1108 305 proved
0 2 0.9902903437614441 1113 266 1173 300 this
0 2 0.9902217388153076 1180 266 1349 305 implication.
0 3 0.9993302822113037 265 305 337 339 Now
0 3 0.999818742275238 337 307 406 339 turn
0 3 0.9999626874923706 408 307 446 343 to
0 3 0.9997163414955139 448 305 499 341 the
0 3 0.9999074935913086 503 307 640 339 backward
0 3 0.842157781124115 649 309 816 341 implication.
0 3 0.9997358918190002 828 305 884 343 For
0 3 0.9998781681060791 886 307 1017 345 arbitrary
0 3 0.999767005443573 1019 302 1112 341 words
0 3 0.19768759608268738 1113 313 1147 343 u,
0 3 0.15828487277030945 1145 311 1175 341 3
0 3 0.6133743524551392 1172 309 1201 341 E
0 3 0.3772416412830353 1203 302 1334 350 ext(Lha)
0 3 0.9945051074028015 1336 302 1407 343 each
0 3 0.9999942779541016 1407 302 1447 341 of
0 3 0.999946117401123 1445 305 1524 339 them
0 4 0.9880749583244324 217 354 312 380 occurs
0 4 0.9999579191207886 312 345 350 382 in
0 4 0.978404700756073 350 350 378 382 u
0 4 0.9972079396247864 380 345 511 384 infinitely
0 4 0.9997056126594543 514 348 600 384 often,
0 4 0.8963271975517273 602 352 640 380 SO
0 4 0.9976699948310852 640 352 685 380 we
0 4 0.9870540499687195 683 350 743 382 can
0 4 0.9999716281890869 743 345 805 380 find
0 4 0.9997362494468689 805 350 831 382 a
0 4 0.9965141415596008 830 343 921 382 factor
0 4 0.6421201825141907 919 343 959 382 of
0 4 0.9999401569366455 956 345 1009 380 the
0 4 0.9792073369026184 1011 345 1082 380 form
0 4 0.23339563608169556 1085 354 1158 380 uwA.
0 4 0.999981164932251 1167 345 1236 380 This
0 4 0.9996070265769958 1238 343 1329 382 factor
0 4 0.9998835325241089 1329 345 1391 380 also
0 4 0.9750322699546814 1392 352 1487 378 occurs
0 4 0.9995606541633606 1487 343 1525 382 in
0 5 0.9770398139953613 214 388 254 423 ui
0 5 0.9968331456184387 249 386 378 425 infinitely
0 5 0.9999032020568848 383 384 471 425 often,
0 5 0.9967215657234192 476 386 599 425 allowing
0 5 0.9983434677124023 602 393 640 421 us
0 5 0.9999502897262573 640 386 682 423 to
0 5 0.993584930896759 680 382 745 423 find
0 5 0.999947190284729 750 386 898 425 arbitrarily
0 5 0.9987963438034058 903 386 972 427 long
0 5 0.9980168342590332 974 384 1064 423 words
0 5 0.2920209765434265 1064 391 1102 427 ,
0 5 0.857012152671814 1097 393 1123 425 y
0 5 0.99989914894104 1127 386 1195 421 such
0 5 0.9997532963752747 1201 386 1266 421 that
0 5 0.24209605157375336 1270 393 1372 425 ruwy
0 5 0.9993653893470764 1374 384 1407 423 is
0 5 0.9337287545204163 1406 391 1434 421 a
0 5 0.9990022778511047 1436 386 1524 418 factor
0 6 0.9478456974029541 215 425 257 461 of
0 6 0.9923032522201538 254 431 290 464 u.
0 6 0.9999486207962036 298 425 380 459 Then
0 6 0.1681792140007019 383 433 449 459 uwN
0 6 0.6797772645950317 453 429 481 461 E
0 6 0.3818177878856659 484 425 622 466 ext(LK,a)-
0 6 0.999657154083252 630 423 725 461 Hence
0 6 0.9998304843902588 727 431 771 459 we
0 6 0.9999245405197144 775 427 876 466 proved
0 6 0.761710524559021 879 425 936 464 the
0 6 0.5617567896842957 939 427 1152 457 Restivo-Salemi
0 6 0.9994914531707764 1160 431 1284 464 property
0 6 0.6497557759284973 1289 425 1338 461 for
0 6 0.5180943012237549 1341 425 1414 468 L,a-
0 7 0.9736044406890869 220 489 337 528 Remark
0 7 0.9996497631072998 340 491 390 526 39.
0 7 0.9998939037322998 393 489 428 528 It
0 7 0.9998607635498047 428 489 463 528 is
0 7 0.9995267391204834 461 489 552 528 worth
0 7 0.9692737460136414 557 496 718 528 mentioning
0 7 0.9999722242355347 723 491 788 526 that
0 7 0.999472439289093 791 489 840 526 for
0 7 0.8828344941139221 841 491 923 526 small
0 7 0.7089861631393433 926 491 1024 532 binary
0 7 0.9943391680717468 1027 494 1170 532 languages
0 7 0.9972475171089172 1177 494 1306 526 Theorem
0 7 0.999995231628418 1309 489 1351 526 37
0 7 0.9996009469032288 1353 489 1444 528 works
0 7 0.9996284246444702 1442 491 1482 528 in
0 7 0.9998804330825806 1482 498 1524 526 an
0 8 0.8381955027580261 219 532 345 565 extremal
0 8 0.9966418743133545 353 532 433 565 form.
0 8 0.996845006942749 446 532 527 565 Since
0 8 0.9950237274169922 531 528 567 567 2+
0 8 0.43712732195854187 579 530 614 569 5
0 8 0.9960629343986511 615 537 649 567 a
0 8 0.3853396773338318 649 530 685 571 5
0 8 0.9998753070831299 687 528 745 573 7/3
0 8 0.528087854385376 748 532 854 571 implies
0 8 0.5462424159049988 859 528 989 575 ext(L2a)
0 8 0.9872123599052429 994 539 1027 565 =
0 8 0.9943628311157227 1034 532 1133 571 Fac(t),
0 8 0.9999732971191406 1142 530 1195 567 the
0 8 0.9998279809951782 1200 532 1331 571 language
0 8 0.6410199403762817 1338 530 1399 575 L2,a
