block line confidence X1 Y1 X2 Y2 token
0 0 0.8146759271621704 500 251 533 283 E.
0 0 0.7950212359428406 524 251 684 283 Parizot/Nuclear
0 0 0.8595132827758789 683 253 755 280 Physics
0 0 0.9053354859352112 752 251 780 283 B
0 0 0.997246503829956 776 255 889 283 Proceedings
0 0 0.9669186472892761 891 255 998 283 Supplement
0 0 0.9990552067756653 996 253 1030 283 00
0 0 0.6345851421356201 1025 251 1095 285 (2020)
0 0 0.9824466705322266 1090 248 1145 283 1-16
1 0 0.9967080354690552 1461 255 1477 278 8
2 0 0.9901132583618164 174 310 219 347 the
2 0 0.9877955913543701 218 312 332 347 amplitude
2 0 0.9999979734420776 332 312 368 347 of
2 0 0.9922870397567749 361 310 407 347 the
2 0 0.9737652540206909 407 317 510 344 magnetic
2 0 0.657929539680481 513 315 573 342 field.
2 0 0.9999356269836426 575 312 644 347 Thus,
2 0 0.9994268417358398 644 312 671 344 if
2 0 0.9999902248382568 668 312 709 342 the
2 0 0.9999463558197021 709 315 773 342 latter
2 0 0.9991739392280579 772 312 799 344 is
2 1 0.9979812502861023 177 347 295 381 multiplied
2 1 0.999748170375824 295 344 332 383 by
2 1 0.99962317943573 334 344 389 379 100,
2 1 0.519450306892395 386 349 419 379 sO
2 1 0.9989509582519531 416 344 470 379 will
2 1 0.9985712766647339 468 347 502 376 be
2 1 0.9997430443763733 500 347 542 376 the
2 1 0.9959574341773987 544 349 659 374 maximum
2 1 0.9996156692504883 662 351 741 379 energy
2 1 0.9795539379119873 743 349 793 376 too.
2 2 0.5783905982971191 176 413 232 447 field
2 2 0.9681991338729858 235 415 318 443 around
2 2 0.5766757726669312 323 415 392 443 SNRs
2 2 0.9998295307159424 395 413 423 447 is
2 2 0.9758573174476624 426 415 503 443 indeed
2 2 0.9998836517333984 510 415 570 443 what
2 2 0.9996563196182251 571 415 615 445 has
2 2 0.9984856247901917 618 415 678 443 been
2 2 0.9997348189353943 681 415 796 449 suggested
2 3 0.9980639815330505 176 486 276 511 resonant
2 3 0.8773110508918762 279 481 395 516 streaming
2 3 0.9897298812866211 398 481 513 516 instability
2 3 0.9996089339256287 516 484 549 513 as
2 3 0.999512791633606 549 479 605 513 well
2 3 0.9997900128364563 605 484 638 513 as
2 3 0.7388714551925659 639 486 796 511 non-resonant,
2 4 0.9995773434638977 176 548 232 582 [32,
2 4 0.9989792108535767 227 545 271 582 33,
2 4 0.9998401403427124 274 550 314 580 34,
2 4 0.9995872378349304 316 550 360 580 35,
2 4 0.9997771382331848 360 550 403 580 36,
2 4 0.9966087341308594 400 548 491 582 37,38,
2 4 0.8105419278144836 492 548 552 582 39]),
2 4 0.9952595829963684 554 545 604 580 and
2 4 0.9984126091003418 604 552 641 580 on
2 4 0.6177608370780945 644 550 794 575 observational
2 5 0.9182754755020142 176 582 279 616 grounds,
2 5 0.9996141195297241 284 577 344 612 with
2 5 0.9996979236602783 345 577 390 614 the
2 5 0.9930817484855652 394 582 549 614 interpretation
2 5 0.9997053742408752 554 582 587 612 of
2 5 0.999994158744812 589 577 633 614 the
2 5 0.9863927960395813 638 584 731 609 extreme
2 5 0.999733030796051 738 582 796 609 thin-
2 6 0.6020680665969849 177 648 248 676 SNRS
2 6 0.9900074005126953 248 650 282 678 as
2 6 0.9992005228996277 281 646 332 680 due
2 6 0.9997383952140808 331 648 363 678 to
2 6 0.9999388456344604 363 644 407 680 the
2 6 0.9989436268806458 407 648 545 680 synchrotron
2 6 0.9785601496696472 550 648 621 676 losses
2 6 0.9998403787612915 625 646 659 676 of
2 6 0.9999579191207886 657 646 699 676 the
2 6 0.6041179299354553 702 646 796 680 highest-
2 7 0.9995212554931641 174 682 260 717 energy
2 7 0.9970644116401672 263 682 368 708 electrons
2 7 0.9996424913406372 371 676 405 714 in
2 7 0.9982280135154724 407 680 449 710 the
2 7 0.9985648989677429 453 678 521 712 local,
2 7 0.9937357306480408 528 680 612 708 intense
2 7 0.9975148439407349 617 680 725 714 magnetic
2 7 0.9999419450759888 731 680 796 708 fields
2 8 0.9996826648712158 206 751 314 778 However,
2 8 0.9966751337051392 318 753 377 778 even
2 8 0.999515175819397 376 746 436 781 with
2 8 0.999494194984436 434 746 495 781 such
2 8 0.9999394416809082 495 753 515 778 a
2 8 0.9997596144676208 516 749 578 785 large
2 8 0.9996618032455444 578 746 638 781 field
2 8 0.9210004210472107 639 751 796 783 amplification,
2 9 0.9999555349349976 174 781 213 817 by
2 9 0.9980918765068054 209 783 234 815 a
2 9 0.9995695948600769 235 783 305 810 factor
2 9 0.9999997615814209 306 781 339 813 of
2 9 0.996246874332428 340 783 405 810 order
2 9 0.9997575879096985 408 781 461 815 100,
2 9 0.9962891340255737 461 781 513 815 and
2 9 0.9993525147438049 512 785 571 813 even
2 9 0.9995941519737244 571 781 600 813 if
2 9 0.9955256581306458 597 788 646 813 one
2 9 0.5186975598335266 647 788 746 813 assumes
2 9 0.9995007514953613 747 781 799 815 that
2 10 0.9999819993972778 174 813 224 847 this
2 10 0.9968057870864868 226 820 272 845 can
2 10 0.9970226883888245 274 815 308 845 be
2 10 0.9991384744644165 311 815 442 847 maintained
2 10 0.9995365142822266 444 815 474 847 at
2 10 0.9999839067459106 474 815 515 845 the
2 10 0.9984448552131653 520 817 650 849 appropriate
2 10 0.9904477596282959 655 815 731 849 length
2 10 0.9921006560325623 733 813 797 847 scale
2 11 0.5981628894805908 172 847 214 883 tob
2 11 0.9900761246681213 205 849 239 879 be
2 11 0.9997439980506897 239 847 298 883 fully
2 11 0.995729386806488 300 849 410 883 profitable
2 11 0.9965938925743103 410 851 442 881 to
2 11 0.993678629398346 442 849 531 883 particle
2 11 0.9802929759025574 531 849 678 881 acceleration,
2 11 0.9999613761901855 678 847 704 881 it
2 11 0.9997016787528992 704 851 796 877 remains
2 12 0.9326246380805969 174 883 232 920 very
2 12 0.9964388608932495 232 883 323 911 difficult
2 12 0.9999996423721313 324 881 365 911 for
2 12 0.9999533891677856 365 883 423 911 DSA
2 12 0.9999526739120483 423 883 455 913 to
2 12 0.9981393814086914 453 883 568 911 accelerate
2 12 0.8716422319412231 571 883 660 918 protons
2 12 0.9984495639801025 659 883 697 920 up
2 12 0.9999567270278931 692 883 723 913 to
2 12 0.7972995042800903 723 879 747 915 1
2 12 0.9780635833740234 743 879 799 913 PeV
2 13 0.9998517036437988 174 945 213 982 be
2 13 0.9779409170150757 209 950 268 986 very
2 13 0.8877171277999878 266 945 308 982 far
2 13 0.9986615180969238 308 950 368 977 from
2 13 0.9992303848266602 371 950 431 977 what
2 13 0.9994822144508362 431 947 460 979 is
2 13 0.6649103164672852 461 950 544 975 needed
2 13 0.9999172687530518 545 950 578 979 to
2 13 0.9992426633834839 578 947 678 982 validate,
2 13 0.9994630217552185 680 950 709 979 at
2 13 0.9991913437843323 710 950 767 977 least
2 13 0.9999701976776123 768 947 797 979 in
2 14 0.9986739158630371 177 982 285 1016 principle,
2 14 0.9997182488441467 289 982 329 1011 the
2 14 0.7581345438957214 331 984 455 1009 SNR-GCR
2 14 0.9980121850967407 458 984 589 1009 connection.
2 14 0.9551103115081787 594 982 683 1016 Indeed,
2 14 0.9999948740005493 684 982 725 1011 the
2 14 0.999293327331543 726 984 796 1011 above
2 15 0.9988514184951782 176 1016 242 1050 study
2 15 0.9999995231628418 245 1014 277 1046 of
2 15 0.9997664093971252 274 1011 321 1048 the
2 15 0.9364587068557739 321 1016 465 1048 GCR/EGCR
2 15 0.9913647174835205 470 1016 584 1043 transition,
2 15 0.9994041919708252 589 1014 620 1046 in
2 15 0.9996476173400879 621 1016 662 1046 the
2 15 0.9995408058166504 663 1014 722 1050 light
2 15 0.9999997615814209 723 1014 755 1046 of
2 15 0.9999549388885498 755 1011 799 1048 the
2 16 0.6977392435073853 176 1050 326 1082 experimental
2 16 0.9997488856315613 329 1046 387 1080 data
2 16 0.992181658744812 389 1053 424 1080 on
2 16 0.9999814033508301 428 1048 468 1078 the
2 16 0.9727931022644043 473 1048 560 1082 highest
2 16 0.9978867173194885 565 1055 644 1082 energy
2 16 0.8277838230133057 650 1048 796 1082 cosmic-rays,
2 17 0.9936890602111816 177 1082 251 1110 shows
2 17 0.997633695602417 253 1080 305 1114 that
2 17 0.9999945163726807 305 1078 350 1114 the
2 17 0.9947206974029541 353 1082 415 1110 GCR
2 17 0.9965205192565918 419 1084 510 1110 sources
2 17 0.9982473850250244 512 1080 576 1114 must
2 17 0.9994310736656189 578 1080 610 1112 be
2 17 0.9998974800109863 613 1082 667 1110 able
2 17 0.9999791383743286 670 1082 701 1112 to
2 17 0.9960552453994751 704 1082 794 1110 acceler-
2 18 0.9993728995323181 176 1116 214 1144 ate
2 18 0.9998992681503296 218 1116 306 1151 protons
2 18 0.9996378421783447 308 1114 337 1146 at
2 18 0.9999562501907349 335 1112 397 1146 least
2 18 0.9998512268066406 397 1119 432 1148 up
2 18 0.9998465776443481 432 1116 465 1146 to
2 18 0.42459070682525635 461 1116 491 1144 a
2 18 0.9999593496322632 494 1110 549 1144 1017
2 18 0.9366397261619568 549 1114 589 1144 eV
2 18 0.9992676377296448 591 1112 647 1148 (and
2 18 0.9999871253967285 649 1114 684 1144 Fe
2 18 0.9910733103752136 688 1114 760 1142 nuclei
2 18 0.9998588562011719 764 1119 797 1148 up
2 19 0.9998886585235596 174 1148 208 1178 to
2 19 0.9999681711196899 205 1148 245 1178 the
2 19 0.9991927742958069 248 1151 326 1178 ankle).
2 19 0.9999910593032837 329 1146 389 1180 This
2 19 0.9992782473564148 387 1146 415 1180 is
2 19 0.9956263303756714 415 1151 452 1180 (at
2 19 0.9926815629005432 450 1148 518 1183 least)
2 19 0.9997929930686951 518 1151 566 1178 two
2 19 0.9999076128005981 568 1148 641 1176 orders
2 19 0.9979583024978638 642 1148 676 1178 of
2 19 0.9753584265708923 675 1148 796 1183 magnitude
2 20 0.9621686935424805 176 1180 255 1217 higher
2 20 0.6710349321365356 251 1178 308 1212 than
2 20 0.999884843826294 306 1183 366 1210 what
2 20 0.9938676953315735 365 1185 411 1210 can
2 20 0.9986673593521118 410 1180 444 1210 be
2 20 0.5609784722328186 444 1183 599 1215 optimistically
2 20 0.9866625666618347 599 1178 739 1219 achievedby
2 20 0.9989595413208008 738 1183 796 1210 stan-
2 21 0.9633988738059998 174 1212 234 1247 dard
2 21 0.5352761745452881 234 1215 303 1242 SNRs
2 21 0.9996694326400757 305 1212 369 1247 (note
2 21 0.9996851682662964 368 1212 424 1247 that,
2 21 0.9998706579208374 424 1212 455 1244 in
2 21 0.9984748959541321 455 1217 516 1244 most
2 21 0.9943390488624573 516 1217 581 1244 cases
2 21 0.9999442100524902 583 1215 657 1242 where
2 21 0.9989446997642517 655 1215 681 1247 a
2 21 0.7138559222221375 680 1217 796 1244 maximum
2 22 0.9999566078186035 176 1249 255 1283 proton
2 22 0.999203622341156 255 1254 335 1281 energy
2 22 0.9492010474205017 334 1249 403 1276 could
2 22 0.9970017075538635 402 1247 436 1276 be
2 22 0.9642133712768555 436 1249 550 1276 estimated,
2 22 0.9999972581863403 550 1244 600 1279 this
2 22 0.99615877866745 597 1249 681 1283 energy
2 22 0.9997766613960266 678 1247 704 1279 is
2 22 0.9974533915519714 702 1247 796 1281 actually
2 23 0.5531649589538574 176 1313 260 1352 simply
2 23 0.9999551773071289 258 1313 293 1347 be
2 23 0.9941455125808716 293 1315 387 1343 because
2 23 0.9990270137786865 387 1311 432 1347 the
2 23 0.8752024173736572 429 1313 570 1345 acceleration
2 23 0.9985899329185486 571 1315 642 1349 phase
2 23 0.9996801614761353 642 1313 723 1349 during
2 23 0.9998983144760132 723 1315 796 1343 which
2 24 0.9718009233474731 176 1345 232 1379 PeV
2 24 0.9984814524650574 230 1347 329 1381 energies
2 24 0.9980328679084778 329 1349 371 1377 are
2 24 0.9755111932754517 371 1347 461 1375 reached
2 24 0.9995304346084595 461 1345 491 1379 is
