block line confidence X1 Y1 X2 Y2 token
0 0 0.910742998123169 189 163 285 219 k-p
0 0 0.9942947030067444 273 169 370 210 theory
0 0 0.9993630051612854 366 167 423 212 for
0 0 0.9793760776519775 423 165 474 208 2D
0 0 0.5561522245407104 478 167 597 206 TMDCS
1 0 0.9996521472930908 1412 167 1442 208 3
2 0 0.9970723390579224 194 255 237 292 to
2 0 0.9773756265640259 244 255 300 294 the
2 0 0.5958174467086792 312 259 498 292 tight-binding
2 0 0.9952034950256348 512 255 589 296 (TB)
2 0 0.9726079106330872 604 259 762 292 description
2 0 0.8515236973762512 773 253 815 292 of
2 0 0.6886605620384216 821 257 941 290 TMDCS
2 0 0.5447290539741516 956 253 1019 296 26.
2 0 0.6523690819740295 1016 255 1069 292 32
2 0 0.5982030630111694 1075 255 1128 292 33,
2 0 0.9086707830429077 1133 255 1190 294 34
2 0 0.49588829278945923 1196 255 1248 292 35
2 0 0.8353226780891418 1255 255 1308 292 36
2 0 0.9961198568344116 1314 251 1369 294 37
2 0 0.9905761480331421 1374 253 1436 296 38,
2 1 0.9994367957115173 197 300 254 335 but
2 1 0.9977741837501526 258 296 323 337 this
2 1 0.9993184804916382 328 300 463 339 approach
2 1 0.9088231921195984 473 300 569 333 suffers
2 1 0.9972367286682129 579 300 650 333 from
2 1 0.973311185836792 659 298 715 337 the
2 1 0.9996683597564697 718 300 796 341 large
2 1 0.9999402761459351 805 300 918 333 number
2 1 0.9992396831512451 924 298 964 335 of
2 1 0.970786988735199 969 305 1069 330 atomic
2 1 0.9993699193000793 1079 300 1191 333 orbitals
2 1 0.9997795224189758 1200 300 1266 333 that
2 1 0.9998995065689087 1275 300 1346 335 have
2 1 0.9998526573181152 1353 300 1392 335 to
2 1 0.9995161294937134 1397 298 1441 335 be
2 2 0.8810446858406067 197 345 322 378 included
2 2 0.9996490478515625 328 352 373 378 on
2 2 0.9999191761016846 376 343 448 378 each
2 2 0.9999632835388184 453 343 511 378 site
2 2 0.9736179113388062 516 343 576 378 and
2 2 0.9999533891677856 582 343 637 378 the
2 2 0.9873294830322266 640 343 713 378 need
2 2 0.9999662637710571 717 339 770 382 for
2 2 0.2250639796257019 776 348 1143 380 epond.ieatet-egiion
2 2 0.9777196645736694 1153 345 1273 384 hopping
2 2 0.9999853372573853 1278 343 1319 380 to
2 2 0.9973080158233643 1324 350 1436 375 account
2 3 0.9999213218688965 195 386 245 423 for
2 3 0.9999713897705078 247 386 300 423 the
2 3 0.9906222224235535 303 388 433 421 variation
2 3 0.999816358089447 436 386 476 423 of
2 3 0.9999696016311646 476 386 529 423 the
2 3 0.9784975051879883 532 388 630 427 weight
2 3 0.9999207258224487 632 386 672 423 of
2 3 0.989120364189148 672 388 818 421 individual
2 3 0.9980320334434509 826 393 924 418 atomic
2 3 0.9995587468147278 931 388 1044 421 orbitals
2 3 0.9998741149902344 1047 386 1084 423 in
2 3 0.9999879598617554 1085 386 1142 425 the
2 3 0.9998461008071899 1143 388 1218 421 band
2 3 0.9958637952804565 1225 395 1299 421 wave
2 3 0.9821820855140686 1304 388 1439 421 functions
2 4 0.9961775541305542 197 440 288 466 across
2 4 0.999944806098938 292 431 345 468 the
2 4 0.999186098575592 348 429 408 472 BZ,
2 4 0.9993473887443542 411 440 448 468 as
2 4 0.9998797178268433 453 433 572 466 revealed
2 4 0.9969973564147949 576 429 622 474 by
2 4 0.9981533885002136 624 433 742 466 detailed
