block line confidence X1 Y1 X2 Y2 token
0 0 0.999790608882904 1542 75 1566 109 9
1 0 0.9998410940170288 176 182 251 210 where
1 0 0.999616265296936 253 178 302 214 the
1 0 0.9991452693939209 302 182 411 216 operator
1 0 0.9703026413917542 413 180 444 212 D
1 0 0.9990350008010864 444 180 473 212 is
1 0 0.9996566772460938 473 178 565 212 defined
1 0 0.9991040825843811 566 185 602 212 as
2 0 0.8233168125152588 827 260 888 294 10
2 1 0.5102479457855225 722 274 791 317 DL-J
2 1 0.5254854559898376 822 287 896 331 720r
2 1 0.47053754329681396 902 271 978 317 [2..J
2 2 0.999835729598999 692 397 728 427 B.
2 2 0.9994206428527832 751 395 899 427 First-order
2 2 0.9995867609977722 902 397 1009 424 solution
3 0 0.9993839263916016 1511 276 1566 317 (56)
4 0 0.9998849630355835 174 363 232 399 The
4 0 0.9968959093093872 232 367 373 402 expressions
4 0 0.581425130367279 376 374 415 395 we
4 0 0.9999814033508301 416 367 476 395 then
4 0 0.9997879862785339 481 367 562 395 obtain
4 0 0.9996333122253418 563 363 608 399 for
4 0 0.9993011951446533 607 363 655 399 the
4 0 0.9935110211372375 655 367 806 402 components
4 0 0.47718000411987305 807 365 851 404 dy,
4 0 0.29968440532684326 852 365 896 404 dg,
4 0 0.4269261658191681 898 365 936 404 a
4 0 0.9984955787658691 935 363 973 402 of
4 0 0.9468480348587036 969 363 1017 399 the
4 0 0.8562958240509033 1015 365 1074 399 flow
4 0 0.9999603033065796 1075 367 1132 395 field
4 0 0.28056034445762634 1132 363 1172 399 as
4 0 0.8552013039588928 1172 372 1219 397 are
4 0 0.9827747941017151 1221 367 1290 402 given
4 0 0.9996896982192993 1288 363 1324 402 in
4 0 0.9995627999305725 1327 370 1447 397 Appendix
4 0 0.9948639273643494 1452 365 1487 399 C.
4 1 0.9983330368995667 172 463 222 500 We
4 1 0.9963812232017517 222 470 281 497 now
4 1 0.9828221201896667 285 468 389 495 consider
4 1 0.9994497895240784 394 468 440 500 the
4 1 0.9961791038513184 444 468 570 497 derivation
4 1 0.9999998807907104 571 463 617 500 for
4 1 0.9999393224716187 617 463 667 500 the
4 1 0.9716069102287292 670 468 796 497 first-order
4 1 0.9993703961372375 801 468 901 495 solution
4 1 0.9992837309837341 907 463 949 502 (in
4 1 0.6947072148323059 951 468 1078 502 Reynolds)
4 1 0.7005596160888672 1082 463 1143 500 u).
4 1 0.999984622001648 1154 468 1221 495 That
4 1 0.9928230047225952 1225 468 1280 495 flow
4 1 0.5624142289161682 1285 468 1342 495 field
4 1 0.9936882853507996 1348 468 1452 495 contains
4 1 0.9936861395835876 1456 470 1532 497 terms
4 1 0.9930062294006348 1534 465 1570 500 of
4 2 0.9927432537078857 148 500 251 527 different
4 2 0.9875178933143616 256 500 402 534 frequencies,
4 2 0.9999269247055054 402 495 455 532 but
4 2 0.8950182795524597 453 502 495 529 we
4 2 0.9992035031318665 494 502 541 529 are
4 2 0.9990284442901611 541 497 600 532 here
4 2 0.9999699592590332 600 497 660 534 only
4 2 0.999735414981842 663 500 785 527 interested
4 2 0.9994625449180603 788 497 818 529 in
4 2 0.9999731779098511 818 495 867 532 the
4 2 0.9990732669830322 865 495 954 536 steady
4 2 0.9997749924659729 952 500 1012 536 part
4 2 0.9999983310699463 1014 497 1046 529 of
4 2 0.9999295473098755 1043 495 1091 532 the
4 2 0.7822564244270325 1093 500 1153 527 flow.
4 2 0.9999947547912598 1158 497 1209 532 For
4 2 0.9999624490737915 1208 495 1256 532 the
4 2 0.9998425245285034 1256 497 1316 532 sake
4 2 0.9981386661529541 1316 497 1348 529 of
4 2 0.906044065952301 1348 500 1476 534 simplicity,
