block line confidence X1 Y1 X2 Y2 token
0 0 0.9953961968421936 1517 109 1542 143 5
1 0 0.6143079400062561 275 199 393 223 Publication
2 0 0.9982830286026001 856 197 913 229 Type
2 1 0.9812889099121094 858 242 911 268 B-T
2 2 0.9766544103622437 858 285 911 311 B-T
2 3 0.6514050364494324 858 371 911 397 B-T
2 4 0.9956929087638855 856 425 913 457 B-T
3 0 0.9992851614952087 989 195 1047 227 Field
3 0 0.9923019409179688 1045 199 1140 223 direction
3 1 0.9990565180778503 991 240 1049 272 (110)
3 2 0.7714766263961792 992 283 1057 315 (100),
3 2 0.9956476092338562 1054 283 1113 315 (111)
3 3 0.9990799427032471 991 326 1049 358 (111)
3 4 0.9111492037773132 992 369 1113 401 (100),(111)
3 5 0.9923123717308044 991 425 1055 459 (100),
3 5 0.9975925087928772 1054 425 1113 459 (110)
4 0 0.9964231848716736 1205 201 1309 227 Technique
4 1 0.9967743754386902 1203 242 1286 268 Neutron
4 1 0.9975771307945251 1288 244 1382 270 scattering
4 1 0.9949746131896973 1409 238 1460 272 [11]
4 2 0.9968346953392029 1205 285 1286 311 Neutron
4 2 0.9963085055351257 1288 287 1382 313 scattering
4 2 0.9978979825973511 1409 283 1460 315 [22]
4 3 0.9989957213401794 1205 328 1286 354 Neutron
4 3 0.9980396628379822 1288 330 1382 356 scattering
4 3 0.998601496219635 1409 326 1460 358 [23]
4 4 0.9979957342147827 1205 371 1286 397 Neutron
4 4 0.9974184036254883 1288 373 1382 399 scattering
4 4 0.9992091059684753 1409 369 1460 401 [12]
4 5 0.7463199496269226 1205 427 1348 457 Magnetometry
4 6 0.9990659356117249 1205 496 1288 522 Neutron
4 6 0.9980467557907104 1286 498 1382 524 scattering
4 7 0.870986819267273 1203 580 1384 610 Magnetoresistance
4 7 0.9998608827590942 1409 577 1459 612 [26]
5 0 0.9931190013885498 1411 199 1455 225 Ref.
6 0 0.9897593259811401 277 244 366 270 Magnetic
6 0 0.9988828301429749 368 244 451 270 ordering
6 0 0.9997400641441345 451 240 479 270 in
6 0 0.9483219981193542 476 242 546 268 cerium
6 0 0.9118930101394653 546 242 655 266 hexaboride
6 1 0.9983590245246887 273 285 346 311 Thesis:
6 1 0.5121942758560181 348 285 481 309 Jean-Michelle
6 1 0.9964286684989929 483 285 562 311 Effantin
6 2 0.9874054789543152 277 330 366 356 Magnetic
6 2 0.9954190254211426 366 328 418 354 form
6 2 0.9997690320014954 418 328 478 354 factor
6 2 0.9795580506324768 476 330 617 354 measurements
6 2 0.999920129776001 614 326 644 356 in
6 2 0.974567711353302 642 328 712 354 cerium
6 2 0.997918426990509 712 328 820 352 hexaboride
6 2 0.9416955709457397 858 328 911 354 B-T
6 3 0.99173903465271 277 373 366 399 Magnetic
6 3 0.9995631575584412 366 369 428 401 phase
6 3 0.9353405237197876 428 373 508 399 diagram
6 3 0.9999971389770508 508 369 536 399 of
6 3 0.9616255760192871 531 369 587 401 CeB6
6 4 0.9994739890098572 275 414 371 438 Extension
6 4 0.9999608993530273 370 412 400 442 of
