block line confidence X1 Y1 X2 Y2 token
0 0 0.9999752044677734 1543 75 1567 109 7
1 0 0.9999125003814697 906 189 997 214 Sectors
1 0 0.9708577394485474 1002 184 1065 216 with
1 0 0.995072066783905 1067 184 1107 219 M
1 0 0.9431344270706177 1110 189 1145 216 =
1 0 0.9914438128471375 1140 182 1220 223 2,M
1 0 0.9945694804191589 1220 191 1251 216 =
1 0 0.999929666519165 1251 186 1278 219 3
1 0 0.9995542168617249 1279 191 1326 216 are
1 0 0.9999654293060303 1328 184 1376 219 the
1 0 0.9675755500793457 1381 189 1470 214 subsets
1 0 0.999993085861206 1475 182 1512 219 of
1 0 0.9970697164535522 1510 184 1565 219 dia-
1 1 0.9868932962417603 876 223 957 255 grams
1 1 0.9934017062187195 961 221 1022 247 with
1 1 0.6328960657119751 1024 216 1118 255 2,3,...
1 1 0.9944883584976196 1122 219 1291 251 cross-sections
1 1 0.9992757439613342 1296 219 1328 249 in
1 1 0.9999299049377441 1331 221 1407 247 which
1 1 0.999572217464447 1412 223 1452 249 we
1 1 0.9999644756317139 1455 219 1515 253 split
1 1 0.9999758005142212 1519 216 1567 251 the
1 2 0.9963894486427307 878 251 946 285 poles
1 2 0.9986103773117065 946 251 979 281 of
1 2 0.9999610185623169 976 249 1024 283 the
1 2 0.9998795986175537 1025 253 1118 279 Green's
1 2 0.9996015429496765 1125 253 1238 279 functions
1 2 0.9995562434196472 1240 251 1301 283 with
1 2 0.9989847540855408 1303 251 1372 285 equal
1 2 0.9930785298347473 1376 253 1512 283 frequencies
1 2 0.999845027923584 1512 249 1565 283 and
1 3 0.986370325088501 878 285 996 311 momenta
1 3 0.9999443292617798 1001 283 1123 315 separated
1 3 0.9993646740913391 1128 281 1168 317 by
1 3 0.9233676791191101 1170 283 1206 320 q.
1 3 0.999957799911499 1218 279 1255 315 In
1 3 0.9984133243560791 1256 279 1308 313 the
1 3 0.9970279335975647 1309 281 1479 313 cross-sections
1 3 0.9995532631874084 1484 281 1515 311 in
1 3 0.9992639422416687 1517 279 1567 313 be-
1 4 0.9998605251312256 878 317 952 343 tween
1 4 0.9999345541000366 959 315 1007 345 the
1 4 0.9985039234161377 1012 315 1112 341 selected
1 4 0.9417969584465027 1118 320 1180 343 ones
1 4 0.35691893100738525 1187 311 1346 350 G(k,wK)G(k
1 4 0.9980351328849792 1348 315 1381 345 +
1 4 0.5555483102798462 1376 311 1454 352 qwk)
1 4 0.9997467398643494 1459 313 1489 345 is
1 4 0.9999394416809082 1494 313 1565 348 again
1 5 0.9164252877235413 878 348 1050 380 approximated
1 5 0.9978936314582825 1052 343 1094 382 by
1 5 0.5043805241584778 1095 343 1221 384 G(k,Wk).
1 5 0.9956099390983582 1233 343 1293 378 The
1 5 0.9323578476905823 1293 345 1447 375 contribution
1 5 0.9418536424636841 1454 348 1515 373 from
1 5 0.9999655485153198 1517 343 1567 378 the
1 6 0.9989427924156189 876 375 916 410 M
1 6 0.9717543125152588 916 380 947 406 =
1 6 0.9995799660682678 946 378 971 408 2
1 6 0.9995231628417969 971 378 1050 410 sector
1 6 0.9998131394386292 1052 378 1082 410 is
1 6 0.9198666214942932 1084 380 1226 412 represented
1 6 0.998407781124115 1230 375 1270 414 by
1 6 0.9999812841415405 1270 375 1318 410 the
1 6 0.9999192953109741 1319 380 1422 406 skeleton
1 6 0.9791754484176636 1426 375 1532 414 diagram
1 6 0.9997847676277161 1533 378 1565 408 in
1 7 0.9966276288032532 876 406 933 449 Fig.
1 7 0.9721053242683411 944 408 976 446 5
1 7 0.602769672870636 974 406 1069 444 labeled
1 7 0.998008668422699 1072 408 1112 442 M
1 7 0.990774929523468 1117 414 1148 440 =
1 7 0.9998219609260559 1152 410 1182 440 2.
1 7 0.9995341300964355 1196 410 1228 440 It
1 7 0.999441921710968 1233 412 1336 438 contains
1 7 0.934709370136261 1343 406 1407 446 fully
1 7 0.9997765421867371 1412 412 1504 438 dressed
1 7 0.9981285929679871 1509 408 1567 440 side
1 8 0.9990609288215637 879 449 972 474 vertices
1 8 0.17328988015651703 972 433 1044 487 AFta)
1 8 0.9997358918190002 1042 444 1095 479 and
1 8 0.9999266862869263 1094 451 1118 479 a
1 8 0.999812662601471 1117 446 1178 481 fully
1 8 0.9130129814147949 1180 449 1271 474 dressed
1 8 0.5972278714179993 1276 449 1489 479 anti-symmetrized
1 8 0.9875050783157349 1490 446 1565 479 static
1 9 0.9792223572731018 878 479 1014 509 interaction
1 9 0.999503493309021 1020 481 1120 507 between
1 9 0.9248088598251343 1128 481 1235 507 fermions
1 9 0.9993355870246887 1238 483 1276 509 on
1 9 0.9999706745147705 1278 476 1326 511 the
1 9 0.9863809943199158 1328 474 1376 511 FS.
1 9 0.9998185038566589 1379 476 1437 511 One
1 9 0.9953758716583252 1439 485 1489 509 can
1 9 0.9997480511665344 1490 479 1565 513 easily
2 0 0.9153738021850586 519 279 591 305 M=0
3 0 0.9968146681785583 254 444 322 470 M=1
4 0 0.9979469180107117 547 444 617 470 M=2
5 0 0.9646055102348328 146 517 207 550 FIG.
5 0 0.9983920454978943 210 519 240 550 5.
5 0 0.9999934434890747 255 517 310 552 The
5 0 0.9940260648727417 315 522 391 547 ladder
5 0 0.8731439113616943 396 522 466 547 series
5 0 0.9999915361404419 468 519 501 550 of
5 0 0.9674568176269531 504 522 612 554 diagrams
5 0 0.9999605417251587 617 517 659 552 for
5 0 0.9993135929107666 659 517 707 552 the
5 0 0.9933724403381348 710 522 778 547 static
5 0 0.9958350658416748 783 524 835 550 sus-
5 0 0.9924591183662415 878 511 952 543 verify
5 0 0.9932261109352112 959 509 1017 541 that
5 0 0.9984927177429199 1022 509 1075 541 this
5 0 0.9841737747192383 1082 513 1215 537 interaction
5 0 0.9998753070831299 1225 517 1323 543 appears
5 0 0.9998843669891357 1329 509 1392 541 with
5 0 0.9999668598175049 1396 509 1445 543 the
5 0 0.9997357726097107 1450 511 1565 543 prefactor
5 1 0.9777658581733704 147 554 265 586 ceptibility
5 1 0.26842209696769714 268 541 340 595 xst)
5 1 0.99982750415802 358 552 415 584 The
5 1 0.999775230884552 420 556 484 582 exact
5 1 0.2967233657836914 491 558 524 588 XL
5 1 0.9997851252555847 527 552 557 584 is
5 1 0.9927992820739746 561 554 695 586 represented
5 1 0.998538613319397 702 556 737 584 as
5 1 0.9989938139915466 738 556 765 584 a
5 1 0.9998558759689331 765 552 836 584 series
5 1 0.5324006080627441 881 539 1020 577 Z2(m*/m),
5 1 0.9644239544868469 1027 541 1080 577 i.e.,
5 1 0.9999595880508423 1085 543 1133 573 the
5 1 0.9878399968147278 1137 545 1205 571 extra
5 1 0.9987817406654358 1211 541 1289 573 factor
5 1 0.9990718364715576 1291 539 1328 575 in
5 1 0.7892206907272339 1331 543 1379 573 the
5 1 0.8693607449531555 1381 539 1421 573 M
5 1 0.9914484620094299 1424 543 1455 571 =
5 1 0.9999244213104248 1459 541 1484 573 2
5 1 0.9951626062393188 1487 545 1563 571 sector
5 2 0.9982268214225769 147 582 184 610 M
5 2 0.9046778082847595 179 584 210 612 =
5 2 0.6829636096954346 205 580 295 618 0,1,2,.
5 2 0.9990480542182922 318 584 433 610 ofbubbles
5 2 0.993980884552002 436 584 552 616 comprised
5 2 0.9999998807907104 552 582 582 612 of
5 2 0.9997498393058777 582 584 655 610 Green'
5 2 0.5859733819961548 650 584 670 608 's
5 2 0.9998464584350586 672 584 776 610 functions
5 2 0.9946540594100952 778 584 835 610 with
5 2 0.9879435300827026 878 575 1001 608 compared
5 2 0.9999721050262451 1002 575 1035 603 to
5 2 0.9918575882911682 1035 571 1075 605 M
5 2 0.9846237301826477 1074 575 1105 603 =
5 2 0.9985540509223938 1104 573 1127 605 1
5 2 0.9997164607048035 1125 573 1153 605 is
5 2 0.9998883008956909 1152 573 1200 608 the
5 2 0.9966712594032288 1201 575 1303 608 product
5 2 0.9993739724159241 1303 571 1339 608 of
5 2 0.9299755096435547 1336 577 1387 612 X1,0
5 2 0.9924885034561157 1386 571 1441 605 and
5 2 0.9988107681274414 1441 575 1489 605 the
5 2 0.9915566444396973 1489 577 1560 603 corre-
5 3 0.9992362260818481 147 612 210 644 poles
5 3 0.9989056587219238 210 614 249 642 on
