block line confidence X1 Y1 X2 Y2 token
0 0 0.9999583959579468 325 257 358 298 4
0 0 0.9505621194839478 398 262 600 300 Algorithm
0 0 0.9997569918632507 612 262 770 302 analysis
0 1 0.9998176693916321 327 330 381 365 4.1
0 1 0.9995495676994324 413 330 556 369 Memory
0 1 0.9593275785446167 566 335 763 367 requirement
1 0 0.9990237951278687 368 384 405 416 In
1 0 0.9999743700027466 401 382 456 416 this
1 0 0.9985827207565308 458 386 554 418 section,
1 0 0.9994574189186096 557 388 597 414 we
1 0 0.987301230430603 600 386 717 412 elaborate
1 0 0.9954038858413696 720 388 757 414 on
1 0 0.9999639987945557 758 386 806 416 the
1 0 0.9996330738067627 806 388 911 421 memory
1 0 0.9419544339179993 914 386 1074 418 consumption
1 0 0.9987390637397766 1075 384 1112 416 of
1 0 0.9941794872283936 1108 386 1153 414 the
1 0 0.9991113543510437 1158 386 1271 418 proposed
1 0 0.9988036155700684 1276 386 1371 412 method
1 1 0.9986380934715271 325 416 361 453 in
1 1 0.8508632183074951 363 421 506 453 comparison
1 1 0.9999762773513794 509 418 572 451 with
1 1 0.9994192123413086 579 421 700 446 SEAGLE.
1 1 0.9989179372787476 708 418 780 453 First,
1 1 0.9683597683906555 785 416 826 451 let
1 1 0.8692373633384705 828 423 863 451 us
1 1 0.999656081199646 866 423 933 449 state
1 1 0.9999169111251831 936 418 996 451 that
1 1 0.7651475667953491 1001 421 1105 453 gradient
1 1 0.9999465942382812 1112 418 1185 451 based
1 1 0.9987395405769348 1191 423 1304 449 methods,
1 1 0.9998154044151306 1311 418 1372 451 such
1 2 0.990575909614563 327 457 360 483 as
1 2 0.9992184638977051 361 453 451 479 NAGD
1 2 0.9998596906661987 453 455 488 483 or
1 2 0.9964748024940491 489 451 544 485 CG,
1 2 0.9993354678153992 546 451 610 483 have
1 2 0.6303214430809021 612 451 700 483 similar
1 2 0.9965733289718628 702 455 808 487 memory
1 2 0.5751174688339233 811 453 979 485 requirements.
1 2 0.9999406337738037 986 451 1016 481 It
1 2 0.9784205555915833 1017 453 1165 485 corresponds
1 2 0.9999302625656128 1172 453 1268 485 roughly
1 2 0.9996294975280762 1270 453 1303 483 to
1 2 0.9998871088027954 1304 451 1374 483 three
1 3 0.8407202959060669 330 487 400 513 times
1 3 0.9976329803466797 403 483 449 517 the
1 3 0.9995613694190979 449 485 503 517 size
1 3 0.9990419745445251 503 481 539 517 of
1 3 0.9998465776443481 537 483 584 517 the
1 3 0.7414839267730713 587 487 745 517 optimization
1 3 0.9971408843994141 750 487 850 513 variable
1 3 0.9997686743736267 854 483 929 517 which
1 3 0.9991017580032349 933 485 962 515 is
1 3 0.9990406632423401 962 483 1012 517 the
1 3 0.9992281198501587 1012 487 1070 519 part
1 3 0.9998082518577576 1074 483 1132 517 that
1 3 0.9995678067207336 1133 485 1162 515 is
1 3 0.9986690282821655 1163 489 1271 515 common
1 3 0.9999411106109619 1275 485 1308 515 to
1 3 0.9994040727615356 1309 483 1374 515 both
1 4 0.736195981502533 328 519 468 552 algorithms.
1 4 0.9999791383743286 473 515 531 550 The
1 4 0.7243512272834778 531 519 657 545 additional
1 4 0.9904140830039978 660 524 762 550 memory
1 4 0.5590841174125671 765 519 914 552 requirement
1 4 0.999969482421875 914 517 974 550 that
1 4 0.9996495246887207 972 517 1001 550 is
1 4 0.9983238577842712 1001 519 1092 552 specific
1 4 0.9961546063423157 1094 517 1125 547 to
1 4 0.9989270567893982 1128 519 1243 545 SEAGLE
1 4 0.9968865513801575 1246 519 1313 545 relies
1 4 0.9921268224716187 1314 517 1374 552 only
1 5 0.999340832233429 327 556 365 582 on
1 5 0.9999468326568604 368 552 413 580 the
1 5 0.9999834299087524 413 550 511 588 storage
1 5 0.9998288154602051 511 550 547 582 of
1 5 0.9996638298034668 544 547 594 582 the
1 5 0.9261326789855957 595 552 683 577 NAGD
1 5 0.9991656541824341 690 554 785 580 iterates
1 5 0.9993554949760437 790 552 874 584 during
1 5 0.9999715089797974 878 552 926 582 the
1 5 0.9998830556869507 928 550 1025 582 forward
1 5 0.9306166172027588 1030 554 1193 584 computation.
1 5 0.9533061385154724 1206 552 1311 584 Suppose
1 5 0.9999449253082275 1314 550 1374 582 that
1 6 0.9995086193084717 328 586 423 618 KNAGD
1 6 0.7003480195999146 426 586 453 618 E
1 6 0.9967844486236572 451 584 481 616 N
1 6 0.5052950382232666 484 586 600 612 iterations
1 6 0.9986617565155029 605 590 650 616 are
1 6 0.9877864122390747 652 590 771 616 necessary
1 6 0.9998656511306763 773 586 806 616 to
1 6 0.7683801054954529 810 590 918 616 compute.
1 6 0.9830875992774963 921 586 969 616 the
1 6 0.999901294708252 971 586 1067 612 forward
1 6 0.8261193037033081 1072 586 1150 612 model
1 6 0.9996373653411865 1153 584 1215 616 with
1 6 0.9926084876060486 1216 582 1260 620 (9)
1 6 0.9994083642959595 1260 582 1314 616 and
1 6 0.9999344348907471 1314 584 1372 616 that
1 7 0.9999790191650391 327 616 375 650 the
1 7 0.9988732933998108 376 618 458 653 region
1 7 0.44057708978652954 458 616 488 648 2
1 7 0.9998325109481812 488 616 517 648 is
1 7 0.989123523235321 519 618 622 650 sampled
1 7 0.9988893866539001 625 623 685 646 over
1 7 0.9936973452568054 685 614 722 650 N
1 7 0.9456276297569275 717 612 778 653 EN
1 7 0.9993102550506592 778 618 853 653 pixels
1 7 0.5633562803268433 856 616 954 655 (voxels,
1 7 0.9998204112052917 956 618 987 648 in
1 7 0.9996262788772583 987 614 1050 655 3D).
1 7 0.9998944997787476 1052 616 1123 648 Since
1 7 0.9999570846557617 1125 616 1173 650 the
1 7 0.9996942281723022 1173 616 1238 648 total
1 7 0.6558739542961121 1241 616 1298 648 field
1 7 0.5459515452384949 1301 616 1374 657 up(f)
1 8 0.9970391988754272 328 653 451 685 computed
1 8 0.9998979568481445 453 648 491 687 by
1 8 0.9998013377189636 491 653 577 678 NAGD
1 8 0.9998524188995361 581 650 609 681 is
1 8 0.9897052645683289 610 653 806 685 complex-valued,
1 8 0.9993054866790771 808 650 871 683 each
1 8 0.9998784065246582 871 650 934 685 pixel
1 8 0.9996670484542847 934 650 962 683 is
1 8 0.9947806000709534 962 653 1105 685 represented
1 8 0.9999109506607056 1107 650 1170 683 with
1 8 0.9998151659965515 1170 650 1206 683 16
1 8 0.9999327659606934 1206 650 1275 685 bytes
1 8 0.8899725675582886 1278 650 1372 683 (double
1 9 0.9938919544219971 328 685 439 717 precision
1 9 0.9999998807907104 443 681 488 715 for
1 9 0.9717980027198792 489 687 597 713 accurate
1 9 0.98914635181427 604 685 788 717 computations).
1 9 0.9969559907913208 800 681 891 719 Hence,
1 9 0.9999715089797974 894 685 942 715 the
1 9 0.9991362690925598 946 685 1064 711 difference
1 9 0.9999659061431885 1069 683 1102 713 of
1 9 0.9808564186096191 1105 691 1206 717 memory
1 9 0.918703556060791 1213 685 1371 717 consumption
2 0 0.99856036901474 330 719 429 745 between
2 0 0.9980702996253967 436 719 552 745 SEAGLE
2 0 0.9995242357254028 554 715 607 747 and
2 0 0.9993019104003906 607 721 659 747 our
2 0 0.9998227953910828 660 719 755 745 method
2 0 0.9998511075973511 758 715 786 747 is
3 0 0.5963331460952759 640 784 718 818 AMem
3 0 0.9967604279518127 718 788 750 814 =
3 0 0.9960971474647522 750 784 781 814 N
3 0 0.5525543093681335 780 786 810 816 X
3 0 0.9994558691978455 806 782 904 820 KNAGD
3 0 0.5067519545555115 904 786 934 816 X
3 0 0.9899773597717285 933 784 969 816 16
3 0 0.6304284930229187 969 782 1060 820 [bytes),
4 0 0.9990767240524292 1318 784 1372 818 (26)
5 0 0.9998165965080261 368 865 446 898 which
5 0 0.9924941062927246 451 867 599 900 corresponds
5 0 0.9999492168426514 604 870 639 898 to
5 0 0.9997273087501526 640 865 690 900 the
5 0 0.5076285004615784 692 870 785 902 storage
5 0 0.9982970356941223 786 863 825 900 of
5 0 0.9999451637268066 823 865 871 900 the
5 0 0.9991328120231628 878 867 969 900 KNAGD
5 0 0.9653699398040771 977 865 1135 898 intermediate
5 0 0.9992355108261108 1140 865 1236 898 iterates
5 0 0.9999423027038574 1240 865 1273 895 of
5 0 0.6134581565856934 1275 865 1371 898 NAGD.
5 1 0.9990929365158081 328 900 398 932 Here,
5 1 0.9986756443977356 400 904 439 930 we
5 1 0.9612889289855957 441 902 546 928 assumed
5 1 0.9934717416763306 549 900 609 932 that
5 1 0.9973003268241882 609 898 665 932 VD
5 1 0.9997585415840149 665 904 717 930 was
5 1 0.9991580247879028 718 902 841 934 computed
5 1 0.9990230798721313 843 898 881 936 by
5 1 0.8018355369567871 881 902 1029 934 sequentially
5 1 0.9615456461906433 1030 898 1122 936 adding
5 1 0.99997878074646 1120 898 1168 932 the
5 1 0.9892619848251343 1167 898 1256 936 partial
5 1 0.9673992395401001 1258 902 1372 934 gradients
5 2 0.9817590713500977 327 930 396 971 VDp
5 2 0.9993804693222046 398 934 524 960 associated
5 2 0.9995858073234558 524 934 559 962 to
5 2 0.9999321699142456 559 934 607 964 the
5 2 0.8401849865913391 607 932 635 962 P
5 2 0.9989266991615295 634 934 735 960 incident
5 2 0.5906975865364075 738 932 813 964 fields.
5 2 0.9986825585365295 820 934 906 966 Hence,
5 2 0.4850183129310608 909 938 971 964 once.
5 2 0.9981803894042969 971 934 1016 962 the
5 2 0.9893385171890259 1017 934 1104 966 partial
