block line confidence X1 Y1 X2 Y2 token
0 0 0.9997627139091492 371 324 396 354 8
0 0 0.9922493696212769 429 324 619 354 Parameters
0 0 0.9999815225601196 624 320 669 356 of
0 0 0.9999653100967407 669 322 728 356 the
0 0 0.576131284236908 735 322 906 360 Algorithm
1 0 0.9381895661354065 411 388 469 423 The
1 0 0.9995173215866089 469 397 516 423 use
1 0 0.9999997615814209 517 391 549 421 of
1 0 0.9986975193023682 551 393 647 418 Jaccard
1 0 0.9993755221366882 650 391 723 423 index
1 0 0.9999204874038696 725 393 758 423 to
1 0 0.8911480903625488 760 397 836 423 assess
1 0 0.7417604923248291 840 393 957 425 similarity
1 0 0.9997965693473816 961 391 1067 423 between
1 0 0.9998260140419006 1069 391 1188 423 addresses
1 0 0.9996206760406494 1188 388 1225 425 in
1 0 0.9995157718658447 1223 397 1273 423 our
1 0 0.9996410608291626 1273 388 1339 429 algo-
1 1 0.9204328656196594 373 427 444 453 rithm
1 1 0.99980229139328 446 425 474 457 is
1 1 0.9534119963645935 476 427 586 459 optional.
1 1 0.9999921321868896 589 423 645 457 Our
1 1 0.9767537117004395 644 423 745 461 implicit
1 1 0.9965750575065613 747 427 888 459 assumption
1 1 0.9999010562896729 891 423 918 457 is
1 1 0.9948133230209351 918 423 977 455 that
1 1 0.9958088397979736 981 427 1045 453 there
1 1 0.9921267032623291 1049 427 1122 453 exists
1 1 0.9717195630073547 1122 427 1148 457 a
1 1 0.9992104768753052 1148 427 1250 453 function
1 1 0.4900745451450348 1253 425 1339 461 d(z,)
1 2 0.9985865354537964 371 459 448 485 which
1 2 0.5063358545303345 453 464 552 487 assesses
1 2 0.9999586343765259 554 455 604 489 the
1 2 0.7947738170623779 605 459 725 491 similarity
1 2 0.995595395565033 732 459 833 485 between
1 2 0.9996345043182373 836 457 891 489 two
1 2 0.9954212307929993 894 459 1011 485 addresses
1 2 0.2058083415031433 1012 461 1042 489 I
1 2 0.999736487865448 1040 457 1095 489 and
1 2 0.5793456435203552 1097 464 1127 494 y.
1 2 0.9994165897369385 1133 459 1243 491 Blocking
1 2 0.9956798553466797 1246 464 1296 489 can
1 2 0.9989463686943054 1298 461 1339 487 re-
1 3 0.9943364262580872 371 491 434 524 duce
1 3 0.9999760389328003 436 489 484 524 the
1 3 0.9944877028465271 488 494 584 519 number
1 3 0.9998792409896851 587 491 620 522 of
1 3 0.9803143739700317 620 491 763 522 evaluations
1 3 0.9996067881584167 766 491 800 522 of
1 3 0.49242064356803894 800 491 856 526 d(z,
1 3 0.5367562174797058 851 489 886 528 3)
1 3 0.9173688888549805 891 494 989 519 without
1 3 0.9835008382797241 994 494 1090 526 missing
1 3 0.9810972213745117 1094 491 1165 526 links,
1 3 0.9997523427009583 1167 491 1196 522 if
1 3 0.7241442203521729 1196 491 1283 528 d(z,)
1 3 0.5638726949691772 1281 491 1323 526 >
1 3 0.999248206615448 1314 494 1341 524 T
1 4 0.9891716837882996 371 526 498 558 indicating
1 4 0.2597138583660126 498 528 524 558 I
1 4 0.9998823404312134 521 524 574 556 and
1 4 0.6661360263824463 572 528 599 560 3
1 4 0.9999740123748779 597 524 669 556 share
1 4 0.9973992109298706 665 528 693 556 a
1 4 0.6338672041893005 690 530 798 554 common
1 4 0.9991289973258972 798 524 878 556 token.
1 4 0.9998750686645508 878 522 914 558 In
1 4 0.999527096748352 913 530 962 554 our
1 4 0.9969434142112732 962 526 1089 552 two-round
1 4 0.9995569586753845 1094 526 1190 558 linkage,
1 4 0.9988686442375183 1190 526 1241 558 our
1 4 0.8436330556869507 1240 526 1338 558 implicit
2 0 0.9506343007087708 373 560 476 586 function
2 0 0.9940356016159058 478 558 506 588 is
3 0 0.2616439461708069 595 627 688 674 d(z,)
3 0 0.4970416724681854 720 620 743 653 J
3 0 0.9207901358604431 730 614 813 657 Jchar
3 0 0.43732088804244995 800 614 879 655 (z,3)i
3 0 0.41896554827690125 861 610 1059 657 if.Jphrase(E,)
3 0 0.9890387058258057 1052 616 1107 650 >0
4 0 0.8951611518859863 1296 631 1338 670 (3)
5 0 0.7905768156051636 717 646 763 687 0
6 0 0.7608388066291809 871 648 994 681 otherwise
7 0 0.9776927828788757 411 715 471 747 One
7 0 0.9815855026245117 473 721 532 754 may
7 0 0.9990494847297668 536 717 617 751 design
7 0 0.9999151229858398 619 721 674 754 any
7 0 0.9997923970222473 675 715 748 747 other
7 0 0.8782932758331299 750 715 850 754 implicit
7 0 0.9414684176445007 856 719 957 745 function
7 0 0.9916620254516602 964 717 1064 749 instead,
7 0 0.7995820641517639 1070 719 1185 751 replacing
7 0 0.9999570846557617 1188 715 1238 749 the
