block line confidence X1 Y1 X2 Y2 token
0 0 0.9959873557090759 1079 158 1128 193 VI.
0 0 0.9986761212348938 1137 165 1329 189 CONCLUSION
1 0 0.9924318790435791 888 204 926 240 In
1 0 0.999663233757019 923 208 971 238 this
1 0 0.9967765212059021 971 212 1045 244 paper,
1 0 0.9998825788497925 1044 210 1069 238 a
1 0 0.9182551503181458 1067 212 1122 238 new
1 0 0.9988874793052673 1123 208 1230 240 approach
1 0 0.9999409914016724 1231 208 1263 238 to
1 0 0.9989362359046936 1266 212 1362 238 generate
1 0 0.7256913781166077 1367 208 1490 240 algorithms
1 0 0.9978358149528503 1494 206 1552 238 with
1 1 0.9946280121803284 861 238 949 270 chaotic
1 1 0.9993894100189209 957 242 1067 268 behaviors
1 1 0.9989883303642273 1074 240 1104 270 is
1 1 0.9981343150138855 1108 240 1221 272 proposed.
1 1 0.9998728036880493 1228 238 1286 270 This
1 1 0.9990378618240356 1293 240 1399 272 approach
1 1 0.997519314289093 1406 240 1434 270 is
1 1 0.9964708089828491 1437 238 1510 270 based
1 1 0.9999674558639526 1514 242 1550 270 on
1 2 0.9994556307792664 861 275 904 302 the
1 2 0.7611538171768188 904 272 1040 302 well-known
1 2 0.9878405928611755 1044 275 1163 307 Devaney's
1 2 0.7265560030937195 1167 275 1294 307 topological
1 2 0.9994534850120544 1298 275 1371 300 chaos.
1 2 0.9885801672935486 1372 272 1426 305 The
1 2 0.9868863224983215 1427 275 1548 307 algorithms
1 3 0.9935961961746216 861 305 937 337 which
1 3 0.9987192153930664 944 311 987 337 are
1 3 0.999982476234436 994 305 1027 335 of
1 3 0.999434769153595 1035 309 1128 333 iterative
1 3 0.9189774394035339 1138 309 1215 335 nature
1 3 0.685356080532074 1221 311 1265 337 are
1 3 0.9955974221229553 1271 305 1343 337 based
1 3 0.9996001124382019 1349 311 1386 337 on
1 3 0.9978708028793335 1394 307 1436 335 the
1 3 0.9945096373558044 1442 305 1552 337 so-called
1 4 0.9968284964561462 863 341 947 367 chaotic
1 4 0.9952293634414673 951 341 1064 367 iterations.
1 4 0.999966025352478 1067 339 1127 371 This
1 4 0.9998173117637634 1125 339 1153 371 is
1 4 0.9998668432235718 1155 341 1255 367 achieved
1 4 0.9999005794525146 1258 339 1296 375 by
1 4 0.994006872177124 1296 341 1434 373 establishing
1 4 0.9997424483299255 1436 345 1455 369 a
1 4 0.7940998673439026 1455 339 1509 371 link
1 4 0.998435914516449 1505 337 1552 371 be-
