block line confidence X1 Y1 X2 Y2 token
0 0 0.9999603033065796 295 208 340 234 not
0 0 0.9986981153488159 341 206 446 232 saturated
0 0 0.9997765421867371 448 201 486 240 by
0 0 0.7518595457077026 488 204 595 236 ResANN
0 0 0.9995132684707642 597 201 642 238 26,
0 0 0.9999833106994629 640 201 685 236 the
0 0 0.9999752044677734 685 204 753 238 delay
0 0 0.9994381070137024 755 208 846 240 appears
0 0 0.7363954186439514 851 206 976 238 significant.
0 0 0.948567807674408 987 204 1072 236 Hence,
0 0 0.7734398245811462 1075 206 1168 232 EANNS
0 0 0.7131682634353638 1170 208 1228 240 may
0 0 0.9995337724685669 1228 208 1273 234 not
0 0 0.9998205304145813 1273 204 1309 236 be
0 0 0.9999665021896362 1308 201 1351 236 the
0 0 0.9999740123748779 1349 204 1406 236 best
0 1 0.9998503923416138 295 234 365 266 when
0 1 0.9982020854949951 361 232 406 266 the
0 1 0.9247881174087524 406 236 552 268 performance
0 1 0.9997001886367798 549 234 579 266 is
0 1 0.9998078942298889 576 238 620 264 not
0 1 0.9958620071411133 620 236 723 262 saturated
0 1 0.9999568462371826 725 238 758 266 or
0 1 0.9993422627449036 757 236 821 262 when
0 1 0.9999672174453735 820 232 866 266 the
0 1 0.9908644556999207 863 238 961 262 constant
0 1 0.8929370641708374 966 236 1054 262 fraction
0 1 0.9999994039535522 1055 234 1087 264 of
0 1 0.99936443567276 1085 238 1147 264 extra
0 1 0.9850530028343201 1147 238 1200 264 cost
0 1 0.974570631980896 1196 234 1226 266 is
0 1 0.9987940788269043 1225 236 1313 262 critical.
0 2 0.9461110830307007 293 333 332 369 In
0 2 0.9994526505470276 328 335 378 371 Fig.
0 2 0.6077660322189331 378 333 420 369 5c
0 2 0.9615971446037292 425 339 466 365 we
0 2 0.9999312162399292 466 335 517 369 plot
0 2 0.9998224377632141 517 333 562 367 the
0 2 0.706607460975647 562 333 620 367 final
0 2 0.9831924438476562 622 337 725 363 AdaLoss
0 2 0.999525785446167 730 337 821 369 weights
0 2 0.9999960660934448 825 335 856 365 of
0 2 0.9999532699584961 854 333 899 367 the
0 2 0.985867440700531 899 339 964 365 same
0 2 0.8728317618370056 967 337 1074 363 ResANN
0 2 0.9948273301124573 1079 337 1153 363 model
0 2 0.9978652596473694 1155 333 1245 371 (25,32)
0 2 0.9999146461486816 1245 339 1281 365 on
0 2 0.9725914597511292 1283 335 1404 367 CIFAR10,
0 3 0.5695233345031738 297 365 429 397 CIFAR100,
0 3 0.9997963309288025 431 365 483 397 and
0 3 0.9990450739860535 483 363 574 401 SVHN,
0 3 0.999906063079834 574 365 604 397 in
0 3 0.999599277973175 604 365 674 397 order
0 3 0.9999656677246094 672 367 702 397 to
0 3 0.9998736381530762 703 367 771 399 study
0 3 0.9997108578681946 771 367 813 395 the
0 3 0.999550998210907 816 367 893 393 effects
0 3 0.9997196793556213 896 365 933 397 of
0 3 0.9999686479568481 929 367 971 395 the
0 3 0.9862745404243469 974 369 1075 395 data-sets
0 3 0.9999686479568481 1077 369 1113 397 on
0 3 0.9972171783447266 1115 367 1155 395 the
0 3 0.9993539452552795 1158 367 1256 399 weights.
0 3 0.9999529123306274 1263 363 1311 397 We
0 3 0.9931671023368835 1313 369 1402 395 observe
0 4 0.9993033409118652 295 395 348 427 that
0 4 0.9998471736907959 345 395 406 427 from
0 4 0.9999895095825195 406 397 446 425 the
0 4 0.9997493624687195 448 399 527 425 easiest
0 4 0.9993194341659546 531 399 625 425 data-set,
0 4 0.995084822177887 629 397 717 429 SVHN,
0 4 0.9995496869087219 717 399 748 427 to
0 4 0.9980210065841675 747 397 788 425 the
0 4 0.9970691800117493 790 399 879 425 hardest,
0 4 0.9988810420036316 883 397 1016 427 CIFAR100,
0 4 0.99998939037323 1017 397 1057 425 the
0 4 0.9676631689071655 1059 397 1150 429 weights
0 4 0.999019980430603 1150 401 1191 427 are
0 4 0.9985243678092957 1191 401 1256 425 more
0 4 0.7621884346008301 1255 397 1404 427 concentrated
0 5 0.9997257590293884 295 429 333 457 on
0 5 0.9999969005584717 330 423 375 457 the
0 5 0.9588293433189392 373 425 431 457 final
0 5 0.9995100498199463 431 425 509 459 layers.
0 5 0.9999821186065674 512 425 572 457 This
0 5 0.9941207766532898 572 429 672 461 suggests
0 5 0.9998997449874878 672 425 723 457 that
0 5 0.9774370193481445 725 427 826 453 AdaLoss
0 5 0.9983533620834351 830 433 873 455 can
0 5 0.8257459998130798 874 427 1030 459 automatically
0 5 0.9985975623130798 1032 425 1112 457 decide
0 5 0.9999721050262451 1110 425 1162 457 that
0 5 0.9977370500564575 1163 427 1240 453 harder
0 5 0.9994500279426575 1240 425 1344 457 data-sets
0 5 0.9996514320373535 1344 425 1404 457 need
0 6 0.8362869620323181 297 461 361 487 more
0 6 0.7797719240188599 360 457 509 487 concentrated
0 6 0.8562279939651489 509 455 566 487 final
0 6 0.9998175501823425 566 455 660 494 weights
0 6 0.9994305968284607 659 459 688 487 to
0 6 0.9984472393989563 687 455 747 487 have
0 6 0.8371357321739197 747 457 891 489 near-optimal
0 6 0.9988961219787598 894 455 949 489 final
0 6 0.9985972046852112 952 459 1102 489 performance,
0 6 0.999739944934845 1105 459 1200 485 whereas
0 6 0.9997945427894592 1201 461 1238 487 on
0 6 0.9758358597755432 1235 459 1294 491 easy
0 6 0.9983924031257629 1293 457 1404 489 data-sets,
0 7 0.9970198273658752 297 491 360 517 more
0 7 0.5922548770904541 358 487 439 519 efforts
0 7 0.9705849885940552 438 491 479 517 are
0 7 0.9990991353988647 478 485 574 517 directed
0 7 0.9998800754547119 572 487 604 517 to
0 7 0.9967120885848999 602 487 664 522 early
0 7 0.9669688940048218 664 487 798 519 predictions.
0 7 0.6258890628814697 801 487 886 519 Hence,
0 7 0.9789628386497498 888 489 989 515 AdaLoss
0 7 0.9994719624519348 989 485 1085 524 weights
0 7 0.9140465259552002 1082 489 1138 522 may
0 7 0.9631911516189575 1138 487 1228 519 provide
0 7 0.9216617941856384 1228 485 1364 517 information
0 7 0.9999998807907104 1362 485 1407 519 for
0 8 0.960974395275116 295 625 355 659 This
0 8 0.9996966123580933 355 627 421 659 work
0 8 0.9993958473205566 421 627 511 659 devises
0 8 0.8092264533042908 512 627 594 661 simple
0 8 0.9994731545448303 597 629 695 661 adaptive
0 8 0.9986207485198975 698 625 800 663 weights,
0 8 0.9572234153747559 803 627 914 659 AdaLoss,
0 8 1.0 916 625 961 659 for
0 8 0.9928036332130432 961 629 1054 661 training
0 8 0.9964911341667175 1055 625 1153 663 anytime
0 8 0.9328174591064453 1155 627 1283 659 predictions
0 8 0.9998780488967896 1286 627 1318 657 in
0 8 0.8245677947998047 1321 629 1401 655 DNNS.
0 9 0.999915599822998 295 655 343 689 We
0 9 0.8838943243026733 341 659 431 691 provide
0 9 0.7308194041252136 434 659 531 691 multiple
0 9 0.9748533368110657 536 659 655 685 theoretical
0 9 0.8921462893486023 660 657 795 687 motivations
0 9 1.0 795 655 838 689 for
0 9 0.9429135918617249 836 657 896 689 such
0 9 0.9975448250770569 898 659 994 691 weights,
0 9 0.9998375177383423 997 659 1045 689 and
0 9 0.9985858201980591 1045 657 1112 689 show
0 9 0.7044899463653564 1112 659 1283 691 experimentally
0 9 0.9999490976333618 1284 657 1336 689 that
0 9 0.9998999834060669 1336 659 1402 693 adap-
0 10 0.9998363256454468 293 685 345 719 tive
0 10 0.9982072114944458 346 689 436 721 weights
0 10 0.9989615678787231 439 689 517 715 enable
0 10 0.6870377063751221 521 689 586 715 small
0 10 0.918520987033844 587 687 665 719 ANNS
0 10 0.9987006187438965 665 689 697 719 to
0 10 0.9919248223304749 697 689 826 721 outperform
0 10 0.9969174861907959 826 685 891 726 large
0 10 0.8573688268661499 891 687 969 719 ANNS
0 10 0.9995525479316711 969 687 1027 719 with
0 10 0.9999923706054688 1027 689 1067 717 the
0 10 0.9783299565315247 1069 689 1191 721 commonly
0 10 0.8110391497612 1195 687 1253 719 used
0 10 0.9987258315086365 1253 689 1402 721 non-adaptive
0 11 0.9976075887680054 298 721 395 747 constant
0 11 0.9940631985664368 400 719 498 751 weights.
0 11 0.9997647404670715 511 719 587 745 Future
0 11 0.9979559183120728 592 719 665 745 works
0 11 0.9975800514221191 667 721 703 749 on
0 11 0.9871432185173035 707 719 806 751 adaptive
0 11 0.9998507499694824 810 719 901 751 weights
0 11 0.9957239627838135 908 719 1004 745 includes
0 11 0.871861457824707 1007 719 1130 751 examining
0 11 0.9784406423568726 1135 719 1238 745 AdaLoss
0 11 0.9999988079071045 1241 715 1284 749 for
0 11 0.7784590721130371 1286 719 1402 745 multi-task
0 12 0.8794746994972229 297 749 406 782 problems
0 12 0.9998937845230103 406 749 454 779 and
0 12 0.6487162709236145 456 749 600 782 investigating
0 12 0.9997151494026184 602 749 637 777 its
0 12 0.6729313135147095 637 747 776 777 """first-order"""
0 12 0.9962713718414307 780 751 869 775 variants
0 12 0.9998688697814941 871 747 923 779 that
0 12 0.9946728348731995 923 749 1035 775 normalize
0 12 0.9992839694023132 1039 749 1080 777 the
0 12 0.9982789754867554 1079 747 1153 779 losses
0 12 0.9929634928703308 1152 745 1190 784 by
0 12 0.990613579750061 1188 749 1303 775 individual
0 12 0.9997178912162781 1308 749 1404 782 gradient
0 13 0.9966248273849487 297 784 371 809 norms
0 13 0.9998689889907837 373 782 405 809 to
0 13 0.9600985050201416 406 782 493 807 address
0 13 0.9992583394050598 498 782 604 807 unknown
0 13 0.9970135688781738 605 777 687 809 offsets
0 13 0.9935404658317566 688 779 722 807 of
0 13 0.9986170530319214 722 782 791 807 losses
0 13 0.9994255304336548 793 782 826 812 as
0 13 0.9938676953315735 825 777 881 809 well
0 13 0.9998458623886108 881 782 914 809 as
0 13 0.999990701675415 913 779 954 807 the
0 13 0.999306321144104 957 782 1064 805 unknown
0 13 0.9909161925315857 1069 782 1145 807 scales.
0 13 0.9901482462882996 1152 775 1198 809 We
0 13 0.9348767399787903 1196 777 1250 812 also
0 13 0.9992332458496094 1250 779 1306 812 note
0 13 0.9960011839866638 1306 777 1359 809 that
0 13 0.9994089603424072 1356 779 1404 809 this
