block line confidence X1 Y1 X2 Y2 token
0 0 0.9128188490867615 250 267 373 294 Moreover,
0 0 0.9994019269943237 377 260 421 296 let
0 0 0.27004358172416687 428 264 696 299 SeplCp,d.p.Cyeg.0)
0 0 0.9999911785125732 701 260 743 299 be
0 0 0.9999507665634155 743 260 793 296 the
0 0 0.9924708604812622 796 262 860 296 class
0 0 0.9992837309837341 864 262 899 296 of
0 0 0.9995126724243164 901 264 1015 292 functions
0 0 0.9380003213882446 1019 267 1046 301 9
0 0 0.9993225336074829 1048 262 1109 296 such
0 0 0.9999089241027832 1114 262 1172 296 that
0 0 0.993837296962738 1177 262 1213 296 X
0 0 0.999858021736145 1211 260 1245 299 is
0 0 0.9998819828033447 1243 267 1272 296 a
0 0 0.9984861016273499 1274 264 1403 299 compound
1 0 0.9995343685150146 251 299 345 326 Poisson
1 0 0.9990447163581848 350 299 450 333 process,
1 0 0.319814532995224 450 292 566 335 C<C,
1 1 0.6127281188964844 314 386 389 429 Vue
1 1 0.9982789754867554 382 390 415 422 R
1 1 0.9999731779098511 410 388 431 424 :
1 1 0.3877779543399811 434 383 618 433 lpxi(u)2Cp
2 0 0.9996503591537476 247 484 300 518 and
3 0 0.9301940202713013 314 577 363 614 Vu
3 0 0.5089228749275208 356 580 386 614 €
3 0 0.9994138479232788 382 577 411 612 R
3 0 0.9997434020042419 411 584 428 612 :
3 0 0.6965905427932739 428 580 516 614 Sg(u)l
3 0 0.5035532116889954 518 577 552 616 S
3 0 0.3765406608581543 547 577 814 619 "CyMw""expl-eyw)."
4 0 0.9999833106994629 247 671 305 705 The
4 0 0.9993594288825989 311 673 424 708 following
4 0 0.9878182411193848 429 676 502 703 result
4 0 0.9892057180404663 508 671 586 705 which
4 0 0.9868179559707642 592 676 705 703 describes
4 0 0.9999791383743286 712 673 759 705 the
4 0 0.999897837638855 762 676 828 703 rates
4 0 0.9987169504165649 830 671 868 708 of
4 0 0.9851035475730896 867 678 1019 710 convergence
4 0 0.9996676445007324 1024 676 1083 703 with
4 0 0.9996870756149292 1091 678 1180 705 respect
4 0 0.9999481439590454 1187 676 1221 705 to
4 0 0.9999794960021973 1224 673 1271 705 the
4 0 0.9982895255088806 1276 673 1403 708 prescribed
4 1 0.9871876239776611 248 705 394 737 smoothness
4 1 0.9986735582351685 397 708 481 735 classes
4 1 0.9487675428390503 484 705 620 737 introduced
4 1 0.9997020363807678 623 708 697 735 above
4 1 0.9997408986091614 699 705 728 740 is
4 1 0.9992558360099792 726 710 754 740 a
4 1 0.99045729637146 754 708 828 735 direct
4 1 0.9866576790809631 831 710 985 742 consequence
4 1 0.94831782579422 985 705 1020 740 of
4 1 0.9660861492156982 1020 708 1132 735 Theorem
4 1 0.9987131357192993 1133 705 1185 740 3.1.
4 2 0.9263806343078613 251 740 416 774 Proposition
4 2 0.9997093081474304 426 737 486 772 3.2.
4 2 0.9904705286026001 497 737 545 774 Let
4 2 0.9996428489685059 550 740 579 772 K
4 2 0.9996782541275024 589 740 621 772 be
4 2 0.9997947812080383 628 737 675 774 the
4 2 0.9919265508651733 681 740 827 772 sinc-kernel.
4 2 0.9995189905166626 838 737 899 772 This
4 2 0.7271877527236938 906 740 935 772 is
4 2 0.220230832695961 946 744 1067 772 equrvalent
4 2 0.9996905326843262 1077 740 1109 772 to
4 2 0.9779791235923767 1117 742 1206 776 stating
4 2 0.999664306640625 1213 737 1271 772 that
4 2 0.46440351009368896 1272 735 1364 778 SK(u)
4 2 0.9315912127494812 1377 746 1405 767 =
4 3 0.6818240880966187 274 824 314 865 ()
4 3 0.9991262555122375 318 826 368 861 Let
4 3 0.8478298187255859 363 826 402 863 h*
4 3 0.9998358488082886 405 829 437 861 be
4 3 0.5684567093849182 440 829 558 863 implicitly
4 3 0.641020655632019 562 829 657 863 defined,
4 3 0.9978904128074646 662 833 697 861 as
4 3 0.9999517202377319 699 829 741 858 the
4 3 0.9228636026382446 746 831 846 858 solution
4 3 0.9999926090240479 847 826 883 865 of
4 3 0.9999160766601562 881 829 925 858 the
4 3 0.9878904819488525 928 829 1093 861 minimization
4 3 0.8965136408805847 1099 833 1203 861 equation
5 0 0.4980637729167938 248 772 377 813 1-1,1(u).
6 0 0.536676287651062 415 938 586 986 CA,h2A,B+2-
6 0 0.9977914094924927 571 950 602 977 =
6 0 0.960851788520813 602 952 621 977 1.
7 0 0.9991113543510437 1342 945 1405 989 (3.2)
8 0 0.8319796919822693 323 1064 387 1091 Then
9 0 0.999789297580719 471 1171 526 1206 sup
9 1 0.2288651019334793 387 1196 610 1228 9ESa.Cy,dy.Cy,0)
9 2 0.4227885603904724 266 1281 313 1320 (ii)
9 2 0.996657133102417 318 1281 368 1315 Let
9 2 0.96383136510849 361 1281 402 1317 h*
9 2 0.9998965263366699 405 1283 437 1315 be
9 2 0.9978659749031067 439 1281 486 1317 the
9 2 0.9121870398521423 487 1285 586 1313 solution
9 2 0.9998780488967896 589 1281 625 1322 of
10 0 0.46590378880500793 605 1160 694 1210 E,Illg
10 0 0.8111428618431091 686 1171 717 1199 -
10 0 0.18226774036884308 702 1162 843 1212 GA-IEe(R).
10 0 0.9782782793045044 843 1171 875 1199 =
10 0 0.5954642295837402 872 1164 961 1206 O(h*).
11 0 0.14475764334201813 395 1356 783 1407 Aptwr-
12 0 0.7918792366981506 323 1457 387 1484 Then
13 0 0.9997062087059021 458 1564 513 1598 sup
13 1 0.30463820695877075 387 1587 586 1621 gES.(a,Cp,Cy,C)
14 0 0.4125620722770691 581 1557 671 1601 EgIllg
14 0 0.24251408874988556 657 1557 814 1601 -G-I22(R)!
14 0 0.913193941116333 817 1564 847 1594 =
14 0 0.24206537008285522 846 1553 1009 1603 O(()1-24).
15 0 0.29264578223228455 256 1674 314 1717 (in)
15 0 0.9399651288986206 318 1674 366 1710 Let
15 0 0.8676977157592773 363 1674 402 1710 h*
15 0 0.9996654987335205 405 1676 437 1708 be
15 0 0.9998505115509033 439 1674 484 1710 the
15 0 0.928790807723999 487 1678 586 1706 solution
15 0 0.9999852180480957 587 1674 626 1715 of
16 0 0.24368758499622345 389 1751 563 1793 2e,(1/h)h-2a
16 0 0.4803156852722168 589 1749 734 1809 ACA.
17 0 0.9946644306182861 337 1870 376 1911 a)
