block line confidence X1 Y1 X2 Y2 token
0 0 0.9999051094055176 214 205 298 232 Where
0 0 0.9807953238487244 303 198 329 235 A
0 0 0.999734103679657 331 203 360 235 is
0 0 0.9997029900550842 358 201 407 237 the
0 0 0.9995457530021667 408 205 500 232 median
0 0 0.9999725818634033 503 203 539 237 of
0 0 0.9998481273651123 534 201 584 237 the
0 0 0.9867953062057495 584 205 692 232 available
0 0 0.8394961357116699 697 205 793 239 images.
1 0 0.9999784231185913 211 246 269 280 The
1 0 0.9420691132545471 272 246 416 280 subtraction
1 0 0.9917565584182739 416 244 455 283 of
1 0 0.9999645948410034 452 246 502 280 the
1 0 0.9983983635902405 505 251 570 278 main
1 0 0.9956024885177612 578 253 678 280 dazzling
1 0 0.9993376135826111 684 248 768 287 object
1 0 0.9985945820808411 770 251 804 280 to
1 0 0.8531217575073242 807 251 902 278 observe
1 0 0.9998917579650879 906 246 956 280 the
1 0 0.9998569488525391 957 246 1020 280 faint
1 0 0.9993740916252136 1024 251 1159 283 companion
1 0 0.9971256852149963 1166 253 1217 280 was
1 0 0.9992372989654541 1221 248 1316 283 already
1 0 0.874241828918457 1321 248 1437 283 improved
1 0 0.9955435395240784 1442 246 1481 287 by
1 0 0.9990959167480469 1484 248 1531 280 the
1 1 0.9513168334960938 172 280 248 315 LOCI
1 1 0.5067120790481567 250 278 492 319 algorithnldividing
1 1 0.77759850025177 495 283 583 317 images
1 1 0.9996392726898193 583 278 618 317 in
1 1 0.9993966817855835 618 283 760 315 subsections
1 1 0.9998477697372437 762 280 817 315 and
1 1 0.9650205373764038 818 283 944 317 obtaining,
1 1 0.999988317489624 948 280 990 317 for
1 1 0.9998742341995239 990 280 1051 315 each
1 1 0.9032890796661377 1053 283 1190 317 subsection,
1 1 0.9762982130050659 1192 285 1219 317 a
1 1 0.9985424280166626 1217 280 1293 315 linear
1 1 0.9946544170379639 1295 285 1448 310 combination
1 1 0.9999977350234985 1452 280 1484 312 of
1 1 0.9999691247940063 1484 280 1531 317 the
1 2 0.9994956254959106 172 317 284 344 reference
1 2 0.7718908786773682 289 317 377 351 images
1 2 0.9996460676193237 381 317 458 344 whose
1 2 0.9984234571456909 461 315 604 347 subtraction
1 2 0.9727337956428528 608 317 668 344 from
1 2 0.9999691247940063 670 312 720 349 the
1 2 0.9989049434661865 720 317 801 351 target
1 2 0.7338923215866089 802 317 881 351 image
1 2 0.7198056578636169 881 312 935 349 will
1 2 0.9672225713729858 936 317 1049 344 minimize
1 2 0.9999481439590454 1051 312 1101 349 the
1 2 0.9989080429077148 1101 317 1174 344 noise.
1 2 0.9999016523361206 1179 312 1237 347 The
1 2 0.9799045324325562 1238 315 1382 347 subtraction
1 2 0.9996833801269531 1384 322 1437 347 was
1 2 0.6399897933006287 1439 312 1531 347 further
1 3 0.9990695118904114 172 349 289 383 improved
1 3 0.9970669150352478 290 347 329 386 by
1 3 0.9995169639587402 329 349 376 381 the
1 3 0.3919573724269867 377 347 657 381 Karhmen-LoérKI)
1 3 0.8196702003479004 662 349 739 383 image
1 3 0.27808886766433716 741 344 886 386 projectiono
1 3 0.9989197254180908 885 344 978 386 (KLIP)
1 3 0.7223578095436096 982 349 1109 383 algorithm.
