block line confidence X1 Y1 X2 Y2 token
0 0 0.9994145631790161 340 331 432 365 Variety
0 0 0.9999467134475708 432 326 470 365 of
0 0 0.5086660385131836 468 331 621 365 idempotents
0 0 0.9997698664665222 621 326 657 365 in
0 0 0.9475587606430054 659 333 836 358 nonassociative
0 0 0.9999527931213379 839 331 944 365 algebras
0 0 0.9548906087875366 972 331 1032 365 Ver.:
0 0 0.9979829788208008 1028 331 1080 365 Sun
0 0 0.9102927446365356 1077 328 1129 363 31st
0 0 0.9974467754364014 1127 331 1185 367 May,
0 0 0.999270498752594 1185 335 1245 363 2020,
0 0 0.9670848250389099 1246 333 1322 360 00:175
0 1 0.9998062252998352 331 406 410 440 which
0 1 0.9998687505722046 410 406 439 438 is
0 1 0.9966879487037659 439 406 555 440 naturally
0 1 0.9320562481880188 560 408 676 436 identified
0 1 0.9996806383132935 680 406 743 440 with
0 1 0.9995679259300232 741 411 768 440 a
0 1 0.9784488677978516 768 408 941 443 corresponding
0 1 0.9993137121200562 946 408 1043 436 element
0 1 0.26763102412223816 1045 402 1093 447 SA
0 1 0.8794800043106079 1091 408 1120 438 €
0 1 0.3915308117866516 1116 402 1327 443 V'OV-BV.IF
0 2 0.48625990748405457 321 433 534 484 e-fe1En)
0 2 0.9999098777770996 533 438 562 472 is
0 2 0.9996927976608276 560 445 597 472 an
0 2 0.987027645111084 600 440 715 475 arbitrary
0 2 0.999873161315918 717 438 785 472 basis
0 2 0.5394304990768433 785 440 815 472 in
0 2 0.9076064229011536 817 436 854 477 A,
0 2 0.9988190531730652 856 443 931 470 where
0 2 0.8802950382232666 931 443 961 472 n
0 2 0.9934306740760803 956 445 988 472 =
0 2 0.7154027819633484 986 440 1061 475 dimk
0 2 0.9994803071022034 1059 436 1096 477 A,
0 2 0.9998244643211365 1098 443 1158 470 then
0 2 0.1771012544631958 1158 438 1201 477 A
0 2 0.9933425784111023 1204 443 1301 470 induces
0 2 0.9999144077301025 1301 447 1324 470 a
1 0 0.9843356609344482 334 475 486 507 K-quadratic
1 0 0.9975616931915283 491 472 628 507 polynomial
1 0 0.910352885723114 631 477 692 511 map
1 0 0.9656203985214233 694 470 744 509 VA
1 0 0.41454121470451355 739 470 806 507 "K"""
1 0 0.3940012454986572 804 475 843 504 -
1 0 0.971059262752533 839 470 888 507 Kn
1 0 0.9909055233001709 891 475 982 502 defined
