block line confidence X1 Y1 X2 Y2 token
0 0 0.9999781847000122 673 203 773 237 (Dated:
0 0 0.9800177812576294 783 203 894 237 January
0 0 0.9998258948326111 898 201 944 239 24,
0 0 0.999812662601471 946 198 1027 242 2018)
1 0 0.999963641166687 319 294 373 331 We
1 0 0.9983139038085938 373 301 474 335 present
1 0 0.9996315240859985 476 301 502 333 a
1 0 0.8995479941368103 503 299 710 333 comprehensible
1 0 0.996239185333252 713 296 883 328 introduction
1 0 0.9998588562011719 885 299 920 328 to
1 0 0.9997026324272156 923 296 991 333 tight
1 0 0.5044068694114685 996 299 1203 333 informationally
1 0 0.9918712377548218 1208 299 1330 333 complete
1 0 0.9993160963058472 1334 303 1403 328 mea-
1 1 0.7805647253990173 290 358 431 390 surements
1 1 0.9999997615814209 434 354 481 390 for
1 1 0.9941188097000122 482 358 623 392 arbitrarily
1 1 0.9973936080932617 629 358 701 395 large
1 1 0.960681676864624 705 358 868 392 multipartite
1 1 0.9985355138778687 877 363 982 390 systems
1 1 0.9999480247497559 986 354 1043 390 and
1 1 0.8563913106918335 1045 354 1129 397 study
1 1 0.9999182224273682 1132 356 1203 390 their
1 1 0.9204345941543579 1206 356 1309 390 allowed
1 1 0.9877712726593018 1316 360 1403 388 entan-
1 2 0.9998941421508789 290 415 402 456 glement
1 2 0.6465082764625549 410 420 605 452 configurations,
1 2 0.9955638647079468 617 418 730 452 focusing
1 2 0.9990739822387695 734 422 775 449 on
1 2 0.9998993873596191 781 415 857 449 those
1 2 0.9969388246536255 864 420 988 454 requiring
1 2 0.7543537616729736 994 418 1108 452 simplest
1 2 0.9996591806411743 1117 418 1225 452 possible
1 2 0.9761910438537598 1232 420 1356 454 quantum
1 2 0.9995577931404114 1361 422 1405 449 re-
1 3 0.8677582740783691 290 484 398 509 sources.
1 3 0.9985896944999695 408 475 460 511 We
1 3 0.9944592714309692 463 477 634 509 demonstrate
1 3 0.9999358654022217 636 475 701 509 that
1 3 0.999745786190033 704 477 773 513 tight
1 3 0.6268107891082764 778 481 969 507 measurements
1 3 0.983735203742981 975 481 1069 507 cannot
1 3 0.9990354776382446 1074 475 1116 511 be
1 3 0.9195045828819275 1117 479 1264 513 exclusively
1 3 0.998258650302887 1271 479 1403 513 composed
1 4 0.9999827146530151 290 536 390 571 neither
1 4 0.9991033673286438 395 536 436 575 by
1 4 0.6591089963912964 439 534 507 577 fully
1 4 0.9999231100082397 512 539 639 573 separable
1 4 0.9557863473892212 646 543 697 568 nor
1 4 0.6830330491065979 704 539 846 573 maximally
1 4 0.9989426732063293 854 539 985 573 entangled
1 4 0.9997574687004089 991 539 1083 573 states,
1 4 0.9929741621017456 1090 539 1222 573 according
1 4 0.9999380111694336 1229 539 1263 568 to
1 4 0.9999083280563354 1266 541 1293 571 a
1 4 0.5590887069702148 1297 539 1402 566 selected
1 5 0.5246807336807251 290 605 405 630 measure.
1 5 0.9999996423721313 408 598 444 632 of
1 5 0.9482521414756775 445 600 631 632 entanglement.
1 5 0.9997922778129578 644 596 694 632 We
1 5 0.9997411370277405 697 600 815 628 establish
1 5 0.9999332427978516 822 607 859 628 an
1 5 0.9998805522918701 864 603 948 637 upper
