block line confidence X1 Y1 X2 Y2 token
0 0 0.9699390530586243 541 91 573 123 S.
0 0 0.9861474633216858 570 91 697 125 Khoperskov
0 0 0.9987208247184753 694 91 723 123 et
0 0 0.9613219499588013 718 91 757 121 al.:
0 0 0.9999345541000366 759 91 802 121 Bar
0 0 0.9992079138755798 802 91 912 125 quenching
0 0 0.9987632036209106 910 91 940 123 in
0 0 0.8442968726158142 938 91 1024 125 gas-rich
0 0 0.9716160893440247 1024 91 1111 125 galaxies
1 0 0.9748508334159851 174 159 218 187 gas
2 0 0.999947190284729 311 159 398 185 density
2 0 0.5005018711090088 402 155 442 191 [M
2 0 0.6930522918701172 440 148 503 191 pe?1
3 0 0.9783143401145935 751 157 794 185 SFR
3 0 0.5494353175163269 796 155 838 191 [M.
3 0 0.2470911741256714 836 148 899 191 yr
4 0 0.9987832903862 1245 164 1288 191 SFE
4 0 0.7556763887405396 1295 164 1353 191 [Gyr
4 0 0.7673198580741882 1347 166 1366 189 1
5 0 0.9990712404251099 534 205 565 226 1.5
5 1 0.9822961688041687 533 271 570 299 0.5
5 2 0.733367919921875 542 344 566 365 0.5
6 0 0.9981818199157715 1020 203 1061 230 -0.5
7 0 0.9990654587745667 508 557 534 577 10
8 0 0.705618679523468 316 571 374 605 Ikpcl
9 0 0.6953890919685364 801 571 859 605 Ikpcl
10 0 0.6549067497253418 1285 571 1343 605 Ikpcl
11 0 0.9994582533836365 98 612 146 650 Fig.
11 0 0.999966025352478 148 614 184 644 13.
11 0 0.9965233206748962 184 614 245 648 Maps
11 0 0.9998136162757874 245 614 277 644 of
11 0 0.9997990727424622 271 614 311 644 the
11 0 0.9936694502830505 308 619 350 648 gas
11 0 0.9778000116348267 350 616 426 644 surface
11 0 0.5592044591903687 426 614 505 648 density
11 0 0.9971357583999634 507 616 566 644 (left),
11 0 0.9940432906150818 566 612 649 646 surface
11 0 0.9998196959495544 646 616 691 644 star
11 0 0.9970537424087524 691 616 793 641 formation
11 0 0.9509415030479431 793 616 838 644 rate
11 0 0.9884859323501587 836 614 922 648 (center)
11 0 0.9999122619628906 920 614 964 644 and
11 0 0.9998354911804199 964 616 1007 644 star
11 0 0.9899255037307739 1007 616 1109 641 formation
11 0 0.8566374182701111 1111 614 1213 648 eficiency
11 0 0.7874818444252014 1213 614 1284 648 (right)
11 0 0.9999550580978394 1284 614 1321 644 for
11 0 0.9999593496322632 1319 616 1387 644 barred
11 0 0.9858042001724243 1389 614 1461 648 galaxy
11 0 0.9985772371292114 1460 612 1531 646 model
11 0 0.9998317956924438 1528 614 1555 644 at
11 1 0.9960318207740784 96 644 121 676 a
11 1 0.9840924739837646 116 641 182 676 single
11 1 0.943710207939148 180 641 239 676 time,
11 1 0.9996844530105591 237 639 279 676 1.2
11 1 0.9807213544845581 274 641 326 678 Gyr.
11 1 0.9998224377632141 324 639 390 673 Black
11 1 0.9903416633605957 390 644 460 671 circles
11 1 0.9980034232139587 461 646 575 673 correspond
11 1 0.9992269277572632 575 644 604 673 to
11 1 0.9999784231185913 600 641 638 671 the
11 1 0.9987188577651978 639 646 731 673 positions
11 1 0.9999630451202393 733 641 764 671 of
11 1 0.9990424513816833 757 639 822 673 inner
11 1 0.968257486820221 817 644 912 669 Lindblad
11 1 0.9959627985954285 914 646 1019 671 resonance
11 1 0.9999256134033203 1019 641 1082 676 (solid
11 1 0.994544506072998 1080 641 1135 676 line)
11 1 0.9998801946640015 1132 641 1175 671 and
11 1 0.9987363219261169 1175 644 1280 671 corotation
11 1 0.9559236764907837 1282 644 1348 671 radius
11 1 0.9996405839920044 1348 641 1432 676 (dashed
11 1 0.9980936646461487 1431 641 1484 676 line)
11 1 0.9997159838676453 1482 644 1519 671 for
11 1 0.999954342842102 1519 646 1550 666 the
12 0 0.96696937084198 96 666 145 703 bar.
13 0 0.9970946311950684 206 728 250 765 12
13 1 0.9994955062866211 206 801 248 838 10
13 2 0.3818587064743042 150 858 192 943 s
13 3 0.10534083843231201 156 966 193 1007 N
13 4 0.9995354413986206 227 1030 247 1053 4
13 5 0.998397171497345 229 1103 247 1128 2
13 6 0.9545671343803406 243 1196 268 1231 0
14 0 0.9673798084259033 623 769 665 792 no
14 0 0.9301306009292603 673 765 731 792 bar
14 1 0.34576770663261414 602 797 718 824 -€=0.1,
14 1 0.9893640279769897 734 794 872 826 h=0.2Gyr
14 2 0.9565095901489258 620 822 720 856 E=0.2,
14 2 0.9893022179603577 734 824 870 856 h=0.2Gyr
15 0 0.993860125541687 1276 769 1318 792 no
15 0 0.9999392032623291 1327 765 1384 792 bar
15 1 0.5072266459465027 1253 792 1372 826 """E=0.2,"
15 1 0.9330446720123291 1389 792 1494 826 h=0.2G
15 2 0.9559445977210999 1287 824 1369 851 =0.2,
15 2 0.969499409198761 1390 826 1479 854 h=0.50
15 3 0.8075137138366699 1390 856 1448 883 h=1.
16 0 0.9625755548477173 386 1201 442 1228 0.5
17 0 0.9971080422401428 563 1203 579 1228 1
17 1 0.9998157620429993 471 1233 555 1267 time
17 1 0.9865512847900391 575 1233 670 1274 [Gyr]
18 0 0.9994718432426453 701 1196 762 1233 1.5
19 0 0.9973849654197693 877 1196 922 1233 20
20 0 0.9924824833869934 1040 1201 1098 1228 0.5
21 0 0.9994938373565674 1355 1196 1416 1233 1.5
22 0 0.9998146891593933 1127 1238 1206 1265 time
22 0 0.9005993008613586 1232 1238 1322 1272 [Gyr]
23 0 0.998396098613739 98 1288 148 1324 Fig.
23 0 0.9996610879898071 148 1288 187 1317 14.
23 0 0.5134035348892212 187 1288 339 1320 Star-formation
23 0 0.8277361989021301 340 1288 416 1322 history
23 0 0.9966738224029541 416 1288 445 1320 in
23 0 0.9965702295303345 444 1290 482 1317 the
23 0 0.9995792508125305 484 1290 573 1317 different
23 0 0.9908079504966736 576 1290 659 1317 models.
23 0 0.999879002571106 663 1290 760 1317 Unbarred
23 0 0.9967252612113953 762 1288 836 1324 galaxy
23 0 0.9998123049736023 835 1285 889 1320 SFR
23 0 0.9942014813423157 888 1288 915 1320 is
23 0 0.999723494052887 914 1290 983 1317 shown
23 0 0.9980358481407166 985 1290 1019 1320 by
23 0 0.9978082776069641 1019 1290 1080 1317 black
23 0 0.6365797519683838 1080 1290 1124 1317 line
23 0 0.9990599751472473 1124 1288 1153 1320 in
23 0 0.9995856881141663 1151 1288 1187 1322 all
23 0 0.9937059283256531 1187 1292 1261 1320 panels.
23 0 0.728053629398346 1261 1288 1318 1324 Lef:
23 0 0.7143239378929138 1319 1292 1445 1322 Comparison
23 0 0.9987576007843018 1447 1288 1477 1320 of
23 1 0.999077320098877 100 1317 151 1345 with
23 1 0.997657060623169 150 1320 195 1345 two
23 1 0.5148710012435913 193 1317 282 1343 different
23 1 0.9998158812522888 284 1317 323 1345 bar
23 1 0.9998114705085754 324 1320 421 1347 strengths,
23 1 0.9762845635414124 423 1320 453 1349 Eb
23 1 0.9892467856407166 452 1317 478 1347 =
23 1 0.9995360374450684 474 1315 512 1345 0.1
23 1 0.9998753070831299 512 1315 555 1345 and
23 1 0.990265429019928 555 1317 599 1347 0.2;
23 1 0.9988100528717041 599 1315 662 1349 right:
23 1 0.9995020627975464 662 1317 743 1345 Models
23 1 0.9993969202041626 743 1313 796 1347 with
23 1 0.9999375343322754 794 1317 849 1345 three
23 1 0.9999066591262817 851 1317 940 1343 different
23 1 0.9999617338180542 940 1317 980 1345 bar
23 1 0.9814087748527527 980 1317 1082 1343 formation
23 1 0.9074561595916748 1083 1317 1204 1345 time-scales,
23 1 0.9979210495948792 1204 1315 1229 1347 h
23 1 0.9337652325630188 1225 1320 1251 1345 =
23 1 0.9991021156311035 1248 1317 1295 1345 0.2,
23 1 0.9484209418296814 1288 1315 1361 1349 0.5,1
23 1 0.9982941746711731 1353 1315 1406 1352 Gyr.
23 2 0.9996078610420227 100 1400 211 1427 decreases
23 2 0.999945878982544 214 1397 272 1434 only
23 2 0.9968392848968506 272 1395 324 1429 due
23 2 0.9998998641967773 324 1400 356 1429 to
23 2 0.9999896287918091 358 1397 398 1427 the
23 2 0.9946552515029907 403 1400 529 1429 conversion
23 2 1.0 533 1397 565 1429 of
23 2 0.9969781637191772 565 1400 612 1436 gas
23 2 0.9796379208564758 612 1395 667 1432 into
23 2 0.9997895359992981 667 1400 733 1434 stars,
23 2 0.9996223449707031 734 1395 794 1429 with
23 2 0.9839374423027039 793 1400 818 1429 a
23 2 0.9876036047935486 839 1400 915 1427 rather
23 2 0.9997673630714417 909 1400 964 1427 than
23 2 0.999454915523529 964 1402 983 1427 a
23 2 0.9993324875831604 982 1400 1040 1427 slow
23 2 0.6119782328605652 1040 1400 1201 1425 star-formation
23 2 0.996333122253418 1203 1400 1250 1427 rate
23 2 0.9984768033027649 1250 1400 1350 1425 decrease
23 2 0.9999010562896729 1350 1397 1379 1429 in
23 2 0.9649288654327393 1379 1400 1463 1427 models
23 2 0.999859094619751 1466 1400 1498 1427 wit
24 0 0.6445723176002502 100 1429 179 1457 slower
24 0 0.9987736344337463 179 1427 251 1464 decay
24 0 0.9992596507072449 250 1427 306 1461 than
24 0 0.9995238780975342 305 1429 334 1461 in
24 0 0.9938183426856995 332 1434 379 1459 our
24 0 0.958268404006958 379 1429 440 1457 basic
