block line confidence X1 Y1 X2 Y2 token
0 0 0.9624745845794678 552 219 595 247 600
0 1 0.8962609171867371 607 262 713 285 LHC13TeV
0 2 0.9341111779212952 551 300 595 328 550
0 3 0.8311972618103027 549 380 599 414 500
0 4 0.9914278388023376 551 461 597 496 450
0 5 0.718196451663971 551 545 604 577 400
1 0 0.9983232617378235 693 562 722 590 M
1 1 0.22783087193965912 649 580 700 612 Pfo=
1 1 0.999893069267273 695 586 720 616 2
1 2 0.9964756369590759 551 629 595 657 350
1 2 0.966167151927948 592 644 650 676 NLO
1 2 0.9923916459083557 660 644 717 676 NLL
1 2 0.9984878301620483 722 646 788 672 NNLL
1 2 0.6754440069198608 788 646 854 672 NNLO
2 0 0.38911449909210205 1054 575 1122 608 HEo=M
2 1 0.9970044493675232 928 644 984 676 NLO
2 1 0.7139345407485962 997 646 1049 672 NLL:
2 1 0.9674732089042664 1057 646 1123 672 NNLL
2 1 0.5934657454490662 1123 646 1188 672 nNLO
3 0 0.9999924898147583 234 751 340 790 Figure
3 0 0.999777615070343 348 749 383 786 2.
3 0 0.9959779381752014 406 754 567 786 Comparison
3 0 0.9966899156570435 577 751 690 784 between
3 0 0.940363883972168 698 751 813 784 different
3 0 0.9985199570655823 823 751 994 790 perturbative
3 0 0.5322170257568359 1002 754 1210 786 approximations
3 0 0.9999476671218872 1216 751 1256 786 to
3 0 0.9992610812187195 1260 751 1311 786 the
3 0 0.9538722038269043 1318 751 1387 784 total
3 0 0.4697529673576355 1394 758 1465 784 CrOssS
3 1 0.9995526671409607 235 792 332 825 section
3 1 0.9976646900177002 335 792 431 825 carried
3 1 0.9995092153549194 431 794 484 827 out
3 1 0.9997530579566956 484 792 551 825 with
3 1 0.9999628067016602 551 792 602 827 the
3 1 0.9998899698257446 602 792 698 825 default
3 1 0.9124308228492737 702 792 873 825 factorization
3 1 0.9851964712142944 874 792 944 825 scale
3 1 0.9920896291732788 947 797 1042 822 choices
3 1 0.7188131809234619 1044 799 1102 833 Hf,0
3 1 0.9974077343940735 1104 801 1133 827 =
3 1 0.9998703002929688 1133 790 1205 833 M/2
3 1 0.9852846264839172 1205 790 1278 831 (left)
3 1 0.5109196305274963 1276 788 1336 829 and
3 1 0.33489254117012024 1333 794 1394 835 Hf,0
3 1 0.9924018383026123 1394 799 1427 827 =
3 1 0.9967654943466187 1424 790 1465 827 M
3 2 0.9504859447479248 235 833 335 874 (right).
3 2 0.9999144077301025 356 833 418 867 The
3 2 0.7981179356575012 425 833 506 865 labels
3 2 0.5100882053375244 516 833 609 865 """NLL"""
3 2 0.9971473813056946 619 833 674 867 and
3 2 0.6519822478294373 687 837 798 863 """NNLL"""
3 2 0.9997830986976624 810 842 850 867 on
3 2 0.9999779462814331 856 833 908 867 the
3 2 0.9711483120918274 914 835 1052 865 horizontal
3 2 0.9905112385749817 1059 833 1120 867 axis
3 2 0.9122622609138489 1128 837 1236 863 indicate
3 2 0.7141953110694885 1248 835 1401 865 NLO-NLL
3 2 0.999816358089447 1409 833 1465 867 and
3 3 0.9368098974227905 235 966 358 999 combine
3 3 0.9999759197235107 365 964 420 999 the
3 3 0.9997037053108215 425 966 552 1005 envelope
3 3 0.9998268485069275 559 964 597 1001 of
3 3 0.9993447661399841 600 966 700 999 results
3 3 0.9985957741737366 708 964 780 999 from
3 3 0.9998488426208496 786 964 841 999 the
3 3 0.9966294169425964 846 966 906 999 two
3 3 0.9364148378372192 913 966 1017 999 choices
3 3 0.9994326233863831 1024 964 1089 999 into
3 3 0.9991369843482971 1092 971 1122 1001 a
3 3 0.9994214773178101 1123 964 1218 1005 single,
3 3 0.9999110698699951 1228 964 1318 1005 larger
3 3 0.9962224960327148 1324 966 1464 1005 perturba-
3 4 0.9998798370361328 234 1009 295 1044 tive
3 4 0.9988645315170288 302 1009 474 1048 uncertainty.
3 4 0.9999890327453613 494 1007 557 1041 The
3 4 0.5471963882446289 569 1009 755 1041 NLO+NNLL
3 4 0.9999574422836304 765 1009 863 1041 results
3 4 0.9986427426338196 871 1009 974 1048 quoted
3 4 0.9982882142066956 979 1009 1020 1046 at
3 4 0.9998229146003723 1025 1009 1113 1041 either
3 4 0.99868243932724 1120 1009 1195 1041 scale
3 4 0.9996103644371033 1203 1009 1291 1041 would
3 4 0.9999663829803467 1299 1009 1356 1044 not
3 4 0.9995658993721008 1362 1009 1465 1048 change
4 0 0.9981207251548767 235 876 413 906 NLO+NNLL
4 0 0.7480599880218506 418 876 586 906 calculations.
5 0 0.9873884320259094 235 1054 410 1093 significantly
5 0 0.999367892742157 416 1054 532 1093 through
5 0 0.9998722076416016 537 1054 607 1089 such
5 0 0.9998588562011719 610 1059 637 1091 a
5 0 0.8544312119483948 640 1057 825 1087 combination.
5 1 0.999962568283081 234 1097 290 1132 3.3
5 1 0.890859067440033 322 1100 508 1130 Differential
5 1 0.9123895168304443 519 1100 727 1130 distributions
6 0 0.9973660111427307 292 1158 332 1194 In
6 0 0.9997571110725403 337 1158 396 1192 this
6 0 0.997089684009552 406 1164 506 1190 section
6 0 0.9646573066711426 514 1166 561 1192 we
6 0 0.9979863166809082 566 1160 670 1192 discuss
6 0 0.9923934936523438 679 1160 776 1192 results
6 0 0.5125429630279541 783 1158 833 1194 for
6 0 0.992279052734375 838 1160 994 1192 differential
6 0 0.9921773076057434 1004 1160 1195 1192 distributions.
6 0 0.9999195337295532 1213 1158 1253 1194 In
6 0 0.8905141949653625 1260 1160 1412 1198 particular,
6 0 0.9944414496421814 1421 1166 1469 1196 we
6 1 0.9996916055679321 317 1246 370 1282 the
6 1 0.9973512887954712 373 1248 542 1278 distribution
6 1 0.9730260968208313 547 1248 703 1280 differential
6 1 0.9998213648796082 707 1248 778 1280 with
6 1 0.9972586631774902 780 1252 886 1284 respect
6 1 0.9999897480010986 889 1250 926 1282 to
6 1 0.9999213218688965 928 1246 981 1282 the
6 1 0.9837021827697754 982 1248 1113 1280 invariant
6 1 0.6978169083595276 1117 1254 1193 1280 mass
6 1 0.9999997615814209 1193 1243 1233 1282 of
6 1 0.9999817609786987 1230 1246 1286 1284 the
6 1 0.999817430973053 1284 1250 1341 1289 top
6 1 0.999907374382019 1341 1246 1406 1286 pair
6 1 0.9995805621147156 1404 1243 1467 1284 and
6 2 0.9997498393058777 317 1362 370 1398 the
6 2 0.9995562434196472 375 1364 544 1396 distribution
6 2 0.9703320860862732 554 1364 710 1396 differential
6 2 0.9998831748962402 717 1362 786 1396 with
6 2 0.9998776912689209 793 1368 898 1400 respect
6 2 0.9999309778213501 903 1364 944 1400 to
6 2 0.9999568462371826 946 1362 999 1398 the
6 2 0.987235963344574 1004 1364 1135 1396 invariant
6 2 0.7425603270530701 1142 1370 1218 1396 mass
6 2 0.9990705847740173 1221 1362 1261 1398 of
6 2 0.9999730587005615 1261 1362 1314 1398 the
6 2 0.9053236842155457 1321 1364 1465 1402 top-quark
6 3 0.9965516328811646 317 1478 373 1516 the
6 3 0.5829761028289795 371 1480 541 1510 distribution
6 3 0.9101691842079163 544 1480 700 1510 differential
6 3 0.998432457447052 705 1478 773 1512 with
6 3 0.9996516704559326 776 1484 881 1516 respect
6 3 0.9999443292617798 881 1480 921 1516 to
