block line confidence X1 Y1 X2 Y2 token
0 0 0.9999768733978271 796 264 851 290 THE
0 0 0.9738746881484985 853 266 969 290 AFFINITY
0 0 0.9987466335296631 972 266 1107 290 DIMENSION
1 0 0.9997735619544983 1321 264 1354 292 67
2 0 0.9754251837730408 348 326 393 363 [32]
2 0 0.6718106269836426 400 333 519 358 JENKINSON,
2 0 0.9272009134292603 522 330 562 358 O.,
2 0 0.7430736422538757 566 333 614 358 AND
2 0 0.9973701238632202 619 333 740 358 POLLICOTT,
2 0 0.9994358420372009 745 330 780 358 M.
2 0 0.9937707781791687 785 333 903 358 Computing
2 0 0.9997642636299133 906 330 946 356 the
2 0 0.9791208505630493 947 330 1057 356 dimension
2 0 0.9999986886978149 1057 328 1089 358 of
2 0 0.8419376015663147 1089 333 1215 358 dynamically
2 0 0.9912726283073425 1220 330 1298 356 defined
2 0 0.9980138540267944 1299 333 1351 356 sets:
2 1 0.9440534710884094 398 356 434 388 E2
2 1 0.9984392523765564 433 356 481 386 and
2 1 0.9851745963096619 483 358 577 382 bounded
2 1 0.9941778182983398 579 358 685 382 continued
2 1 0.9990667700767517 688 358 788 382 fractions.
2 1 0.995412290096283 793 356 878 388 Ergodic
2 1 0.588258683681488 881 356 961 388 Theory
2 1 0.8526082634925842 964 360 1047 386 Dynam.
2 1 0.9984784722328186 1054 360 1142 386 Systems
2 1 0.9992032647132874 1145 358 1182 386 21,
2 1 0.9949564337730408 1182 356 1206 386 5
2 1 0.988281786441803 1206 356 1283 388 (2001),
2 1 0.6036690473556519 1286 358 1348 384 1429-
2 2 0.9450127482414246 348 410 393 446 [33]
2 2 0.5682911276817322 398 414 519 440 JENKINSON,
2 2 0.8976963758468628 527 414 567 442 O.,
2 2 0.9989469647407532 572 416 622 442 AND
2 2 0.9950689077377319 629 414 752 440 POLLICOTT,
2 2 0.9997480511665344 760 412 795 440 M.
2 2 0.9872395396232605 803 416 924 442 Calculating
2 2 0.9665129780769348 931 414 1037 438 Hausdorff
2 2 0.9932558536529541 1042 414 1160 438 dimensions
2 2 0.9985266923904419 1163 412 1195 440 of
2 2 0.9985306262969971 1195 414 1253 440 Julia
2 2 0.9954208731651306 1256 414 1303 440 sets
2 2 0.954587996006012 1306 412 1354 442 and
2 3 0.9534384608268738 348 466 393 500 [34]
2 3 0.6759127378463745 400 470 519 496 JENKINSON,
2 3 0.7868649363517761 524 466 567 500 0.,
2 3 0.9866963028907776 567 470 617 496 AND
2 3 0.9852132201194763 620 470 745 496 POLLICOTT,
2 3 0.9420765042304993 750 468 785 494 M.
2 3 0.8957732319831848 790 470 928 494 Orthonormal
2 3 0.9785077571868896 931 472 1047 496 expansions
2 3 0.9999456405639648 1049 468 1080 496 of
2 3 0.9768400192260742 1080 470 1177 494 invariant
2 3 0.974019467830658 1180 470 1275 494 densities
2 3 0.9997264742851257 1276 468 1313 494 for
2 3 0.9827603101730347 1313 470 1354 496 ex-
2 4 0.9869120121002197 348 519 393 556 [35]
2 4 0.5182190537452698 398 524 519 550 JENKINSON,
2 4 0.7512698173522949 524 524 564 552 O.,
2 4 0.9932696223258972 566 526 615 552 AND
2 4 0.9976876974105835 620 524 743 550 POLLICOTT,
2 4 0.8816562294960022 747 524 783 550 M.
2 4 0.9999001026153564 785 522 811 552 A
2 4 0.5919645428657532 813 526 923 552 dynamical
2 4 0.9997432827949524 928 526 1025 552 approach
2 4 0.99982750415802 1027 524 1059 552 to
2 4 0.996573805809021 1060 526 1187 552 accelerating
2 4 0.7686781883239746 1190 524 1296 550 numerical
2 4 0.9995601773262024 1298 524 1351 550 inte-
2 5 0.9998384714126587 398 554 476 580 gration
2 5 0.9992628693580627 479 552 531 577 with
2 5 0.7341107726097107 532 552 693 582 equidistributed
2 5 0.9927823543548584 695 554 770 580 points.
2 5 0.9833664894104004 775 552 811 577 Tr.
2 5 0.9996067881584167 815 552 869 577 Mat.
2 5 0.9942412376403809 873 552 924 577 Inst.
2 5 0.9925687909126282 929 552 1019 577 Steklova
2 5 0.9979190230369568 1020 550 1072 582 256,
2 5 0.9997777342796326 1072 552 1122 577 Din.
2 5 0.9966787099838257 1125 552 1175 577 Sist.
2 5 0.9994138479232788 1177 552 1191 577 i
2 5 0.9947758913040161 1193 554 1270 580 Optim.
2 5 0.9987737536430359 1273 552 1351 584 (2007),
2 6 0.9630581140518188 348 603 393 638 [36]
2 6 0.7747625708580017 400 608 519 633 JENKINSON,
2 6 0.6430705785751343 522 603 566 638 O.,
2 6 0.996799111366272 567 608 615 633 AND
2 6 0.995805025100708 619 608 742 633 POLLICOTT,
2 6 0.9981309771537781 747 605 781 633 M.
2 6 0.9986039996147156 785 605 881 638 Rigorous
2 6 0.998641312122345 884 608 972 631 effective
2 6 0.9986037611961365 976 608 1057 631 bounds
2 6 0.9984496831893921 1057 610 1092 635 on
2 6 0.9999716281890869 1092 605 1133 633 the
2 6 0.7693524360656738 1135 608 1240 631 Hausdorff
2 6 0.9866036176681519 1243 608 1351 631 dimension
2 7 0.9998462200164795 395 633 428 661 of
2 7 0.9995531439781189 426 635 531 661 continued
2 7 0.9994204044342041 536 635 619 661 fraction
2 7 0.9997605681419373 624 635 702 661 Cantor
2 7 0.9954482913017273 703 638 755 661 sets:
2 7 0.9987302422523499 760 635 785 663 a
2 7 0.9994014501571655 785 635 873 659 hundred
2 7 0.748388409614563 878 635 962 659 decimal
2 7 0.9894860982894897 966 633 1030 666 digits
2 7 0.9994761347770691 1032 633 1069 661 for
2 7 0.9997321963310242 1070 633 1110 661 the
2 7 0.9975384473800659 1112 635 1221 659 dimension
2 7 0.8630744218826294 1223 633 1255 661 of
2 7 0.6027780771255493 1253 631 1296 666 E2-
2 7 0.5609875917434692 1298 631 1353 663 Adu.
2 8 0.6831663250923157 348 687 393 721 [37]
2 8 0.5723443031311035 398 691 519 717 JENKINSON,
2 8 0.7483906745910645 521 687 564 721 O.,
2 8 0.9988150596618652 567 691 688 717 POLLICOTT,
2 8 0.9989032745361328 692 689 733 717 M.,
2 8 0.9263359308242798 737 691 785 717 AND
2 8 0.9984063506126404 788 691 893 717 VYTNOVA,
2 8 0.983449399471283 898 689 928 717 P.
2 8 0.9946040511131287 931 691 1024 717 Rigorous
2 8 0.7390459179878235 1025 689 1162 719 computation
2 8 0.9999971389770508 1162 687 1193 717 of
2 8 0.9996678829193115 1191 689 1283 715 diffusion
2 8 0.6901916265487671 1284 689 1351 715 coeffi-
2 9 0.9700168967247009 348 743 393 777 [38]
2 9 0.9862769246101379 398 743 519 775 KAENMAKI,
2 9 0.9979530572891235 521 745 559 773 A.,
2 9 0.9066785573959351 559 747 607 773 AND
2 9 0.9991409778594971 609 747 698 773 MORRIS,
2 9 0.9245138764381409 698 743 725 773 I.
2 9 0.9993896484375 720 745 753 773 D.
2 9 0.9233461618423462 755 747 858 771 Structure
2 9 0.9999996423721313 856 743 884 773 of
2 9 0.8228485584259033 883 747 1004 773 equilibrium
2 9 0.9975047707557678 1006 747 1072 773 states
2 9 0.9956732392311096 1069 747 1104 773 on
2 9 0.5975134372711182 1102 747 1203 771 self-affine
2 9 0.997835099697113 1203 747 1250 773 sets
2 9 0.9976680874824524 1246 745 1293 771 and
2 9 0.9867926836013794 1291 745 1351 771 strict
2 10 0.9953932762145996 396 773 539 803 monotonicity
2 10 0.9980431795120239 537 771 567 801 of
2 10 0.649562418460846 566 771 645 803 affinity
2 10 0.999464213848114 647 773 762 799 dimension.
2 10 0.9685746431350708 766 773 825 799 Proc.
2 10 0.999098539352417 826 773 891 799 Lond.
2 10 0.9911638498306274 896 773 961 799 Math.
2 10 0.9959729313850403 964 773 1012 799 Soc.
2 10 0.8158928155899048 1014 773 1055 801 (3)
2 10 0.9795287847518921 1054 771 1107 803 116,
2 10 0.9994375109672546 1102 771 1127 801 4
2 10 0.9548841118812561 1127 775 1201 801 (2018),
2 10 0.600088894367218 1203 773 1248 799 926-
2 10 0.9990536570549011 1250 773 1299 799 956.
2 11 0.9640482664108276 348 797 393 833 [39]
2 11 0.9943053126335144 398 801 517 827 KAENMAKI,
2 11 0.9864464998245239 517 797 559 831 A.,
2 11 0.9928951859474182 557 803 607 827 AND
2 11 0.9919805526733398 607 803 720 827 SHMERKIN,
2 11 0.9958661794662476 720 799 753 829 P.
2 11 0.9948331117630005 752 801 884 831 Overlapping
2 11 0.9984386563301086 881 801 986 827 self-affine
2 11 0.9999673366546631 982 801 1029 827 sets
2 11 0.9989770650863647 1025 799 1055 829 of
2 11 0.9975912570953369 1052 803 1133 829 Kakeya
2 11 0.9824140071868896 1132 801 1191 833 type.
2 11 0.9801666140556335 1190 799 1275 831 Ergodic
2 11 0.9656553268432617 1276 803 1353 829 Theory
2 12 0.9832279682159424 348 852 393 889 [40]
2 12 0.9988956451416016 398 857 486 883 KAGISO,
2 12 0.9986785054206848 488 852 531 887 D.,
2 12 0.9998387098312378 532 857 581 883 AND
2 12 0.9808433651924133 584 857 708 883 POLLICOTT,
2 12 0.9994198083877563 712 855 748 883 M.
2 12 0.9993444085121155 752 855 873 887 Computing
2 12 0.997992753982544 876 857 1002 880 multifractal
2 12 0.9995885491371155 1006 859 1089 885 spectra.
2 12 0.9362087249755859 1094 855 1152 887 Dyn.
2 12 0.876751720905304 1153 855 1211 887 Syst.
2 12 0.9967350363731384 1211 852 1253 887 30,
2 12 0.9997445940971375 1250 852 1273 885 4
2 12 0.947060763835907 1273 855 1353 887 (2015),
2 13 0.9642971754074097 348 908 393 945 [41]
2 13 0.9997223019599915 398 913 483 938 MAYER,
2 13 0.9973694086074829 489 910 522 938 D.
2 13 0.9931409955024719 526 910 559 938 H.
