block line confidence X1 Y1 X2 Y2 token
0 0 0.9998254179954529 197 223 306 258 TABLE
0 0 0.9403702020645142 310 223 339 258 I:
0 0 0.9991487264633179 344 223 450 258 Percent
0 0 0.9985671043395996 455 223 524 258 ratio
0 0 0.9991951584815979 526 221 566 260 of
0 0 0.9968423843383789 566 223 636 258 total
0 0 0.9922377467155457 642 226 797 260 quasielastic
0 0 0.7867521047592163 806 221 877 264 (p,n)
0 0 0.9075421094894409 881 230 954 258 cross
0 0 0.996213972568512 957 223 1056 258 section
0 0 0.9928393363952637 1062 223 1130 258 from
0 0 0.9686227440834045 1137 226 1329 258 measurements
0 0 0.9985440969467163 1330 221 1371 260 of
0 0 0.9904173612594604 1371 223 1500 264 Doehring
0 1 0.9933006763458252 197 283 234 322 et
0 1 0.9527721405029297 230 283 271 319 al.
0 1 0.9140836000442505 274 280 335 326 [37,
0 1 0.9997541308403015 339 287 373 317 to
0 1 0.9917098879814148 374 285 510 317 estimated
0 1 0.9953188300132751 513 287 613 315 nuclear
0 1 0.9991835951805115 618 287 751 322 geometric
0 1 0.9205029606819153 754 292 827 317 CrOSS
0 1 0.9995396137237549 828 287 933 322 section,
0 1 0.3034290373325348 938 285 1066 328 (p.n)/ag,
0 1 0.9988493919372559 1069 280 1158 322 where
0 1 0.6123985052108765 1156 290 1196 328 Og
0 1 0.9955822825431824 1198 290 1230 317 =
0 1 0.5111128091812134 1222 274 1301 326 TR
0 1 0.40609148144721985 1290 276 1361 328 [-
0 1 0.319075345993042 1353 283 1495 324 Vc(R)/E.
1 0 0.9999048709869385 796 358 889 399 Target
1 0 0.9967833757400513 896 363 1001 390 Nucleus
1 1 0.8417561054229736 772 415 835 452 90Zr
1 2 0.9996482133865356 776 550 833 577 1.26
1 3 0.9997884631156921 773 607 835 641 0.74
1 4 0.9996004700660706 775 671 833 698 0.62
2 0 0.9693586826324463 442 420 482 461 Ep
2 1 0.9998996257781982 440 545 481 582 25
2 2 0.9910146594047546 440 605 481 644 35
2 3 0.9999699592590332 442 664 481 703 45
3 0 0.9996428489685059 575 413 649 456 48Ca
3 1 0.9998268485069275 583 550 641 577 2.47
3 2 0.983079195022583 583 609 641 637 2.14
3 3 0.9986081719398499 584 671 642 698 1.68
4 0 0.9925711750984192 956 413 1035 456 120Sn
4 1 0.9944490194320679 967 550 1025 577 1.44
4 2 0.9998898506164551 965 607 1027 641 0.75
4 3 0.9995680451393127 965 671 1025 698 0.69
5 0 0.9994766116142273 1146 415 1230 454 208Pb
5 1 0.9995606541633606 1158 548 1219 582 1.62
5 2 0.9998445510864258 1156 607 1217 641 0.75
5 3 0.9993554949760437 1158 671 1217 698 0.50
6 0 0.9918004870414734 415 477 508 520 (MeV)
6 0 0.9658201932907104 516 475 570 520 (R
6 0 0.9957113265991211 558 484 594 513 =
6 0 0.955024778842926 594 479 660 516 4.331
6 0 0.7985941171646118 654 479 709 520 fm)
6 0 0.9937835931777954 707 475 757 520 (R
6 0 0.6264734268188477 752 484 788 513 =
6 0 0.9901386499404907 785 477 898 520 5.44fm)
6 0 0.4129478931427002 902 479 954 518 (R=
6 0 0.9866662621498108 944 486 980 513 =
6 0 0.998620867729187 977 479 1040 516 6.03
6 0 0.9838314056396484 1035 477 1090 523 fm)
6 0 0.9711591005325317 1091 475 1143 520 (R
6 0 0.9937443137168884 1135 486 1169 513 =
6 0 0.683361291885376 1169 479 1234 516 7.32
6 0 0.9965108036994934 1227 477 1282 523 fm)
7 0 0.5385140180587769 197 774 256 810 and
7 0 0.4741629362106323 258 778 287 810 2
7 0 0.9988594055175781 289 781 340 808 are
7 0 0.9993841648101807 344 774 432 808 radial
7 0 0.5115967392921448 439 778 638 804 wavelunctions
7 0 1.0 644 772 691 810 for
7 0 0.9999680519104004 694 774 747 808 the
7 0 0.9515509009361267 751 774 841 808 initial
7 0 0.9999481439590454 844 774 904 808 and
7 0 0.9952386617660522 907 774 975 808 final
7 0 0.9950064420700073 980 774 1112 808 channels.
8 0 0.999995231628418 239 831 302 867 The
8 0 0.9701007604598999 306 836 429 870 question
8 0 0.9994614720344543 437 836 554 863 whether
8 0 0.999224066734314 558 836 586 867 a
8 0 0.849817156791687 589 836 815 867 coupled-channe!
8 0 0.9985489249229431 827 836 965 870 approach,
8 0 0.9997097849845886 973 831 1125 872 combining
8 0 0.9999368190765381 1130 831 1182 867 the
8 0 0.9398770928382874 1185 831 1274 865 initial
8 0 0.9958946704864502 1279 831 1339 867 and
8 0 0.9497976303100586 1343 831 1411 865 final
8 0 0.9982683658599854 1414 831 1497 865 chan-
8 1 0.9984332919120789 195 888 260 925 nels
8 1 0.9999619722366333 261 888 311 925 for
8 1 0.9976897239685059 311 895 339 927 a
8 1 0.9977624416351318 340 886 397 931 QE
8 1 0.6841654777526855 402 888 478 931 (p,n)
8 1 0.9983271956443787 484 893 610 927 reaction,
8 1 0.9998000264167786 618 890 715 925 within
8 1 0.9850108027458191 718 895 747 927 a
8 1 0.9965657591819763 751 893 920 927 Schrodinger
8 1 0.999713122844696 928 893 1054 927 equation
8 1 0.9998169541358948 1059 890 1109 927 set
8 1 0.990929901599884 1114 886 1171 931 [17,
8 1 0.999871015548706 1177 890 1224 929 19,
8 1 0.5134121179580688 1227 886 1285 934 50),
8 1 0.9981037378311157 1292 888 1376 927 could
8 1 0.9999172687530518 1379 888 1461 931 bring
8 1 0.9996423721313477 1463 888 1500 927 in
8 2 0.9954645037651062 197 954 274 982 some
8 2 0.9997331500053406 281 947 400 989 tangible
8 2 0.998469889163971 407 947 521 982 benefits
8 2 0.9980515241622925 528 954 594 982 over
8 2 0.9971802234649658 602 950 717 984 DWBA,
8 2 0.9631672501564026 725 954 791 989 may
8 2 0.9999761581420898 796 945 839 984 be
8 2 0.9953411817550659 844 947 986 982 addressed
8 2 0.999442994594574 993 947 1035 989 by
8 2 0.9698594212532043 1040 947 1192 989 examining
8 2 0.9990667700767517 1198 947 1276 982 data.
8 2 0.9998729228973389 1287 945 1327 984 In
8 2 0.9642452597618103 1330 947 1416 982 Table
8 2 0.9889175891876221 1419 945 1450 989 I,
8 2 0.9996237754821777 1455 954 1498 982 we
8 3 0.9994142055511475 195 1005 274 1039 show
8 3 0.9940517544746399 276 1005 329 1041 the
8 3 0.9981755018234253 327 1009 411 1037 ratios
8 3 0.9999958276748657 413 1005 452 1041 of
8 3 0.9968457818031311 447 1005 521 1041 total
8 3 0.9939337372779846 523 1005 578 1046 QE
8 3 0.9188101291656494 578 1005 654 1048 (p,n)
8 3 0.9725787043571472 655 1014 731 1041 cross
8 3 0.9993232488632202 734 1009 847 1037 sections
8 3 0.9628980755805969 851 1005 922 1039 from
8 3 0.9997759461402893 923 1005 977 1041 the
8 3 0.940197229385376 977 1009 1183 1041 measurements
8 3 0.9989888072013855 1182 1005 1222 1043 of
8 3 0.9316705465316772 1216 1005 1355 1046 Doehring
8 3 0.996783971786499 1356 1005 1392 1043 et
8 3 0.9022439122200012 1390 1002 1431 1041 al.
8 3 0.6827218532562256 1432 1000 1500 1053 [37),
8 4 0.9994710087776184 195 1064 239 1100 to
8 4 0.9858465790748596 237 1064 381 1098 estimated
8 4 0.9978533387184143 387 1068 528 1103 geometric
8 4 0.9992364645004272 534 1064 642 1098 nuclear
8 4 0.9986469149589539 649 1064 791 1105 geometric
8 4 0.7971996068954468 797 1071 873 1098 cross
8 4 0.9976962208747864 878 1066 1001 1100 sections,
8 4 0.6577139496803284 1007 1068 1048 1110 Og
8 4 0.9966691136360168 1049 1071 1085 1100 =
8 4 0.9633174538612366 1083 1064 1117 1103 T
8 4 0.4409317672252655 1106 1055 1192 1110 RP[I
8 4 0.7266678810119629 1177 1068 1222 1096 -
8 4 0.4580843448638916 1224 1064 1374 1105 VC(R)/E).
8 4 0.9999946355819702 1387 1062 1450 1098 The
8 4 0.9830396771430969 1453 1071 1497 1098 er-
8 5 0.9990512728691101 198 1128 258 1155 rors
8 5 0.9979898929595947 258 1119 298 1158 of
8 5 0.9999206066131592 295 1121 348 1158 the
8 5 0.9842879772186279 352 1123 489 1155 measured
8 5 0.5715426206588745 492 1128 566 1155 Cross
8 5 0.9671489596366882 571 1126 684 1153 sections
8 5 0.9997105002403259 688 1128 739 1155 are
8 5 0.9998645782470703 743 1121 830 1155 about
8 5 0.999739944934845 831 1119 907 1162 10%,
8 5 0.9999845027923584 909 1121 965 1158 but
8 5 0.9999494552612305 967 1121 1020 1158 the
8 5 0.9987743496894836 1024 1121 1140 1162 primary
8 5 0.9971423745155334 1145 1121 1311 1162 uncertainty
8 5 0.9996428489685059 1311 1119 1348 1158 in
8 5 0.9982409477233887 1350 1121 1403 1158 the
8 5 0.9787989854812622 1403 1121 1498 1162 ratios,
8 6 0.9998811483383179 198 1180 263 1215 that
8 6 0.9955999851226807 266 1185 334 1222 may
8 6 0.9998893737792969 335 1180 377 1217 be
8 6 0.9887443780899048 382 1185 541 1217 interpreted
8 6 0.9997509121894836 545 1187 583 1215 as
8 6 0.5614972114562988 587 1185 765 1217 probabilities
8 6 0.9987200498580933 772 1180 818 1217 for
8 6 0.9610469937324524 818 1183 878 1226 p-n
8 6 0.7937986254692078 878 1180 1040 1222 conversion,
8 6 0.7659488320350647 1045 1187 1096 1215 are
8 6 0.9998365640640259 1099 1180 1159 1215 tied
8 6 0.9998549222946167 1161 1180 1201 1217 to
8 6 0.9998321533203125 1201 1180 1256 1217 the
8 6 0.9945574998855591 1258 1180 1405 1222 ambiguity
8 6 0.9996384382247925 1408 1178 1445 1217 in
8 6 0.9999569654464722 1447 1180 1500 1217 the
8 7 0.9997058510780334 197 1238 290 1272 choice
8 7 0.9753603339195251 290 1238 331 1274 of
8 7 0.9893454909324646 329 1235 363 1276 R
8 7 0.9998432397842407 361 1238 410 1274 for
8 7 0.999537467956543 411 1238 463 1274 the
8 7 0.9527556896209717 466 1242 608 1276 geometric
8 7 0.7885705828666687 613 1247 689 1272 Cross
8 7 0.9979220032691956 692 1242 801 1270 section.
8 7 0.9998414516448975 812 1240 893 1276 Here,
