block line confidence X1 Y1 X2 Y2 token
0 0 0.9145419597625732 195 141 227 169 30
1 0 0.9747212529182434 456 143 579 167 CHEN-YUN
1 0 0.9972171783447266 581 143 632 169 LIN,
1 0 0.9877505898475647 634 143 695 167 ARIN
1 0 0.8612036108970642 698 143 823 169 MINASIAN,
1 0 0.995958149433136 821 139 873 171 XIN
1 0 0.9865777492523193 873 143 967 167 JESSICA
1 0 0.9579899311065674 969 143 1009 171 QI,
1 0 0.9568980932235718 1009 143 1065 167 AND
1 0 0.99928218126297 1067 143 1200 167 HAU-TIENG
1 0 0.9844431281089783 1201 141 1246 169 WU
2 0 0.9960764050483704 546 614 586 650 (a)
2 0 0.9992040991783142 586 616 677 648 Original
2 0 0.9982566237449646 677 616 747 648 image
3 0 0.6484053730964661 835 614 878 650 (b)
3 0 0.5182827115058899 876 616 942 648 Noisy
3 0 0.9962432384490967 942 616 1017 648 image,
3 0 0.5152148008346558 1020 618 1090 644 PSNR
3 0 0.9884490370750427 1090 618 1120 644 =
3 0 0.9997888207435608 1120 618 1185 644 13.55,
3 0 0.9771486520767212 1188 618 1243 644 SNR
4 0 0.9596149921417236 843 642 914 674 5.23
5 0 0.8152593970298767 1251 809 1271 831 do
5 1 0.5957840085029602 1191 867 1213 887 
6 0 0.3933596611022949 366 867 395 887 M
7 0 0.8628267645835876 237 1095 277 1132 (c)
7 0 0.9977970123291016 280 1100 363 1125 NLEM,
7 0 0.9807252287864685 371 1100 441 1123 PSNR
7 0 0.9931867122650146 446 1100 478 1125 =
7 0 0.9997705817222595 481 1100 547 1125 25.68,
7 0 0.825081467628479 554 1095 615 1127 SNR
7 0 0.99762362241745 620 1102 647 1125 =
7 0 0.989568293094635 645 1095 687 1130 (d)
7 0 0.8963719606399536 690 1100 790 1125 VNLEM,
7 0 0.9656527638435364 795 1100 866 1125 PSNR
7 0 0.9821822047233582 868 1100 898 1125 =
7 0 0.7217586040496826 898 1100 964 1125 25.48,
7 0 0.8290154933929443 966 1095 1027 1127 SNRI
7 0 0.9977274537086487 1025 1100 1055 1125 =
7 0 0.7616355419158936 1054 1095 1094 1132 (e)
7 0 0.8936747908592224 1094 1097 1238 1127 VNLEM-DD,
7 0 0.9929772019386292 1240 1097 1311 1123 PSNR
7 0 0.9912559986114502 1309 1100 1339 1125 =
7 0 0.9997095465660095 1338 1100 1404 1125 25.54,
7 0 0.9372108578681946 1404 1095 1464 1127 SNR
8 0 0.9977484345436096 239 1125 307 1158 17.36,
8 0 0.9994001388549805 305 1123 373 1155 FSIM
8 0 0.9917581677436829 373 1130 400 1153 =
8 0 0.9997294545173645 398 1127 459 1153 0.952
9 0 0.9993333220481873 649 1127 713 1153 17.16,
9 0 0.8203997611999512 713 1123 783 1155 FSIM
9 0 0.9933494925498962 778 1127 810 1153 =
9 0 0.9891893863677979 806 1127 868 1153 0.944
10 0 0.997506320476532 1062 1125 1150 1158 17.21,
10 0 0.9979002475738525 1150 1127 1215 1153 FSIM
10 0 0.9922745823860168 1216 1130 1243 1153 =
10 0 0.9996138215065002 1240 1127 1303 1153 0.943
11 0 0.35703593492507935 230 1555 268 1591 (F)
11 0 0.9928626418113708 268 1557 351 1589 NLEM,
11 0 0.9973416924476624 353 1559 463 1585 difference,
11 0 0.9983872175216675 464 1559 519 1585 SOB
11 0 0.9923294186592102 517 1559 547 1585 =
11 0 0.9997112154960632 546 1559 607 1585 0.033
11 0 0.9827197790145874 650 1555 690 1591 (g)
11 0 0.9984899759292603 692 1557 793 1589 VNLEM,
11 0 0.6048873066902161 795 1559 903 1585 difference,
11 0 0.9995728135108948 903 1555 962 1587 SOB
11 0 0.9794366955757141 962 1561 989 1585 =
11 0 0.9908812046051025 987 1559 1049 1585 0.042
11 0 0.9955594539642334 1065 1555 1108 1589 (h)
11 0 0.8617703914642334 1113 1557 1260 1587 VNLEM-DD,
11 0 0.9995923638343811 1275 1559 1382 1585 difference,
11 0 0.9994363188743591 1399 1555 1459 1587 SOB
11 0 0.9911485910415649 1470 1564 1495 1583 =
