block line confidence X1 Y1 X2 Y2 token
0 0 0.9959602952003479 295 257 390 290 Finally,
0 0 0.9995273351669312 393 253 443 287 the
0 0 0.8592079877853394 444 257 529 283 model
0 0 0.9914426207542419 532 255 644 294 requires
0 0 0.9787757396697998 645 262 718 285 some
0 0 0.5993765592575073 723 257 790 283 form
0 0 0.9993934631347656 793 255 830 287 of
0 0 0.9978804588317871 876 257 984 283 calibrate
0 0 0.9996602535247803 986 253 1034 287 the
0 0 0.9989124536514282 1034 257 1117 283 model
0 0 0.9991249442100525 1118 255 1158 290 to.
1 0 0.9930874705314636 252 290 408 320 initialization
1 0 0.999956488609314 411 292 441 322 to
1 0 0.9936485886573792 441 290 549 328 produce
1 0 0.9985785484313965 547 296 567 320 a
1 0 0.8837836980819702 567 290 649 322 viable
1 0 0.9996815919876099 647 290 722 322 order
1 0 0.9993786811828613 720 290 786 322 book
1 0 0.9927807450294495 786 292 831 320 be-
2 0 0.9998980760574341 914 292 972 324 The
2 0 0.9986201524734497 984 294 1128 324 transaction
2 0 0.9998459815979004 1143 292 1241 324 dataset
2 0 0.9966974258422852 1251 292 1324 324 often
2 0 0.9993478655815125 1338 296 1449 328 presents
3 0 0.9987977743148804 250 324 308 356 fore
3 0 0.8428273797035217 308 328 385 354 actual
3 0 0.6525416374206543 388 324 484 363 trading
3 0 0.99815434217453 484 330 532 356 can
3 0 0.9818053841590881 534 326 612 360 begin.
3 0 0.9999879598617554 617 324 677 356 This
3 0 0.9994716048240662 677 326 705 356 is
3 0 0.9999978542327881 705 324 773 356 done
3 0 0.9980911612510681 773 326 810 358 in
3 0 0.5175220370292664 803 328 826 358 a
3 0 0.9979464411735535 874 330 959 356 events
3 0 0.7944578528404236 964 330 1089 363 occurring
3 0 0.9990059733390808 1092 326 1191 358 outside
3 0 0.9999992847442627 1193 324 1230 360 of
3 0 0.9998960494995117 1230 326 1346 358 standard
3 0 0.929729163646698 1349 326 1449 365 trading
3 1 0.9998879432678223 252 363 327 388 series
3 1 0.9795479774475098 328 360 361 391 of
3 1 0.9998431205749512 361 360 395 391 10
3 1 0.9562629461288452 395 363 473 388 initial
3 1 0.994652509689331 474 358 559 391 Monte
3 1 0.9993613362312317 561 358 635 391 Carlo
3 1 0.9983622431755066 635 363 710 397 steps,
3 1 0.999883770942688 712 360 743 391 in
3 1 0.9991084933280945 745 358 826 391 which
3 1 0.9992251396179199 873 360 962 399 hours,
3 1 0.9993170499801636 967 363 1027 395 9:00
3 1 0.999981164932251 1034 363 1065 393 to
3 1 0.6770558953285217 1074 363 1150 397 17:00,
3 1 0.9999874830245972 1158 360 1210 395 but
3 1 0.9998705387115479 1215 367 1260 393 we
3 1 0.9998819828033447 1268 365 1377 391 consider
3 1 0.9999659061431885 1387 363 1449 397 only
3 2 0.5614404082298279 252 395 366 433 liquidity
3 2 0.9996764659881592 368 395 496 433 providers
3 2 0.9860171675682068 496 393 572 433 place
3 2 0.9722862839698792 572 397 637 423 limit
3 2 0.998075008392334 639 395 727 427 orders
3 2 0.9949647188186646 728 397 823 423 around
3 2 0.9941235184669495 873 397 966 436 quotes
3 2 0.9998050332069397 964 397 1030 429 with
3 2 0.9998546838760376 1030 399 1055 431 a
3 2 0.8921310305595398 1057 399 1191 431 timestamp
3 2 0.9962520003318787 1195 397 1324 436 occurring
3 2 0.9992413520812988 1323 395 1359 431 in
3 2 0.9999610185623169 1358 395 1406 431 the
3 2 0.9959684610366821 1404 401 1455 436 pe-
3 3 0.9954991936683655 252 433 290 461 an
3 3 0.9998252987861633 290 429 371 461 initial
3 3 0.9990235567092896 373 431 449 466 price,
3 3 0.9304978251457214 451 436 484 466 Pa
3 3 0.9979279041290283 488 433 517 464 =
3 3 0.998335063457489 519 431 556 470 Pb
3 3 0.9891183376312256 556 433 587 464 =
3 3 0.9295774102210999 587 431 632 468 Por
3 3 0.9988136291503906 632 429 698 461 with
3 3 0.9896075129508972 697 433 738 461 no
3 3 0.9985161423683167 740 427 831 466 liquid-
3 3 0.9999240636825562 874 431 933 464 riod
3 3 0.9990309476852417 934 431 1001 464 from
3 3 0.9998385906219482 1001 431 1060 464 9:10
3 3 0.9999902248382568 1059 433 1092 464 to
3 3 0.9822227954864502 1092 431 1162 464 16:50
3 3 0.9940195083618164 1163 436 1201 464 on
3 3 0.9985142350196838 1201 436 1258 470 any
3 3 0.9987342953681946 1256 431 1386 470 particular
3 3 0.9978047013282776 1386 431 1452 464 trad-
3 4 0.9435269832611084 250 464 293 502 ity
3 4 0.9997857213020325 293 464 365 496 taker
3 4 0.8750457763671875 363 464 463 502 activity
3 4 0.9993687272071838 464 464 569 502 present.
3 4 0.9294829964637756 571 464 634 496 This
3 4 0.9709925055503845 635 466 791 498 corresponds
3 4 0.9999828338623047 795 466 828 496 to
3 4 0.9967255592346191 873 468 923 504 ing
3 4 0.9998020529747009 924 464 984 507 day.
3 4 0.9999679327011108 994 466 1057 498 This
3 4 0.999739944934845 1060 468 1089 498 is
3 4 0.99126136302948 1090 470 1115 500 a
3 4 0.9779126644134521 1117 466 1196 498 result
3 4 0.9999954700469971 1198 464 1235 500 of
3 4 0.9999927282333374 1235 466 1283 500 the
3 4 0.99748694896698 1284 466 1339 500 fact
3 4 0.9999158382415771 1343 466 1401 498 that
3 4 0.9999457597732544 1402 466 1450 500 the
3 5 0.9999954700469971 250 498 297 532 the
3 5 0.9898485541343689 300 502 428 534 placement
3 5 0.9998824596405029 428 496 464 532 of
3 5 0.9978312849998474 463 502 642 534 approximately
3 5 0.5097562670707703 649 498 758 537 10ANAJ
3 5 0.9904819130897522 762 498 828 530 limit
3 5 0.9994078874588013 874 504 982 537 opening
3 5 0.9583645462989807 989 504 1087 530 auction
3 5 0.8375622630119324 1092 500 1220 539 occurring
3 5 0.9975492358207703 1225 500 1291 532 from
3 5 0.9995943903923035 1294 500 1354 532 8:30
3 5 0.9999817609786987 1356 502 1389 532 to
3 5 0.9990283250808716 1391 500 1450 532 9:00
3 6 0.7530245780944824 249 569 322 612 C.
3 6 0.9992910623550415 318 575 463 614 Liquidity
3 6 0.7845613956451416 473 571 566 610 Taker
3 6 0.9997819066047668 574 575 674 614 Agent
3 6 0.9788682460784912 682 575 830 614 Specifica-
3 6 0.9999855756759644 874 571 933 603 first
3 6 0.9953656196594238 933 571 966 601 10
3 6 0.9949495792388916 967 573 1072 599 minutes
3 6 0.9969745874404907 1074 571 1107 601 of
3 6 0.7788518071174622 1108 575 1248 599 continuous
3 6 0.9995587468147278 1251 571 1349 610 trading
3 6 0.9997988343238831 1348 571 1402 603 and
3 6 0.9999599456787109 1402 569 1450 603 the
4 0 0.9972405433654785 254 537 341 562 orders.
4 1 0.9999399185180664 252 614 317 648 tion
5 0 0.9999532699584961 876 539 947 565 tends
5 0 0.999934196472168 952 539 986 567 to
5 0 0.9453614354133606 991 539 1099 571 produce
5 0 0.943657636642456 1104 543 1235 567 erroneous
5 0 0.9999560117721558 1240 534 1303 569 data
5 0 0.9995554089546204 1304 534 1401 575 during
5 0 0.9999104738235474 1402 534 1450 569 the
5 1 0.9991507530212402 874 605 928 638 fact
5 1 0.9999624490737915 928 605 986 638 that
5 1 0.9995326995849609 987 608 1032 635 the
5 1 0.9999512434005737 1035 608 1122 644 period
5 1 0.9979950189590454 1125 605 1191 638 from
5 1 0.9930868744850159 1195 605 1265 638 16:50
5 1 0.9998431205749512 1266 608 1298 638 to
5 1 0.9974496960639954 1299 605 1369 638 17:00
5 1 0.9799678325653076 1371 612 1454 644 repre-
5 2 0.9958298802375793 914 676 957 711 In
5 2 0.9955700039863586 949 676 992 711 all
5 2 0.9874117374420166 994 678 1133 708 calibration
5 2 0.9700474739074707 1138 681 1303 713 experiments,
5 2 0.7853374481201172 1308 683 1353 708 we
5 2 0.9983381032943726 1356 681 1450 706 investi-
6 0 0.9997915625572205 874 644 942 670 sents
6 0 0.9995686411857605 942 644 967 674 a
6 0 0.9902442097663879 966 640 1060 678 closing
6 0 0.8901072144508362 1062 644 1163 670 auction.
7 0 0.9995725750923157 293 674 360 706 Each
7 0 0.5726532340049744 361 674 499 706 simulation
