block line confidence X1 Y1 X2 Y2 token
0 0 0.9954653382301331 193 201 235 237 at
0 0 0.9999885559082031 239 198 293 235 the
0 0 0.9987579584121704 298 198 352 235 LO
0 0 0.9994001388549805 360 201 439 237 QCD
0 0 0.9963377714157104 447 201 608 235 corrections
0 0 0.9971863627433777 612 203 671 237 can
0 0 0.9986829161643982 676 196 722 235 be
0 0 0.999914288520813 725 196 814 237 found
0 0 0.8865811824798584 820 198 893 235 from
0 0 0.9987490177154541 899 196 956 242 Eq.
0 0 0.8174521923065186 964 196 1036 242 (62).
0 0 0.9901978969573975 1054 198 1138 237 Since
0 0 0.7581109404563904 1141 198 1208 244 Q1,2
0 0 0.9342032670974731 1213 201 1276 235 mix
0 0 0.9998853206634521 1280 198 1351 235 with
0 0 0.9999873638153076 1358 198 1413 235 the
0 0 0.9997619986534119 1419 201 1497 237 QCD
0 1 0.9997976422309875 197 258 256 292 and
0 1 0.9992076754570007 261 258 323 292 EW
0 1 0.9998635053634644 331 262 445 296 penguin
0 1 0.999945878982544 453 262 597 296 operators,
0 1 0.9893675446510315 604 258 654 294 i.e.
0 1 0.9666056632995605 665 258 760 299 Q3-10,
0 1 0.9916689395904541 765 264 810 292 we
0 1 0.9960470795631409 815 258 941 299 basically
0 1 0.9965320825576782 948 258 1020 292 need
0 1 0.9999450445175171 1024 258 1078 294 the
0 1 0.995958149433136 1080 255 1124 294 10
0 1 0.9038950800895691 1124 262 1154 294 X
0 1 0.9999786615371704 1156 255 1196 294 10
0 1 0.9471201300621033 1200 258 1285 292 ADM
0 1 0.9968522191047668 1290 258 1393 292 matrix
0 1 0.9999957084655762 1397 255 1444 294 for
0 1 0.9999662637710571 1447 258 1500 294 the
0 2 0.9974800944328308 198 319 335 354 operators
0 2 0.6648709774017334 342 315 387 358 Qi
0 2 0.5284975171089172 398 326 439 356 10-
0 2 0.8502086400985718 453 315 534 351 Since
0 2 0.9999649524688721 539 315 594 351 the
0 2 0.999806821346283 600 319 713 347 mixture
0 2 0.9966529011726379 720 312 760 351 of
0 2 0.9899488687515259 760 315 827 358 Q1,2
0 2 0.9982956051826477 830 315 889 351 and
0 2 0.866533100605011 894 312 943 358 Q3
0 2 0.9999436140060425 952 326 985 356 10
0 2 0.999903678894043 988 312 1020 354 is
0 2 0.9997885823249817 1025 315 1180 349 dominated
0 2 0.999690055847168 1187 315 1229 356 by
0 2 0.9996001124382019 1234 315 1288 351 the
0 2 0.9983067512512207 1293 317 1371 354 QCD
0 2 0.9999001026153564 1379 315 1497 356 penguin
0 3 0.9994511008262634 198 379 342 413 operators,
0 3 0.9990309476852417 348 381 392 411 we
0 3 0.9985249638557434 394 374 482 415 adopt
0 3 0.9999432563781738 484 374 536 411 the
0 3 0.9977832436561584 536 374 610 411 6x6
0 3 0.9441112875938416 610 374 696 408 ADM
0 3 0.9999997615814209 697 374 744 411 for
0 3 0.9999556541442871 744 374 797 411 the
0 3 0.9999550580978394 799 381 860 408 new
0 3 0.9898722171783447 865 374 972 415 physics
0 3 0.9990750551223755 973 374 1077 415 effects,
0 3 0.9991389513015747 1078 374 1138 411 and
0 3 0.9999659061431885 1140 374 1193 411 the
0 3 0.9972604513168335 1196 374 1279 408 ADM
0 3 0.9999428987503052 1280 372 1313 413 is
0 3 0.999897837638855 1313 376 1390 413 given
0 3 0.9996205568313599 1393 381 1431 411 as
0 3 0.8955025672912598 1434 372 1498 418 [54):
1 0 0.43184757232666016 575 488 629 559 *
1 0 0.999832272529602 641 502 667 539 6
1 1 0.9913378953933716 728 502 754 539 0
1 2 0.9938137531280518 852 502 877 539 0
1 3 0.9615098237991333 949 502 973 539 0
1 4 0.999919056892395 589 559 615 596 6
1 4 0.9803631901741028 636 557 673 587 -6
1 4 0.9956175088882446 722 555 760 584 -2
1 5 0.9722723960876465 943 555 980 584 -2
1 6 0.6187352538108826 633 575 673 612 Ne
1 6 0.717133641242981 715 575 765 612 3Nc
1 7 0.9933844208717346 851 552 878 612 3
1 7 0.2904564142227173 935 575 985 612 3Nc
1 8 0.9953438639640808 587 619 621 657 0
1 8 0.9966868758201599 641 619 667 655 0
1 8 0.9601866006851196 717 609 768 644 -22
1 9 0.7568800449371338 946 614 985 644 4
1 10 0.7076313495635986 715 635 767 669 3Nc
1 11 0.35346123576164246 846 609 885 669 3
1 11 0.6530569791793823 935 635 985 669 3Nc
1 12 0.3642682135105133 743 694 796 728 3Nc
1 12 0.6521947979927063 809 692 849 728 Ne
1 12 0.9985601305961609 889 694 917 724 3
1 12 0.3160809874534607 935 694 985 728 3NC
1 13 0.9929885268211365 587 735 634 772 0
1 13 0.9638888239860535 639 737 668 772 0
1 14 0.988251268863678 730 735 754 772 0
1 15 0.9943737983703613 852 735 877 772 0
1 16 0.37534719705581665 941 746 982 785 Ne
1 16 0.9930900931358337 948 728 978 760 6
1 17 0.9978395700454712 587 792 633 831 0
1 17 0.9917412996292114 641 794 667 829 0
1 17 0.9779514074325562 715 785 768 820 -2f
1 18 0.9991376399993896 846 783 883 822 2f
1 18 0.9726111888885498 935 785 988 820 -3f
1 18 0.823893129825592 1017 781 1053 820 6(
1 18 0.42343688011169434 1059 783 1140 820 1+N2)
1 18 0.9995007514953613 1177 785 1211 815 2f
1 19 0.6619303226470947 715 808 765 845 3Nc
1 20 0.998619556427002 849 808 880 840 3
1 20 0.4072955250740051 935 808 986 845 3Nc
2 0 0.9941120743751526 1095 502 1119 541 0
2 1 0.9997497200965881 1095 552 1119 587 2
2 2 0.9998685121536255 1095 575 1119 609 3
2 3 0.512396514415741 1093 609 1120 669 :
2 4 0.9990656971931458 1088 666 1125 705 2f
2 5 0.539689838886261 1090 696 1125 726 Nc
2 6 0.96507328748703 1080 730 1135 776 -6
2 7 0.7035403251647949 1053 808 1091 845 Ne
3 0 0.33766430616378784 419 625 512 698 12c0
4 0 0.9993071556091309 1435 641 1498 687 (63)
5 0 0.7578569054603577 586 673 743 717 006-
5 0 0.9986841082572937 749 666 788 703 2f
5 0 0.9995651841163635 825 671 849 703 6
5 0 0.8903116583824158 849 676 885 717 +
5 0 0.9873524904251099 886 671 919 703 2f
5 0 0.9954445362091064 935 666 988 703 -2f
6 0 0.9956710338592529 239 897 306 934 with
6 0 0.9937346577644348 314 895 345 943 f
6 0 0.9985454082489014 352 897 437 941 being
6 0 0.9999793767929077 444 897 497 934 the
6 0 0.9998257756233215 505 902 617 929 number
6 0 0.9988954067230225 625 895 665 934 of
6 0 0.9991207718849182 671 902 773 929 flavors.
6 0 0.9990164041519165 796 895 831 936 If
6 0 0.6287190318107605 835 904 881 936 we
6 0 0.999744713306427 886 897 954 934 take
6 0 0.9997227787971497 961 897 1015 934 the
6 0 0.9901748895645142 1024 904 1161 936 operators
6 0 0.967296838760376 1171 897 1248 941 Q1-6
6 0 0.9999104738235474 1255 904 1292 934 as
6 0 0.9997426867485046 1298 904 1327 936 a
6 0 0.9954320192337036 1332 899 1416 938 basis,
6 0 0.7777504324913025 1426 897 1498 934 from
6 1 0.9977788329124451 197 954 251 1000 Eq.
6 1 0.9998193383216858 256 954 327 1000 (24),
6 1 0.9998782873153687 332 957 386 993 the
6 1 0.9760525226593018 390 961 591 995 corresponding
6 1 0.9047468900680542 597 957 701 991 Wilson
6 1 0.9956713914871216 705 957 864 991 coefficients
6 1 0.9968085885047913 868 963 923 991 can
6 1 0.9880256056785583 927 957 999 991 form
6 1 0.9987753033638 1001 961 1028 993 a
6 1 0.9977911710739136 1032 961 1122 989 vector
6 1 0.9997748732566833 1125 957 1185 991 and
6 1 0.9994957447052002 1188 957 1230 993 be
6 1 0.998881995677948 1232 957 1374 998 expressed
6 1 0.9999163150787354 1377 963 1413 993 as
6 1 0.9994600415229797 1416 957 1466 995 CT
6 1 0.9996986389160156 1463 963 1492 991 =
6 2 0.32831257581710815 200 1007 470 1057 (1,-1,0,0,0,04
6 2 0.999885082244873 482 1014 541 1050 and
6 2 0.278141051530838 547 1011 599 1059 CH
6 2 0.9958072900772095 604 1021 639 1048 =
6 2 0.33050644397735596 641 1000 928 1064 (1,-1,0,0,0,0)8
6 2 0.9999083280563354 930 1014 969 1053 at
6 2 0.9999810457229614 973 1014 1027 1050 the
